Genes	Spore	Ger	Brch	Myc	Oidia	Scl	Knot	Pri	YFB
CC2G_000017	6.13208229653325	6.35468400322698	6.64209578949378	5.49451526773576	5.90952895283903	5.04304720629267	5.37588859350153	5.45524634051209	6.920065484477
CC2G_000018	3.93345973125404	7.28429979734609	4.25572216954171	6.87621749837448	7.6655438104436	9.00330050980689	8.50627077210626	6.13331022130856	9.80060405949872
CC2G_000019	0	1.78931796658238	1.00949904324131	0	0	1.88877752809286	1.47267790222412	1.01551986499893	0
CC2G_000020	5.60431956794993	5.84893956447641	5.98152590836808	4.90748282054372	4.98217368450929	4.44091384344378	5.01268494413691	4.35634967677255	4.52615333207254
CC2G_000023	0	0	0	1.11486175692218	0	0	0	0	1.40795109973601
CC2G_000032	3.60883346152832	1.68579345543909	3.31268479119699	4.88848141394917	4.40008614305783	5.80319985059304	5.66530505321084	4.52005644276263	8.64266942136391
CC2G_000029	7.26455725765903	5.41866963721383	6.18461159965591	7.12952668986493	7.1104626388661	6.52260219175111	7.22576879102156	7.33739194357921	7.71027544555571
CC2G_000021	3.01783052200606	8.09575205905683	9.41837274488463	9.17442037591154	9.13208015395785	9.91155937454754	9.21056274144154	6.27894913977744	6.02082569234376
CC2G_000022	0	1.10024961942782	0	1.69734424421401	1.11831047843688	1.6090962893085	2.02527598754492	3.28462607952965	3.67169151308874
CC2G_000033	7.07334631342514	4.7769449935218	4.94787373930193	5.5967370961621	5.75303375611434	5.46065635715451	6.21972745730202	6.28171170274531	6.78539730344002
CC2G_000034	5.30128423237313	3.28785505476916	3.14824769014831	4.1810919290737	4.35034524083018	3.01451868788055	4.06002359168539	4.49318349972652	5.01416166259332
CC2G_000045	0	0	3.66091201947556	3.16097385542357	4.07839044157959	3.54828829826369	3.42777955301576	0	4.00214874536896
CC2G_000039	1.7824110365099	1.46138345987363	2.85955008471525	5.90021329569657	5.85224805554408	5.32213452304145	5.75539775910175	2.59574075833771	2.39093273988001
CC2G_000040	0	0	2.96924448413147	4.78605095194023	4.54568130052577	4.34618344565483	3.68985804406399	2.72462003693734	3.93911157792355
CC2G_000041	3.81051246330448	0	0	1.36109030145497	0	0	1.10339917908382	2.19161987773475	6.11557820047079
CC2G_000042	0	0	1.16801801557443	2.01814862874718	2.06119810037319	1.59293817943338	1.76357675499104	1.38613259137439	0
CC2G_000043	2.3142139733566	1.37655487674059	3.47137040803488	5.19788598268714	4.88845412190286	4.26127355501962	4.98944006809317	4.89160342327241	2.96961685476488
CC2G_000049	0	1.10024961942782	1.77855962091149	4.53538884819452	4.14785941645685	6.22615000738533	5.35878402305953	1.075863784293	1.96455524688757
CC2G_000048	7.80176103458019	7.04212202290093	8.89313287123055	7.68200586971629	7.70289523158051	7.27176802156821	7.14895514259461	7.82320414400831	6.1986175404188
CC2G_000052	3.30794893966365	0	0	0	1.04290282865144	0	0	0	1.27699400969508
CC2G_000050	7.16435011473346	7.8453579422136	7.03238213442475	6.62534037124112	6.71058263001952	7.7936699644757	7.23071647603028	2.21989564350526	5.73561213705267
CC2G_000051	0	4.30368778891047	2.03156486027373	2.25109762250669	2.32750634410132	1.7346902267861	2.20339713777429	0	0
CC2G_000053	5.13519867352291	5.85105780221527	6.43289785248351	6.2252038832091	6.33144198912727	5.41431930507792	5.93668544195274	6.60779034623284	6.35920068733753
