Genes	g0	g1	g2	g3	s0	s1	s2	s3	s4	s5
FGSG_11580	0	1.40505872648267	1.33618010516576	1.96980362142144	2.19576630234519	2.7895729063348	2.88287274826515	2.55323929633784	2.25171098411779	1.74230918002269
FGSG_11581	0	1.54238783677734	2.86431970567912	2.7073988914662	2.94252671299644	2.46485460510768	2.74004200573669	2.7627383973241	2.20065958866858	2.40941003137972
FGSG_11584	0	0	0	0	0	0	0	0	0	0
FGSG_11585	0	0	0	0	0	0	1.12565764045212	2.5601696887176	3.06050578901843	2.25216193079153
FGSG_11605	0	0	0	0	0	0	0	0	0	0
FGSG_11643	0	0	0	0	0	0	0	0	0	0
FGSG_11642	1.7376277242856	1.36665814470081	1.00926627413197	1.32234636959171	1.80132703774352	2.05015965299149	1.75449241947847	1.54973216377113	1.36186199034644	1.20301792073982
FGSG_11600	0	0	0	0	4.45454640281237	5.22512521334432	2.28679071455613	1.97594009401845	1.44947372206821	1.22254086566075
FGSG_11582	0	0	0	0	0	0	0	0	0	0
FGSG_14022	2.58198753744017	1.85323647150219	0	0	1.83258947908646	1.6024465460762	1.64641682256933	1.2553590003874	0	1.11515352127486
FGSG_14023	2.75872209613117	1.79305327213305	0	1.09657808701977	2.15243324140013	1.64760415151016	1.588631207157	1.12095244001138	0	0
FGSG_11645	0	5.64107069623574	7.11998789554045	6.87583346222957	0	0	0	0	0	0
FGSG_00002	0	0	0	0	1.57769722112097	1.54170097775973	1.76631262934176	0	0	0
FGSG_11644	1.30250702186829	1.02745390043099	0	0	0	0	0	0	0	1.080270893714
FGSG_00010	0	0	0	0	0	0	0	0	0	0
FGSG_00009	2.81333919116071	1.24154006980728	0	0	0	0	0	0	0	0
FGSG_11648	0	0	2.30834312471848	1.81483377880393	0	0	0	0	0	0
FGSG_00015	0	0	0	0	5.7113667245697	7.26329817295045	5.99831111640599	5.55626146093931	5.15007118802243	4.50496673460639
FGSG_00013	0	0	0	0	0	0	0	0	0	0
FGSG_00011	0	1.1540605612888	2.63048846544059	2.7167691436609	2.64516776050369	2.71127010637362	2.63658633579886	2.11379042088984	1.55863554118595	1.69489451533062
FGSG_00012	3.52916229464647	0	0	0	0	0	0	0	0	0
FGSG_00019	0	0	0	0	1.32489210294804	2.74058124883368	2.72139096905569	1.93822451258721	1.21905987689556	1.00475016321307
FGSG_11652	0	0	0	0	0	0	1.24689386367839	1.76022214579181	2.29680916831088	1.59489730354524
FGSG_11651	0	0	0	0	1.78915484154291	0	1.15113624540101	0	0	0
FGSG_00023	0	0	0	0	0	0	1.16706172438383	1.69854373856188	2.63776016554481	2.42990338655105
FGSG_00021	0	1.01594246505111	0	0	0	0	1.10655740465338	0	0	0
FGSG_00020	0	0	0	0	0	0	0	0	0	0
FGSG_00028	0	0	0	0	4.38532408639051	0	0	0	0	0
FGSG_00017	4.36462616779339	0	0	0	2.94421420104817	4.49513766606968	2.56114586333207	1.46817616638416	0	1.11636823467003
FGSG_00018	5.26005157015637	5.35800416541943	5.93085243839301	6.14108615047959	5.55273206346178	4.23697003089388	4.3169466349145	4.53952423725568	4.25637461975148	3.3519043396833
FGSG_00029	0	0	0	0	0	0	0	0	0	0
FGSG_00033	0	0	2.97877790174204	3.85199529185585	2.50484163717474	1.52308105919375	2.17768095261643	1.7351514593229	0	0
FGSG_00030	0	1.03719127560449	1.37349377002429	1.43433226100155	0	0	0	0	0	0
FGSG_00034	0	0	0	0	0	0	0	0	0	0
FGSG_11655	0	0	0	0	0	0	0	0	0	0
FGSG_11653	0	1.48652009593149	0	0	0	0	1.30628130004569	2.00615750935417	1.5631525875429	1.5169129213175
FGSG_11654	0	0	0	0	0	0	0	0	0	0
FGSG_00040	0	0	0	0	0	0	1.16933643765444	0	0	0
FGSG_11658	0	0	0	0	0	0	0	0	0	0
FGSG_00039	0	4.90731939072702	3.51388355357187	3.96352594626385	2.47030596910532	0	0	0	0	0
FGSG_00036	0	0	0	0	0	0	0	0	0	0
FGSG_00027	0	0	0	0	1.497746060839	1.57755985341813	0	0	0	0
FGSG_00024	0	3.36184942335942	4.98392630095579	4.89657643498566	2.30837072449883	1.63662120927117	1.48952495757693	1.18480241000175	0	1.12528294352953
FGSG_00025	2.72072729768307	1.91031908181593	0	0	1.83860548995819	3.06808434844317	3.19338929272853	2.72056193137046	1.87126577445186	1.38812139924184
FGSG_00026	3.04093569839185	0	0	0	0	1.7069301443198	1.55001864856121	1.1138754499148	0	0
FGSG_11656	1.54359098318451	0	0	0	0	0	0	0	0	0
FGSG_00038	0	0	0	0	0	0	0	0	0	0
FGSG_00043	1.8922057632995	0	0	0	0	0	0	0	0	0
FGSG_00044	0	0	0	0	0	0	0	0	0	0
FGSG_00050	0	0	0	0	5.82439920580904	4.15782753035792	3.25922763160824	2.51000342242707	1.76454620996032	1.84379010590023
FGSG_00052	0	0	0	0	0	0	0	0	0	0
FGSG_00045	2.77155384841793	0	2.15763495530091	2.04229886920371	3.70718893180657	4.06208243461542	4.19778965420597	4.59821411919547	4.18734066496612	2.83230429850598
FGSG_00051	0	0	0	0	1.33237707604819	1.63553919606378	0	0	0	0
FGSG_00056	0	0	0	0	0	0	0	0	0	0
FGSG_00053	1.95365296127028	3.0296390546602	1.95516748237867	1.74456040705783	1.88223699460046	2.00568441502925	4.2299838665283	3.41998443610042	2.45241408200992	4.57274498619781
FGSG_00054	0	0	0	0	0	0	1.88360854742161	1.48500222968433	1.12028677996604	1.68854403021332
FGSG_00046	2.01913362822176	0	0	0	0	0	0	0	1.02163363839942	1.09254865459197
FGSG_11659	0	0	0	0	0	0	0	0	0	0
FGSG_11662	3.46604277692366	0	0	0	0	0	0	0	0	0
FGSG_00055	1.18272865617082	0	0	0	1.15785713971349	2.06926463952532	1.92281237635564	1.37169632852001	0	1.12847118004809
FGSG_11664	1.1341284580109	0	0	0	0	0	0	0	0	1.58219882404964
FGSG_11665	0	1.22950152038203	0	0	3.66204152787807	3.74863188759367	4.15715629631279	2.87611963376418	2.347425752895	2.47608658910902
FGSG_11663	4.39113081331397	4.77392256230223	2.11347035717679	2.09774644228695	0	0	0	0	0	0
FGSG_11667	0	0	0	0	2.98245970256263	3.01754331810383	3.93514768625629	3.09998653211614	2.15564515027252	1.66305631108161
FGSG_00058	1.64746359790068	0	0	1.44913298766806	3.42390006582046	3.86307611119527	3.65380968756934	3.016244590743	1.97693114997032	1.80658567623004
FGSG_00062	0	0	0	0	1.61072055308137	1.6818231679986	1.86465731344113	1.64982782993258	1.45825951685956	1.25831059175395
FGSG_11668	0	0	0	0	0	0	0	0	0	0
FGSG_00064	1.92715538421615	4.05968941236858	2.10442015726872	1.87359523555178	2.04827666562328	1.94816111693157	2.11851253935254	1.76866788155275	1.50832874946664	4.10442957754815
FGSG_00065	0	1.14759745604941	0	0	0	0	0	0	0	0
FGSG_00059	8.33029628394963	4.08651617655006	2.98121771543458	4.29381840373934	8.95608249813428	9.25359343727543	9.03967100046998	8.64091077396459	8.41335245447149	8.38955960934996
FGSG_00066	2.58587738935028	0	0	1.66223448497139	5.87108528590719	6.21233653021824	6.55380722326882	6.06841732505342	5.72165352047544	5.18694071658843
FGSG_00067	3.99578400925567	0	0	0	1.91413799249788	4.4691627765807	5.2261164360893	7.07023338971494	5.77727631236312	4.02916446698862
FGSG_00077	0	0	0	0	0	1.96365634693147	0	0	0	0
FGSG_00079	0	0	0	0	0	0	0	0	2.66418615147444	3.00245221711868
FGSG_00075	0	0	0	0	0	0	0	0	0	0
FGSG_00080	0	0	0	0	0	1.85693817340972	1.50104279053983	2.94080296621531	4.01611336926114	3.75797534541411
FGSG_00071	0	0	0	0	0	0	1.94503247040008	2.15791536249525	2.47741526672929	1.50510445064355
FGSG_00072	0	4.2312179578846	5.97564459214701	5.69468028797923	3.79610230185412	1.82108300215582	1.68096222058826	0	0	0
FGSG_00089	0	0	0	0	0	0	0	0	0	0
FGSG_11672	0	0	0	0	0	0	0	0	0	0
FGSG_11673	0	0	0	0	0	1.59389804185947	0	0	0	0
FGSG_00091	0	0	0	0	0	0	0	0	0	0
FGSG_00093	0	0	0	0	1.26081530264382	6.19958331623452	5.26050225487614	3.00677209565045	1.67274141288508	2.53499663505518
FGSG_00092	0	0	0	0	1.84211972538079	3.37517119474642	2.5828608116634	2.05184434035736	1.43041906834779	1.37994656654561
FGSG_00099	0	0	2.07608894901203	2.16517843629421	0	0	0	0	0	0
FGSG_00100	0	2.5616031620671	6.76665789815514	6.7245757436381	3.23277319076429	2.2556989334614	1.39087478989552	0	0	0
FGSG_00095	1.09162329376727	4.15604455850635	1.274157445133	1.02845343591348	0	1.09743785615258	0	0	0	0
FGSG_11676	0	0	1.45685842568798	1.46861613118557	2.0503204927932	1.29761260116225	1.66104082689536	1.5338979805339	0	0
FGSG_00105	0	0	0	0	1.12612283434465	3.73801398550003	6.72133865953448	6.22998921722817	3.783353565942	0
FGSG_00096	0	0	0	0	0	0	0	0	0	0
FGSG_00097	1.15248161741669	0	0	0	3.45615656816406	4.45771330957318	3.76851768631232	2.58615199799132	1.44164366534327	1.12890742619238
FGSG_00081	1.71135894916314	2.21702024183762	2.56173599947138	2.06815376917961	2.22262665560683	3.6197603522438	3.59607293249623	3.63439052872704	3.56933636462149	3.14673802563405
FGSG_00103	0	0	0	0	0	0	0	0	0	0
FGSG_00101	0	0	1.07610892331477	1.83309268882434	0	0	0	0	0	0
FGSG_00102	0	0	1.75358445517123	1.94515591605389	2.01001284332729	2.79524478911	2.81925354966097	2.42869719030079	1.73115605059058	1.1727114317472
FGSG_00107	2.18631089623514	5.92813278939968	5.13023825518494	4.54404762501947	1.16117731130891	0	1.51412915144496	2.04546602744379	2.90801957848511	3.0176969329371
FGSG_00068	2.38016698273279	0	0	0	4.51148930737782	4.97414825478206	6.87911561521895	5.641504514316	5.17622624054676	3.99374526665129
FGSG_00069	5.20052185196515	3.9500557142512	3.34569481595222	3.15478683667417	3.17239699716731	3.10121571145262	3.46205122753571	3.35125211543059	3.30761020265499	3.19905308428117
FGSG_00070	4.44249191975866	1.18410343089598	1.01838188894287	0	2.19282076704717	2.33502709351337	4.35828347566719	2.76907763555192	3.60396895363353	3.45870554975906
FGSG_00112	0	0	0	0	0	0	0	0	0	0
FGSG_11679	0	0	0	0	0	0	0	0	0	0
FGSG_00115	4.47431751959784	0	0	0	5.53153525687613	7.36966237665552	6.6686382770539	5.02565814570425	3.72004811979652	4.19917770149785
FGSG_00120	0	0	0	0	0	1.34460895560694	1.91339853026664	1.514073873317	0	0
FGSG_00119	0	0	0	0	0	2.21083063566298	2.51721058677894	2.49555671400538	2.00896047608346	1.24318180155157
FGSG_00129	0	3.7767796222899	5.76040346257917	5.31253335368434	0	0	0	0	0	0
FGSG_00132	0	0	0	0	0	0	0	0	0	0
FGSG_00124	0	0	0	0	0	1.44717948981426	1.9983553374524	1.86906249747164	1.62028225311314	0
FGSG_00125	2.42473127778477	3.09310589991629	2.29077959210145	2.58785584330854	2.27162355374863	1.66583939975177	2.22117126883307	1.8400445479036	1.43613202661017	1.31807309639483
FGSG_00126	0	1.34780639613984	2.11455125489	1.88792114696557	0	0	0	0	0	0
FGSG_00127	0	0	0	0	0	0	0	0	0	0
FGSG_00134	3.83971988001909	0	0	0	0	0	0	0	0	0
FGSG_00116	9.39773159073823	3.55359384503308	1.74610322339704	1.24189953694212	8.23162197314273	9.0012445385742	8.512115050701	6.75333945633225	5.58436637074354	5.16030828475063
FGSG_00117	7.56991438406654	3.66684683289687	1.98486310289763	2.46601473531091	6.51856467505426	6.01380198011471	6.21457671883506	4.39583948893655	3.40386469796765	2.61804655430492
FGSG_00118	10.7313836995006	5.79150381050095	1.40293113849078	1.72620155493616	0	0	0	0	0	1.95754974992269
FGSG_00137	0	1.33326897424484	0	0	1.22021666149729	2.89195687162768	2.96352759995056	3.70698194307415	3.85952130446761	3.86359204310894
FGSG_00136	13.1379083151108	7.12043080925146	2.44697284085678	3.20533044404433	4.69168981675388	2.90738307290156	1.30161264713124	2.13324128155823	2.13470275231853	3.80847640970426
FGSG_11682	1.92540780219199	0	0	0	0	0	0	0	0	0
FGSG_00143	0	0	0	0	0	0	0	0	0	0
FGSG_00145	1.23533320348777	0	0	0	0	1.6451085099653	0	0	0	1.19414964117367
FGSG_11683	0	0	0	0	0	0	0	0	0	0
FGSG_00144	2.15578715642183	4.27479848040487	3.36994618764607	3.63619109641127	4.01940282079871	3.60606788473337	3.10854748576788	2.24935709631361	1.82436690407205	2.21498856767712
FGSG_00148	0	0	0	0	0	1.14793633076201	0	1.08196518244917	1.64691241074312	1.26222974436099
FGSG_11684	0	0	1.869532961203	1.81088793494026	2.01875179147661	2.69711048778021	2.40223181057317	2.23660736160344	1.94608129625248	1.80875466742441
FGSG_00147	0	0	0	0	1.44929661532609	2.84594837401962	2.69918975684134	2.44980394579021	2.19786711138675	1.9548335351068
FGSG_00138	5.98066912322832	4.25234456558672	2.56887220494444	3.09467236951237	3.73342745748761	5.47924397611534	5.91587200160809	6.59085752162171	6.76683982610905	6.61383348580246
FGSG_00139	3.91706269733079	2.25016515399013	3.48174217440629	3.35111114142385	3.38464210718417	4.10698549282629	4.36516577039727	5.45328827078116	5.39969109171486	4.82926096868488
FGSG_00140	8.09930372321885	8.24218737995348	6.42014643421824	5.79318413875954	6.51471153886927	6.06006399582129	6.58847023273663	7.1473620196201	7.22444854022197	6.57566988813886
FGSG_11686	1.75764497781642	0	1.34864348691959	1.85336251480865	2.60187210393531	3.25249407005776	3.13161038430749	2.39353604166599	1.67936024054336	1.51392476780618
FGSG_00150	13.5238416874798	9.53382240655396	6.1577232015818	5.34854533591668	4.1549499964993	3.68864486665832	3.69177725235274	3.13565834208652	2.39220575391769	3.86089958047896
FGSG_00156	0	0	0	0	0	0	0	3.42983269980784	4.64615523147053	4.01697101302388
FGSG_11688	0	0	0	0	0	0	0	0	1.37097838387791	3.09769243167028
FGSG_00153	1.55479923552197	0	1.03162961153508	0	2.90913816753995	3.34099178413698	3.2046387349867	3.5902032092813	3.60889251928264	3.39952429925218
FGSG_00160	3.07664968845806	0	0	0	3.80862808565262	5.04978039426078	4.36326368998214	3.48537673613829	2.14129828264927	5.34832786510531
FGSG_00163	0	0	0	0	2.62752279570481	4.5779046574392	5.16667230513858	5.64225541183203	4.87630591606951	3.65784547991937
FGSG_00161	0	0	0	0	0	2.92526554431114	5.22062169440121	5.9105101887115	5.52602175381171	4.43114815485471
FGSG_11687	3.47548547339394	0	0	0	0	0	0	0	0	0
FGSG_00151	2.88563558276415	0	0	0	0	0	0	0	5.0069595861108	7.24165947193426
FGSG_00152	8.01883755014468	4.76628727379754	4.65981236120142	4.21636705536906	4.46237347067246	3.88082896064882	3.62094195126053	3.91178566562391	3.94393983823691	4.02762127995218
FGSG_11695	0	0	0	0	1.61678709229973	1.83488722895293	1.7630358666947	1.57341320171361	1.38775717809917	0
FGSG_11694	0	1.09235549967044	0	0	2.6259532985632	2.94629560965499	2.93402109455927	2.96919728026802	2.41117212014219	2.32445925539628
FGSG_00165	0	1.24622427695296	3.4486499869078	3.25392900143167	5.86716254693612	7.12305685840444	8.29859875524465	6.44696053393537	4.88403480100291	4.05520868514292
FGSG_00166	5.76700632471054	4.19124173909661	3.00981218087706	3.2868229845094	6.53823657811194	7.05045978613903	6.96867279915739	6.93300381847368	6.47643727057923	6.10181699765355
FGSG_00168	6.12164698229173	7.63399107124702	7.39988706036386	7.1398903579524	6.19674143176439	5.47779315097856	5.36130653813799	5.13237157377033	5.19936231719895	5.34793495008301
FGSG_00169	8.12642047920251	6.77137010543109	5.89803244512755	5.97327347627147	5.89933132915275	5.39934922019073	5.45776314149265	5.66366860468298	6.13841234361972	6.04389724541222
FGSG_00171	1.83762677894401	0	0	0	2.47398889739405	0	1.34085627031092	1.72599830651849	2.6628046999705	3.14567353584162
FGSG_11696	0	0	0	0	1.10306840162753	2.35752429118658	2.59387953299029	3.83403946699527	4.80468481047598	5.08291061767632
FGSG_00170	7.10590964722929	6.58268541694097	6.44413687594939	6.60378835624978	7.03573814058755	6.71712303815183	6.91946718442501	6.95024469856953	7.26484823684657	7.14239065803066
FGSG_00173	1.62142463399552	6.08261574215003	7.37818448084244	7.21323792905117	5.74190472628255	3.95246221076275	3.84637097335636	3.20633190642545	3.28521602359879	2.90937784903638
FGSG_00172	9.8175172374725	6.35999143967521	1.7586000315191	2.39803696674092	7.03460879944524	11.6828846004706	11.4973909127376	10.8237207458712	9.9326434263044	8.92460226500517
FGSG_00174	6.71106461741808	7.3044030977259	6.49682015624429	6.49042385339486	5.93343186421743	5.76540675667265	4.31093642980299	3.20815484793027	1.70573761745647	1.57813976367673
FGSG_00175	5.54462118032496	2.36463367496323	3.88141947487563	4.12300757200099	8.07294209558683	8.40550432732154	6.82621566003298	6.90859344569359	6.39819473182594	6.05141064648658
