Genes	T0	T1	T2	T3	T4	T5	T6	T12	T16	T24
RO3G_17256	0	0	0	0	0	0	0	0	0	0
RO3G_17229	3.49167011192106	2.15430760915632	2.2085733126243	1.66964565805085	2.49459838510483	2.59535819274036	3.12005143965294	2.22190392903226	2.75977562809544	2.11169564448876
RO3G_17261	0	0	1.29264627601754	0	1.6292909082375	0	1.28543841891388	0	0	0
RO3G_17227	1.94923142639992	5.03564594972881	5.04424404864758	4.5297897218253	4.49274141292459	4.20402720569977	4.02129393554933	3.11118852391963	3.51383540147373	2.45396748023722
RO3G_17228	4.95125447360938	3.58390035708358	3.15510185184217	3.74991570459472	3.4644957055377	3.73463308259754	3.47698339191947	3.32068337908832	3.4531386797432	3.44007885318005
RO3G_17231	0	1.75828693449349	1.7407436576577	1.25511874080983	0	0	0	0	0	0
RO3G_17248	0	0	0	0	0	0	0	0	0	0
RO3G_17230	3.33408581150045	3.0984969611336	3.07798816528467	3.52434820169905	3.06903141562709	2.81739156663589	3.09481669530661	2.5325105169287	3.02717649136625	2.9609849802575
RO3G_17215	0	0	0	0	0	0	0	0	0	0
RO3G_17211	0	0	0	0	0	0	0	0	0	0
RO3G_17226	0	0	0	1.65991405305429	1.64254873185239	1.60730830080207	1.36812606581667	1.97528968020838	2.42892507535061	2.7270094899976
RO3G_17255	0	0	0	1.0308437215579	0	0	0	0	0	0
RO3G_17165	0	1.09273063042767	0	1.04077396750578	0	0	0	0	0	0
RO3G_17163	0	0	0	0	0	0	0	0	0	0
RO3G_17164	1.13583729590704	0	0	0	0	0	0	0	0	0
RO3G_17172	5.54745762855732	4.837265094433	4.31034514315103	3.87399942512576	3.93914547874372	3.44240846963388	3.6046969142477	3.53640595770777	3.47901613648948	3.65859823623578
RO3G_17173	3.89875579126197	1.76020487626894	2.41806283408583	3.37119399181415	3.11315873300126	3.43536757125661	3.60746356275117	2.34721675977331	3.29410110515047	3.3373704879891
RO3G_17174	5.62780867561943	3.62749694951291	5.52107121201609	6.12319334053917	6.46856006815528	6.58391822202374	6.92014571503887	6.84505041092217	6.88529206275168	6.55942597503111
RO3G_17175	3.60754335262188	6.50130511952589	6.31132996976448	6.0849637713715	5.97050016835945	5.48188958367606	5.17659137439599	4.30468403444005	4.99796507640578	4.15295009342911
RO3G_17176	6.11081875916188	6.77528551679163	6.13241442616174	6.32792850939166	5.92213392035451	5.59796664188786	5.450737456599	4.71234331792525	4.98327156997884	4.45345621024559
RO3G_17177	4.33361043469049	5.78500190962704	4.7262261414884	3.96522722129057	3.40956106776392	3.2247171127562	2.97939145198691	2.99498391200992	2.34921974366873	2.06017652859428
RO3G_17189	0	2.2008724048001	3.16152257898642	3.75445089017306	4.39376186042511	5.46602046346819	6.31902693199422	7.74656553596978	7.37101560735788	6.62031598688771
RO3G_17180	5.6455497653395	3.51157989848691	2.92180846442562	3.54385500351679	3.40624634210002	3.65156452700468	3.98426390912311	4.04014340870669	4.20248596020547	4.65595295229263
RO3G_17181	2.83469451915586	0	1.20130860117388	2.0516472714911	2.16408048221792	2.230792392151	2.48399819604833	2.21430034028949	2.1760194897969	2.07111023856099
RO3G_17182	5.16056831963687	1.1696730147309	2.5385331081633	3.11829306656508	3.2934735091755	3.31936639737595	3.77423625143741	3.44058167692462	3.84641243922266	4.23811880951788
RO3G_17183	4.93388796852408	0	0	0	0	0	0	0	0	0
RO3G_17187	1.98079695446697	0	0	0	0	0	0	0	0	0
RO3G_17184	5.80878987205655	2.43673436917706	5.22192888693697	6.14679122008752	6.46929193872954	6.75795032414266	7.00634136749321	6.63883433189108	6.95695154602251	6.45676604121557
RO3G_17185	2.110225100148	1.49321595566606	1.33786832599779	1.4578373265852	1.25480132520173	1.48292315496358	1.43419366532878	1.80091522958996	1.40188336214972	1.48007964527877
RO3G_17186	4.28418380540274	4.43796107045877	3.6967324802631	3.63109409091799	3.64612712695521	3.45932145436673	3.54945075297981	3.32562559702564	3.93533684480108	3.91219031285014
RO3G_17190	3.28450460928878	2.59352999279786	2.26302394346739	2.05216538336759	1.7642570319519	1.67592286849614	1.60838951503278	1.59068553267728	2.32517417511805	3.24141426133177
RO3G_17191	2.08106271406163	2.95321045101953	1.87916346885041	2.14288258821051	1.78762880185538	1.93945137317438	2.05675448840647	2.18960237167922	2.5283883884099	3.32486147942181
