Gene	PS
ARMOST_00001	2
ARMOST_00002	12
ARMOST_00003	12
ARMOST_00004	12
ARMOST_00005	12
ARMOST_00007	11
ARMOST_00008	4
ARMOST_00009	9
ARMOST_00010	12
ARMOST_00011	10
ARMOST_00012	7
ARMOST_00013	8
ARMOST_00014	12
ARMOST_00015	7
ARMOST_00016	1
ARMOST_00017	12
ARMOST_00018	7
ARMOST_00019	12
ARMOST_00020	1
ARMOST_00021	1
ARMOST_00022	11
ARMOST_00023	7
ARMOST_00024	2
ARMOST_00025	2
ARMOST_00026	9
ARMOST_00027	11
ARMOST_00028	3
ARMOST_00029	12
ARMOST_00030	6
ARMOST_00031	12
ARMOST_00032	12
ARMOST_00033	12
ARMOST_00034	12
ARMOST_00035	12
ARMOST_00036	11
ARMOST_00037	2
ARMOST_00038	11
ARMOST_00039	1
ARMOST_00040	1
ARMOST_00041	7
ARMOST_00042	12
ARMOST_00043	12
ARMOST_00044	11
ARMOST_00045	3
ARMOST_00046	7
ARMOST_00047	1
ARMOST_00048	4
ARMOST_00049	12
ARMOST_00050	7
ARMOST_00051	1
ARMOST_00052	10
ARMOST_00053	1
ARMOST_00054	1
ARMOST_00055	1
ARMOST_00056	1
ARMOST_00057	12
ARMOST_00058	10
ARMOST_00059	12
ARMOST_00060	12
ARMOST_00061	7
ARMOST_00062	4
ARMOST_00063	12
ARMOST_00064	7
ARMOST_00065	1
ARMOST_00066	7
ARMOST_00067	1
ARMOST_00068	1
ARMOST_00069	11
ARMOST_00070	1
ARMOST_00071	11
ARMOST_00072	2
ARMOST_00073	1
ARMOST_00074	2
ARMOST_00075	7
ARMOST_00076	6
ARMOST_00077	1
ARMOST_00078	1
ARMOST_00079	2
ARMOST_00080	6
ARMOST_00081	12
ARMOST_00082	1
ARMOST_00083	7
ARMOST_00084	12
ARMOST_00085	1
ARMOST_00086	7
ARMOST_00087	2
ARMOST_00088	1
ARMOST_00089	11
ARMOST_00090	4
ARMOST_00091	12
ARMOST_00092	2
ARMOST_00093	12
ARMOST_00094	2
ARMOST_00095	1
ARMOST_00096	10
ARMOST_00097	10
ARMOST_00098	1
ARMOST_00099	1
ARMOST_00100	9
ARMOST_00101	7
ARMOST_00102	2
ARMOST_00103	12
ARMOST_00104	1
ARMOST_00105	11
ARMOST_00106	9
ARMOST_00107	2
ARMOST_00108	11
ARMOST_00109	7
ARMOST_00110	2
ARMOST_00111	2
ARMOST_00112	7
ARMOST_00113	11
ARMOST_00114	11
ARMOST_00115	10
ARMOST_00116	12
ARMOST_00117	2
ARMOST_00118	9
ARMOST_00119	9
ARMOST_00120	9
ARMOST_00121	12
ARMOST_00122	12
ARMOST_00123	10
ARMOST_00125	1
ARMOST_00126	12
ARMOST_00127	12
ARMOST_00129	8
ARMOST_00130	9
ARMOST_00131	4
ARMOST_00132	3
ARMOST_00133	7
ARMOST_00134	10
ARMOST_00135	9
ARMOST_00136	7
ARMOST_00137	4
ARMOST_00138	2
ARMOST_00139	3
ARMOST_00140	11
ARMOST_00141	7
ARMOST_00142	1
ARMOST_00143	1
ARMOST_00144	7
ARMOST_00145	1
ARMOST_00146	1
ARMOST_00147	1
ARMOST_00148	12
ARMOST_00149	1
ARMOST_00150	1
ARMOST_00151	1
ARMOST_00152	1
ARMOST_00153	5
ARMOST_00154	7
ARMOST_00155	2
ARMOST_00156	12
ARMOST_00157	1
ARMOST_00158	2
ARMOST_00159	2
ARMOST_00160	1
ARMOST_00161	1
ARMOST_00162	12
ARMOST_00163	1
ARMOST_00165	1
ARMOST_00166	10
ARMOST_00167	5
ARMOST_00168	5
ARMOST_00169	1
ARMOST_00170	7
ARMOST_00171	1
ARMOST_00172	7
ARMOST_00173	12
ARMOST_00174	12
ARMOST_00175	7
ARMOST_00176	2
ARMOST_00177	3
ARMOST_00178	2
ARMOST_00179	5
ARMOST_00180	1
ARMOST_00181	1
ARMOST_00182	1
ARMOST_00183	1
ARMOST_00184	1
ARMOST_00185	11
ARMOST_00186	1
ARMOST_00187	11
ARMOST_00188	1
ARMOST_00189	7
ARMOST_00190	7
ARMOST_00191	12
ARMOST_00192	6
ARMOST_00193	1
ARMOST_00194	1
ARMOST_00195	1
ARMOST_00196	2
ARMOST_00197	3
ARMOST_00198	2
ARMOST_00199	1
ARMOST_00200	2
ARMOST_00201	1
ARMOST_00202	8
ARMOST_00203	7
ARMOST_00204	6
ARMOST_00205	12
ARMOST_00206	1
ARMOST_00207	7
ARMOST_00208	1
ARMOST_00209	1
ARMOST_00210	2
ARMOST_00211	2
ARMOST_00212	2
ARMOST_00213	1
ARMOST_00214	1
ARMOST_00215	7
ARMOST_00216	7
ARMOST_00217	1
ARMOST_00218	1
ARMOST_00219	1
ARMOST_00220	12
ARMOST_00221	1
ARMOST_00222	1
ARMOST_00223	1
ARMOST_00224	1
ARMOST_00225	10
ARMOST_00226	1
ARMOST_00227	1
ARMOST_00228	10
ARMOST_00229	1
ARMOST_00230	2
ARMOST_00231	2
ARMOST_00232	4
ARMOST_00233	10
ARMOST_00234	1
ARMOST_00235	1
ARMOST_00236	1
ARMOST_00237	1
ARMOST_00238	1
ARMOST_00239	3
ARMOST_00240	1
ARMOST_00241	2
ARMOST_00242	1
ARMOST_00243	7
ARMOST_00244	7
ARMOST_00245	2
ARMOST_00246	2
ARMOST_00247	10
ARMOST_00248	10
ARMOST_00249	7
ARMOST_00250	2
ARMOST_00251	2
ARMOST_00252	11
ARMOST_00253	2
ARMOST_00254	7
ARMOST_00255	10
ARMOST_00256	1
ARMOST_00257	1
ARMOST_00258	1
ARMOST_00259	11
ARMOST_00260	1
ARMOST_00261	7
ARMOST_00262	10
ARMOST_00263	7
ARMOST_00264	9
ARMOST_00265	1
ARMOST_00266	11
ARMOST_00267	1
ARMOST_00268	1
ARMOST_00269	2
ARMOST_00270	1
ARMOST_00271	1
ARMOST_00272	1
ARMOST_00273	12
ARMOST_00274	1
ARMOST_00275	2
ARMOST_00276	10
ARMOST_00277	3
ARMOST_00278	11
ARMOST_00279	1
ARMOST_00280	10
ARMOST_00281	1
ARMOST_00282	2
ARMOST_00283	7
ARMOST_00284	1
ARMOST_00285	1
ARMOST_00286	1
ARMOST_00287	1
ARMOST_00288	12
ARMOST_00290	12
ARMOST_00291	4
ARMOST_00292	3
ARMOST_00293	1
ARMOST_00294	12
ARMOST_00295	1
ARMOST_00296	3
ARMOST_00297	1
ARMOST_00298	2
ARMOST_00299	2
ARMOST_00300	1
ARMOST_00301	1
ARMOST_00302	1
ARMOST_00303	1
ARMOST_00304	7
ARMOST_00305	11
ARMOST_00306	10
ARMOST_00307	1
ARMOST_00308	3
ARMOST_00309	1
ARMOST_00310	2
ARMOST_00311	2
ARMOST_00312	3
ARMOST_00313	7
ARMOST_00314	1
ARMOST_00315	7
ARMOST_00316	9
ARMOST_00317	1
ARMOST_00318	1
ARMOST_00319	1
ARMOST_00320	1
ARMOST_00321	2
ARMOST_00322	1
ARMOST_00323	10
ARMOST_00324	4
ARMOST_00325	3
ARMOST_00326	1
ARMOST_00327	3
ARMOST_00328	7
ARMOST_00329	1
ARMOST_00330	1
ARMOST_00331	7
ARMOST_00332	7
ARMOST_00333	2
ARMOST_00334	1
ARMOST_00335	10
ARMOST_00336	11
ARMOST_00337	1
ARMOST_00338	9
ARMOST_00339	2
ARMOST_00340	2
ARMOST_00341	1
ARMOST_00342	1
ARMOST_00343	10
ARMOST_00344	1
ARMOST_00345	2
ARMOST_00346	1
ARMOST_00347	9
ARMOST_00348	1
ARMOST_00349	10
ARMOST_00350	5
ARMOST_00351	11
ARMOST_00352	10
ARMOST_00353	6
ARMOST_00354	2
ARMOST_00355	2
ARMOST_00356	1
ARMOST_00357	1
ARMOST_00358	1
ARMOST_00359	2
ARMOST_00360	1
ARMOST_00361	7
ARMOST_00362	11
ARMOST_00363	1
ARMOST_00364	3
ARMOST_00365	1
ARMOST_00366	11
ARMOST_00367	1
ARMOST_00368	12
ARMOST_00370	7
ARMOST_00371	1
ARMOST_00372	1
ARMOST_00373	3
ARMOST_00374	12
ARMOST_00375	12
ARMOST_00376	7
ARMOST_00377	1
ARMOST_00378	9
ARMOST_00379	10
ARMOST_00380	9
ARMOST_00381	9
ARMOST_00382	2
ARMOST_00383	2
ARMOST_00384	2
ARMOST_00385	6
ARMOST_00386	6
ARMOST_00387	12
ARMOST_00388	2
ARMOST_00389	3
ARMOST_00390	1
ARMOST_00391	1
ARMOST_00392	4
ARMOST_00393	12
ARMOST_00394	2
ARMOST_00395	5
ARMOST_00396	2
ARMOST_00397	1
ARMOST_00398	1
ARMOST_00399	1
ARMOST_00400	2
ARMOST_00401	1
ARMOST_00402	2
ARMOST_00403	1
ARMOST_00404	10
ARMOST_00405	4
ARMOST_00406	1
ARMOST_00407	1
ARMOST_00408	7
ARMOST_00409	1
ARMOST_00410	4
ARMOST_00411	2
ARMOST_00412	2
ARMOST_00413	2
ARMOST_00414	1
ARMOST_00415	1
ARMOST_00416	1
ARMOST_00417	2
ARMOST_00418	2
ARMOST_00419	12
ARMOST_00420	1
ARMOST_00421	9
ARMOST_00422	12
ARMOST_00423	1
ARMOST_00424	2
ARMOST_00425	2
ARMOST_00426	4
ARMOST_00427	5
ARMOST_00428	1
ARMOST_00429	1
ARMOST_00430	1
ARMOST_00431	1
ARMOST_00432	4
ARMOST_00433	1
ARMOST_00434	1
ARMOST_00435	2
ARMOST_00436	4
ARMOST_00437	1
ARMOST_00438	1
ARMOST_00439	12
