Gene	PS
FOYG_00001	1
FOYG_00002	1
FOYG_00003	1
FOYG_00004	6
FOYG_00005	6
FOYG_00006	1
FOYG_00007	1
FOYG_00008	1
FOYG_00009	12
FOYG_00010	1
FOYG_00011	2
FOYG_00012	2
FOYG_00013	6
FOYG_00014	6
FOYG_00015	1
FOYG_00016	1
FOYG_00017	2
FOYG_00018	4
FOYG_00019	1
FOYG_00020	1
FOYG_00021	1
FOYG_00022	3
FOYG_00023	1
FOYG_00024	1
FOYG_00025	6
FOYG_00026	6
FOYG_00027	1
FOYG_00028	6
FOYG_00029	3
FOYG_00030	2
FOYG_00031	6
FOYG_00032	12
FOYG_00033	2
FOYG_00034	4
FOYG_00035	1
FOYG_00036	4
FOYG_00037	1
FOYG_00038	1
FOYG_00039	3
FOYG_00040	6
FOYG_00041	12
FOYG_00042	1
FOYG_00043	1
FOYG_00044	1
FOYG_00045	7
FOYG_00046	12
FOYG_00047	1
FOYG_00048	6
FOYG_00049	10
FOYG_00050	1
FOYG_00051	1
FOYG_00052	6
FOYG_00053	1
FOYG_00054	1
FOYG_00055	3
FOYG_00056	1
FOYG_00057	1
FOYG_00058	1
FOYG_00059	4
FOYG_00060	1
FOYG_00061	1
FOYG_00062	1
FOYG_00063	1
FOYG_00064	1
FOYG_00065	2
FOYG_00066	1
FOYG_00067	1
FOYG_00068	2
FOYG_00069	1
FOYG_00070	1
FOYG_00071	6
FOYG_00072	1
FOYG_00073	1
FOYG_00074	1
FOYG_00075	6
FOYG_00076	1
FOYG_00077	4
FOYG_00078	2
FOYG_00079	1
FOYG_00080	2
FOYG_00082	1
FOYG_00083	1
FOYG_00084	1
FOYG_00085	1
FOYG_00086	1
FOYG_00087	1
FOYG_00088	1
FOYG_00089	2
FOYG_00090	3
FOYG_00091	9
FOYG_00092	7
FOYG_00093	1
FOYG_00094	1
FOYG_00095	1
FOYG_00096	1
FOYG_00097	1
FOYG_00098	1
FOYG_00099	7
FOYG_00100	1
FOYG_00101	6
FOYG_00102	3
FOYG_00103	5
FOYG_00104	1
FOYG_00105	1
FOYG_00106	1
FOYG_00107	11
FOYG_00108	2
FOYG_00109	1
FOYG_00110	1
FOYG_00111	1
FOYG_00112	1
FOYG_00113	1
FOYG_00114	1
FOYG_00115	1
FOYG_00116	1
FOYG_00117	1
FOYG_00118	6
FOYG_00119	1
FOYG_00120	4
FOYG_00121	1
FOYG_00122	1
FOYG_00123	1
FOYG_00124	10
FOYG_00125	1
FOYG_00126	1
FOYG_00127	1
FOYG_00128	6
FOYG_00129	11
FOYG_00130	1
FOYG_00131	1
FOYG_00132	3
FOYG_00133	3
FOYG_00134	1
FOYG_00135	1
FOYG_00136	2
FOYG_00137	1
FOYG_00138	2
FOYG_00139	10
FOYG_00140	11
FOYG_00141	6
FOYG_00142	1
FOYG_00143	1
FOYG_00144	1
FOYG_00145	2
FOYG_00146	1
FOYG_00147	1
FOYG_00148	1
FOYG_00149	6
FOYG_00150	4
FOYG_00151	1
FOYG_00152	1
FOYG_00153	1
FOYG_00154	4
FOYG_00155	3
FOYG_00156	1
FOYG_00157	1
FOYG_00158	4
FOYG_00159	3
FOYG_00160	1
FOYG_00161	2
FOYG_00162	1
FOYG_00163	1
FOYG_00164	2
FOYG_00165	11
FOYG_00166	1
FOYG_00167	1
FOYG_00168	1
FOYG_00169	1
FOYG_00170	1
FOYG_00171	6
FOYG_00172	4
FOYG_00173	1
FOYG_00174	6
FOYG_00175	3
FOYG_00176	1
FOYG_00177	1
FOYG_00178	1
FOYG_00179	1
FOYG_00180	1
FOYG_00181	2
FOYG_00182	1
FOYG_00183	1
FOYG_00184	6
FOYG_00185	4
FOYG_00186	2
FOYG_00187	1
FOYG_00188	1
FOYG_00189	11
FOYG_00190	1
FOYG_00191	1
FOYG_00192	1
FOYG_00193	1
FOYG_00194	1
FOYG_00195	1
FOYG_00196	1
FOYG_00197	1
FOYG_00198	6
FOYG_00199	1
FOYG_00200	6
FOYG_00201	1
FOYG_00202	6
FOYG_00203	1
FOYG_00204	3
FOYG_00205	1
FOYG_00206	3
FOYG_00207	3
FOYG_00208	1
FOYG_00209	1
FOYG_00210	10
FOYG_00211	7
FOYG_00212	2
FOYG_00213	11
FOYG_00215	6
FOYG_00216	8
FOYG_00217	2
FOYG_00218	11
FOYG_00219	11
FOYG_00220	11
FOYG_00221	11
FOYG_00222	11
FOYG_00223	6
FOYG_00224	1
FOYG_00225	11
FOYG_00226	9
FOYG_00227	11
FOYG_00228	11
FOYG_00229	11
FOYG_00230	6
FOYG_00231	9
FOYG_00232	10
FOYG_00233	11
FOYG_00234	11
FOYG_00235	11
FOYG_00236	10
FOYG_00237	1
FOYG_00238	1
FOYG_00239	1
FOYG_00240	1
FOYG_00241	1
FOYG_00242	2
FOYG_00243	1
FOYG_00244	1
FOYG_00245	1
FOYG_00246	1
FOYG_00247	1
FOYG_00248	12
FOYG_00249	6
FOYG_00250	1
FOYG_00251	1
FOYG_00252	12
FOYG_00253	6
FOYG_00254	1
FOYG_00255	1
FOYG_00256	7
FOYG_00257	1
FOYG_00258	1
FOYG_00259	1
FOYG_00260	2
FOYG_00261	1
FOYG_00262	3
FOYG_00263	1
FOYG_00264	11
FOYG_00265	1
FOYG_00266	1
FOYG_00267	1
FOYG_00268	1
FOYG_00269	2
FOYG_00270	2
FOYG_00271	1
FOYG_00272	7
FOYG_00273	3
FOYG_00274	6
FOYG_00275	11
FOYG_00276	6
FOYG_00277	10
FOYG_00278	6
FOYG_00279	2
FOYG_00280	11
FOYG_00281	1
FOYG_00282	1
FOYG_00283	1
FOYG_00284	1
FOYG_00285	3
FOYG_00286	1
FOYG_00287	1
FOYG_00288	4
FOYG_00289	1
FOYG_00290	7
FOYG_00291	1
FOYG_00292	1
FOYG_00293	3
FOYG_00294	1
FOYG_00295	8
FOYG_00296	1
FOYG_00297	12
FOYG_00298	12
FOYG_00299	12
FOYG_00300	1
FOYG_00301	1
FOYG_00302	1
FOYG_00303	1
FOYG_00304	6
FOYG_00305	11
FOYG_00306	11
FOYG_00307	7
FOYG_00308	2
FOYG_00309	2
FOYG_00310	2
FOYG_00311	1
FOYG_00312	2
FOYG_00313	1
FOYG_00314	1
FOYG_00315	1
FOYG_00316	1
FOYG_00317	1
FOYG_00318	1
FOYG_00319	11
FOYG_00320	2
FOYG_00321	1
FOYG_00322	11
FOYG_00323	2
FOYG_00324	1
FOYG_00325	10
FOYG_00326	1
FOYG_00327	2
FOYG_00328	1
FOYG_00329	1
FOYG_00330	11
FOYG_00331	10
FOYG_00332	1
FOYG_00333	6
FOYG_00334	1
FOYG_00335	1
FOYG_00336	2
FOYG_00337	1
FOYG_00338	2
FOYG_00339	2
FOYG_00340	1
FOYG_00341	1
FOYG_00342	1
FOYG_00343	12
FOYG_00344	1
FOYG_00345	1
FOYG_00346	1
FOYG_00347	1
FOYG_00348	1
FOYG_00349	1
FOYG_00350	1
FOYG_00351	11
FOYG_00352	6
FOYG_00353	1
FOYG_00354	1
FOYG_00355	3
FOYG_00356	11
FOYG_00357	1
FOYG_00358	1
