query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
SJK96756.1	PBK66579.1	0.145451	0.89967	0.161671	YN	83.636	138	165	27	0	0	154	93.33	630	794	932	18	18	1	165	191	3.43e-94	294	753	SJK96756.1
SJK96763.1	PBK70191.1	0.11069	0.274254	0.403604	YN	76.109	223	293	49	5	21	241	82.25	1	293	293	100	100	1	272	272	2.4e-149	418	1075	SJK96763.1
SJK96782.1	PBK70201.1	0.0165799	0.166865	0.0993614	YN	96.833	214	221	7	0	0	217	98.19	1	221	221	100	100	1	221	221	3.78e-69	210	534	SJK96782.1
SJK96790.1	PBK70211.1	0.0140764	0.0487341	0.28884	YN	97.143	68	70	2	0	0	69	98.57	1	70	70	100	100	1	70	70	5.64e-44	135	339	SJK96790.1
SJK96791.1	PBK70212.1	0.0293072	0.0489382	0.598862	YN	93.774	1220	1301	74	3	7	1241	95.39	1	1298	1298	100	100	1	1297	1297	0	2482	6432	SJK96791.1
SJK96792.1	PBK70214.1	0.017496	0.0638494	0.274021	YN	96.429	54	56	2	0	0	54	96.43	1	56	56	100	100	97	152	152	9.36e-33	108	270	SJK96792.1
SJK96793.1	PBK70215.1	0.0205085	0.108703	0.188665	YN	96.296	520	540	20	0	0	527	97.59	1	540	540	100	100	1	540	540	0	1076	2783	SJK96793.1
SJK96798.1	PBK70220.1	0.282055	0.233691	1.20696	YN	76.744	33	43	10	0	0	36	83.72	1	43	49	88	88	1	43	81	5.51e-17	66.2	160	SJK96798.1
SJK96799.1	PBK70221.1	0.0327579	0.0730499	0.448432	YN	98.529	201	204	3	0	0	203	99.51	229	432	1176	17	17	9	212	212	3.14e-136	411	1056	SJK96799.1
SJK96801.1	PBK70222.1	0.0273912	0.0929509	0.294684	YN	94.118	208	221	13	0	0	215	97.29	1	221	221	100	100	74	294	294	2.87e-156	434	1115	SJK96801.1
SJK96802.1	PBK70223.1	0.170643	0.377391	0.452165	YN	95.031	153	161	8	0	0	157	97.52	1	161	253	64	64	1	161	224	6.22e-113	322	826	SJK96802.1
SJK96805.1	PBK70225.1	0.111283	0.241511	0.46078	YN	88.312	408	462	25	4	29	416	90.04	237	698	700	66	66	97	529	535	0	815	2106	SJK96805.1
SJK96806.1	PBK70226.1	0.0133799	0.0686222	0.194979	YN	92.857	208	224	6	1	10	210	93.75	43	266	266	84	84	1	214	214	4.41e-155	429	1104	SJK96806.1
SJK96810.1	PBK70227.1	0.0029872	0.0125544	0.23794	YN	99.342	302	304	2	0	0	302	99.34	71	374	386	79	79	1	304	304	0	607	1566	SJK96810.1
SJK96812.1	PBK70229.1	0.0191609	0.0798522	0.239954	YN	96.057	268	279	11	0	0	271	97.13	1	279	413	68	68	1	279	280	0	562	1449	SJK96812.1
SJK96815.1	PBK70230.1	0.149581	0.140109	1.0676	YN	55.673	211	379	98	7	70	235	62.01	1	313	331	95	95	1	375	396	4.83e-127	368	945	SJK96815.1
SJK96816.1	PBK70232.1	0.00644256	0.10949	0.0588415	YN	98.701	152	154	2	0	0	153	99.35	1	154	209	74	74	1	154	155	1.92e-99	284	726	SJK96816.1
SJK96818.1	PBK70233.1	0.0789932	0.130831	0.60378	YN	85.859	170	198	10	1	18	174	87.88	22	201	246	73	73	2	199	214	8.51e-122	344	883	SJK96818.1
SJK96819.1	PBK70234.1	0.0526737	0.217883	0.241753	YN	87.245	814	933	88	6	31	843	90.35	1	921	922	99	99	1	914	925	0	1546	4004	SJK96819.1
SJK96820.1	PBK70235.1	0.0105805	0.0561712	0.188362	YN	97.773	439	449	10	0	0	443	98.66	29	477	477	94	94	1	449	449	0	899	2323	SJK96820.1
SJK96821.1	PBK70236.1	0.0157405	0.0553158	0.284557	YN	98.175	807	822	15	0	0	810	98.54	51	872	872	94	94	13	834	834	0	1678	4345	SJK96821.1
SJK96824.1	PBK70238.1	0.0288878	0.0467063	0.618499	YN	95.494	445	466	21	0	0	449	96.35	68	533	533	87	87	1	466	466	0	921	2381	SJK96824.1
SJK96825.1	PBK70239.1	0.0203722	0.0356204	0.571926	YN	90.365	272	301	9	1	20	276	91.69	1	301	322	93	93	24	304	319	0	558	1437	SJK96825.1
SJK96826.1	PBK70240.1	0.00653871	0.0162097	0.403381	YN	98.433	377	383	5	1	1	379	98.96	1	383	383	100	100	1	382	382	0	768	1982	SJK96826.1
SJK96827.1	PBK70241.1	0.0353039	0.0898381	0.392973	YN	97.778	484	495	11	0	0	488	98.59	44	538	538	92	92	41	535	535	0	1002	2590	SJK96827.1
SJK96829.1	PBK70243.1	0.0263402	0.0783952	0.335992	YN	88.259	218	247	20	1	9	224	90.69	179	425	425	58	58	171	408	408	9.38e-149	427	1099	SJK96829.1
SJK96830.1	PBK70244.1	0.0108428	0.0341703	0.317316	YN	97.661	334	342	5	1	3	336	98.25	1	339	339	100	100	1	342	342	0	683	1763	SJK96830.1
SJK96831.1	PBK70245.1	0.0221166	0.246298	0.0897959	YN	94.516	879	930	36	1	15	894	96.13	1	930	930	100	100	1	915	915	0	1741	4509	SJK96831.1
SJK96832.1	PBK70246.1	0.0297444	0.0628202	0.473484	YN	93.004	226	243	14	1	3	231	95.06	1	240	240	100	100	1	243	243	1.05e-153	426	1095	SJK96832.1
SJK96833.1	PBK70247.1	0.0418634	0.0821564	0.509558	YN	99.172	479	483	4	0	0	480	99.38	1	483	634	76	76	1	483	526	0	982	2538	SJK96833.1
SJK96834.1	PBK70249.1	0.00269069	0.0685401	0.0392571	YN	99.424	345	347	2	0	0	347	100	1	347	347	100	100	1	347	347	0	698	1802	SJK96834.1
SJK96836.1	PBK70250.1	0.0042233	0.0915974	0.0461072	YN	99.113	447	451	4	0	0	448	99.33	1	451	451	100	100	1	451	451	0	908	2347	SJK96836.1
SJK96840.1	PBK70254.1	0.0287629	0.0360736	0.79734	YN	97.985	389	397	8	0	0	390	98.24	1	397	412	96	96	1	397	406	0	791	2043	SJK96840.1
SJK96841.1	PBK70258.1	0.0608682	0.104016	0.585181	YN	93.004	226	243	9	1	8	229	94.24	1	243	254	96	96	1	235	273	1.16e-169	468	1204	SJK96841.1
SJK96842.1	PBK67995.1	0.0187978	0.0327335	0.574268	YN	94.672	231	244	11	1	2	232	95.08	393	636	825	30	30	1	242	243	2.79e-101	312	800	SJK96842.1
SJK96843.1	PBK67993.1	0.242598	0.627748	0.386458	YN	94.872	111	117	5	1	1	112	95.73	1	117	258	45	45	1	116	214	3.96e-71	216	551	SJK96843.1
SJK96844.1	PBK70259.1	0.0669256	0.134416	0.497901	YN	86.207	150	174	21	1	3	160	91.95	1	174	177	98	98	73	243	361	6.2e-108	311	798	SJK96844.1
SJK96846.1	PBK70273.1	0.00961165	0.300779	0.0319559	YN	97.925	236	241	5	0	0	237	98.34	1	241	241	100	100	1	241	241	0	494	1272	SJK96846.1
SJK96849.1	PBK70262.1	0.02438	0.0400761	0.608344	YN	92.652	517	558	22	2	19	524	93.91	1	558	558	100	100	1	539	539	0	1056	2731	SJK96849.1
SJK96850.1	PBK70263.1	0.00222112	0.0135344	0.164109	YN	99.502	200	201	1	0	0	200	99.5	131	331	331	61	61	1	201	201	2.63e-147	412	1058	SJK96850.1
SJK96851.1	PBK70264.1	NA	NA	NA	YN	100	71	71	0	0	0	71	100	1	71	71	100	100	1	71	71	1.5e-49	149	375	SJK96851.1
SJK96852.1	PBK70265.1	0.000886942	0.0444651	0.0199469	YN	96.25	539	560	1	1	20	539	96.25	1	560	560	100	100	1	540	540	0	1089	2816	SJK96852.1
SJK96853.1	PBK70266.1	0.00267919	0.0228993	0.116999	YN	99.458	917	922	5	0	0	919	99.67	1	922	922	100	100	1	922	922	0	1849	4789	SJK96853.1
SJK96854.1	PBK70267.1	0.0172864	0.0712376	0.242658	YN	97.959	144	147	3	0	0	145	98.64	1	147	147	100	100	1	147	147	7.81e-102	287	734	SJK96854.1
