query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
EIE75302.1	RUP48088.1	0.276914	4.7257	0.0585976	YN	57.396	485	845	269	9	91	608	71.95	31	789	789	96	96	57	896	896	0	945	2442	RO3G_00006
EIE75303.1	RUP45585.1	0.458177	4.04835	0.113176	YN	48.276	126	261	92	9	43	160	61.3	1	237	346	68	68	1	242	394	7.42e-70	222	565	RO3G_00007
EIE75304.1	RUP51859.1	0.326752	99	0.00330052	YN	43.548	54	124	24	1	46	62	50	1	78	270	29	29	1	124	162	3.65e-25	96.7	239	RO3G_00008
EIE75307.1	RUP49511.1	1.00842	3.92228	0.2571	YN	30.556	55	180	100	5	25	81	45	99	263	483	34	34	76	245	245	5.08e-15	73.2	178	RO3G_00011
EIE75315.1	RUP45062.1	0.304449	4.36502	0.0697475	YN	57.928	274	473	176	8	23	336	71.04	1	472	472	100	100	32	482	482	0	514	1325	RO3G_00019
EIE75316.1	RUP49640.1	0.399556	99	0.00403592	YN	49.091	54	110	42	3	14	68	61.82	46	141	141	68	68	11	120	120	4.76e-27	96.3	238	RO3G_00020
EIE75317.1	RUP43598.1	0.764114	3.6522	0.20922	YN	32.796	61	186	120	3	5	100	53.76	16	197	197	92	92	4	188	188	5.25e-31	110	275	RO3G_00021
EIE75320.1	RUP22373.1	0.158691	99	0.00160294	YN	76.744	231	301	70	0	0	273	90.7	71	371	371	81	81	1	301	301	0	502	1293	RO3G_00024
EIE75326.1	RUP44522.1	0.324062	4.45706	0.0727074	YN	54.167	286	528	174	6	68	363	68.75	9	473	501	93	93	17	539	624	0	582	1501	RO3G_00030
EIE75332.1	RUP50583.1	0.807277	3.62166	0.222903	YN	36.508	23	63	38	1	2	36	57.14	100	160	171	36	36	257	319	352	3.62e-06	44.3	103	RO3G_00036
EIE75338.1	RUP47443.1	0.362382	3.22806	0.11226	YN	65.979	64	97	33	0	0	76	78.35	1	97	161	60	60	57	153	173	5.67e-41	134	336	RO3G_00042
EIE75345.1	RUP48595.1	0.851168	4.00335	0.212614	YN	31.176	53	170	110	4	7	92	54.12	141	308	367	46	46	132	296	531	2.38e-18	84.7	208	RO3G_00049
EIE75351.1	RUO96744.1	0.595902	4.43467	0.134374	YN	53.846	126	234	71	2	37	158	67.52	164	361	565	35	35	286	518	829	5.16e-76	256	653	RO3G_00055
EIE75356.1	RUP52406.1	0.525073	3.52024	0.149159	YN	52.381	55	105	50	0	0	80	76.19	36	140	148	71	71	61	165	353	2.78e-31	113	282	RO3G_00060
EIE75359.1	RUP48789.1	0.696736	3.44883	0.202021	YN	48.913	45	92	47	0	0	63	68.48	28	119	135	68	68	73	164	262	4.43e-27	99.8	247	RO3G_00063
EIE75363.1	RUP42699.1	0.722507	2.78251	0.25966	YN	38.889	21	54	32	1	1	33	61.11	11	64	108	50	50	27	79	80	7.35e-08	44.7	104	RO3G_00067
EIE75370.1	RUP48702.1	0.512908	4.50411	0.113875	YN	40.204	158	393	139	7	96	205	52.16	92	389	568	68	52	287	678	978	1.18e-87	290	741	RO3G_00074
EIE75374.1	RUP48971.1	0.487641	4.09062	0.119209	YN	41.159	142	345	173	7	30	210	60.87	1	325	338	96	96	1	335	338	5.96e-88	266	680	RO3G_00078
EIE75375.1	RUO96466.1	0.407669	4.55758	0.0894484	YN	56.322	294	522	211	3	17	373	71.46	104	613	701	73	73	15	531	790	0	607	1566	RO3G_00079
EIE75376.1	RUP46292.1	0.326716	4.26701	0.0765678	YN	58.486	224	383	139	3	20	274	71.54	2	384	422	91	91	90	452	529	7.58e-156	449	1155	RO3G_00080
EIE75378.1	RUP42781.1	0.466118	4.26936	0.109178	YN	48.43	216	446	221	3	9	293	65.7	165	603	605	73	73	17	460	462	8.19e-143	421	1081	RO3G_00082
EIE75388.1	RUO96783.1	0.43141	3.97857	0.108433	YN	42.975	156	363	174	5	33	208	57.3	2	345	361	95	95	203	551	561	1.27e-89	278	711	RO3G_00092
EIE75393.1	RUP46687.1	0.85509	3.32307	0.257319	YN	35.714	30	84	50	2	4	42	50	3	86	139	60	60	4	83	151	1.43e-07	46.2	108	RO3G_00097
EIE75394.1	RUP51512.1	0.385839	4.30606	0.0896036	YN	52.196	202	387	148	6	37	269	69.51	25	377	435	81	81	151	534	679	5.78e-130	389	998	RO3G_00098
EIE75395.1	RUO96737.1	0.332935	4.38317	0.0759575	YN	45.614	260	570	206	16	104	345	60.53	1	481	503	96	96	14	568	672	7.04e-162	473	1217	RO3G_00099
EIE75396.1	RUP48586.1	0.624755	4.03721	0.154749	YN	39.091	86	220	131	2	3	132	60	186	404	456	48	48	3	220	510	1.53e-48	172	435	RO3G_00100
EIE75401.1	RUP27695.1	0.501034	5.13989	0.0974796	YN	39.423	574	1456	712	36	170	848	58.24	985	2363	2380	58	58	1	1363	1373	0	989	2558	RO3G_00105
EIE75402.1	RUP44958.1	0.704351	3.56446	0.197604	YN	32.973	61	185	113	3	11	96	51.89	2	186	190	97	97	27	200	203	2.91e-28	103	257	RO3G_00106
EIE75404.1	RUP44255.1	0.342769	99	0.00346232	YN	60.043	278	463	157	3	28	357	77.11	354	788	791	55	55	85	547	572	0	603	1554	RO3G_00108
EIE75413.1	RUP52118.1	0.390496	3.79983	0.102766	YN	42	105	250	100	5	45	142	56.8	2	208	212	98	98	19	266	855	9.29e-55	185	469	RO3G_00117
EIE75415.1	RUO96318.1	0.324277	4.29113	0.0755692	YN	56.364	217	385	147	1	21	297	77.14	172	556	595	65	65	1	364	390	4.43e-163	469	1207	RO3G_00119
EIE75417.1	RUP47246.1	0.133044	4.46354	0.0298068	YN	79.421	494	622	116	4	12	541	86.98	86	699	699	88	88	1	618	618	0	908	2347	RO3G_00121
EIE75418.1	RUO95889.1	0.447937	99	0.00452461	YN	48.284	197	408	197	8	14	273	66.91	15	415	416	96	96	68	468	608	6.89e-126	375	963	RO3G_00122
EIE75420.1	RUP43551.1	0.733026	3.97362	0.184473	YN	25.243	52	206	141	4	13	99	48.06	24	220	281	70	70	293	494	771	2.92e-16	77	188	RO3G_00124
EIE75421.1	RUP49287.1	0.64209	3.1277	0.205292	YN	36.408	75	206	108	4	23	107	51.94	11	214	460	44	44	11	195	196	8.75e-32	119	297	RO3G_00125
EIE75424.1	RUP18180.1	0.463446	3.64748	0.127059	YN	49.138	57	116	39	3	20	70	60.34	76	172	184	53	53	167	281	466	3.04e-27	105	261	RO3G_00128
EIE75449.1	RUP46032.1	0.66232	4.00873	0.16522	YN	30.027	112	373	185	15	76	177	47.45	19	372	375	94	94	3	318	364	4.14e-24	100	249	RO3G_00153
EIE75450.1	RUP48827.1	0.521027	4.57717	0.113832	YN	44.068	260	590	296	8	34	364	61.69	15	588	597	96	96	9	580	623	1.43e-148	441	1133	RO3G_00154
EIE75457.1	RUP48270.1	0.629997	3.78234	0.166563	YN	31.25	65	208	102	4	41	97	46.63	28	194	243	69	69	19	226	240	1.18e-24	96.7	239	RO3G_00161
EIE75458.1	RUO96809.1	0.504069	99	0.0050916	YN	39.227	142	362	146	10	74	186	51.38	46	336	444	66	66	15	373	521	1.47e-63	212	539	RO3G_00162
EIE75459.1	RUP50248.1	0.338754	99	0.00342176	YN	52.903	82	155	52	5	21	95	61.29	39	173	210	64	64	55	208	213	5.19e-48	155	391	RO3G_00163
EIE75462.1	RUP49527.1	0.568747	3.57658	0.15902	YN	55.556	55	99	36	2	8	69	69.7	41	131	178	51	51	47	145	206	1.21e-28	103	258	RO3G_00166
EIE75464.1	RUP47134.1	0.392839	99	0.00396807	YN	63.587	117	184	56	1	11	136	73.91	3	186	562	99	33	4	176	644	7.76e-76	251	641	RO3G_00168
EIE75465.1	RUP44757.1	0.477235	4.20091	0.113603	YN	40.92	178	435	193	13	64	249	57.24	23	406	406	95	95	313	734	734	1.88e-90	286	733	RO3G_00169
EIE75469.1	RUO95558.1	0.198735	3.92439	0.050641	YN	73.171	120	164	40	2	4	135	82.32	4	164	203	79	79	35	197	257	3.24e-78	233	594	RO3G_00173
EIE75473.1	RUP45183.1	0.192141	4.31986	0.0444786	YN	72.038	304	422	117	1	1	353	83.65	3	424	498	85	85	629	1049	1050	0	649	1673	RO3G_00177
EIE75475.1	RUP51078.1	0.0719526	4.01779	0.0179085	YN	86.508	109	126	17	0	0	118	93.65	42	167	207	68	61	140	265	273	3.15e-75	226	576	RO3G_00179
EIE75476.1	RUP45697.1	0.406026	4.75052	0.0854699	YN	46.092	401	870	342	19	127	516	59.31	10	762	811	93	93	29	888	1024	0	692	1785	RO3G_00180
EIE75478.1	RUP48109.1	0.273106	99	0.00275865	YN	59.925	160	267	69	3	38	191	71.54	1	229	252	91	91	1	267	351	1.92e-111	323	827	RO3G_00182
EIE75482.1	RUP46765.1	0.414935	99	0.00419127	YN	58.091	140	241	91	3	10	175	72.61	46	277	326	71	71	19	258	277	2.01e-94	280	716	RO3G_00186
EIE75485.1	RUP50685.1	0.54713	4.07147	0.134381	YN	34.184	134	392	160	11	98	185	47.19	1	307	322	95	95	184	562	579	3.09e-54	184	468	RO3G_00189
EIE75487.1	RUP45029.1	0.326629	4.30904	0.0758009	YN	58.495	241	412	163	4	8	309	75	63	469	472	86	86	8	416	421	3.76e-164	468	1205	RO3G_00191
EIE75488.1	RUP44791.1	0.117511	99	0.00118698	YN	78.296	671	857	152	3	34	747	87.16	330	1152	1153	71	71	1	857	923	0	1425	3690	RO3G_00192
EIE75489.1	RUP50997.1	0.127565	4.70851	0.0270924	YN	74.374	624	839	145	9	70	688	82	5	776	776	99	99	9	844	844	0	1258	3255	RO3G_00193
EIE75491.1	RUP49233.1	0.3166	4.3651	0.0725299	YN	57.806	274	474	174	4	26	351	74.05	10	457	457	98	98	25	498	498	0	579	1493	RO3G_00195
EIE75492.1	RUO96059.1	0.178264	4.08327	0.0436573	YN	77.812	256	329	71	1	2	287	87.23	203	529	563	58	58	1	329	483	0	540	1391	RO3G_00196
EIE75494.1	RUP50783.1	0.211168	4.09043	0.0516248	YN	69.231	234	338	95	3	9	280	82.84	9	338	338	98	98	4	340	340	3.08e-166	465	1196	RO3G_00198
EIE75495.1	RUP44461.1	0.19816	4.20524	0.0471222	YN	69.189	256	370	93	5	21	298	80.54	1	353	420	84	84	17	382	390	0	508	1308	RO3G_00199
EIE75509.1	RUP45551.1	0.184775	4.3054	0.042917	YN	71.122	298	419	105	1	16	351	83.77	358	760	760	53	53	1	419	419	0	612	1577	RO3G_00213
EIE75514.1	RUP43219.1	0.513332	99	0.00518517	YN	34.524	29	84	36	1	19	42	50	4	68	92	71	71	542	625	753	1.92e-10	53.9	128	RO3G_00218
EIE75515.1	RUP49743.1	0.643567	4.88774	0.13167	YN	34.009	235	691	354	14	102	355	51.37	347	949	954	94	63	867	1543	2583	2.6e-112	380	976	RO3G_00219
EIE75518.1	RUP48492.1	0.416267	4.07479	0.102157	YN	42.184	170	403	158	6	75	234	58.06	8	356	356	98	98	3	384	384	8.29e-99	296	758	RO3G_00222
EIE75523.1	RUP22030.1	0.381145	3.97646	0.0958503	YN	57.525	172	299	109	1	18	206	68.9	8	288	292	96	96	5	303	543	1.03e-111	332	850	RO3G_00227
EIE75524.1	RUP51503.1	0.655157	4.3732	0.149812	YN	30.451	162	532	267	17	103	258	48.5	35	505	571	82	82	43	532	590	1.55e-63	217	553	RO3G_00228
EIE75528.1	RUP49125.1	0.855671	3.83961	0.222854	YN	33.333	33	99	65	1	1	55	55.56	1	98	183	54	54	1	99	210	7.52e-13	62.8	151	RO3G_00232
EIE75529.1	RUP48391.1	0.394616	3.40511	0.115889	YN	45.528	56	123	51	2	16	79	64.23	1	109	205	53	53	1	121	123	7.5e-33	113	282	RO3G_00233
EIE75530.1	RUP43510.1	0.754693	4.16773	0.18108	YN	23.765	77	324	153	10	94	141	43.52	139	373	433	54	54	99	417	535	1.39e-18	86.3	212	RO3G_00234
EIE75558.1	RUP48608.1	0.451323	4.49588	0.100386	YN	43.551	260	597	254	9	83	371	62.14	117	645	974	54	54	1	582	632	1.33e-164	495	1274	RO3G_00262
EIE75559.1	RUP52024.1	0.589338	1.49645	0.393824	YN	45.07	32	71	38	1	1	45	63.38	19	89	91	78	78	24	93	209	3.48e-17	71.2	173	RO3G_00263
EIE75560.1	RUP47087.1	0.374856	2.83119	0.132402	YN	58.94	89	151	56	2	6	106	70.2	2	147	147	99	99	63	212	212	7.13e-45	144	364	RO3G_00264
EIE75561.1	RUP51102.1	0.63555	3.35	0.189717	YN	38.053	43	113	54	4	16	58	51.33	17	129	129	88	88	196	292	292	2.89e-14	65.9	159	RO3G_00265
EIE75563.1	RUP42940.1	0.183358	4.81273	0.0380986	YN	70.611	728	1031	254	3	49	841	81.57	1	983	984	99	99	1	1030	1048	0	1511	3911	RO3G_00267
EIE75569.1	RUP48219.1	0.902248	4.15763	0.21701	YN	24.528	91	371	265	7	15	167	45.01	6	367	369	98	98	5	369	372	3.53e-31	120	300	RO3G_00273
EIE75573.1	RUO95755.1	0.566428	4.4767	0.126528	YN	37.238	213	572	309	18	50	313	54.72	20	551	1045	51	51	22	583	584	5.26e-101	328	841	RO3G_00277
EIE75574.1	RUP02212.1	0.631566	3.31286	0.190641	YN	35	35	100	42	4	23	53	53	1	97	182	53	53	1	80	156	5.58e-09	51.2	121	RO3G_00278
EIE75600.1	RUP48866.1	0.688662	3.48341	0.197698	YN	32.374	45	139	83	3	11	72	51.8	67	196	206	63	63	21	157	179	2.13e-13	64.3	155	RO3G_00304
