query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
KAG2001451.1	fgenesh1_kg.109	0.486928	2.45802	0.198098	YN	41.957	193	460	212	12	55	270	58.7	480	888	911	73	45	591	1046	1076	7.13e-103	343	880	CC2G_006744
KAG2001553.1	estExt_Genemark	0.428637	3.14886	0.136124	YN	46	46	100	47	3	7	66	66	10	103	110	85	85	14	112	128	9.19e-21	79.3	194	CC2G_006690
KAG2001564.1	fgenesh1_kg.62_	0.150819	4.0874	0.0368986	YN	76.737	254	331	76	1	1	291	87.92	1	330	333	99	99	5	335	342	0	533	1373	CC2G_006701
KAG2001566.1	fgenesh1_kg.105	0.159828	1.94365	0.0822308	YN	76.471	91	119	24	1	4	104	87.39	7	125	125	95	95	6	120	120	1.73e-63	187	476	CC2G_006703
KAG2001568.1	fgenesh1_kg.105	0.142598	3.07117	0.0464312	YN	74.747	74	99	25	0	0	92	92.93	5	103	103	96	96	2	100	100	1.14e-55	166	421	CC2G_006705
KAG2001578.1	fgenesh1_kg.105	0.222441	4.17905	0.0532276	YN	62.983	228	362	106	7	28	265	73.2	7	345	601	70	56	8	364	479	1.25e-146	431	1108	CC2G_006714
KAG2001579.1	fgenesh1_kg.105	0.124712	1.86349	0.0669238	YN	82.034	242	295	52	1	1	268	90.85	1	295	295	100	100	1	294	294	0	500	1288	CC2G_006715
KAG2001581.1	estExt_Genewise	0.237251	4.66235	0.0508866	YN	61.808	458	741	247	9	36	564	76.11	7	738	745	98	98	4	717	801	0	916	2368	CC2G_006716
KAG2001801.1	estExt_fgenesh1	0.236309	4.26389	0.055421	YN	70.543	273	387	113	1	1	324	83.72	53	439	439	88	88	24	409	409	0	583	1502	CC2G_004930
KAG2001803.1	fgenesh1_kg.1_#	0.346412	2.73294	0.126754	YN	56.158	228	406	154	7	24	290	71.43	21	404	430	89	89	13	416	436	3.72e-150	432	1110	CC2G_004932
KAG2001804.1	estExt_fgenesh1	0.221951	5.43985	0.040801	YN	63.099	1250	1981	609	29	122	1509	76.17	1	1914	1914	100	100	1	1926	1926	0	2186	5665	CC2G_004933
KAG2001805.1	estExt_fgenesh1	0.0267363	2.70693	0.00987699	YN	95.161	118	124	4	2	2	120	96.77	1	122	122	100	100	1	124	124	1.23e-80	231	589	CC2G_004934
KAG2001807.1	fgenesh1_kg.68_	0.240953	2.20643	0.109205	YN	66.176	180	272	79	3	13	211	77.57	1	259	286	91	91	81	352	382	4.56e-116	337	865	CC2G_004936
KAG2001810.1	CE18072_2738	0.39113	2.7748	0.140958	YN	49.708	170	342	164	5	8	227	66.37	2	336	340	99	99	3	343	489	3.14e-105	315	808	CC2G_004939
KAG2001812.1	fgenesh1_kg.1_#	0.0721972	2.91135	0.0247986	YN	87.075	896	1029	129	3	4	965	93.78	1	1027	1027	100	100	1	1027	1027	0	1854	4802	CC2G_004941
KAG2001816.1	fgenesh1_kg.1_#	0.168633	3.07652	0.0548128	YN	74.444	67	90	22	1	1	79	87.78	1	90	97	93	93	1	89	94	8.33e-49	149	375	CC2G_004945
KAG2001817.1	CE18173_781	0.248622	1.86461	0.133337	YN	57.966	171	295	111	3	13	211	71.53	1	295	295	100	100	1	282	282	4.92e-115	331	849	CC2G_004946
KAG2001818.1	fgenesh1_kg.1_#	0.28896	1.82325	0.158487	YN	59.331	213	359	139	3	7	273	76.04	1	358	360	99	99	1	353	355	3.1e-158	446	1148	CC2G_004947
KAG2001821.1	fgenesh1_kg.1_#	0.209472	1.6228	0.12908	YN	67.34	567	842	227	14	48	644	76.48	1	835	847	99	99	1	801	805	0	1083	2801	CC2G_004950
KAG2001826.1	fgenesh1_kg.1_#	0.0482411	3.95317	0.0122031	YN	90.503	324	358	34	0	0	342	95.53	1	358	358	100	100	1	358	358	0	681	1758	CC2G_004955
KAG2001828.1	fgenesh1_kg.1_#	0.070102	3.82062	0.0183483	YN	86.636	188	217	29	0	0	205	94.47	54	270	270	80	80	1	217	217	1.13e-141	395	1015	CC2G_004957
KAG2001829.1	fgenesh1_kg.1_#	0.09469	2.16812	0.0436738	YN	79.435	506	637	88	10	43	541	84.93	1	622	634	98	98	1	609	611	0	921	2381	CC2G_004958
KAG2001831.1	CE22620_4475	0.185637	2.64182	0.0702684	YN	67.302	247	367	98	9	22	287	78.2	1	356	356	100	100	1	356	356	2.05e-147	419	1077	CC2G_004960
