query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
CAA7257294.1	KAF4616703.1	0.487417	2.29113	0.212741	YN	39.074	329	842	330	30	183	429	50.95	27	805	805	97	97	12	733	733	7.74e-102	330	845	CAA7257294.1
CAA7257296.1	KAF4622022.1	0.340828	2.72636	0.125012	YN	59.615	217	364	132	5	15	276	75.82	48	396	418	83	83	89	452	1148	1.29e-150	455	1170	CAA7257296.1
CAA7257297.1	KAF4616461.1	0.347106	4.23067	0.0820452	YN	55.181	229	415	161	7	25	281	67.71	38	433	434	91	91	13	421	424	1.62e-158	453	1165	CAA7257297.1
CAA7257299.1	KAF4616487.1	0.140471	4.25108	0.0330437	YN	80.495	293	364	66	2	5	324	89.01	1	361	402	90	90	1	362	394	0	600	1546	CAA7257299.1
CAA7257300.1	KAF4616482.1	0.199253	4.29445	0.0463977	YN	72.043	268	372	102	2	2	323	86.83	7	377	384	97	97	6	376	384	0	573	1478	CAA7257300.1
CAA7257301.1	KAF4616280.1	0.0466132	4.11375	0.0113311	YN	90.687	409	451	42	0	0	438	97.12	1	451	451	100	100	1	451	451	0	841	2173	CAA7257301.1
CAA7257302.1	KAF4616506.1	0.365649	4.69268	0.077919	YN	46.229	331	716	224	27	161	402	56.15	25	618	663	90	90	419	1095	1133	1.01e-134	422	1085	CAA7257302.1
CAA7257303.1	KAF4616504.1	0.282123	2.66962	0.105679	YN	59.603	571	958	338	18	49	683	71.29	43	987	990	95	95	1	922	927	0	1038	2683	CAA7257303.1
CAA7257304.1	KAF4616567.1	0.154253	3.88338	0.0397213	YN	76.991	174	226	52	0	0	191	84.51	1	226	227	99	99	1	226	228	7.23e-128	359	922	CAA7257304.1
CAA7257307.1	KAF4616488.1	0.08038	4.75566	0.016902	YN	83.801	657	784	104	7	23	699	89.16	1	769	769	100	100	20	795	795	0	1325	3429	CAA7257307.1
CAA7257309.1	KAF4616568.1	0.138414	2.97131	0.0465834	YN	77.907	469	602	125	5	8	524	87.04	22	616	616	97	97	26	626	626	0	912	2358	CAA7257309.1
CAA7257310.1	KAF4616906.1	0.251144	4.5352	0.0553767	YN	66.203	333	503	163	3	7	400	79.52	34	530	534	93	93	2	503	508	0	646	1666	CAA7257310.1
CAA7257311.1	KAF4616334.1	0.442689	4.04351	0.109481	YN	45.17	159	352	189	3	4	230	65.34	1	352	356	99	99	766	1113	1117	1.7e-113	354	908	CAA7257311.1
CAA7257314.1	KAF4616333.1	0.532145	2.3116	0.230206	YN	40.562	101	249	128	3	20	147	59.04	1	249	258	97	97	147	375	528	2.13e-55	185	469	CAA7257314.1
CAA7257326.1	KAF4616331.1	0.280749	3.15385	0.0890178	YN	57.377	280	488	172	21	36	352	72.13	4	480	480	99	99	1	463	463	1.32e-169	484	1247	CAA7257326.1
CAA7257328.1	KAF4616328.1	0.129553	3.19793	0.0405116	YN	80.556	87	108	21	0	0	99	91.67	1	108	108	100	100	1	108	108	9.6e-61	180	456	CAA7257328.1
CAA7257329.1	KAF4616329.1	0.272425	3.99798	0.0681406	YN	68.116	94	138	44	0	0	114	82.61	112	249	250	87	55	174	311	375	5.11e-65	206	523	CAA7257329.1
CAA7257330.1	KAF4616330.1	0.0223514	2.73551	0.00817082	YN	95.592	412	431	19	0	0	422	97.91	76	506	506	85	85	1	431	431	0	854	2207	CAA7257330.1
CAA7257331.1	KAF4616899.1	0.263128	2.996	0.0878264	YN	60.855	185	304	91	3	28	219	72.04	20	321	321	94	94	65	342	342	1.03e-128	370	949	CAA7257331.1
CAA7257340.1	KAF4616678.1	0.731634	2.08571	0.350784	YN	50.685	37	73	29	3	7	44	60.27	431	502	506	14	14	427	493	495	6.72e-11	63.5	153	CAA7257340.1
