Gene	PS
AGABI2DRAFT_113535	9
AGABI2DRAFT_113543	12
AGABI2DRAFT_113547	3
AGABI2DRAFT_113550	12
AGABI2DRAFT_113560	12
AGABI2DRAFT_113564	12
AGABI2DRAFT_113582	10
AGABI2DRAFT_113583	10
AGABI2DRAFT_113585	10
AGABI2DRAFT_113586	9
AGABI2DRAFT_113593	10
AGABI2DRAFT_113594	4
AGABI2DRAFT_113607	10
AGABI2DRAFT_113611	12
AGABI2DRAFT_113616	1
AGABI2DRAFT_113620	10
AGABI2DRAFT_113621	12
AGABI2DRAFT_113626	2
AGABI2DRAFT_113642	7
AGABI2DRAFT_113643	7
AGABI2DRAFT_113644	5
AGABI2DRAFT_113649	1
AGABI2DRAFT_113651	12
AGABI2DRAFT_113660	2
AGABI2DRAFT_113673	9
AGABI2DRAFT_113679	1
AGABI2DRAFT_113689	1
AGABI2DRAFT_113698	10
AGABI2DRAFT_113700	10
AGABI2DRAFT_113702	7
AGABI2DRAFT_113718	1
AGABI2DRAFT_113733	1
AGABI2DRAFT_113756	1
AGABI2DRAFT_113763	1
AGABI2DRAFT_113765	7
AGABI2DRAFT_113777	7
AGABI2DRAFT_113788	2
AGABI2DRAFT_113794	2
AGABI2DRAFT_113795	7
AGABI2DRAFT_113805	2
AGABI2DRAFT_113810	6
AGABI2DRAFT_113817	7
AGABI2DRAFT_113824	1
AGABI2DRAFT_113825	2
AGABI2DRAFT_113833	7
AGABI2DRAFT_113843	2
AGABI2DRAFT_113844	2
AGABI2DRAFT_113851	2
AGABI2DRAFT_113852	3
AGABI2DRAFT_113858	1
AGABI2DRAFT_113878	1
AGABI2DRAFT_113895	2
AGABI2DRAFT_113897	1
AGABI2DRAFT_113898	7
AGABI2DRAFT_113903	1
AGABI2DRAFT_113908	2
AGABI2DRAFT_113914	5
AGABI2DRAFT_113919	1
AGABI2DRAFT_113928	10
AGABI2DRAFT_113930	1
AGABI2DRAFT_113932	7
AGABI2DRAFT_113934	10
AGABI2DRAFT_113942	7
AGABI2DRAFT_113948	2
AGABI2DRAFT_113958	12
AGABI2DRAFT_113960	2
AGABI2DRAFT_113961	12
AGABI2DRAFT_113962	12
AGABI2DRAFT_113963	7
AGABI2DRAFT_113965	7
AGABI2DRAFT_113968	7
AGABI2DRAFT_113969	5
AGABI2DRAFT_113973	1
AGABI2DRAFT_113990	3
AGABI2DRAFT_113995	10
AGABI2DRAFT_114009	2
AGABI2DRAFT_114019	2
AGABI2DRAFT_114027	2
AGABI2DRAFT_114029	3
AGABI2DRAFT_114052	1
AGABI2DRAFT_114062	2
AGABI2DRAFT_114071	6
AGABI2DRAFT_114072	2
AGABI2DRAFT_114090	2
AGABI2DRAFT_114091	2
AGABI2DRAFT_114096	1
AGABI2DRAFT_114097	2
AGABI2DRAFT_114104	7
AGABI2DRAFT_114110	1
AGABI2DRAFT_114113	1
AGABI2DRAFT_114116	7
AGABI2DRAFT_114133	10
AGABI2DRAFT_114140	1
AGABI2DRAFT_114154	7
AGABI2DRAFT_114170	2
AGABI2DRAFT_114180	7
AGABI2DRAFT_114184	2
AGABI2DRAFT_114211	2
AGABI2DRAFT_114222	9
AGABI2DRAFT_114227	2
AGABI2DRAFT_114231	2
AGABI2DRAFT_114242	7
AGABI2DRAFT_114256	1
AGABI2DRAFT_114262	1
AGABI2DRAFT_114265	2
AGABI2DRAFT_114267	7
AGABI2DRAFT_114278	7
AGABI2DRAFT_114281	2
AGABI2DRAFT_114299	1
AGABI2DRAFT_114300	2
AGABI2DRAFT_114304	1
AGABI2DRAFT_114306	12
AGABI2DRAFT_114317	1
AGABI2DRAFT_114318	1
AGABI2DRAFT_114324	2
AGABI2DRAFT_114327	1
AGABI2DRAFT_114335	3
AGABI2DRAFT_114336	2
AGABI2DRAFT_114339	6
AGABI2DRAFT_114349	2
AGABI2DRAFT_114358	2
AGABI2DRAFT_114359	12
AGABI2DRAFT_114372	1
AGABI2DRAFT_114375	2
AGABI2DRAFT_114379	6
AGABI2DRAFT_114391	7
AGABI2DRAFT_114396	6
AGABI2DRAFT_114397	1
AGABI2DRAFT_114401	1
AGABI2DRAFT_114402	7
AGABI2DRAFT_114404	2
AGABI2DRAFT_114405	9
AGABI2DRAFT_114417	6
AGABI2DRAFT_114435	12
AGABI2DRAFT_114447	1
AGABI2DRAFT_114450	1
AGABI2DRAFT_114455	8
AGABI2DRAFT_114458	2
AGABI2DRAFT_114473	1
AGABI2DRAFT_114477	12
AGABI2DRAFT_114487	1
AGABI2DRAFT_114493	7
AGABI2DRAFT_114502	1
AGABI2DRAFT_114516	10
AGABI2DRAFT_114520	6
AGABI2DRAFT_114522	1
AGABI2DRAFT_114529	2
AGABI2DRAFT_114536	8
AGABI2DRAFT_114543	2
AGABI2DRAFT_114559	1
AGABI2DRAFT_114566	7
AGABI2DRAFT_114572	1
AGABI2DRAFT_114583	1
AGABI2DRAFT_114603	7
AGABI2DRAFT_114604	2
AGABI2DRAFT_114619	2
AGABI2DRAFT_114622	7
AGABI2DRAFT_114623	12
AGABI2DRAFT_114624	5
AGABI2DRAFT_114626	9
AGABI2DRAFT_114629	7
AGABI2DRAFT_114633	7
AGABI2DRAFT_114660	12
AGABI2DRAFT_114663	10
AGABI2DRAFT_114665	7
AGABI2DRAFT_114670	2
AGABI2DRAFT_114671	12
AGABI2DRAFT_114681	7
AGABI2DRAFT_114685	7
AGABI2DRAFT_114687	7
AGABI2DRAFT_114688	12
AGABI2DRAFT_114691	7
AGABI2DRAFT_114692	7
AGABI2DRAFT_114694	10
AGABI2DRAFT_114695	1
AGABI2DRAFT_114699	10
AGABI2DRAFT_114700	7
AGABI2DRAFT_114701	10
AGABI2DRAFT_114710	1
AGABI2DRAFT_114727	4
AGABI2DRAFT_114728	4
