query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
KAG2001451.1	KDQ29862.1	0.351578	4.10965	0.0855492	YN	52.812	169	320	138	5	13	225	70.31	598	911	911	34	34	1	313	313	8.38e-105	326	835	CC2G_006744
KAG2001552.1	KDQ28778.1	0.36148	2.54915	0.141804	YN	65.714	23	35	12	0	0	26	74.29	6	40	71	49	49	78	112	117	9.96e-09	46.6	109	CC2G_006689
KAG2001562.1	KDQ32768.1	0.132729	4.31589	0.0307537	YN	78.858	373	473	84	4	16	414	87.53	8	476	477	98	98	339	799	801	0	715	1845	CC2G_006699
KAG2001566.1	KDQ32803.1	0.211409	3.21055	0.0658484	YN	58.519	79	135	39	2	17	100	74.07	8	125	125	94	94	3	137	137	4.6e-34	114	284	CC2G_006703
KAG2001568.1	KDQ32811.1	0.320387	3.16203	0.101323	YN	51.24	62	121	41	1	18	82	67.77	1	103	103	100	100	1	121	121	7.88e-38	122	305	CC2G_006705
KAG2001578.1	KDQ32799.1	0.415782	4.24993	0.0978328	YN	53.356	159	298	126	5	13	192	64.43	62	346	601	63	47	31	328	440	2.02e-87	277	708	CC2G_006714
KAG2001579.1	KDQ32798.1	0.366599	2.97083	0.1234	YN	56.711	169	298	116	4	13	211	70.81	4	293	295	98	98	3	295	297	3.28e-113	327	839	CC2G_006715
KAG2001626.1	KDQ22982.1	0.726491	4.73514	0.153425	YN	23.13	201	869	555	33	113	351	40.39	9	816	1095	74	74	644	1460	1492	1.15e-18	90.9	224	CC2G_006664
KAG2001801.1	KDQ25457.1	0.304717	4.26899	0.0713792	YN	61.421	242	394	140	4	12	305	77.41	53	439	439	88	88	34	422	422	4.27e-178	503	1294	CC2G_004930
KAG2001803.1	KDQ25451.1	0.563453	4.39793	0.128118	YN	45.775	195	426	217	5	14	261	61.27	1	415	430	97	97	1	423	463	1.68e-122	362	930	CC2G_004932
KAG2001804.1	KDQ25982.1	0.331796	5.44283	0.0609602	YN	52.82	1049	1986	801	31	136	1363	68.63	1	1911	1914	99	99	1	1925	1927	0	1726	4470	CC2G_004933
KAG2001805.1	KDQ24595.1	0.0211459	4.04862	0.005223	YN	93.6	117	125	5	2	3	119	95.2	1	122	122	100	100	1	125	125	2.59e-79	228	580	CC2G_004934
KAG2001807.1	KDQ23274.1	0.556001	2.51319	0.221233	YN	42.581	66	155	72	3	17	90	58.06	1	144	286	50	50	75	223	298	4.29e-30	113	283	CC2G_004936
KAG2001810.1	KDQ25760.1	0.556041	2.43856	0.228021	YN	40.223	144	358	177	9	37	212	59.22	4	336	340	98	98	13	358	484	6.3e-80	250	639	CC2G_004939
KAG2001813.1	KDQ25763.1	0.464062	4.8973	0.0947587	YN	46.532	483	1038	512	7	43	693	66.76	2	1025	1025	99	99	287	1295	1295	0	867	2240	CC2G_004942
KAG2001815.1	KDQ30221.1	0.53371	3.55184	0.150263	YN	39.227	71	181	104	3	6	101	55.8	5	184	190	95	95	3	178	184	2.05e-39	131	330	CC2G_004944
KAG2001816.1	KDQ25765.1	0.309439	3.19048	0.0969883	YN	64.045	57	89	32	0	0	72	80.9	2	90	97	92	92	5	93	102	1.35e-40	128	321	CC2G_004945
KAG2001817.1	KDQ25764.1	0.490365	3.04157	0.161221	YN	53.039	96	181	65	6	20	119	65.75	47	219	295	59	59	72	240	355	9.55e-49	164	415	CC2G_004946
KAG2001818.1	KDQ27234.1	0.614241	3.69828	0.166089	YN	36.598	71	194	108	4	15	108	55.67	89	272	360	51	51	39	227	227	9.32e-34	123	309	CC2G_004947
KAG2001821.1	KDQ25769.1	0.409493	4.73269	0.0865244	YN	45.006	392	871	413	20	66	544	62.46	1	834	847	98	98	1	842	847	0	682	1760	CC2G_004950
