Gene	PS
CHGG_00001	1
CHGG_00002	9
CHGG_00003	1
CHGG_00004	2
CHGG_00005	1
CHGG_00006	1
CHGG_00007	2
CHGG_00008	6
CHGG_00009	2
CHGG_00010	11
CHGG_00011	1
CHGG_00012	2
CHGG_00013	1
CHGG_00014	1
CHGG_00015	1
CHGG_00016	1
CHGG_00017	1
CHGG_00018	1
CHGG_00019	1
CHGG_00020	1
CHGG_00021	1
CHGG_00022	1
CHGG_00023	7
CHGG_00024	1
CHGG_00025	3
CHGG_00026	1
CHGG_00027	12
CHGG_00028	10
CHGG_00029	1
CHGG_00030	1
CHGG_00031	1
CHGG_00032	3
CHGG_00033	1
CHGG_00034	8
CHGG_00035	1
CHGG_00036	3
CHGG_00037	1
CHGG_00038	1
CHGG_00039	6
CHGG_00040	1
CHGG_00041	1
CHGG_00042	2
CHGG_00043	12
CHGG_00044	1
CHGG_00045	2
CHGG_00046	1
CHGG_00047	1
CHGG_00048	1
CHGG_00049	2
CHGG_00050	1
CHGG_00051	3
CHGG_00052	1
CHGG_00053	1
CHGG_00054	1
CHGG_00055	1
CHGG_00056	1
CHGG_00057	11
CHGG_00058	1
CHGG_00059	1
CHGG_00060	1
CHGG_00061	1
CHGG_00062	1
CHGG_00063	3
CHGG_00064	3
CHGG_00065	1
CHGG_00066	3
CHGG_00067	1
CHGG_00068	1
CHGG_00069	1
CHGG_00070	12
CHGG_00071	1
CHGG_00072	1
CHGG_00073	10
CHGG_00074	2
CHGG_00075	1
CHGG_00076	3
CHGG_00077	2
CHGG_00078	1
CHGG_00079	7
CHGG_00080	1
CHGG_00081	2
CHGG_00082	2
CHGG_00083	7
CHGG_00084	6
CHGG_00085	1
CHGG_00086	11
CHGG_00087	1
CHGG_00088	1
CHGG_00089	1
CHGG_00090	1
CHGG_00091	10
CHGG_00092	2
CHGG_00093	3
CHGG_00094	12
CHGG_00095	12
CHGG_00096	4
CHGG_00097	1
CHGG_00098	10
CHGG_00099	2
CHGG_00100	3
CHGG_00101	2
CHGG_00102	10
CHGG_00103	2
