query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
EIE75301.1	ORZ14220.1	0.151716	4.06501	0.0373223	YN	73.371	259	353	77	1	17	292	82.72	1	336	336	100	100	1	353	353	0	537	1384	RO3G_00005
EIE75302.1	ORZ25930.1	0.181314	4.60632	0.0393621	YN	75.748	481	635	151	1	3	554	87.24	158	789	789	80	80	91	725	725	0	1059	2738	RO3G_00006
EIE75303.1	ORZ15735.1	0.357437	99	0.00361048	YN	48.276	182	377	128	14	67	218	57.82	1	344	346	99	99	1	343	345	1.07e-93	281	720	RO3G_00007
EIE75304.1	ORZ20621.1	0.107963	3.84409	0.0280854	YN	80.741	218	270	52	0	0	242	89.63	1	270	270	100	100	1	270	270	2.44e-167	462	1190	RO3G_00008
EIE75305.1	ORZ16328.1	0.110015	0.634672	0.173342	YN	83.23	134	161	27	0	0	152	94.41	1	161	161	100	100	1	161	161	3.41e-103	291	745	RO3G_00009
EIE75307.1	ORZ25447.1	0.385693	4.2929	0.0898445	YN	46.108	231	501	212	7	58	313	62.48	38	483	483	92	92	5	502	502	3.3e-159	459	1182	RO3G_00011
EIE75309.1	ORZ04626.1	0.45631	4.1895	0.108918	YN	66.667	26	39	12	1	1	31	79.49	33	70	133	29	29	89	127	193	1.19e-10	55.5	132	RO3G_00013
EIE75310.1	ORZ20595.1	0.254145	4.94403	0.0514044	YN	64.535	646	1001	309	8	46	759	75.82	8	966	969	99	99	13	1009	1017	0	1288	3334	RO3G_00014
EIE75315.1	ORZ08600.1	0.263939	4.28899	0.0615388	YN	64.459	292	453	158	2	3	364	80.35	20	472	472	96	96	1	450	450	0	606	1562	RO3G_00019
EIE75316.1	ORZ24191.1	0.31491	99	0.0031809	YN	53.896	83	154	57	3	14	101	65.58	2	141	141	99	99	3	156	156	3.98e-49	153	387	RO3G_00020
EIE75317.1	ORZ05033.1	0.575389	3.64026	0.158063	YN	39.086	77	197	118	1	2	113	57.36	1	197	197	100	100	1	195	195	9.39e-45	146	368	RO3G_00021
EIE75319.1	ORZ21268.1	0.564708	3.33449	0.169354	YN	41.667	40	96	52	1	4	53	55.21	6	101	355	27	27	34	125	166	9.43e-20	84.3	207	RO3G_00023
EIE75324.1	ORZ05080.1	0.645092	3.83268	0.168314	YN	36.082	70	194	79	6	45	89	45.88	19	168	286	52	52	27	219	503	2.6e-15	74.7	182	RO3G_00028
EIE75326.1	ORZ19477.1	0.236312	4.35509	0.0542611	YN	65.868	330	501	160	2	11	406	81.04	8	499	501	98	98	9	507	508	0	694	1790	RO3G_00030
EIE75329.1	ORZ08728.1	0.582921	2.01069	0.289912	YN	33.403	160	479	277	9	42	257	53.65	18	466	512	88	88	5	471	482	3.44e-86	273	697	RO3G_00033
EIE75331.1	ORZ25879.1	0.720467	3.93326	0.183173	YN	30.387	55	181	95	8	31	84	46.41	142	296	297	52	52	252	427	432	1.01e-07	51.6	122	RO3G_00035
EIE75332.1	ORZ08731.1	0.321103	3.41668	0.093981	YN	55.479	81	146	49	1	16	105	71.92	12	157	171	85	85	94	223	253	5.7e-54	170	431	RO3G_00036
EIE75335.1	ORZ09181.1	0.319463	3.14575	0.101554	YN	51.2	64	125	54	4	7	75	60	8	128	130	93	93	16	137	138	1.59e-26	95.5	236	RO3G_00039
EIE75338.1	ORZ25666.1	0.178368	0.50687	0.351902	YN	74.359	116	156	39	1	1	135	86.54	1	156	161	97	97	1	155	156	1.8e-78	229	583	RO3G_00042
EIE75340.1	ORZ21509.1	0.22875	3.801	0.0601816	YN	69.565	176	253	77	0	0	212	83.79	1	253	257	98	98	4	256	259	2.01e-131	370	951	RO3G_00044
EIE75341.1	ORZ21432.1	0.386933	4.02643	0.0960982	YN	51.297	178	347	156	5	13	247	71.18	40	379	382	89	89	1	341	348	2.4e-122	356	914	RO3G_00045
EIE75342.1	ORY99480.1	0.142315	4.10439	0.0346738	YN	77.65	271	349	78	0	0	313	89.68	1	349	349	100	100	1	349	349	0	598	1542	RO3G_00046
EIE75343.1	ORZ25932.1	0.27129	4.12642	0.0657445	YN	59.536	231	388	132	5	25	283	72.94	1	379	379	100	100	46	417	417	7.18e-158	449	1154	RO3G_00047
EIE75346.1	ORZ05100.1	0.723341	4.25499	0.169998	YN	29.096	103	354	216	8	35	170	48.02	75	397	428	75	75	365	714	790	4.53e-33	130	328	RO3G_00050
EIE75347.1	ORZ20546.1	0.506159	4.26631	0.118641	YN	44.957	156	347	176	7	15	220	63.4	1	335	449	75	75	391	734	955	2.1e-90	293	750	RO3G_00051
EIE75349.1	ORZ19610.1	0.428109	5.54546	0.0771999	YN	44.329	1196	2698	1273	49	229	1655	61.34	1	2552	2558	99	99	1	2615	2844	0	2128	5515	RO3G_00053
EIE75350.1	ORZ13601.1	0.261573	4.06069	0.064416	YN	60.349	242	401	124	8	35	295	73.57	1	369	398	93	93	151	548	554	1.59e-161	464	1194	RO3G_00054
EIE75351.1	ORZ24483.1	0.416597	4.30448	0.0967821	YN	53.803	191	355	117	8	47	245	69.01	85	406	565	57	57	38	378	533	4.96e-126	379	973	RO3G_00055
EIE75352.1	ORZ25069.1	0.378198	4.27398	0.0884884	YN	67.192	213	317	93	5	11	253	79.81	5	321	593	53	53	20	325	502	8.89e-145	427	1098	RO3G_00056
EIE75356.1	ORZ15721.1	0.380378	3.35054	0.113527	YN	56.034	65	116	42	1	9	82	70.69	36	142	148	72	72	93	208	218	1.02e-32	114	285	RO3G_00060
EIE75359.1	ORZ07565.1	0.395984	1.89643	0.208805	YN	54.455	55	101	45	1	1	74	73.27	20	119	135	74	74	5	105	110	7.82e-34	113	282	RO3G_00063
EIE75361.1	ORZ25073.1	0.537977	4.2394	0.126899	YN	32.51	171	526	268	16	87	263	50	1	513	522	98	98	1	452	460	6.23e-71	233	593	RO3G_00065
EIE75362.1	ORZ24480.1	0.464524	3.38478	0.137239	YN	45.69	53	116	56	1	7	70	60.34	23	131	142	77	77	115	230	254	1.8e-30	108	271	RO3G_00066
EIE75363.1	ORZ20331.1	0.366885	3.07235	0.119415	YN	47.959	47	98	44	3	7	70	71.43	1	97	108	90	90	1	92	147	1.35e-26	94.7	234	RO3G_00067
EIE75366.1	ORZ23024.1	0.61501	3.75833	0.163639	YN	61.818	34	55	18	2	3	42	76.36	156	208	279	19	19	259	312	401	1.09e-12	66.2	160	RO3G_00070
EIE75368.1	ORZ14646.1	0.165778	3.86691	0.0428709	YN	74.035	211	285	68	3	6	247	86.67	3	282	284	99	99	7	290	292	6.6e-162	450	1158	RO3G_00072
EIE75370.1	ORZ06881.1	0.465613	4.38868	0.106094	YN	34.694	221	637	242	17	174	313	49.14	2	492	568	86	86	54	662	729	1.61e-99	316	810	RO3G_00074
EIE75374.1	ORZ21697.1	0.371748	3.92126	0.0948031	YN	42.597	164	385	159	6	62	232	60.26	1	325	338	96	96	1	383	386	4.56e-103	306	785	RO3G_00078
EIE75375.1	ORZ24046.1	0.259715	4.55077	0.0570705	YN	56.775	419	738	262	12	57	517	70.05	1	682	701	97	97	49	785	817	0	818	2114	RO3G_00079
EIE75376.1	ORZ00091.1	0.193876	4.14167	0.0468112	YN	63.529	270	425	136	4	19	326	76.71	9	420	422	98	98	2	420	455	6.9e-167	475	1222	RO3G_00080
EIE75378.1	ORZ23324.1	0.35859	4.24687	0.0844363	YN	58.837	263	447	171	4	13	323	72.26	158	603	605	74	74	23	457	459	0	527	1358	RO3G_00082
EIE75382.1	ORZ09558.1	0.433087	3.89155	0.111289	YN	44.59	136	305	129	5	40	182	59.67	4	273	297	91	91	2	301	317	4.76e-78	239	609	RO3G_00086
EIE75383.1	ORZ23139.1	0.472646	2.25659	0.209452	YN	50	145	290	141	4	4	185	63.79	105	392	393	73	73	1	288	290	5.56e-97	290	741	RO3G_00087
EIE75391.1	ORZ22502.1	0.207029	4.37948	0.0472724	YN	67.247	386	574	158	1	30	455	79.27	1	544	546	99	99	46	619	620	0	822	2124	RO3G_00095
EIE75393.1	ORZ07836.1	0.268243	3.33684	0.0803884	YN	65.942	91	138	47	0	0	116	84.06	1	138	139	99	99	1	138	186	2.59e-72	213	542	RO3G_00097
EIE75394.1	ORZ23488.1	0.302886	4.24033	0.0714298	YN	58.333	245	420	166	5	9	321	76.43	25	435	435	94	94	40	459	459	0	511	1316	RO3G_00098
EIE75396.1	ORZ18908.1	0.393667	4.29199	0.0917215	YN	53.398	220	412	186	5	6	296	71.84	1	411	456	90	90	1	407	423	2.92e-145	420	1080	RO3G_00100
EIE75400.1	ORZ18671.1	0.473496	4.29627	0.110211	YN	42.441	233	549	273	12	43	336	61.2	44	572	573	92	92	1	526	532	4.24e-143	423	1087	RO3G_00104
EIE75401.1	ORZ15795.1	0.480125	5.50567	0.0872056	YN	42.777	989	2312	1083	46	240	1369	59.21	4	2181	2380	92	92	97	2302	2572	0	1708	4423	RO3G_00105
EIE75402.1	ORZ15796.1	0.206433	3.60822	0.0572118	YN	70.968	132	186	54	0	0	153	82.26	5	190	190	98	98	1	186	186	2e-97	279	713	RO3G_00106
EIE75403.1	ORZ08875.1	0.312854	3.5624	0.087821	YN	77.922	60	77	17	0	0	72	93.51	112	188	188	41	41	127	203	203	9.14e-44	143	361	RO3G_00107
EIE75405.1	ORZ18651.1	0.235783	4.359	0.054091	YN	61.192	380	621	196	7	45	457	73.59	5	582	586	99	99	7	625	626	0	768	1984	RO3G_00109
EIE75406.1	ORZ08872.1	0.255183	4.17723	0.0610889	YN	64.031	251	392	137	2	4	312	79.59	4	391	397	98	98	1	392	397	0	541	1393	RO3G_00110
EIE75407.1	ORZ13660.1	0.296247	4.15494	0.0713001	YN	57.105	213	373	122	3	38	264	70.78	6	340	340	99	99	3	375	375	3.71e-142	406	1043	RO3G_00111
EIE75409.1	ORZ07619.1	0.216119	3.73676	0.0578361	YN	71.569	146	204	44	1	14	163	79.9	1	190	224	85	85	13	216	232	5.3e-104	299	765	RO3G_00113
EIE75410.1	ORZ20215.1	0.452088	99	0.00456655	YN	37.379	154	412	140	10	118	211	51.21	28	325	372	80	80	28	435	606	1.17e-63	212	540	RO3G_00114
EIE75413.1	ORZ17659.1	0.414071	3.66441	0.112998	YN	46.396	103	222	98	4	21	141	63.51	4	208	212	97	97	26	243	650	1.75e-60	199	505	RO3G_00117
EIE75414.1	ORZ18649.1	0.293917	0.675711	0.434974	YN	69.512	57	82	24	1	1	68	82.93	1	81	85	95	95	1	82	84	3.38e-37	119	297	RO3G_00118
EIE75415.1	ORZ06837.1	0.208332	4.49987	0.0462973	YN	73.31	423	577	154	0	0	496	85.96	10	586	595	97	97	25	601	615	0	906	2342	RO3G_00119
EIE75417.1	ORZ14478.1	0.0832156	2.40402	0.0346152	YN	83.523	588	704	108	4	8	647	91.9	1	699	699	100	100	1	701	701	0	1156	2990	RO3G_00121
EIE75418.1	ORZ12624.1	0.351881	4.23925	0.0830056	YN	49.528	210	424	169	8	45	275	64.86	22	402	416	92	92	32	453	674	2.59e-132	394	1012	RO3G_00122
EIE75419.1	ORZ06834.1	0.0385963	2.56663	0.0150377	YN	93.548	87	93	6	0	0	90	96.77	1	93	93	100	100	1	93	93	6.05e-58	171	434	RO3G_00123
EIE75421.1	ORZ22623.1	0.435045	4.25727	0.102189	YN	49.672	227	457	196	5	34	285	62.36	11	456	460	97	97	8	441	559	1.31e-135	400	1029	RO3G_00125
EIE75424.1	ORZ17340.1	0.352395	3.60572	0.0977322	YN	47.34	89	188	76	6	23	124	65.96	7	179	184	94	94	2	181	313	3.74e-44	147	372	RO3G_00128
EIE75449.1	ORZ12832.1	0.662082	4.11614	0.16085	YN	37.356	65	174	107	2	2	110	63.22	199	372	375	63	46	363	534	615	3.06e-29	117	294	RO3G_00153
