query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
KAF7289547.1	KAF7295693.1	0.74491	4.14278	0.179809	YN	35.395	103	291	177	5	11	140	48.11	22	302	368	76	76	17	306	381	3.32e-40	145	365	KAF7289547.1
KAF7289552.1	KAF7311812.1	0.29545	4.46377	0.0661885	YN	58.939	300	509	160	7	49	362	71.12	3	507	599	84	84	4	467	507	0	521	1341	KAF7289552.1
KAF7289555.1	KAF7292639.1	0.535484	3.90295	0.1372	YN	33.798	97	287	149	10	41	132	45.99	4	274	292	93	93	1	262	291	3.83e-33	122	305	KAF7289555.1
KAF7289991.1	KAF7314967.1	0.128029	4.0481	0.0316269	YN	71.809	270	376	69	4	37	294	78.19	379	733	733	48	48	1	360	360	0	545	1404	KAF7289991.1
KAF7290127.1	KAF7293085.1	0.0940885	4.80173	0.0195947	YN	79.108	674	852	113	19	65	720	84.51	1408	2219	2223	37	37	19	845	850	0	1213	3139	KAF7290127.1
KAF7290457.1	KAF7307603.1	0.124568	5.33326	0.0233569	YN	78.351	1292	1649	320	8	37	1448	87.81	1	1637	1642	99	99	688	2311	2314	0	2654	6878	KAF7290457.1
KAF7290459.1	KAF7307607.1	0.262839	3.26311	0.0805487	YN	47.761	96	201	64	8	41	111	55.22	5	191	256	73	73	3	176	246	4.99e-37	130	326	KAF7290459.1
KAF7290461.1	KAF7307605.1	0.121778	4.20645	0.0289503	YN	80.66	342	424	75	2	7	365	86.08	3	426	441	96	96	2	418	422	0	700	1807	KAF7290461.1
KAF7290462.1	KAF7292780.1	0.107966	99	0.00109057	YN	79.255	298	376	59	3	19	331	88.03	1	376	422	89	89	1	357	368	0	620	1600	KAF7290462.1
KAF7290463.1	KAF7304080.1	0.182446	4.36454	0.041802	YN	71.165	385	541	150	3	6	442	81.7	11	547	584	92	92	14	552	553	0	799	2063	KAF7290463.1
KAF7290464.1	KAF7295445.1	0.15872	4.53421	0.0350049	YN	73.064	434	594	134	5	26	493	83	80	668	668	88	88	1	573	573	0	880	2273	KAF7290464.1
KAF7290466.1	KAF7294611.1	0.267787	4.12947	0.0648478	YN	59.385	193	325	118	4	14	231	71.08	196	508	511	61	61	1	323	326	7.81e-124	364	934	KAF7290466.1
KAF7290467.1	KAF7294599.1	0.223675	4.57163	0.0489269	YN	65.686	335	510	147	7	28	394	77.25	3	496	1557	32	32	7	504	532	0	592	1525	KAF7290467.1
KAF7290469.1	KAF7297042.1	0.264173	4.97563	0.0530935	YN	60.645	621	1024	341	15	62	765	74.71	159	1159	1159	86	86	94	1078	1078	0	1235	3196	KAF7290469.1
KAF7290472.1	KAF7294635.1	0.599033	2.9769	0.201227	YN	37.946	170	448	247	9	31	246	54.91	1	430	442	97	97	1	435	443	1.97e-81	257	656	KAF7290472.1
KAF7290473.1	KAF7310149.1	0.233295	3.40791	0.068457	YN	45.344	112	247	99	9	36	131	53.04	1	219	219	100	100	1	239	239	3.44e-33	118	296	KAF7290473.1
KAF7290477.1	KAF7303945.1	0.555271	3.5155	0.157949	YN	47.107	57	121	59	3	5	76	62.81	1	120	463	59	26	1	117	367	2.39e-24	102	255	KAF7290477.1
KAF7290481.1	KAF7293539.1	0.641625	4.30285	0.149116	YN	36.029	147	408	233	11	28	224	54.9	15	413	467	85	85	281	669	735	7.57e-71	237	605	KAF7290481.1
KAF7290494.1	KAF7307124.1	0.0848621	5.00521	0.0169548	YN	83.317	874	1049	151	14	24	951	90.66	1	1042	1052	99	99	1	1032	1042	0	1752	4538	KAF7290494.1
KAF7290497.1	KAF7307127.1	0.112517	2.95427	0.0380861	YN	73.397	309	421	75	10	37	342	81.24	1	419	444	94	94	1	386	407	2.38e-175	496	1276	KAF7290497.1
KAF7290498.1	KAF7307128.1	0.209145	4.52744	0.0461948	YN	66.84	385	576	166	5	25	461	80.03	15	587	593	97	97	33	586	589	0	784	2025	KAF7290498.1
KAF7290500.1	KAF7307130.1	0.0513105	3.98594	0.0128729	YN	89.645	303	338	32	3	3	319	94.38	1	336	336	100	100	1	337	337	0	612	1578	KAF7290500.1
KAF7290505.1	KAF7307139.1	0.369904	2.17839	0.169806	YN	49.084	134	273	109	10	30	172	63	13	276	291	91	91	10	261	272	1.58e-73	226	575	KAF7290505.1
KAF7290859.1	KAF7311836.1	0.106953	2.39559	0.0446458	YN	80.353	319	397	70	6	8	349	87.91	1	394	394	100	100	1	392	392	0	605	1561	KAF7290859.1
KAF7291095.1	KAF7294758.1	0.244393	1.4821	0.164896	YN	62.5	90	144	50	2	4	112	77.78	1	140	140	100	100	1	144	144	4.67e-61	183	465	KAF7291095.1
KAF7291453.1	KAF7292569.1	0.210898	4.27773	0.0493014	YN	68.171	287	421	115	2	19	343	81.47	2	403	411	98	98	17	437	442	0	592	1526	KAF7291453.1
KAF7291469.1	KAF7298698.1	0.278085	4.77212	0.0582729	YN	58.392	494	846	284	17	68	590	69.74	8	838	842	99	99	2	794	797	0	912	2357	KAF7291469.1
KAF7291470.1	KAF7290544.1	0.249249	2.98851	0.0834025	YN	60.925	619	1016	308	20	89	744	73.23	10	948	954	98	98	7	1010	1011	0	1066	2758	KAF7291470.1
KAF7291471.1	KAF7312746.1	0.511815	4.323	0.118394	YN	40.44	184	455	246	9	25	270	59.34	12	463	474	95	95	8	440	457	7.34e-110	332	850	KAF7291471.1
KAF7291474.1	KAF7303946.1	0.414918	4.44662	0.0933108	YN	64.286	153	238	84	1	1	192	80.67	1	237	939	25	25	1	238	431	7.79e-112	350	897	KAF7291474.1
KAF7291476.1	KAF7290559.1	0.0897561	4.38877	0.0204513	YN	84.805	413	487	68	3	6	449	92.2	2	484	487	99	99	43	527	532	0	763	1970	KAF7291476.1
KAF7291478.1	KAF7296770.1	0.404547	4.08549	0.0990205	YN	45.041	277	615	263	9	75	373	60.65	233	799	801	71	71	17	604	605	0	532	1370	KAF7291478.1
KAF7291479.1	KAF7315094.1	0.285895	2.028	0.140974	YN	62.5	230	368	127	5	11	284	77.17	4	365	365	99	99	2	364	364	9.99e-161	454	1167	KAF7291479.1
KAF7291483.1	KAF7290596.1	0.12169	4.37444	0.0278184	YN	77.162	348	451	88	4	15	383	84.92	9	445	446	98	98	13	462	470	0	707	1825	KAF7291483.1
KAF7291486.1	KAF7290593.1	0.20545	4.60306	0.0446334	YN	72.093	434	602	158	3	10	508	84.39	29	629	629	96	96	1	593	593	0	909	2348	KAF7291486.1
KAF7291487.1	KAF7290592.1	0.127449	4.53522	0.028102	YN	79.511	423	532	103	3	6	467	87.78	1	530	532	99	99	1	528	530	0	849	2194	KAF7291487.1
KAF7291489.1	KAF7290589.1	0.225404	3.67133	0.0613958	YN	63.473	106	167	44	3	17	123	73.65	1	167	210	80	80	1	150	186	7.35e-68	205	521	KAF7291489.1
KAF7291491.1	KAF7290549.1	0.36625	4.2082	0.0870325	YN	57.26	209	365	136	2	20	256	70.14	5	369	397	92	92	4	348	375	6.6e-153	436	1120	KAF7291491.1
KAF7291497.1	KAF7295016.1	0.182692	4.11918	0.0443515	YN	72.446	234	323	87	2	2	281	87	1	321	321	100	100	1	323	323	5.54e-176	489	1258	KAF7291497.1
KAF7291498.1	KAF7295018.1	0.237848	2.3463	0.101371	YN	65.543	875	1335	435	12	25	1058	79.25	1	1325	1327	99	99	1	1320	1324	0	1749	4530	KAF7291498.1
KAF7291499.1	KAF7307155.1	0.151602	4.19138	0.0361699	YN	76.506	254	332	78	0	0	293	88.25	1	332	339	98	98	96	427	433	0	541	1393	KAF7291499.1
KAF7291501.1	KAF7290573.1	0.140714	2.32799	0.0604442	YN	75.358	263	349	80	4	6	299	85.67	1	343	343	100	100	1	349	349	4.31e-171	478	1231	KAF7291501.1
KAF7291503.1	KAF7290583.1	0.093264	3.61712	0.025784	YN	74.123	169	228	29	4	30	178	78.07	1	228	228	100	100	1	198	198	5.45e-114	323	828	KAF7291503.1
KAF7291504.1	KAF7290582.1	0.116411	3.98955	0.0291789	YN	75.911	750	988	185	8	53	837	84.72	10	946	946	99	99	6	991	991	0	1499	3882	KAF7291504.1
KAF7291505.1	KAF7312401.1	0.0728431	4.07609	0.0178708	YN	84.131	334	397	54	2	9	362	91.18	1	388	388	100	100	26	422	422	0	680	1755	KAF7291505.1
KAF7291512.1	KAF7290581.1	0.338359	4.2944	0.0787906	YN	57.416	240	418	172	5	6	299	71.53	8	424	424	98	98	6	418	418	3.55e-173	489	1260	KAF7291512.1
KAF7291513.1	KAF7290600.1	0.198188	4.38015	0.0452468	YN	66.742	295	442	114	8	33	346	78.28	2	439	439	99	99	4	416	416	2.43e-176	498	1283	KAF7291513.1
KAF7291515.1	KAF7290604.1	0.330795	2.15321	0.153629	YN	52.145	632	1212	449	39	131	789	65.1	9	1151	1154	99	99	5	1154	1156	0	954	2466	KAF7291515.1
KAF7291521.1	KAF7290594.1	0.76185	2.44067	0.312148	YN	29	87	300	173	12	40	142	47.33	176	454	459	61	61	360	640	644	2.15e-24	105	261	KAF7291521.1
KAF7291523.1	KAF7315662.1	0.0906637	4.46595	0.0203011	YN	82.416	464	563	79	3	20	500	88.81	1	546	551	99	99	1	560	575	0	942	2436	KAF7291523.1
KAF7291524.1	KAF7290579.1	0.0649514	4.67	0.0139082	YN	85.554	687	803	92	4	24	732	91.16	1	783	783	100	100	43	841	841	0	1433	3710	KAF7291524.1
KAF7291525.1	KAF7290580.1	0.254067	4.27305	0.059458	YN	63.81	268	420	140	5	12	317	75.48	1	410	410	100	100	209	626	626	0	541	1394	KAF7291525.1
KAF7291528.1	KAF7315666.1	0.195716	3.96105	0.0494102	YN	69.112	179	259	72	3	8	212	81.85	1	252	252	100	100	1	258	258	6.95e-127	359	921	KAF7291528.1
KAF7291532.1	KAF7290660.1	0.433456	4.26017	0.101746	YN	55.078	141	256	77	5	38	171	66.8	216	440	452	50	50	215	463	465	1.52e-76	245	626	KAF7291532.1
KAF7291536.1	KAF7290645.1	0.0966175	4.98387	0.019386	YN	81.323	910	1119	171	10	38	982	87.76	1	1086	1102	99	99	1	1114	1130	0	1793	4645	KAF7291536.1
KAF7292265.1	KAF7304162.1	0.131663	99	0.00132993	YN	79.429	139	175	31	1	5	156	89.14	43	212	212	80	80	81	255	255	1.26e-94	275	704	KAF7292265.1
KAF7292268.1	KAF7304040.1	0.563518	3.08347	0.182755	YN	32.941	28	85	44	2	13	43	50.59	37	108	167	43	43	50	134	200	1.9e-06	45.1	105	KAF7292268.1
KAF7292269.1	KAF7309255.1	0.246108	4.29848	0.0572546	YN	65.037	266	409	131	4	12	327	79.95	7	415	473	86	86	3	399	571	0	568	1463	KAF7292269.1
KAF7292270.1	KAF7288604.1	0.1761	3.63623	0.0484293	YN	72.523	161	222	54	5	7	185	83.33	40	256	256	85	85	2	221	221	4.86e-112	320	820	KAF7292270.1
KAF7292281.1	KAF7292015.1	0.43763	2.28912	0.191179	YN	40.399	162	401	166	17	73	221	55.11	78	418	424	80	80	20	407	417	5.43e-72	231	589	KAF7292281.1
KAF7292286.1	KAF7307637.1	0.168099	4.33499	0.0387773	YN	67.776	387	571	126	5	58	426	74.61	7	543	543	99	99	6	552	552	0	769	1985	KAF7292286.1
KAF7292496.1	KAF7292707.1	0.137291	5.259	0.0261059	YN	77.064	1092	1417	300	5	25	1224	86.38	1	1409	1409	100	100	1	1400	1400	0	2245	5818	KAF7292496.1
KAF7292498.1	KAF7307614.1	0.267119	3.902	0.068457	YN	63.566	164	258	91	2	3	192	74.42	23	278	278	92	92	4	260	260	3.35e-118	338	867	KAF7292498.1
KAF7292507.1	KAF7292706.1	0.0613125	5.33287	0.0114971	YN	89.103	1668	1872	195	6	9	1769	94.5	14	1883	2017	93	93	24	1888	1899	0	3468	8992	KAF7292507.1
KAF7292509.1	KAF7292806.1	0.441876	4.32356	0.102202	YN	41.098	217	528	292	7	19	308	58.33	5	528	531	99	99	8	520	522	1.72e-130	389	999	KAF7292509.1
