query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_045256080.1	XP_031893595.1	0.0586536	0.0958087	0.612195	YN	92.677	405	437	32	0	0	416	95.19	1	437	469	93	93	1	437	462	0	812	2098	XP_045256080.1
XP_045256081.1	XP_031893596.1	0.00621565	0.12718	0.048873	YN	98.65	950	963	13	0	0	956	99.27	1	963	963	100	100	1	963	963	0	1984	5140	XP_045256081.1
XP_045256082.1	XP_031890319.1	0.0346052	0.0793548	0.436082	YN	93.2	466	500	34	0	0	481	96.2	1	500	500	100	100	1	500	500	0	967	2500	XP_045256082.1
XP_045256083.1	XP_031890318.1	0.0455337	0.160937	0.282928	YN	91.244	1959	2147	184	1	4	2034	94.74	1	2143	2143	100	100	1	2147	2147	0	4032	10456	XP_045256083.1
XP_045256084.1	XP_031875785.1	0.0179736	0.217519	0.0826297	YN	83.333	65	78	3	2	10	66	84.62	1	78	78	100	100	1	68	68	2.49e-38	121	303	XP_045256084.1
XP_045256085.1	XP_031875782.1	0.0136404	0.167022	0.0816683	YN	97.34	183	188	5	0	0	186	98.94	1	188	188	100	100	1	188	188	1.22e-128	358	919	XP_045256085.1
XP_045256086.1	XP_031875783.1	NA	0.113682	0	YN	100	324	324	0	0	0	324	100	1	324	324	100	100	1	324	324	0	663	1710	XP_045256086.1
XP_045256087.1	XP_031875781.1	0.00561791	0.110444	0.0508668	YN	98.657	661	670	9	0	0	667	99.55	108	777	777	86	86	1	670	670	0	1387	3589	XP_045256087.1
XP_045256088.1	XP_031875795.1	0.0379321	0.139029	0.272836	YN	96.992	516	532	16	0	0	521	97.93	20	551	551	97	97	64	595	595	0	1060	2740	XP_045256088.1
XP_045256089.1	XP_031875789.1	0.0151118	0.0920679	0.164138	YN	96.988	483	498	15	0	0	487	97.79	1	498	498	100	100	1	498	498	0	979	2530	XP_045256089.1
XP_045256090.1	XP_031882546.1	0.0163549	0.122064	0.133987	YN	96.498	496	514	18	0	0	503	97.86	1	514	514	100	100	1	514	514	0	1025	2651	XP_045256090.1
XP_045256091.1	XP_031882547.1	0.0148015	0.0920868	0.160734	YN	97.094	568	585	17	0	0	574	98.12	1	585	585	100	100	1	585	585	0	1164	3011	XP_045256091.1
XP_045256092.1	XP_031882554.1	0.0123477	0.10773	0.114617	YN	95.531	513	537	14	1	10	519	96.65	1	537	548	98	98	1	527	528	0	1053	2724	XP_045256092.1
XP_045256093.1	XP_031882555.1	0.0141346	0.110802	0.127567	YN	97.121	506	521	15	0	0	511	98.08	1	521	521	100	100	1	521	521	0	1035	2675	XP_045256093.1
XP_045256094.1	XP_031882552.1	0.021215	0.084093	0.25228	YN	95.638	285	298	13	0	0	291	97.65	1	298	298	100	100	1	298	298	0	582	1501	XP_045256094.1
XP_045256095.1	XP_031882553.1	0.0702742	0.230875	0.304382	YN	97.417	528	542	14	0	0	533	98.34	243	784	1336	41	41	1	542	622	0	1108	2866	XP_045256095.1
XP_045256096.1	XP_031882551.1	0.0129824	0.0906938	0.143145	YN	97.222	210	216	6	0	0	213	98.61	61	276	276	78	78	1	216	216	2.07e-157	436	1120	XP_045256096.1
XP_045256097.1	XP_031882548.1	0.00374449	0.0686886	0.0545141	YN	97.906	374	382	3	1	5	376	98.43	1	382	382	100	100	1	377	377	0	767	1981	XP_045256097.1
XP_045256098.1	XP_031882549.1	0.00587407	0.0991052	0.059271	YN	98.704	1066	1080	14	0	0	1072	99.26	1	1080	1080	100	100	1	1080	1080	0	2203	5708	XP_045256098.1
XP_045256099.1	XP_031882667.1	0.0733644	0.304791	0.240704	YN	94.34	50	53	3	0	0	50	94.34	1	53	73	73	73	1	53	60	1.7e-33	108	270	XP_045256099.1
XP_045256100.1	XP_031882660.1	0.00710263	0.126352	0.056213	YN	98.394	490	498	8	0	0	491	98.59	1942	2439	2439	20	20	1	498	498	0	1013	2620	XP_045256100.1
XP_045256101.1	XP_031882659.1	0.0163018	0.0746361	0.218417	YN	95.576	713	746	23	1	10	721	96.65	1	746	746	100	100	1	736	736	0	1427	3694	XP_045256101.1
XP_045256102.1	XP_031882658.1	0.0137938	0.0671223	0.205502	YN	90.846	526	579	15	2	38	532	91.88	1	579	579	100	100	1	541	541	0	1062	2747	XP_045256102.1
XP_045256103.1	XP_031882665.1	0.0196196	0.0805149	0.243676	YN	96.657	954	987	33	0	0	972	98.48	1	987	1019	97	97	1	987	1020	0	1951	5053	XP_045256103.1
XP_045256104.1	XP_031882663.1	0.00466189	0.109384	0.0426195	YN	97.27	2494	2564	21	1	49	2509	97.85	985	3499	3506	72	72	1	2564	2568	0	5083	13184	XP_045256104.1
XP_045256105.1	XP_031877806.1	0.0358548	0.0825968	0.434094	YN	92.84	778	838	58	1	2	790	94.27	1	838	838	100	100	78	913	913	0	1515	3922	XP_045256105.1
XP_045256106.1	XP_031877807.1	0.0262477	0.0648263	0.404892	YN	89.563	635	709	37	2	37	647	91.26	1	709	709	100	100	1	672	672	0	1304	3374	XP_045256106.1
XP_045256107.1	XP_031877745.1	0.0142702	0.143383	0.0995245	YN	98.049	754	769	11	1	4	755	98.18	1	765	808	95	95	1	769	775	0	1542	3993	XP_045256107.1
XP_045256108.1	XP_031877746.1	0.0016196	0.093585	0.0173062	YN	99.648	283	284	1	0	0	283	99.65	1	284	284	100	100	1	284	284	0	582	1500	XP_045256108.1
XP_045256109.1	XP_031877747.1	0.0245788	0.0366441	0.670743	YN	95.833	184	192	8	0	0	187	97.4	1	192	195	98	98	1	192	195	2.23e-135	375	964	XP_045256109.1
XP_045256110.1	XP_031877809.1	0.0369531	0.113768	0.324812	YN	94	705	750	26	2	19	719	95.87	86	816	833	97	88	233	982	1010	0	1420	3677	XP_045256110.1
XP_045256111.1	XP_031877752.1	0.00605942	0.109698	0.0552371	YN	98.701	608	616	8	0	0	612	99.35	55	670	670	92	92	1	616	616	0	1256	3251	XP_045256111.1
XP_045256112.1	XP_031877791.1	0.00330837	0.0912372	0.0362612	YN	99.27	136	137	1	0	0	137	100	1	137	137	100	100	1	137	137	1.81e-97	275	703	XP_045256112.1
XP_045256113.1	XP_031877790.1	0.00400929	0.0678152	0.0591208	YN	99.187	244	246	2	0	0	246	100	1	246	246	100	100	1	246	246	0	495	1275	XP_045256113.1
XP_045256114.1	XP_031877798.1	0.0050553	0.0790203	0.0639747	YN	98.876	176	178	2	0	0	177	99.44	1	178	178	100	100	1	178	178	9.63e-131	362	930	XP_045256114.1
XP_045256115.1	XP_031877797.1	0.0119871	0.0753416	0.159104	YN	97.479	348	357	9	0	0	351	98.32	1	357	357	100	100	1	357	357	0	724	1869	XP_045256115.1
XP_045256116.1	XP_031884607.1	0.0149196	0.182419	0.0817877	YN	86.253	389	451	13	1	49	395	87.58	8	458	459	98	98	1	402	505	0	777	2006	XP_045256116.1
XP_045256118.1	XP_031884528.1	0.0198425	0.321791	0.0616628	YN	96.211	457	475	18	0	0	463	97.47	1	475	475	100	100	1	475	475	0	957	2473	XP_045256118.1
XP_045256119.1	XP_031884529.1	0.0223886	0.175111	0.127854	YN	92.11	467	507	22	1	18	477	94.08	1	507	507	100	100	1	489	489	0	972	2513	XP_045256119.1
XP_045256120.1	XP_031884530.1	0.0165826	0.183552	0.0903427	YN	94.007	251	267	9	1	7	257	96.25	1	267	267	100	100	1	260	260	0	512	1318	XP_045256120.1
XP_045256121.1	XP_031884531.1	0.010878	0.312856	0.0347701	YN	97.514	353	362	9	0	0	358	98.9	1	362	362	100	100	1	362	362	0	732	1890	XP_045256121.1
XP_045256122.1	XP_031884608.1	0.00466903	0.245232	0.0190392	YN	98.968	767	775	8	0	0	773	99.74	1	775	775	100	100	1	775	775	0	1567	4057	XP_045256122.1
XP_045256123.1	XP_031884525.1	0.0538968	0.463207	0.116356	YN	92.982	106	114	8	0	0	108	94.74	1	114	114	100	100	1	114	114	4.74e-67	196	499	XP_045256123.1
XP_045256124.1	XP_031884630.1	0.00776517	0.182434	0.0425643	YN	98.404	555	564	9	0	0	561	99.47	1	564	564	100	100	2	565	565	0	1146	2964	XP_045256124.1
XP_045256125.1	XP_031884629.1	0.0143365	0.238981	0.0599899	YN	97.025	587	605	18	0	0	599	99.01	1	605	605	100	100	1	605	605	0	1198	3100	XP_045256125.1
XP_045256126.1	XP_031884631.1	0.0190366	0.294622	0.0646135	YN	82.114	303	369	13	2	53	311	84.28	1	316	316	100	100	1	369	369	0	594	1532	XP_045256126.1
XP_045256127.1	XP_031884375.1	0.0376063	0.283257	0.132764	YN	92.899	314	338	24	0	0	331	97.93	1	338	338	100	100	1	338	338	0	649	1673	XP_045256127.1
XP_045256128.1	XP_031884370.1	0.017753	0.202499	0.0876694	YN	95.955	427	445	15	1	3	432	97.08	1	445	445	100	100	1	442	442	0	852	2202	XP_045256128.1
XP_045256129.1	XP_031884373.1	0.00193895	0.252618	0.00767542	YN	99.561	227	228	1	0	0	227	99.56	1	228	228	100	100	1	228	228	1.34e-171	470	1209	XP_045256129.1
XP_045256130.1	XP_031884638.1	0.0380914	0.301383	0.126388	YN	92.388	267	289	21	1	1	272	94.12	289	576	576	50	50	1	289	289	0	551	1419	XP_045256130.1
XP_045256131.1	XP_031884637.1	0.0167878	0.17009	0.0986996	YN	96.538	502	520	18	0	0	511	98.27	1	520	520	100	100	1	520	520	0	1036	2680	XP_045256131.1
XP_045256132.1	XP_031884427.1	0.143249	0.398151	0.359785	YN	92.958	66	71	5	0	0	66	92.96	1	71	87	82	82	1	71	117	2.64e-44	138	347	XP_045256132.1
XP_045256133.1	XP_031884445.1	0.0240121	0.333911	0.0719116	YN	95.264	523	549	26	0	0	537	97.81	1	549	549	100	100	1	549	549	0	1100	2845	XP_045256133.1
XP_045256135.1	XP_031884474.1	0.00342677	0.305177	0.0112288	YN	99.153	234	236	2	0	0	235	99.58	1	236	236	100	100	1	236	236	2.14e-177	485	1249	XP_045256135.1
XP_045256136.1	XP_031884418.1	0.0439444	0.672989	0.0652974	YN	91.139	144	158	14	0	0	149	94.3	1	158	158	100	100	1	158	158	1.66e-106	300	767	XP_045256136.1
XP_045256137.1	XP_031884398.1	0.00357161	0.199525	0.0179006	YN	99.188	977	985	8	0	0	982	99.7	1	985	985	100	100	1	985	985	0	2033	5267	XP_045256137.1
XP_045256138.1	XP_031884472.1	0.0495	0.280283	0.176607	YN	89.72	96	107	11	0	0	101	94.39	1	107	110	97	97	1	107	108	3.38e-69	201	512	XP_045256138.1
XP_045256139.1	XP_031884417.1	0.00390125	0.299779	0.0130137	YN	98.953	189	191	2	0	0	190	99.48	1	191	191	100	100	1	191	191	1.57e-142	393	1010	XP_045256139.1
XP_045256140.1	XP_031884469.1	0.0102384	0.123477	0.0829177	YN	97.619	328	336	7	1	1	331	98.51	1	335	335	100	100	1	336	336	0	655	1691	XP_045256140.1
XP_045256143.1	XP_031884416.1	0.0132329	0.0857635	0.154295	YN	97.107	235	242	7	0	0	239	98.76	1	242	242	100	100	76	317	317	3.22e-176	486	1250	XP_045256143.1
XP_045256144.1	XP_031884652.1	0.0143807	0.132202	0.108778	YN	96.735	237	245	8	0	0	239	97.55	1	245	245	100	100	1	245	245	1.57e-175	481	1239	XP_045256144.1
XP_045256145.1	XP_031877653.1	NA	0.0711731	0	YN	100	262	262	0	0	0	262	100	1	262	262	100	100	1	262	262	0	540	1392	XP_045256145.1
XP_045256146.1	XP_031877666.1	0.0136761	0.0612457	0.223299	YN	95.024	592	623	17	2	14	597	95.83	1	623	623	100	100	1	609	609	0	1054	2725	XP_045256146.1
XP_045256147.1	XP_031877665.1	0.0117356	0.135384	0.0866843	YN	97.483	581	596	15	0	0	589	98.83	1	596	596	100	100	1	596	596	0	1207	3122	XP_045256147.1
XP_045256148.1	XP_031877668.1	0.0102527	0.071186	0.144027	YN	97.863	458	468	10	0	0	460	98.29	1	468	468	100	100	1	468	468	0	943	2437	XP_045256148.1
XP_045256149.1	XP_031877667.1	0.0279465	0.0885207	0.315706	YN	94.505	516	546	29	1	1	527	96.52	1	546	546	100	100	1	545	545	0	933	2411	XP_045256149.1
XP_045256150.1	XP_031877670.1	0.0351432	0.131644	0.266956	YN	83.705	375	448	26	2	47	387	86.38	1	401	401	100	100	49	496	496	0	728	1880	XP_045256150.1
XP_045256151.1	XP_031877669.1	0.0407	0.183521	0.221773	YN	92.344	591	640	47	2	2	605	94.53	13	651	651	98	98	124	762	762	0	1157	2992	XP_045256151.1
XP_045256152.1	XP_031877649.1	NA	0.185115	0	YN	100	138	138	0	0	0	138	100	1	138	138	100	100	1	138	138	1.25e-95	271	692	XP_045256152.1
XP_045256153.1	XP_031877650.1	NA	0.11083	0	YN	100	135	135	0	0	0	135	100	1	135	135	100	100	1	135	135	4.87e-94	266	680	XP_045256153.1
XP_045256154.1	XP_031877648.1	NA	0.159004	0	YN	100	100	100	0	0	0	100	100	1	100	100	100	100	1	100	100	1.27e-69	202	513	XP_045256154.1
XP_045256155.1	XP_031876490.1	0.0214388	0.139575	0.1536	YN	95.765	701	732	31	0	0	714	97.54	1	732	732	100	100	1	732	732	0	1441	3729	XP_045256155.1
XP_045256156.1	XP_031876486.1	0.0119019	0.111141	0.107088	YN	97.505	469	481	12	0	0	472	98.13	1	481	481	100	100	1	481	481	0	971	2509	XP_045256156.1
XP_045256157.1	XP_031876491.1	0.0421877	0.160104	0.263502	YN	84.291	220	261	16	2	25	227	86.97	1	260	260	100	100	1	237	237	2.24e-156	433	1114	XP_045256157.1
