query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_001481394.1	XP_001275174.1	0.0997045	1.5407	0.0647139	YN	82.922	437	527	90	0	0	482	91.46	1	527	534	99	99	5	531	534	0	936	2418	XP_001481394.1
XP_001481395.1	XP_001275157.1	0.18508	1.96683	0.0941006	YN	73.821	736	997	259	2	2	834	83.65	1	995	995	100	100	1	997	997	0	1523	3942	XP_001481395.1
XP_001481396.1	XP_001275112.1	0.343427	2.67421	0.128422	YN	41.538	27	65	26	2	12	35	53.85	1	58	73	79	79	1	60	63	1.48e-07	42.4	98	XP_001481396.1
XP_001481397.1	XP_001275109.1	0.699881	1.5964	0.438413	YN	53.933	48	89	41	0	0	61	68.54	117	205	209	43	43	80	168	211	4.33e-25	95.9	237	XP_001481397.1
XP_001481398.1	XP_001275108.1	0.337801	3.48212	0.0970103	YN	52.008	259	498	208	4	31	337	67.67	1	498	498	100	100	1	467	467	8.49e-178	506	1302	XP_001481398.1
XP_001481399.1	XP_001275041.1	0.156787	3.71173	0.0422409	YN	69.205	209	302	79	3	14	243	80.46	1	297	297	100	100	1	293	293	3.33e-146	410	1055	XP_001481399.1
XP_001481400.1	XP_001275045.1	0.136885	4.32759	0.0316308	YN	75.41	368	488	102	4	18	414	84.84	45	532	603	81	81	5	474	489	0	762	1968	XP_001481400.1
XP_001481403.1	XP_001273517.1	0.517175	4.37522	0.118205	YN	43.167	199	461	237	6	25	285	61.82	4	460	476	96	96	3	442	446	2.68e-125	370	951	XP_001481403.1
XP_001481405.1	XP_001276493.1	0.440486	1.19766	0.367789	YN	44.915	159	354	183	6	12	216	61.02	4	353	353	99	99	67	412	412	1.37e-97	294	752	XP_001481405.1
XP_001481406.1	XP_001276578.1	0.0913387	1.23429	0.0740012	YN	81.55	442	542	84	2	16	485	89.48	1	542	542	100	100	1	526	526	0	899	2324	XP_001481406.1
XP_001481407.1	XP_001276592.1	0.106657	1.94345	0.0548802	YN	79.683	553	694	135	4	6	607	87.46	1	689	689	100	100	1	693	693	0	1081	2795	XP_001481407.1
XP_001481408.1	XP_001276593.1	0.135027	1.27761	0.105687	YN	78.502	325	414	89	0	0	366	88.41	1	414	414	100	100	1	414	414	0	682	1759	XP_001481408.1
XP_001481409.1	XP_001273570.1	0.651623	4.26986	0.15261	YN	37.85	162	428	242	10	24	228	53.27	27	433	447	91	91	7	431	456	4.47e-84	264	674	XP_001481409.1
XP_001481410.1	XP_001272519.1	0.305234	4.16297	0.0733211	YN	59.53	228	383	150	2	5	282	73.63	6	383	545	69	69	28	410	415	3.58e-157	453	1166	XP_001481410.1
XP_001481411.1	XP_001276735.1	0.470124	3.7779	0.124441	YN	51.429	90	175	85	0	0	123	70.29	21	195	202	87	87	123	297	304	5.62e-60	188	477	XP_001481411.1
XP_001481412.1	XP_001273459.1	0.0895044	3.25166	0.0275257	YN	86.036	191	222	31	0	0	206	92.79	4	225	229	97	97	2	223	226	2.17e-147	408	1049	XP_001481412.1
XP_001481413.1	XP_001273460.1	0.351385	1.64316	0.213847	YN	58.721	101	172	71	0	0	129	75	9	180	182	95	95	8	179	183	1.02e-72	216	549	XP_001481413.1
XP_001481415.1	XP_001276751.1	0.0658847	3.66593	0.0179722	YN	87.288	206	236	30	0	0	220	93.22	1	236	236	100	100	1	236	236	5.74e-159	438	1126	XP_001481415.1
XP_001481417.1	XP_001272484.1	0.111435	2.71339	0.0410685	YN	80.73	398	493	95	0	0	440	89.25	7	499	499	99	99	5	497	497	0	851	2199	XP_001481417.1
XP_001481421.1	XP_001272385.1	0.194501	1.35289	0.143767	YN	66.547	372	559	142	7	45	401	71.74	31	567	567	95	95	31	566	566	0	659	1699	XP_001481421.1
XP_001481422.1	XP_001272378.1	0.157052	2.95863	0.0530828	YN	74.157	66	89	18	1	5	72	80.9	1	84	91	92	92	1	89	93	1.23e-39	125	313	XP_001481422.1
XP_001481423.1	XP_001272316.1	0.326316	1.18209	0.27605	YN	55.864	181	324	134	2	9	226	69.75	1	322	328	98	98	1	317	323	7.21e-102	301	770	XP_001481423.1
XP_001481424.1	XP_001273263.1	0.130887	1.6707	0.0783427	YN	79.443	228	287	59	0	0	262	91.29	5	291	291	99	99	7	293	293	1.08e-173	480	1235	XP_001481424.1
XP_001481425.1	XP_001273313.1	0.328647	1.4541	0.226014	YN	52.685	471	894	392	16	31	605	67.67	1	889	890	99	99	1	868	871	0	776	2004	XP_001481425.1
XP_001481426.1	XP_001273314.1	0.0833922	1.67312	0.0498424	YN	84.289	735	872	126	6	11	790	90.6	1	865	879	98	98	1	868	882	0	1298	3360	XP_001481426.1
