query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
KAG2001564.1	KDQ18805.1	0.296434	4.0867	0.0725362	YN	61.721	208	337	122	3	7	258	76.56	1	332	333	99	99	1	335	337	2.81e-144	409	1052	CC2G_006701
KAG2001566.1	KDQ09182.1	0.256778	99	0.00259372	YN	53.39	63	118	36	1	19	80	67.8	8	125	125	94	94	2	100	100	1.32e-36	119	299	CC2G_006703
KAG2001568.1	KDQ07554.1	0.644956	3.23325	0.199476	YN	45.783	38	83	45	0	0	60	72.29	5	87	103	81	81	2	84	107	4.06e-24	87.4	215	CC2G_006705
KAG2001578.1	KDQ07539.1	0.479224	4.04413	0.118498	YN	42.814	143	334	155	9	36	181	54.19	67	373	601	51	51	2	326	364	5.69e-58	197	501	CC2G_006714
KAG2001579.1	KDQ09519.1	0.472079	4.09855	0.115182	YN	50.168	149	297	140	4	8	191	64.31	5	295	295	99	99	6	300	300	1.34e-87	263	671	CC2G_006715
KAG2001697.1	KDQ10220.1	0.384663	0.371209	1.03624	YN	87.097	27	31	4	0	0	27	87.1	26	56	56	55	55	27	57	57	3.23e-12	53.5	127	CC2G_006646
KAG2001801.1	KDQ20897.1	0.382268	4.26942	0.0895364	YN	54.523	217	398	166	6	15	281	70.6	51	439	439	89	89	24	415	415	2.76e-147	424	1091	CC2G_004930
KAG2001804.1	KDQ20838.1	0.498418	5.14251	0.0969212	YN	41.597	594	1428	778	16	56	929	65.06	21	1412	1914	73	73	37	1444	1469	0	981	2536	CC2G_004933
KAG2001805.1	KDQ15809.1	0.083513	99	0.000843566	YN	87.705	107	122	12	2	3	112	91.8	1	119	122	98	98	1	122	127	3.42e-73	213	541	CC2G_004934
KAG2001813.1	KDQ20852.1	0.573127	4.83395	0.118563	YN	40.02	407	1017	597	6	13	624	61.36	12	1023	1025	99	99	295	1303	1308	0	684	1764	CC2G_004942
KAG2001815.1	KDQ09034.1	0.572134	3.57482	0.160046	YN	38.587	71	184	109	3	4	101	54.89	5	185	190	95	95	3	185	189	6.2e-40	133	335	CC2G_004944
KAG2001816.1	KDQ06785.1	0.39006	3.14426	0.124055	YN	50	47	94	47	0	0	73	77.66	3	96	97	97	97	9	102	106	1.43e-34	113	283	CC2G_004945
KAG2001817.1	KDQ06786.1	0.547448	3.69589	0.148123	YN	51.095	70	137	63	4	4	87	63.5	47	181	295	46	46	99	233	259	1.02e-32	120	300	CC2G_004946
KAG2001826.1	KDQ11407.1	0.136551	4.05447	0.0336791	YN	75.691	274	362	84	2	4	316	87.29	1	358	358	100	100	1	362	362	0	578	1489	CC2G_004955
KAG2001828.1	KDQ20915.1	0.228163	1.91226	0.119316	YN	68.664	149	217	68	0	0	181	83.41	54	270	270	80	80	1	217	217	2.43e-104	301	771	CC2G_004957
KAG2001831.1	KDQ17578.1	0.397411	4.02476	0.0987416	YN	38.504	139	361	153	9	69	193	53.46	4	356	356	99	99	3	302	302	2.57e-64	205	522	CC2G_004960
KAG2001833.1	KDQ11435.1	0.431301	4.07363	0.105876	YN	42.597	164	385	178	10	43	204	52.99	58	424	424	87	87	1	360	360	4.08e-68	219	558	CC2G_004962
