query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_011315596.1	XP_006963301.1	0.628806	3.67719	0.171002	YN	31.655	44	139	71	7	24	66	47.48	34	166	234	57	57	272	392	664	2.56e-11	61.2	147	FGSG_11649
XP_011315598.1	XP_006964051.1	0.270969	4.43232	0.0611348	YN	64.44	328	509	174	3	7	409	80.35	20	527	539	94	94	17	519	535	0	706	1821	FGSG_00015
XP_011315609.1	XP_006963779.1	0.474633	4.201	0.112981	YN	44.591	169	379	208	1	2	249	65.7	1	377	380	99	99	1	379	384	2.65e-121	354	909	FGSG_00024
XP_011315613.1	XP_006964335.1	0.505233	3.84655	0.131347	YN	44.223	111	251	123	6	17	139	55.38	34	276	276	88	88	33	274	274	1.55e-63	199	506	FGSG_00028
XP_011315630.1	XP_006968566.1	0.588346	6.0738	0.0968663	YN	33.479	1535	4585	2770	96	280	2443	53.28	1	4423	4469	99	99	15478	19944	20874	0	2438	6318	FGSG_11659
XP_011315641.1	XP_006967007.1	0.351599	4.08298	0.0861132	YN	60	186	310	124	0	0	232	74.84	9	318	326	95	95	1	310	335	9.37e-141	400	1027	FGSG_00051
XP_011315642.1	XP_006969990.1	0.791992	4.10953	0.192721	YN	28.947	99	342	208	7	35	153	44.74	8	321	333	94	94	29	363	525	5.46e-37	137	345	FGSG_00052
XP_011315643.1	XP_006966512.1	0.352309	4.07761	0.0864009	YN	59.884	206	344	133	2	5	257	74.71	12	350	382	89	89	19	362	389	8.7e-153	435	1118	FGSG_00053
XP_011315644.1	XP_006966999.1	0.316722	4.09091	0.0774209	YN	58.528	175	299	122	1	2	227	75.92	5	301	310	96	96	7	305	306	1.43e-133	380	975	FGSG_00054
XP_011315665.1	XP_006962439.1	0.373064	4.40705	0.0846517	YN	49.341	262	531	263	3	6	347	65.35	11	536	614	86	86	12	541	545	4.3e-176	509	1311	FGSG_00069
XP_011315666.1	XP_006962227.1	0.187458	4.40267	0.0425783	YN	72.571	381	525	143	1	1	450	85.71	9	533	546	96	96	7	530	535	0	826	2134	FGSG_00070
XP_011315669.1	XP_006961393.1	0.626791	2.30394	0.272051	YN	44.272	143	323	172	4	8	197	60.99	13	329	337	94	94	13	333	349	2.39e-82	252	643	FGSG_00073
XP_011315692.1	XP_006964536.1	0.652334	3.76337	0.173338	YN	36	63	175	91	6	21	99	56.57	99	253	270	57	57	79	252	264	4.9e-27	104	259	FGSG_00093
XP_011315718.1	XP_006969922.1	0.162163	2.47983	0.0653928	YN	75.385	392	520	128	0	0	453	87.12	4	523	525	99	99	2	521	523	0	800	2066	FGSG_00116
XP_011315719.1	XP_006969929.1	0.30558	2.36614	0.129147	YN	60.256	141	234	90	1	3	177	75.64	1	231	237	97	97	1	234	242	7.1e-103	296	759	FGSG_00117
XP_011315724.1	XP_006966330.1	0.725349	3.97116	0.182654	YN	33.808	95	281	176	5	10	146	51.96	2	274	288	95	95	15	293	309	3.91e-49	164	414	FGSG_00122
XP_011315728.1	XP_006962060.1	0.437597	4.58	0.0955452	YN	48.633	338	695	343	5	14	467	67.19	139	821	823	83	83	1	693	697	0	707	1826	FGSG_00126
XP_011315742.1	XP_006967053.1	0.14281	2.72381	0.0524302	YN	77.734	391	503	112	0	0	452	89.86	1	503	503	100	100	1	503	503	0	842	2175	FGSG_00139
