query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
EIE75299.1	XP_025188168.1	0.2913	99	0.00294242	YN	56.56	194	343	134	4	15	246	71.72	1	342	350	98	98	61	389	677	2.1e-127	379	974	RO3G_00003
EIE75302.1	XP_025173622.1	0.240534	99	0.00242964	YN	62.166	396	637	234	5	7	511	80.22	158	789	789	80	80	32	666	666	0	859	2219	RO3G_00006
EIE75304.1	XP_025181489.1	0.163074	3.66701	0.0444706	YN	76.245	199	261	61	1	1	225	86.21	9	268	270	96	96	9	269	270	1.4e-151	423	1087	RO3G_00008
EIE75305.1	XP_025171715.1	0.150887	99	0.00152411	YN	77.64	125	161	36	0	0	138	85.71	1	161	161	100	100	1	161	161	2.31e-89	256	655	RO3G_00009
EIE75307.1	XP_025177688.1	0.630012	4.2537	0.148109	YN	32.252	159	493	257	11	77	242	49.09	29	460	483	89	89	69	545	547	2.84e-73	240	613	RO3G_00011
EIE75316.1	XP_025174098.1	0.454655	3.12264	0.145599	YN	43.243	64	148	67	4	17	90	60.81	10	141	141	94	94	1	147	147	2.29e-33	114	284	RO3G_00020
EIE75317.1	XP_025189565.1	0.703554	3.43126	0.205042	YN	30	51	170	112	2	7	85	50	19	182	197	83	83	36	204	221	1.38e-21	87.4	215	RO3G_00021
EIE75319.1	XP_025181409.1	0.612354	3.78143	0.161937	YN	46.067	41	89	41	1	7	52	58.43	5	93	355	25	25	111	192	691	2.85e-12	67	162	RO3G_00023
EIE75326.1	XP_025183576.1	0.353424	4.2494	0.0831702	YN	49.803	253	508	214	9	41	355	69.88	9	488	501	96	96	12	506	562	4.59e-179	513	1322	RO3G_00030
EIE75329.1	XP_025180020.1	0.609766	4.29263	0.142049	YN	31.754	181	570	295	16	94	287	50.35	20	508	512	96	96	159	715	719	5.31e-88	284	727	RO3G_00033
EIE75332.1	XP_025176477.1	0.344387	3.34551	0.10294	YN	49.315	72	146	56	3	18	104	71.23	11	155	171	85	85	94	222	255	1.33e-45	149	376	RO3G_00036
EIE75338.1	XP_025189580.1	0.240209	99	0.00242635	YN	60.248	97	161	57	3	7	126	78.26	1	157	161	98	98	1	158	193	6.76e-64	193	491	RO3G_00042
EIE75345.1	XP_025169040.1	0.534538	3.71117	0.144035	YN	41.011	73	178	93	5	12	107	60.11	140	311	367	47	47	43	214	287	3.57e-32	121	304	RO3G_00049
EIE75351.1	XP_025185802.1	0.579221	4.27594	0.135461	YN	43.58	112	257	109	4	36	165	64.2	163	397	565	42	42	304	546	723	2.41e-65	225	574	RO3G_00055
EIE75356.1	XP_025170768.1	0.460088	99	0.00464735	YN	50.515	49	97	48	0	0	71	73.2	41	137	148	66	66	168	264	321	7.46e-25	96.3	238	RO3G_00060
