query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_011315569.1	XP_023437630.1	0.0975216	1.66381	0.0586133	YN	77.97	315	404	65	2	24	350	86.63	1	386	386	100	100	28	425	425	0	645	1663	FGSG_11585
XP_011315571.1	XP_023437202.1	0.592038	3.93797	0.150341	YN	35.565	85	239	116	7	38	126	52.72	15	236	331	67	67	75	292	365	1.43e-32	123	309	FGSG_14029
XP_011315576.1	XP_023438138.1	0.584917	1.91999	0.304646	YN	47.917	46	96	50	0	0	64	66.67	32	127	132	73	73	37	132	137	1.77e-19	77.4	189	FGSG_11643
XP_011315577.1	XP_023432513.1	0.227944	1.46204	0.155908	YN	60.042	284	473	142	2	47	342	72.3	1	429	435	99	99	1	470	505	0	587	1514	FGSG_11600
XP_011315580.1	XP_023438310.1	0.209352	1.68351	0.124354	YN	69.714	511	733	218	3	4	590	80.49	1	731	733	99	99	1	731	732	0	1033	2671	FGSG_00002
XP_011315582.1	XP_023436429.1	0.373305	2.98552	0.125038	YN	70.246	399	568	148	4	21	445	78.35	75	638	956	59	59	1	551	1111	0	807	2084	FGSG_00003
XP_011315583.1	XP_023436767.1	0.377501	2.68791	0.140444	YN	45.089	101	224	93	5	30	134	59.82	1	224	224	100	100	1	194	194	4.09e-56	176	446	FGSG_00004
XP_011315584.1	XP_023436768.1	0.211955	1.55202	0.136568	YN	69.672	510	732	216	3	6	590	80.6	1	730	730	100	100	1	728	728	0	1030	2663	FGSG_00005
XP_011315585.1	XP_023437241.1	0.113441	0.87334	0.129893	YN	79.233	248	313	49	2	16	265	84.66	1	297	297	100	100	1	313	313	8.91e-175	484	1246	FGSG_00006
XP_011315587.1	XP_023426922.1	0.403402	0.711282	0.567147	YN	49.189	91	185	74	1	20	129	69.73	1	165	683	24	24	1	185	660	4.35e-40	155	392	FGSG_11645
