query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_011315577.1	XP_008602384.1	0.243061	1.50232	0.16179	YN	60.677	287	473	142	1	44	340	71.88	1	429	435	99	99	161	633	658	0	588	1515	FGSG_11600
XP_011315608.1	XP_008599351.1	0.189587	3.77863	0.0501734	YN	69.403	186	268	72	4	10	221	82.46	1	264	264	100	100	1	262	262	2.14e-130	368	945	FGSG_00023
XP_011315609.1	XP_008596824.1	0.367445	4.13357	0.088893	YN	49.618	195	393	171	5	27	270	68.7	1	377	380	99	99	1	382	392	1.03e-139	402	1032	FGSG_00024
XP_011315613.1	XP_008595693.1	0.435336	3.81208	0.114199	YN	48.899	111	227	99	8	17	140	61.67	57	274	276	79	79	95	313	318	9.42e-64	201	512	FGSG_00028
XP_011315614.1	XP_008601646.1	0.427	3.56117	0.119904	YN	38.596	66	171	62	4	43	91	53.22	6	133	179	72	72	12	182	695	2.16e-31	117	294	FGSG_00029
XP_011315627.1	XP_008596590.1	0.557737	4.66647	0.11952	YN	41.655	287	689	380	8	22	396	57.47	48	718	727	92	92	44	728	736	1.06e-171	509	1310	FGSG_00040
XP_011315630.1	XP_008600046.1	0.700757	6.05485	0.115735	YN	33.257	1455	4375	2626	96	294	2271	51.91	1	4193	4469	99	94	57	4319	4531	0	2191	5678	FGSG_11659
XP_011315641.1	XP_008602053.1	0.282971	4.04306	0.0699894	YN	64.557	204	316	112	0	0	261	82.59	6	321	326	97	97	3	318	332	4.33e-160	449	1154	FGSG_00051
XP_011315642.1	XP_008596496.1	0.683741	4.05238	0.168726	YN	27.855	100	359	203	10	56	153	42.62	8	323	333	95	95	15	360	406	6.96e-31	119	298	FGSG_00052
XP_011315645.1	XP_008601725.1	0.787859	5.72542	0.137607	YN	27.009	867	3210	2093	68	250	1441	44.89	39	3116	3118	99	99	26	3117	3234	0	1032	2668	FGSG_00055
XP_011315675.1	XP_008602541.1	0.588489	4.21802	0.139518	YN	38.786	147	379	205	9	27	215	56.73	5	366	414	87	87	11	379	413	2.18e-83	259	663	FGSG_00079
XP_011315676.1	XP_008601619.1	0.594021	3.87823	0.153168	YN	34.507	98	284	156	8	30	147	51.76	68	336	344	78	78	37	305	318	9.24e-47	159	403	FGSG_00080
XP_011315677.1	XP_008599669.1	0.52397	4.65912	0.112461	YN	40.262	277	688	361	13	50	404	58.72	15	684	691	97	97	4	659	722	1.34e-163	486	1252	FGSG_00081
XP_011315688.1	XP_008593416.1	0.445212	3.18607	0.139737	YN	51.757	162	313	149	2	2	213	68.05	5	315	321	97	97	3	315	317	9.67e-100	295	755	FGSG_00090
XP_011315695.1	XP_008599157.1	0.528192	4.82098	0.109561	YN	40.413	411	1017	567	21	39	603	59.29	6	996	1004	99	99	7	1010	1016	0	760	1963	FGSG_00096
XP_011315703.1	XP_008600796.1	0.504408	4.66214	0.108192	YN	41.584	294	707	352	19	61	403	57	7	683	685	99	99	20	695	696	6.35e-160	476	1224	FGSG_00103
XP_011315706.1	XP_008594742.1	0.347375	4.06613	0.0854315	YN	53.922	165	306	123	7	18	206	67.32	1	297	301	99	99	1	297	315	3.77e-102	300	768	FGSG_11676
XP_011315717.1	XP_008598084.1	0.49741	4.20036	0.118421	YN	38.346	153	399	188	4	58	225	56.39	4	344	347	98	98	7	405	407	5.22e-96	290	741	FGSG_00115
XP_011315718.1	XP_008598083.1	0.146594	4.3698	0.0335471	YN	77.291	388	502	114	0	0	446	88.84	21	522	525	96	96	15	516	524	0	797	2058	FGSG_00116
XP_011315719.1	XP_008598085.1	0.404586	3.8624	0.10475	YN	52.675	128	243	105	3	10	166	68.31	1	234	237	99	99	1	242	309	1.79e-84	252	644	FGSG_00117
XP_011315726.1	XP_008594038.1	0.320477	4.02188	0.0796835	YN	59.425	186	313	126	1	1	232	74.12	5	316	320	98	98	8	320	321	1.25e-141	401	1031	FGSG_00124
XP_011315728.1	XP_008594171.1	0.511293	4.88084	0.104755	YN	43.566	369	847	438	9	40	510	60.21	5	820	823	99	99	8	845	849	0	700	1806	FGSG_00126
XP_011315734.1	XP_008602443.1	0.144057	1.8342	0.0785393	YN	70.567	199	282	59	2	24	227	80.5	1	258	259	99	99	1	282	413	4.79e-145	411	1056	FGSG_00132
XP_011315741.1	XP_008596648.1	0.589882	4.15218	0.142066	YN	39.104	131	335	200	3	4	204	60.9	1	333	341	98	98	1	333	345	2.96e-78	242	617	FGSG_00138
XP_011315743.1	XP_008602303.1	0.363429	4.84266	0.0750473	YN	51.245	494	964	431	15	39	643	66.7	115	1053	1063	88	88	47	996	1005	0	917	2369	FGSG_00140
XP_011315748.1	XP_008596647.1	0.703897	2.88433	0.244042	YN	34.234	114	333	193	9	26	177	53.15	352	665	692	45	45	61	386	441	1.11e-44	164	416	FGSG_00144
XP_011315756.1	XP_008601758.1	0.226253	3.89774	0.0580471	YN	65.517	228	348	118	1	2	279	80.17	1	348	349	99	99	1	346	350	1.72e-172	482	1240	FGSG_00150
XP_011315759.1	XP_008597945.1	0.238533	4.45099	0.0535911	YN	61.242	365	596	198	9	33	455	76.34	16	581	584	97	97	11	603	605	0	694	1792	FGSG_00152
XP_011315770.1	XP_008602316.1	0.322885	4.53378	0.0712176	YN	61.023	346	567	218	3	3	438	77.25	13	576	583	97	97	22	588	603	0	709	1829	FGSG_00161
XP_011315771.1	XP_008601450.1	0.342965	4.26807	0.0803561	YN	54.048	227	420	176	4	17	297	70.71	1	419	423	99	99	1	404	446	4.55e-159	454	1169	FGSG_00162
XP_011315777.1	XP_008597943.1	0.267816	4.88155	0.0548629	YN	68.665	607	884	268	6	9	714	80.77	56	936	943	93	93	72	949	950	0	1236	3198	FGSG_00166
XP_011315780.1	XP_008597942.1	0.0990919	3.20686	0.0309	YN	85.088	97	114	17	0	0	106	92.98	1	114	114	100	100	1	114	114	1.24e-72	210	534	FGSG_00168
XP_011315781.1	XP_008597941.1	0.245629	99	0.0024811	YN	77.835	151	194	43	0	0	167	86.08	1	194	394	49	49	1	194	256	1.18e-104	308	789	FGSG_00169
XP_011315782.1	XP_008597940.1	0.0644474	1.71237	0.0376364	YN	84.112	180	214	24	3	10	191	89.25	1	205	206	99	99	1	213	234	2.21e-123	347	890	FGSG_00170
XP_011315783.1	XP_008597939.1	0.470933	3.54586	0.132812	YN	44.805	69	154	68	5	17	95	61.69	22	162	162	87	87	25	174	174	2.94e-15	68.2	165	FGSG_00171
XP_011315785.1	XP_008600729.1	0.392785	3.82228	0.102762	YN	53.191	125	235	106	2	4	161	68.51	7	241	241	98	98	3	233	233	4.44e-84	249	635	FGSG_00172
XP_011315786.1	XP_008597938.1	0.376737	3.97823	0.0946996	YN	51.17	175	342	161	4	6	229	66.96	9	344	370	91	91	9	350	552	3.27e-118	352	903	FGSG_00173
XP_011315787.1	XP_008602319.1	0.470611	3.66787	0.128306	YN	43.158	82	190	90	2	18	111	58.42	3	192	193	98	98	13	184	186	1.45e-47	152	385	FGSG_00174
XP_011315788.1	XP_008599629.1	0.0426269	3.80786	0.0111944	YN	92.386	364	394	30	0	0	383	97.21	1	394	394	100	100	79	472	472	0	767	1980	FGSG_00175
XP_011315789.1	XP_008599596.1	0.108193	4.34032	0.0249273	YN	79.703	483	606	115	5	8	538	88.78	1	600	600	100	100	1	604	604	0	995	2573	FGSG_00176
XP_011315790.1	XP_008599597.1	0.077288	3.7624	0.0205422	YN	86.691	241	278	37	0	0	263	94.6	6	283	284	98	98	4	281	286	0	504	1299	FGSG_00177
