query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
EIE75299.1	XP_023465649.1	0.174174	1.45364	0.119819	YN	75	240	320	78	2	2	274	85.62	1	319	350	91	91	61	379	388	1.73e-172	483	1243	RO3G_00003
EIE75300.1	XP_023465650.1	0.317788	3.44348	0.0922867	YN	51.252	307	599	248	6	44	414	69.12	5	567	571	99	99	154	744	752	0	602	1551	RO3G_00004
EIE75301.1	XP_023465652.1	0.063221	3.95669	0.0159783	YN	83.569	295	353	41	1	17	316	89.52	1	336	336	100	100	1	353	353	0	611	1575	RO3G_00005
EIE75302.1	XP_023465655.1	0.0472567	1.82188	0.0259384	YN	91.345	591	647	56	0	0	629	97.22	143	789	789	82	82	34	680	680	0	1275	3300	RO3G_00006
EIE75303.1	XP_023469528.1	0.143842	3.53457	0.0406957	YN	87.162	129	148	15	1	4	135	91.22	1	144	346	42	42	1	148	187	1.63e-95	280	716	RO3G_00007
EIE75304.1	XP_023469531.1	0.0286601	1.15302	0.0248566	YN	93.704	253	270	17	0	0	263	97.41	1	270	270	100	100	1	270	270	0	532	1371	RO3G_00008
EIE75307.1	XP_023466402.1	0.251625	2.57466	0.0977314	YN	56.167	296	527	161	6	70	369	70.02	23	483	483	95	95	49	571	571	0	575	1483	RO3G_00011
EIE75310.1	XP_023470274.1	0.117667	1.73749	0.0677223	YN	80.02	781	976	188	2	7	882	90.37	1	969	969	100	100	1	976	976	0	1662	4303	RO3G_00014
EIE75311.1	XP_023463130.1	0.24049	3.43592	0.0699928	YN	48.969	95	194	51	3	48	119	61.34	3	148	153	95	95	273	466	475	4.12e-58	186	471	RO3G_00015
EIE75316.1	XP_023468055.1	0.170553	3.3385	0.0510866	YN	67.097	104	155	37	3	14	117	75.48	1	141	141	100	100	1	155	155	3.16e-68	201	512	RO3G_00020
EIE75317.1	XP_023468054.1	0.254212	3.66027	0.0694517	YN	69.565	128	184	56	0	0	147	79.89	14	197	197	93	93	16	199	199	7.48e-96	275	704	RO3G_00021
EIE75318.1	XP_023468053.1	0.115988	2.42747	0.0477815	YN	80.81	379	469	90	0	0	424	90.41	1	469	469	100	100	1	469	469	0	778	2008	RO3G_00022
EIE75319.1	XP_023470266.1	0.517267	4.02844	0.128404	YN	43.976	146	332	167	7	19	205	61.75	4	331	355	92	92	128	444	480	5.81e-73	233	593	RO3G_00023
EIE75320.1	XP_023470267.1	0.0319457	1.15166	0.0277388	YN	87.532	344	393	27	2	22	362	92.11	1	371	371	100	100	1	393	393	0	712	1839	RO3G_00024
EIE75324.1	XP_023468059.1	0.314864	2.41818	0.130207	YN	51.379	149	290	96	11	45	174	60	1	264	286	92	92	8	278	357	1.5e-69	218	554	RO3G_00028
EIE75326.1	XP_023468061.1	0.170145	1.51659	0.112189	YN	71.654	364	508	135	2	9	441	86.81	1	499	501	99	99	1	508	509	0	786	2029	RO3G_00030
EIE75329.1	XP_023468039.1	0.272353	2.02052	0.134794	YN	57.193	326	570	184	7	60	412	72.28	1	511	512	99	99	198	766	770	0	667	1720	RO3G_00033
EIE75331.1	XP_023468036.1	0.470132	2.01879	0.232878	YN	31.579	132	418	135	16	151	188	44.98	10	296	297	97	97	12	409	411	5.16e-46	158	400	RO3G_00035
EIE75332.1	XP_023468035.1	0.253526	3.40391	0.0744808	YN	67.333	101	150	33	1	16	117	78	8	157	171	88	88	90	223	252	1.26e-66	202	513	RO3G_00036
