query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_001545066.1	KAF7880165.1	0.0133257	0.217234	0.0613426	YN	97.163	137	141	4	0	0	138	97.87	1	141	141	100	100	1	141	141	6.69e-94	266	680	XP_001545066.1
XP_001545074.2	KAF7890752.1	0.0478609	0.298916	0.160115	YN	90.638	213	235	22	0	0	225	95.74	1	235	235	100	100	1	235	235	1.49e-133	374	960	XP_001545074.2
XP_001545093.1	KAF7897821.1	0.0193239	0.29061	0.0664941	YN	95.575	216	226	9	1	1	222	98.23	1	226	226	100	100	1	225	225	1.14e-131	369	946	XP_001545093.1
XP_001545099.2	KAF7900281.1	0.063951	0.376453	0.169878	YN	87.773	402	458	54	1	2	432	94.32	15	470	470	97	97	16	473	473	0	827	2136	XP_001545099.2
XP_001545105.2	KAF7907271.1	0.120255	0.352291	0.341351	YN	78.093	303	388	82	2	3	339	87.37	1	386	386	100	100	1	387	387	0	584	1506	XP_001545105.2
XP_001545106.2	KAF7905292.1	0.0890535	0.348597	0.255463	YN	84.375	243	288	45	0	0	261	90.62	1	288	288	100	100	1	288	288	0	508	1307	XP_001545106.2
XP_001545118.2	KAF7892362.1	0.267381	0.36451	0.733536	YN	46.667	77	165	51	2	37	99	60	3	163	163	99	99	1	132	132	3.05e-44	141	355	XP_001545118.2
XP_001545135.2	KAF7905069.1	0.646779	4.11952	0.157004	YN	31.343	126	402	233	12	43	201	50	7	382	388	97	97	21	405	410	2.94e-55	186	471	XP_001545135.2
XP_001545138.2	KAF7911354.1	0.107263	0.213349	0.502758	YN	81.319	148	182	34	0	0	157	86.26	1	182	182	100	100	1	182	182	6.36e-108	305	781	XP_001545138.2
XP_001545147.1	KAF7912927.1	0.0924009	0.328215	0.281525	YN	83.265	204	245	41	0	0	221	90.2	1	245	245	100	100	1	245	245	1.13e-154	428	1101	XP_001545147.1
XP_001545155.2	KAF7911355.1	0.0421563	0.196623	0.214402	YN	91.552	531	580	49	0	0	554	95.52	1	580	580	100	100	1	580	580	0	1067	2759	XP_001545155.2
