query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_041139760.1	XP_001816535.3	0.00226559	0.0186022	0.121792	YN	99.506	403	405	2	0	0	405	100	186	590	590	69	69	1	405	405	0	833	2151	XP_041139760.1
XP_041139761.1	XP_023088478.1	0.0441551	0.0991951	0.445134	YN	91.202	425	466	12	1	29	425	91.2	106	542	542	81	81	28	493	493	0	826	2134	XP_041139761.1
XP_041139762.1	XP_023088479.1	0.0750813	0.0959556	0.782459	YN	84.878	348	410	37	2	25	353	86.1	60	454	454	87	87	4	403	403	0	696	1795	XP_041139762.1
XP_041139763.1	XP_001816538.3	0.00224755	0.00988474	0.227376	YN	99.499	397	399	2	0	0	398	99.75	59	457	457	87	87	1	399	460	0	825	2130	XP_041139763.1
XP_041139764.1	XP_023088480.1	NA	0.0175344	0	YN	100	304	304	0	0	0	304	100	153	456	456	67	67	1	304	304	0	613	1581	XP_041139764.1
XP_041139765.1	XP_001816541.3	0.00312121	0.013744	0.227096	YN	99.363	156	157	1	0	0	157	100	7	163	163	96	96	1	157	157	7.36e-112	313	802	XP_041139765.1
XP_041139770.1	XP_023088482.1	0.00910599	0.0138609	0.656957	YN	96.012	626	652	12	1	14	629	96.47	1	638	638	100	100	1	652	652	0	1291	3342	XP_041139770.1
XP_041139772.1	XP_023088485.1	0.044609	0.081289	0.54877	YN	98.741	549	556	7	0	0	549	98.74	146	701	1023	54	54	1	556	612	0	1144	2958	XP_041139772.1
XP_041139773.1	XP_023088486.1	0.0362334	0.0663411	0.546169	YN	99.614	258	259	1	0	0	258	99.61	71	329	329	79	79	14	272	272	0	531	1368	XP_041139773.1
XP_041139774.1	XP_001816548.3	0.0238796	0.0767478	0.311144	YN	94.798	164	173	8	1	1	167	96.53	1	173	290	60	60	1	172	175	7.61e-117	332	850	XP_041139774.1
XP_041139775.1	XP_001816549.1	0.00223422	0.0280717	0.0795897	YN	99.496	395	397	2	0	0	395	99.5	1	397	397	100	100	1	397	397	0	809	2089	XP_041139775.1
XP_041139776.1	XP_001816550.1	0.00429207	0.0152665	0.281144	YN	99.071	320	323	3	0	0	322	99.69	1	323	323	100	100	1	323	323	0	658	1697	XP_041139776.1
XP_041139777.1	XP_001816551.3	0.0294223	0.048181	0.610661	YN	97.931	142	145	3	0	0	143	98.62	1	145	184	79	79	1	145	150	3.66e-105	296	759	XP_041139777.1
XP_041139778.1	XP_023088487.1	0.141178	0.315752	0.447117	YN	98.266	170	173	3	0	0	171	98.84	66	238	238	73	73	78	250	250	7.41e-124	350	898	XP_041139778.1
XP_041139780.1	XP_023088488.1	0.00880275	0.0157149	0.560152	YN	98.363	721	733	12	0	0	723	98.64	1	733	733	100	100	1	733	733	0	1493	3864	XP_041139780.1
XP_041139781.1	XP_001816554.1	0.00396267	0.00459256	0.862846	YN	99.174	480	484	4	0	0	482	99.59	1	484	484	100	100	1	484	484	0	978	2527	XP_041139781.1
XP_041139782.1	XP_001816555.1	0.00281291	0.0157491	0.178608	YN	99.383	322	324	2	0	0	323	99.69	1	324	324	100	100	1	324	324	0	664	1714	XP_041139782.1
