qseqid	PS
XP_001545066.1	3
XP_001545074.2	4
XP_001545093.1	6
XP_001545099.2	6
XP_001545105.2	4
XP_001545106.2	10
XP_001545118.2	10
XP_001545135.2	3
XP_001545138.2	10
XP_001545147.1	10
XP_001545155.2	3
XP_001545158.2	3
XP_001545162.2	3
XP_001545175.1	3
XP_001545177.2	10
XP_001545194.2	6
XP_001545203.1	3
XP_001545212.1	4
XP_001545221.2	3
XP_001545222.2	3
XP_001545239.2	3
XP_001545243.2	6
XP_001545252.2	3
XP_001545263.2	5
XP_001545265.2	3
XP_001545266.2	4
XP_001545267.1	3
XP_001545274.2	4
XP_001545282.2	4
XP_001545283.2	3
XP_001545292.2	10
XP_001545295.2	4
XP_001545296.2	4
XP_001545300.1	5
XP_001545301.2	3
XP_001545304.1	3
XP_001545305.1	3
XP_001545306.1	3
XP_001545336.1	4
XP_001545338.2	3
XP_001545339.1	3
XP_001545354.2	4
XP_001545358.1	3
XP_001545365.1	3
XP_001545374.1	4
XP_001545380.1	4
XP_001545393.1	3
XP_001545401.1	3
XP_001545413.1	3
XP_001545414.1	3
XP_001545419.2	4
XP_001545425.1	3
XP_001545427.1	10
XP_001545450.2	4
XP_001545454.2	3
XP_001545455.1	3
XP_001545460.1	6
XP_001545462.1	4
XP_001545468.2	3
XP_001545469.2	3
XP_001545484.1	6
XP_001545487.1	3
XP_001545489.1	9
XP_001545490.2	3
XP_001545493.1	4
XP_001545511.1	6
XP_001545514.1	3
XP_001545515.1	10
XP_001545521.1	3
XP_001545524.1	7
XP_001545525.2	7
XP_001545528.2	6
XP_001545529.2	6
XP_001545545.1	3
XP_001545547.1	4
XP_001545550.2	6
XP_001545551.1	4
XP_001545553.1	5
XP_001545556.1	3
XP_001545557.1	10
XP_001545559.2	10
XP_001545576.1	12
XP_001545578.1	3
XP_001545579.1	3
XP_001545580.1	3
XP_001545584.1	3
XP_001545585.2	3
XP_001545586.2	3
XP_001545591.1	4
XP_001545592.1	4
XP_001545600.1	3
XP_001545604.2	6
XP_001545605.1	3
XP_001545606.1	3
XP_001545614.2	4
XP_001545622.1	3
XP_001545628.2	10
XP_001545630.1	10
XP_001545631.2	10
XP_001545632.1	10
XP_001545640.2	3
XP_001545642.2	3
XP_001545643.1	3
XP_001545647.1	3
XP_001545648.1	3
XP_001545649.1	3
XP_001545671.1	3
XP_001545672.1	3
XP_001545677.2	4
XP_001545678.1	4
XP_001545681.1	3
XP_001545683.2	3
XP_001545690.1	4
XP_001545692.1	3
XP_001545693.2	3
XP_001545697.1	6
XP_001545698.2	4
XP_001545700.1	3
XP_001545704.1	4
XP_001545705.1	3
XP_001545706.2	4
XP_001545709.1	3
XP_001545710.2	3
XP_001545714.1	4
XP_001545716.1	3
XP_001545718.2	6
XP_001545719.1	6
XP_001545720.2	3
XP_001545723.2	10
XP_001545724.2	4
XP_001545731.2	3
XP_001545734.2	9
XP_001545739.1	10
XP_001545744.2	4
XP_001545747.2	3
XP_001545750.1	10
XP_001545752.1	3
XP_001545753.1	3
XP_001545754.2	3
XP_001545761.1	3
XP_001545762.1	4
XP_001545763.1	3
XP_001545772.1	3
XP_001545780.2	9
XP_001545783.2	3
XP_001545784.1	3
XP_001545785.1	3
XP_001545788.1	3
XP_001545794.1	4
XP_001545800.1	3
XP_001545803.2	12
XP_001545807.1	10
XP_001545809.1	3
XP_001545811.1	4
XP_001545820.1	4
XP_001545824.1	6
XP_001545827.2	4
XP_001545830.2	3
XP_001545837.2	3
XP_001545840.2	10
XP_001545842.1	10
XP_001545846.2	3
XP_001545849.1	3
XP_001545850.2	6
XP_001545851.2	3
XP_001545853.1	4
XP_001545862.1	3
XP_001545864.2	3
XP_001545865.1	3
XP_001545866.1	3
XP_001545868.2	3
XP_001545869.1	3
XP_001545872.1	3
XP_001545879.1	3
XP_001545882.1	3
XP_001545883.2	7
XP_001545889.1	5
XP_001545890.1	10
XP_001545891.1	6
XP_001545892.1	10
XP_001545895.2	10
XP_001545898.2	4
XP_001545900.1	3
XP_001545901.2	3
XP_001545904.1	3
XP_001545907.2	10
XP_001545909.1	6
XP_001545913.1	3
XP_001545917.2	3
XP_001545926.1	4
XP_001545928.1	4
XP_001545934.1	4
XP_001545935.2	3
XP_001545937.2	11
XP_001545939.1	10
XP_001545949.1	4
XP_001545950.2	4
XP_001545951.1	3
XP_001545952.1	3
XP_001545954.1	4
XP_001545967.2	6
XP_001545969.1	3
XP_001545974.1	10
XP_001545976.1	6
XP_001545978.2	9
XP_001545980.1	3
XP_001545985.1	3
XP_001545990.2	3
XP_001545997.2	3
XP_001545998.1	4
XP_001546000.1	3
XP_001546001.1	3
XP_001546002.1	3
XP_001546003.1	4
XP_001546008.1	3
XP_001546009.1	3
XP_001546012.2	6
XP_001546018.1	3
XP_001546019.2	4
XP_001546020.1	6
XP_001546022.2	3
XP_001546024.1	4
XP_001546025.2	3
XP_001546026.2	4
XP_001546038.1	10
XP_001546040.2	3
XP_001546041.1	10
XP_001546044.1	3
XP_001546054.1	4
XP_001546056.2	3
XP_001546057.1	3
XP_001546058.1	3
XP_001546059.2	3
XP_001546060.2	3
XP_001546065.1	6
XP_001546066.2	3
XP_001546067.1	6
XP_001546070.1	3
XP_001546073.1	4
XP_001546085.1	12
XP_001546090.2	12
XP_001546091.2	12
XP_001546092.2	10
XP_001546099.2	3
XP_001546100.1	4
XP_001546106.1	3
XP_001546108.1	3
XP_001546114.2	4
XP_001546124.1	4
XP_001546125.1	4
XP_001546126.1	3
XP_001546129.2	9
XP_001546130.1	4
XP_001546132.1	3
XP_001546144.1	4
XP_001546147.1	3
XP_001546148.2	6
XP_001546152.2	10
XP_001546156.1	3
XP_001546157.1	3
XP_001546158.1	3
XP_001546159.2	3
XP_001546162.1	4
XP_001546163.1	3
XP_001546164.1	3
XP_001546165.1	4
XP_001546167.1	4
XP_001546171.1	3
XP_001546172.1	3
XP_001546173.1	9
XP_001546179.1	3
XP_001546184.2	4
XP_001546186.1	4
XP_001546193.2	3
XP_001546197.1	3
XP_001546206.1	3
XP_001546211.1	4
XP_001546212.1	3
XP_001546217.2	3
XP_001546218.1	4
XP_001546223.1	3
XP_001546235.2	6
XP_001546237.1	6
XP_001546239.1	3
XP_001546241.1	3
XP_001546245.2	6
XP_001546250.2	4
XP_001546252.1	4
XP_001546253.1	3
XP_001546259.1	10
XP_001546261.1	6
XP_001546270.1	3
XP_001546272.1	3
XP_001546273.1	3
XP_001546275.1	3
XP_001546276.2	3
XP_001546277.1	4
XP_001546283.1	10
XP_001546294.1	3
XP_001546298.2	10
XP_001546301.1	3
XP_001546302.1	3
XP_001546303.1	4
XP_001546309.1	3
XP_001546315.2	4
XP_001546317.1	3
XP_001546321.1	3
XP_001546324.1	4
XP_001546325.2	3
XP_001546333.1	3
XP_001546334.1	4
XP_001546335.1	6
XP_001546341.1	3
XP_001546343.1	10
XP_001546351.1	3
XP_001546353.1	3
XP_001546355.1	6
XP_001546357.1	4
XP_001546360.1	6
XP_001546372.1	3
XP_001546373.1	4
XP_001546374.1	9
XP_001546376.1	3
XP_001546379.2	3
XP_001546383.1	6
XP_001546386.1	3
XP_001546392.2	9
XP_001546394.1	4
XP_001546403.1	3
XP_001546404.1	3
XP_001546406.1	3
XP_001546413.2	6
XP_001546414.2	3
XP_001546415.1	4
XP_001546418.1	10
XP_001546425.1	4
XP_001546427.1	3
XP_001546430.1	4
XP_001546435.1	3
XP_001546437.1	9
XP_001546438.1	6
XP_001546440.1	3
XP_001546441.1	3
XP_001546442.1	3
XP_001546443.1	3
XP_001546444.1	3
XP_001546448.2	3
XP_001546449.2	3
XP_001546453.1	3
