query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
KAG2001562.1	KZO94675.1	0.208427	4.28764	0.0486111	YN	75.515	330	437	104	1	3	379	86.73	42	475	477	91	91	360	796	800	0	647	1670	CC2G_006699
KAG2001564.1	KZO99099.1	0.519787	3.98373	0.130477	YN	40.938	131	320	185	3	4	198	61.88	2	318	333	95	95	5	323	344	6.91e-84	256	653	CC2G_006701
KAG2001566.1	KZO94693.1	0.269244	3.283	0.0820114	YN	58.12	68	117	39	2	10	86	73.5	9	125	125	94	94	6	112	112	2.6e-41	131	330	CC2G_006703
KAG2001568.1	KZO94692.1	0.474947	3.09585	0.153414	YN	50	43	86	43	0	0	64	74.42	5	90	103	83	83	2	87	119	5.94e-29	99.8	247	CC2G_006705
KAG2001578.1	KZO94670.1	0.514939	4.15173	0.12403	YN	38.992	147	377	197	15	33	202	53.58	35	387	601	59	59	2	369	411	6.17e-52	182	462	CC2G_006714
KAG2001579.1	KZO99141.1	0.519362	4.01802	0.129258	YN	43.403	125	288	151	6	12	177	61.46	11	294	295	96	96	6	285	287	2.25e-72	223	568	CC2G_006715
KAG2001581.1	KZO94683.1	0.543062	3.07757	0.176458	YN	39.048	287	735	343	19	105	398	54.15	10	727	745	96	96	13	659	747	1.45e-145	442	1138	CC2G_006716
KAG2001704.1	KZO89369.1	0.115201	2.32912	0.0494613	YN	81.25	52	64	12	0	0	62	96.88	6	69	528	12	12	3	66	66	4.1e-31	113	283	CC2G_004995
KAG2001801.1	KZO97927.1	0.510315	4.12038	0.123852	YN	44.126	154	349	169	8	26	205	58.74	68	413	439	79	79	20	345	363	5.96e-89	273	698	CC2G_004930
KAG2001804.1	KZO93582.1	0.800797	5.13923	0.15582	YN	26.598	387	1455	940	31	128	732	50.31	21	1413	1914	73	73	42	1430	1487	4.95e-109	382	980	CC2G_004933
KAG2001805.1	KZO96728.1	0.107162	99	0.00108244	YN	85.246	104	122	16	1	2	114	93.44	1	120	122	98	98	1	122	124	7.6e-73	211	538	CC2G_004934
KAG2001807.1	KZO92037.1	0.694158	3.90008	0.177986	YN	28.986	40	138	75	5	23	62	44.93	1	134	286	47	47	85	203	333	8.09e-07	48.1	113	CC2G_004936
KAG2001813.1	KZO97008.1	0.594988	4.86565	0.122283	YN	38.091	387	1016	597	12	32	602	59.25	18	1023	1025	98	98	301	1294	1297	0	615	1587	CC2G_004942
