Gene	PS
BD626DRAFT_100067	12
BD626DRAFT_100131	1
BD626DRAFT_100321	1
BD626DRAFT_100352	10
BD626DRAFT_100532	10
BD626DRAFT_100641	1
BD626DRAFT_100644	10
BD626DRAFT_100674	1
BD626DRAFT_100707	10
BD626DRAFT_100727	4
BD626DRAFT_100801	1
BD626DRAFT_101071	7
BD626DRAFT_101085	12
BD626DRAFT_101115	10
BD626DRAFT_101178	2
BD626DRAFT_101339	1
BD626DRAFT_101425	12
BD626DRAFT_101641	2
BD626DRAFT_101742	1
BD626DRAFT_101811	2
BD626DRAFT_101821	7
BD626DRAFT_101829	7
BD626DRAFT_101842	1
BD626DRAFT_101865	12
BD626DRAFT_102190	10
BD626DRAFT_102276	10
BD626DRAFT_102394	2
BD626DRAFT_102531	1
BD626DRAFT_102905	9
BD626DRAFT_102957	9
BD626DRAFT_103250	2
BD626DRAFT_103402	10
BD626DRAFT_103502	3
BD626DRAFT_103641	2
BD626DRAFT_103722	2
BD626DRAFT_103776	10
BD626DRAFT_10382	1
BD626DRAFT_103837	2
BD626DRAFT_103880	12
BD626DRAFT_104200	2
BD626DRAFT_104263	1
BD626DRAFT_104447	2
BD626DRAFT_104481	12
BD626DRAFT_104585	7
BD626DRAFT_104598	1
BD626DRAFT_104675	1
BD626DRAFT_104693	10
BD626DRAFT_104741	12
BD626DRAFT_104749	4
BD626DRAFT_104772	10
BD626DRAFT_104781	4
BD626DRAFT_104870	1
BD626DRAFT_104873	2
BD626DRAFT_104975	1
BD626DRAFT_105221	6
BD626DRAFT_105388	2
BD626DRAFT_105531	1
BD626DRAFT_105568	4
BD626DRAFT_105680	12
BD626DRAFT_105774	2
BD626DRAFT_105866	1
BD626DRAFT_106192	1
BD626DRAFT_106358	6
BD626DRAFT_106380	2
BD626DRAFT_106415	1
BD626DRAFT_10642	12
BD626DRAFT_106499	7
BD626DRAFT_106512	3
BD626DRAFT_106582	9
BD626DRAFT_106986	6
BD626DRAFT_107171	12
BD626DRAFT_107195	2
BD626DRAFT_107199	2
BD626DRAFT_107232	12
BD626DRAFT_107237	12
BD626DRAFT_107266	10
BD626DRAFT_107286	12
BD626DRAFT_107320	7
BD626DRAFT_107400	2
BD626DRAFT_107631	1
BD626DRAFT_107894	1
BD626DRAFT_107944	3
BD626DRAFT_108006	1
BD626DRAFT_108033	12
BD626DRAFT_108432	1
BD626DRAFT_108573	12
BD626DRAFT_108580	4
BD626DRAFT_108585	4
BD626DRAFT_108600	1
BD626DRAFT_108602	12
BD626DRAFT_108740	10
BD626DRAFT_108941	1
BD626DRAFT_108980	1
BD626DRAFT_109000	1
BD626DRAFT_109148	1
BD626DRAFT_109291	12
BD626DRAFT_109372	3
BD626DRAFT_109569	12
BD626DRAFT_10966	1
BD626DRAFT_109678	7
BD626DRAFT_109711	2
BD626DRAFT_109865	9
BD626DRAFT_110161	1
BD626DRAFT_110351	2
BD626DRAFT_110376	10
BD626DRAFT_110489	1
BD626DRAFT_110588	1
BD626DRAFT_110629	1
BD626DRAFT_110649	6
BD626DRAFT_110852	1
BD626DRAFT_110895	7
BD626DRAFT_110904	1
BD626DRAFT_111109	1
BD626DRAFT_111278	12
BD626DRAFT_111315	10
BD626DRAFT_111410	12
BD626DRAFT_111490	2
BD626DRAFT_111606	1
BD626DRAFT_111792	1
BD626DRAFT_111827	4
BD626DRAFT_111869	12
BD626DRAFT_112139	1
BD626DRAFT_112177	12
BD626DRAFT_112201	1
BD626DRAFT_112313	1
BD626DRAFT_112483	1
BD626DRAFT_112494	1
BD626DRAFT_112686	12
BD626DRAFT_11275	6
BD626DRAFT_112924	1
BD626DRAFT_11299	12
BD626DRAFT_112998	2
BD626DRAFT_11308	1
BD626DRAFT_113323	2
BD626DRAFT_113332	5
BD626DRAFT_113343	2
BD626DRAFT_113617	1
BD626DRAFT_113641	6
BD626DRAFT_113689	12
BD626DRAFT_113698	12
BD626DRAFT_113756	5
BD626DRAFT_113783	6
BD626DRAFT_113861	4
BD626DRAFT_113983	7
BD626DRAFT_114087	10
BD626DRAFT_114095	2
BD626DRAFT_114284	1
BD626DRAFT_114473	2
BD626DRAFT_114531	5
BD626DRAFT_11463	1
BD626DRAFT_114711	12
BD626DRAFT_114996	3
BD626DRAFT_115103	9
BD626DRAFT_115107	12
BD626DRAFT_115272	7
BD626DRAFT_115408	1
BD626DRAFT_115682	2
BD626DRAFT_115759	12
BD626DRAFT_115810	1
BD626DRAFT_116003	2
BD626DRAFT_116106	12
BD626DRAFT_116156	1
BD626DRAFT_116220	2
BD626DRAFT_116331	1
BD626DRAFT_116439	6
BD626DRAFT_116542	1
BD626DRAFT_11655	7
BD626DRAFT_116686	12
BD626DRAFT_11669	1
BD626DRAFT_116691	1
