query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
ELU35493.1	KAB5595523.1	0.425665	2.60662	0.163301	YN	68	17	25	8	0	0	23	92	12	36	52	48	48	68	92	234	1.07e-07	44.3	103	ELU35493.1
ELU35501.1	KAB5591639.1	0.147575	3.10113	0.0475875	YN	91.429	64	70	6	0	0	67	95.71	11	80	94	74	74	315	384	519	4.95e-44	147	371	ELU35501.1
ELU35514.1	KAB5593340.1	0.141571	1.74281	0.0812311	YN	83.333	80	96	15	1	1	86	89.58	3	97	108	88	88	2	97	309	6.09e-49	156	395	ELU35514.1
ELU35525.1	KAB5588063.1	0.297932	2.43015	0.122598	YN	72.632	69	95	26	0	0	81	85.26	1	95	126	75	75	12	106	267	1.01e-45	147	372	ELU35525.1
ELU35532.1	KAB5588840.1	0.387981	1.47739	0.262612	YN	47.727	63	132	62	3	7	86	65.15	3	127	129	97	97	169	300	602	1.52e-29	110	274	ELU35532.1
ELU35535.1	KAB5593118.1	0.234273	2.87543	0.0814738	YN	63.514	47	74	15	2	12	53	71.62	1	74	105	70	70	1	62	368	8.78e-21	83.6	205	ELU35535.1
ELU35573.1	KAB5593639.1	0.204714	1.60605	0.127464	YN	66.667	52	78	23	2	3	60	76.92	1	77	79	97	97	1	76	193	4.07e-26	93.6	231	ELU35573.1
ELU35575.1	KAB5589439.1	0.155388	2.56563	0.0605655	YN	96.875	31	32	1	0	0	32	100	17	48	101	32	32	281	312	315	3.61e-18	75.9	185	ELU35575.1
ELU35580.1	KAB5592782.1	0.1538	3.25018	0.0473203	YN	81.443	79	97	18	0	0	85	87.63	4	100	109	89	89	183	279	330	1.63e-51	163	413	ELU35580.1
ELU35581.1	KAB5590094.1	0.0541603	1.41105	0.038383	YN	87.611	99	113	9	1	5	105	92.92	1	113	115	98	98	1	108	161	4.48e-70	205	522	ELU35581.1
ELU35586.1	KAB5596423.1	0.144484	2.36767	0.0610236	YN	73.171	90	123	27	3	6	98	79.67	4	121	121	98	98	177	298	298	5e-56	174	442	ELU35586.1
ELU35627.1	KAB5596089.1	0.219545	2.58112	0.0850578	YN	61.224	60	98	18	1	20	68	69.39	10	107	115	85	85	27	104	314	9.09e-32	112	280	ELU35627.1
ELU35633.1	KAB5593138.1	0.226506	3.31442	0.0683395	YN	67.593	73	108	23	2	12	84	77.78	1	96	116	83	83	158	265	377	7.17e-45	148	373	ELU35633.1
ELU35665.1	KAB5594534.1	0.119437	3.19605	0.0373702	YN	80	120	150	30	0	0	135	90	10	159	161	93	93	203	352	592	2.34e-82	252	644	ELU35665.1
ELU35666.1	KAB5589908.1	0.637142	1.47933	0.430695	YN	45.946	34	74	34	3	6	47	63.51	53	126	129	57	57	44	111	113	5.92e-11	54.3	129	ELU35666.1
ELU35678.1	KAB5591373.1	0.108514	1.60772	0.0674955	YN	81.452	101	124	23	0	0	117	94.35	1	124	127	98	98	94	217	430	7.72e-75	227	578	ELU35678.1
ELU35680.1	KAB5593905.1	0.191662	3.45978	0.0553972	YN	71.654	91	127	35	1	1	107	84.25	4	130	130	98	98	413	538	538	2.62e-58	187	475	ELU35680.1
ELU35692.1	KAB5595265.1	0.124564	3.60029	0.0345984	YN	80.714	113	140	27	0	0	129	92.14	1	140	144	97	97	1	140	145	3.93e-83	239	610	ELU35692.1
ELU35698.1	KAB5589519.1	0.475618	1.73291	0.274461	YN	45.926	62	135	69	3	4	76	56.3	1	132	133	99	99	1	134	139	2.32e-26	95.1	235	ELU35698.1
ELU35699.1	KAB5587914.1	0.331665	3.53853	0.0937295	YN	47.682	72	151	65	3	14	95	62.91	1	147	173	85	85	444	584	612	2.9e-32	119	299	ELU35699.1
ELU35701.1	KAB5594142.1	0.188141	3.41298	0.055125	YN	73.832	79	107	26	1	2	91	85.05	7	111	116	91	91	147	253	254	9.75e-52	162	410	ELU35701.1
ELU35708.1	KAB5593778.1	0.190901	2.94431	0.0648371	YN	68.531	98	143	41	1	4	115	80.42	1	139	147	95	95	202	344	345	2.13e-64	199	505	ELU35708.1
ELU35736.1	KAB5595636.1	0.191271	1.66235	0.115061	YN	77.027	114	148	32	1	2	124	83.78	1	148	160	93	93	79	224	381	2.83e-76	231	588	ELU35736.1
ELU35786.1	KAB5590362.1	0.13607	3.36446	0.0404433	YN	76.667	92	120	26	1	2	106	88.33	1	118	118	100	100	1	120	120	1.88e-64	190	482	ELU35786.1
ELU35816.1	KAB5594127.1	0.0251461	1.2589	0.0199747	YN	79.787	75	94	1	1	18	76	80.85	1	94	118	80	80	1	76	192	1.45e-46	147	371	ELU35816.1
ELU35832.1	KAB5590522.1	0.317025	1.70717	0.185702	YN	54.45	104	191	66	3	21	135	70.68	4	189	201	93	93	2	176	253	3.16e-64	197	502	ELU35832.1
ELU35840.1	KAB5590360.1	0.390367	1.54396	0.252835	YN	48.309	100	207	97	2	10	134	64.73	5	204	204	98	98	25	228	228	1.02e-45	149	377	ELU35840.1
ELU35856.1	KAB5594266.1	0.344108	1.29833	0.265039	YN	71.698	38	53	15	0	0	47	88.68	1	53	74	72	72	1	53	298	1.13e-23	89.4	220	ELU35856.1
ELU35880.1	KAB5591311.1	0.26641	2.99575	0.0889293	YN	71.053	54	76	21	1	1	65	85.53	13	87	101	74	74	95	170	188	1.96e-34	115	288	ELU35880.1
ELU35886.1	KAB5588822.1	0.252287	3.2407	0.0778497	YN	68.657	92	134	42	0	0	104	77.61	1	134	134	100	100	725	858	858	6.23e-61	199	505	ELU35886.1
ELU35902.1	KAB5591873.1	0.0551631	3.57154	0.0154452	YN	93.902	154	164	10	0	0	160	97.56	10	173	176	93	93	585	748	1182	4.81e-101	313	803	ELU35902.1
ELU35906.1	KAB5592860.1	0.207984	1.71911	0.120983	YN	67.66	159	235	57	9	19	184	78.3	1	218	219	99	99	1279	1511	1694	2.53e-81	263	671	ELU35906.1
ELU35911.1	KAB5593243.1	0.311783	3.61404	0.0862697	YN	56.917	144	253	97	2	12	176	69.57	1	241	248	97	97	309	561	583	2.56e-87	268	686	ELU35911.1
ELU35919.1	KAB5594829.1	0.402374	2.12497	0.189355	YN	61.765	42	68	23	2	3	53	77.94	3	70	103	66	66	2	66	299	4.04e-20	80.9	198	ELU35919.1
ELU35924.1	KAB5593513.1	0.377288	1.57626	0.239357	YN	67.257	76	113	36	1	1	91	80.53	1	112	151	74	74	1	113	515	8.78e-48	160	404	ELU35924.1
ELU35945.1	KAB5593035.1	0.499009	3.53075	0.141332	YN	89.655	26	29	3	0	0	27	93.1	1	29	207	14	14	162	190	262	1.79e-10	57.8	138	ELU35945.1
ELU35966.1	KAB5592851.1	0.287414	3.41047	0.084274	YN	67.647	69	102	16	2	17	74	72.55	69	170	222	46	46	1	85	612	8.05e-36	131	330	ELU35966.1
ELU35989.1	KAB5590316.1	0.314718	3.93583	0.0799624	YN	60.938	156	256	97	2	3	194	75.78	1	256	265	97	97	693	945	966	1.56e-105	326	835	ELU35989.1
ELU36019.1	KAB5588795.1	0.281912	3.39707	0.0829869	YN	84.507	60	71	8	1	3	64	90.14	38	105	105	65	65	179	249	249	2.73e-36	122	306	ELU36019.1
ELU36020.1	KAB5592898.1	0.671072	1.80179	0.372448	YN	37.888	61	161	65	2	35	90	55.9	48	173	175	72	72	52	212	273	1.16e-30	111	277	ELU36020.1
ELU36021.1	KAB5593519.1	0.50683	1.47276	0.344137	YN	42.564	83	195	85	4	27	101	51.79	43	235	259	75	75	336	505	752	1.44e-24	101	251	ELU36021.1
ELU36034.1	KAB5590585.1	0.198202	2.96265	0.0669001	YN	95.455	42	44	2	0	0	43	97.73	58	101	107	41	41	56	99	338	3.92e-26	97.8	242	ELU36034.1
ELU36045.1	KAB5589734.1	0.480642	1.66741	0.288257	YN	50.909	112	220	99	3	9	134	60.91	11	224	318	67	67	313	529	792	1.95e-52	182	463	ELU36045.1
ELU36050.1	KAB5595049.1	0.326358	3.5951	0.0907786	YN	60.135	89	148	50	2	9	108	72.97	21	159	161	86	86	43	190	197	9.81e-61	185	469	ELU36050.1
ELU36055.1	KAB5593796.1	0.438853	3.91318	0.112147	YN	60	99	165	41	6	25	111	67.27	108	262	267	58	58	209	358	392	1.27e-45	156	394	ELU36055.1
ELU36069.1	KAB5590934.1	0.129858	4.13278	0.0314214	YN	83.636	230	275	43	1	2	250	90.91	25	299	299	92	92	121	393	393	3.26e-166	466	1198	ELU36069.1
ELU36070.1	KAB5588464.1	0.129792	1.58734	0.081767	YN	85.214	219	257	38	0	0	237	92.22	3	259	284	90	90	295	551	756	6.92e-159	459	1181	ELU36070.1
ELU36078.1	KAB5593503.1	0.233547	2.91719	0.0800589	YN	73	146	200	49	2	5	162	81	32	226	227	86	86	128	327	553	1.13e-99	299	765	ELU36078.1
ELU36081.1	KAB5595070.1	0.132954	1.58122	0.0840833	YN	71.728	137	191	31	2	23	148	77.49	1	191	214	89	89	827	994	1013	1.14e-75	244	623	ELU36081.1
ELU36082.1	KAB5593851.1	0.503223	1.86359	0.270029	YN	49.091	27	55	24	2	4	42	76.36	124	178	185	30	30	18	68	217	5.69e-08	49.7	117	ELU36082.1
ELU36092.1	KAB5595743.1	0.231746	2.04549	0.113296	YN	77.778	63	81	15	1	3	69	85.19	10	90	202	40	40	127	204	233	6.42e-36	124	312	ELU36092.1
ELU36098.1	KAB5592893.1	0.226594	1.95326	0.116008	YN	70.725	244	345	101	0	0	287	83.19	1	345	345	100	100	1	345	345	0	523	1347	ELU36098.1
ELU36104.1	KAB5592712.1	0.225602	1.92576	0.11715	YN	63.732	181	284	76	8	27	212	74.65	16	289	289	95	95	321	587	587	3.92e-110	329	844	ELU36104.1
ELU36108.1	KAB5592270.1	0.156805	3.84459	0.0407859	YN	82.584	147	178	18	1	13	158	88.76	59	236	239	74	74	290	454	728	1.38e-99	304	778	ELU36108.1
ELU36112.1	KAB5588952.1	0.0701532	3.838	0.0182786	YN	89.024	219	246	26	1	1	234	95.12	2	247	247	99	99	501	745	745	5.61e-143	416	1070	ELU36112.1
ELU36118.1	KAB5589940.1	0.574183	3.65753	0.156986	YN	40.876	56	137	72	3	9	78	56.93	45	179	184	73	73	56	185	281	1.76e-26	100	250	ELU36118.1
ELU36123.1	KAB5593638.1	0.25638	3.37184	0.0760358	YN	61.983	75	121	41	3	5	88	72.73	1	119	120	99	99	1	118	123	3.28e-44	139	350	ELU36123.1
ELU36125.1	KAB5588021.1	0.38618	3.52416	0.109581	YN	64.835	59	91	30	2	2	72	79.12	65	155	155	59	59	233	321	321	2.86e-36	126	316	ELU36125.1
ELU36130.1	KAB5592041.1	0.4298	2.87088	0.14971	YN	49.206	31	63	32	0	0	39	61.9	3	65	126	50	50	26	88	96	3.61e-12	57	136	ELU36130.1
ELU36144.1	KAB5587855.1	0.724666	1.89248	0.382919	YN	33.229	106	319	182	6	31	155	48.59	63	352	356	81	81	3	319	402	1.57e-49	169	429	ELU36144.1
ELU36145.1	KAB5589199.1	0.146196	1.95876	0.0746369	YN	70.968	66	93	21	1	6	78	83.87	9	101	132	70	70	532	618	622	1.97e-41	143	361	ELU36145.1
ELU36152.1	KAB5594779.1	0.26609	4.39413	0.0605558	YN	54.523	223	409	154	10	32	292	71.39	32	433	459	88	88	142	525	1762	1.05e-78	265	678	ELU36152.1
ELU36156.1	KAB5590333.1	0.0933665	3.24978	0.0287301	YN	74.933	278	371	45	5	48	294	79.25	1	323	329	98	98	101	471	545	2.54e-176	498	1283	ELU36156.1
ELU36170.1	KAB5592091.1	0.0523531	1.37664	0.0380296	YN	89.508	273	305	30	1	2	295	96.72	1	305	371	82	82	1	303	304	0	567	1461	ELU36170.1
ELU36183.1	KAB5588633.1	0.074232	4.12999	0.0179739	YN	79.605	242	304	22	5	40	251	82.57	1	299	356	84	84	1	269	404	1.37e-150	429	1102	ELU36183.1
ELU36184.1	KAB5592133.1	0.17665	3.38825	0.052136	YN	75.893	85	112	24	1	3	94	83.93	1	109	115	95	95	1	112	116	1.2e-53	162	410	ELU36184.1
ELU36202.1	KAB5596036.1	0.0761214	1.68774	0.0451026	YN	81.818	99	121	15	1	7	104	85.95	1	114	119	96	96	410	530	557	1.77e-59	190	482	ELU36202.1
ELU36203.1	KAB5595895.1	0.235743	2.76453	0.085274	YN	59.735	135	226	61	6	30	156	69.03	21	227	228	91	91	1	215	226	1.5e-78	234	597	ELU36203.1
ELU36208.1	KAB5594240.1	0.164014	2.18348	0.075116	YN	75.733	284	375	87	3	4	322	85.87	1	371	373	99	99	1	375	379	0	586	1511	ELU36208.1
ELU36211.1	KAB5589616.1	0.880986	2.40149	0.36685	YN	25.51	75	294	203	4	16	139	47.28	13	296	322	88	88	13	300	528	3.42e-22	95.5	236	ELU36211.1
