Gene	PS
G4B84_000001	1
G4B84_000002	2
G4B84_000003	1
G4B84_000004	1
G4B84_000005	1
G4B84_000006	1
G4B84_000007	1
G4B84_000008	1
G4B84_000009	6
G4B84_000010	6
G4B84_000011	2
G4B84_000012	1
G4B84_000013	1
G4B84_000014	1
G4B84_000015	1
G4B84_000016	1
G4B84_000017	1
G4B84_000018	2
G4B84_000019	1
G4B84_000020	1
G4B84_000021	12
G4B84_000022	1
G4B84_000023	1
G4B84_000024	1
G4B84_000025	10
G4B84_000026	1
G4B84_000027	1
G4B84_000028	3
G4B84_000029	10
G4B84_000030	11
G4B84_000031	6
G4B84_000032	1
G4B84_000033	6
G4B84_000034	11
G4B84_000035	2
G4B84_000036	2
G4B84_000037	1
G4B84_000038	1
G4B84_000039	11
G4B84_000040	1
G4B84_000041	1
G4B84_000042	11
G4B84_000043	1
G4B84_000044	1
G4B84_000045	1
G4B84_000046	1
G4B84_000047	1
G4B84_000048	1
G4B84_000049	2
G4B84_000050	1
G4B84_000051	1
G4B84_000052	11
G4B84_000053	1
G4B84_000054	1
G4B84_000055	1
G4B84_000056	3
G4B84_000057	1
G4B84_000058	6
G4B84_000059	1
G4B84_000060	6
G4B84_000061	1
G4B84_000062	1
G4B84_000063	4
G4B84_000064	2
G4B84_000065	1
G4B84_000066	1
G4B84_000067	1
G4B84_000068	1
G4B84_000069	6
G4B84_000070	2
G4B84_000071	6
G4B84_000072	1
G4B84_000073	9
G4B84_000074	1
G4B84_000075	3
G4B84_000076	1
G4B84_000077	1
G4B84_000078	1
G4B84_000079	1
G4B84_000080	1
G4B84_000081	1
G4B84_000082	1
G4B84_000083	4
G4B84_000084	2
G4B84_000085	6
G4B84_000086	11
G4B84_000087	1
G4B84_000088	6
G4B84_000089	1
G4B84_000090	1
G4B84_000091	1
G4B84_000092	7
G4B84_000093	1
G4B84_000094	1
G4B84_000095	2
G4B84_000096	1
G4B84_000097	1
G4B84_000098	1
G4B84_000099	1
G4B84_000100	1
G4B84_000101	1
G4B84_000102	1
G4B84_000103	1
G4B84_000104	6
G4B84_000105	11
G4B84_000106	2
G4B84_000107	1
G4B84_000108	11
G4B84_000109	3
G4B84_000110	1
G4B84_000111	3
G4B84_000112	1
G4B84_000113	1
G4B84_000114	1
G4B84_000115	6
G4B84_000116	1
G4B84_000117	6
G4B84_000118	3
G4B84_000119	1
G4B84_000120	1
G4B84_000121	1
G4B84_000122	6
G4B84_000123	1
G4B84_000124	1
G4B84_000125	1
G4B84_000126	1
G4B84_000127	1
G4B84_000128	1
G4B84_000129	1
G4B84_000130	1
G4B84_000131	1
G4B84_000132	3
G4B84_000133	6
G4B84_000134	3
G4B84_000135	1
G4B84_000136	1
G4B84_000137	1
G4B84_000138	3
G4B84_000139	11
G4B84_000140	6
G4B84_000141	1
G4B84_000142	6
G4B84_000143	10
G4B84_000144	1
G4B84_000145	1
G4B84_000146	1
G4B84_000147	1
G4B84_000148	1
G4B84_000149	1
G4B84_000150	3
G4B84_000151	4
G4B84_000152	1
G4B84_000153	4
G4B84_000154	1
G4B84_000155	1
G4B84_000156	1
G4B84_000157	1
G4B84_000158	1
G4B84_000159	1
G4B84_000160	1
G4B84_000161	6
G4B84_000162	6
G4B84_000163	2
G4B84_000164	1
G4B84_000165	1
G4B84_000166	1
G4B84_000167	6
G4B84_000168	1
G4B84_000169	1
G4B84_000170	1
G4B84_000171	2
G4B84_000172	1
G4B84_000173	1
G4B84_000174	6
G4B84_000175	2
G4B84_000176	2
G4B84_000177	1
G4B84_000178	2
G4B84_000179	1
G4B84_000180	1
G4B84_000181	2
G4B84_000182	6
G4B84_000183	2
G4B84_000184	1
G4B84_000185	10
G4B84_000186	1
G4B84_000187	1
G4B84_000188	1
G4B84_000189	1
G4B84_000190	1
G4B84_000191	1
G4B84_000192	1
G4B84_000193	1
G4B84_000194	2
G4B84_000195	3
G4B84_000196	2
G4B84_000197	1
G4B84_000198	1
G4B84_000199	1
G4B84_000200	1
G4B84_000201	2
G4B84_000202	2
G4B84_000203	2
G4B84_000204	1
G4B84_000205	6
G4B84_000206	2
G4B84_000207	2
G4B84_000208	1
G4B84_000209	2
G4B84_000210	1
G4B84_000211	1
G4B84_000212	11
G4B84_000213	11
G4B84_000214	1
G4B84_000215	1
G4B84_000216	3
G4B84_000217	9
G4B84_000218	1
G4B84_000219	2
G4B84_000220	1
G4B84_000221	2
G4B84_000222	2
G4B84_000223	2
G4B84_000224	2
G4B84_000225	8
G4B84_000226	2
G4B84_000227	1
G4B84_000228	1
G4B84_000229	1
G4B84_000230	2
G4B84_000231	1
G4B84_000232	2
G4B84_000233	2
G4B84_000234	1
G4B84_000235	1
G4B84_000236	3
G4B84_000237	1
G4B84_000238	1
G4B84_000239	1
G4B84_000240	4
G4B84_000241	1
G4B84_000242	11
G4B84_000243	1
G4B84_000244	1
G4B84_000245	2
G4B84_000246	1
G4B84_000247	1
G4B84_000248	1
G4B84_000249	1
G4B84_000250	1
G4B84_000251	2
G4B84_000252	8
G4B84_000253	1
G4B84_000254	1
G4B84_000255	1
G4B84_000256	2
G4B84_000257	1
G4B84_000258	1
G4B84_000259	1
G4B84_000260	2
G4B84_000261	1
G4B84_000262	1
G4B84_000263	2
G4B84_000264	1
G4B84_000265	2
G4B84_000266	1
G4B84_000267	1
G4B84_000268	1
G4B84_000269	1
G4B84_000270	1
G4B84_000271	1
G4B84_000272	1
G4B84_000273	2
G4B84_000274	2
G4B84_000275	1
G4B84_000276	2
G4B84_000277	2
G4B84_000278	1
G4B84_000279	1
G4B84_000280	2
G4B84_000281	1
G4B84_000282	2
G4B84_000283	1
G4B84_000284	1
G4B84_000285	2
G4B84_000286	1
G4B84_000287	2
G4B84_000288	1
G4B84_000289	1
G4B84_000290	2
G4B84_000291	1
G4B84_000292	2
G4B84_000293	1
G4B84_000294	1
G4B84_000295	1
G4B84_000296	1
G4B84_000297	1
G4B84_000298	1
G4B84_000299	11
G4B84_000300	2
G4B84_000301	1
G4B84_000302	2
G4B84_000303	1
G4B84_000304	1
G4B84_000305	2
G4B84_000306	1
G4B84_000307	1
G4B84_000308	1
G4B84_000309	1
G4B84_000310	1
G4B84_000311	1
G4B84_000312	6
G4B84_000313	1
G4B84_000314	2
G4B84_000315	2
G4B84_000316	1
G4B84_000317	2
G4B84_000318	1
G4B84_000319	2
G4B84_000320	1
G4B84_000321	1
G4B84_000322	9
G4B84_000323	8
G4B84_000324	1
G4B84_000325	6
G4B84_000326	2
G4B84_000327	1
G4B84_000328	2
G4B84_000329	1
G4B84_000330	1
G4B84_000331	1
G4B84_000332	2
G4B84_000333	8
G4B84_000334	1
G4B84_000335	1
G4B84_000336	1
G4B84_000337	1
G4B84_000338	1
G4B84_000339	2
G4B84_000340	1
G4B84_000341	1
G4B84_000342	1
G4B84_000343	2
G4B84_000344	1
G4B84_000345	2
G4B84_000346	2
G4B84_000347	1
G4B84_000348	1
G4B84_000349	1
G4B84_000350	2
G4B84_000351	2
G4B84_000352	2
G4B84_000353	1
G4B84_000354	9
G4B84_000355	2
G4B84_000356	1
G4B84_000357	4
G4B84_000358	1
G4B84_000359	2
G4B84_000360	1
G4B84_000361	1
G4B84_000362	1
G4B84_000363	1
G4B84_000364	4
G4B84_000365	2
G4B84_000366	1
G4B84_000367	2
G4B84_000368	1
G4B84_000369	2
G4B84_000370	1
G4B84_000371	1
G4B84_000372	1
G4B84_000373	1
G4B84_000374	1
G4B84_000375	1
G4B84_000376	1
G4B84_000377	1
G4B84_000378	2
G4B84_000379	1
G4B84_000380	6
G4B84_000381	4
G4B84_000382	1
G4B84_000383	2
G4B84_000384	1
G4B84_000385	1
G4B84_000386	2
G4B84_000387	1
G4B84_000388	2
G4B84_000389	2
G4B84_000390	2
G4B84_000391	1
G4B84_000392	1
G4B84_000393	2
G4B84_000394	1
G4B84_000395	1
G4B84_000396	1
G4B84_000397	1
G4B84_000398	7
G4B84_000399	6
G4B84_000400	2
G4B84_000401	1
G4B84_000402	1
G4B84_000403	1
G4B84_000404	1
G4B84_000405	1
G4B84_000406	1
G4B84_000407	1
G4B84_000408	1
G4B84_000409	1
G4B84_000410	6
G4B84_000411	1
G4B84_000412	1
G4B84_000413	1
G4B84_000414	1
G4B84_000415	1
G4B84_000416	1
G4B84_000417	1
G4B84_000418	1
G4B84_000419	1
G4B84_000420	1
G4B84_000421	1
G4B84_000422	1
G4B84_000423	1
G4B84_000424	1
G4B84_000425	2
G4B84_000426	2
G4B84_000427	1
G4B84_000428	1
G4B84_000429	2
G4B84_000430	1
G4B84_000431	11
G4B84_000432	6
G4B84_000433	1
G4B84_000434	1
G4B84_000435	2
G4B84_000436	1
G4B84_000437	2
G4B84_000438	1
G4B84_000439	4
G4B84_000440	2
G4B84_000441	4
G4B84_000442	1
G4B84_000443	1
G4B84_000444	8
G4B84_000445	1
G4B84_000446	3
G4B84_000447	6
G4B84_000448	3
G4B84_000449	1
G4B84_000450	3
G4B84_000451	3
G4B84_000452	1
G4B84_000453	1
G4B84_000454	1
G4B84_000455	1
G4B84_000456	1
G4B84_000457	1
G4B84_000458	2
G4B84_000459	1
G4B84_000460	1
G4B84_000461	1
G4B84_000462	1
G4B84_000463	1
G4B84_000464	1
G4B84_000465	1
G4B84_000466	1
G4B84_000467	2
G4B84_000468	1
G4B84_000469	1
G4B84_000470	1
G4B84_000471	1
G4B84_000472	1
G4B84_000473	3
G4B84_000474	1
G4B84_000475	1
G4B84_000476	1
G4B84_000477	2
G4B84_000478	1
G4B84_000479	1
G4B84_000480	2
G4B84_000481	1
G4B84_000482	1
G4B84_000483	1
G4B84_000484	1
G4B84_000485	2
G4B84_000486	1
G4B84_000487	1
G4B84_000488	1
G4B84_000489	1
G4B84_000490	1
G4B84_000491	11
G4B84_000492	1
G4B84_000493	11
G4B84_000494	1
G4B84_000495	1
G4B84_000496	1
G4B84_000497	1
G4B84_000498	10
G4B84_000499	1
G4B84_000500	2
G4B84_000501	1
G4B84_000502	1
G4B84_000503	3
G4B84_000504	1
G4B84_000505	1
G4B84_000506	1
G4B84_000507	2
G4B84_000508	1
G4B84_000509	1
G4B84_000510	2
G4B84_000511	1
G4B84_000512	2
G4B84_000513	1
G4B84_000514	1
G4B84_000515	2
G4B84_000516	2
G4B84_000517	1
G4B84_000518	2
G4B84_000519	2
G4B84_000520	1
G4B84_000521	1
G4B84_000522	2
G4B84_000523	1
G4B84_000524	1
G4B84_000525	1
G4B84_000526	1
G4B84_000527	1
G4B84_000528	1
G4B84_000529	1
G4B84_000530	1
G4B84_000531	1
G4B84_000532	1
G4B84_000533	1
G4B84_000534	1
G4B84_000535	1
G4B84_000536	2
G4B84_000537	1
G4B84_000538	2
G4B84_000539	1
G4B84_000540	1
G4B84_000541	1
G4B84_000542	1
G4B84_000543	2
G4B84_000544	1
G4B84_000545	2
G4B84_000546	2
G4B84_000547	1
G4B84_000548	1
G4B84_000549	1
G4B84_000550	2
G4B84_000551	1
G4B84_000552	8
G4B84_000553	1
G4B84_000554	1
G4B84_000555	6
G4B84_000556	1
G4B84_000557	2
G4B84_000558	6
G4B84_000559	1
G4B84_000560	1
G4B84_000561	1
G4B84_000562	10
G4B84_000563	1
G4B84_000564	1
G4B84_000565	1
G4B84_000566	1
G4B84_000567	1
G4B84_000568	1
G4B84_000569	1
G4B84_000570	6
G4B84_000571	2
G4B84_000572	1
G4B84_000573	1
G4B84_000574	1
G4B84_000575	1
G4B84_000576	2
G4B84_000577	1
G4B84_000578	2
G4B84_000579	2
G4B84_000580	2
G4B84_000581	2
G4B84_000582	1
G4B84_000583	1
