query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_006453743.1	KAG2022669.1	0.0247887	4.13516	0.0059946	YN	96.199	329	342	13	0	0	336	98.25	1	342	344	99	99	1	342	369	0	684	1766	XP_006453743.1
XP_006453744.1	KAG2023175.1	0.3321	4.00362	0.0829498	YN	59.048	186	315	103	5	26	210	66.67	1	311	311	100	100	6	298	371	1.87e-123	357	916	XP_006453744.1
XP_006453749.1	KAG2022726.1	0.297549	3.53486	0.0841754	YN	63.194	91	144	53	0	0	116	80.56	1	144	144	100	100	98	241	540	5.85e-61	195	495	XP_006453749.1
XP_006453750.1	KAG2023294.1	0.0862765	3.89076	0.0221747	YN	85.771	217	253	36	0	0	234	92.49	11	263	263	96	96	87	339	456	3.03e-168	472	1214	XP_006453750.1
XP_006453755.1	KAG2023840.1	0.220432	3.32539	0.0662876	YN	69.492	82	118	35	1	1	95	80.51	1	118	118	100	100	59	175	187	6.45e-56	171	432	XP_006453755.1
XP_006453761.1	KAG2023211.1	0.285269	2.73329	0.104368	YN	66.071	37	56	19	0	0	45	80.36	1	56	56	100	100	19	74	136	4.36e-23	83.6	205	XP_006453761.1
XP_006453762.1	KAG2023595.1	0.154474	3.02515	0.051063	YN	71.429	40	56	16	0	0	49	87.5	3	58	58	97	97	188	243	316	2.19e-21	82.8	203	XP_006453762.1
XP_006453765.1	KAG2015050.1	0.357183	2.6191	0.136376	YN	60	45	75	30	0	0	56	74.67	22	96	97	77	77	49	123	125	9.98e-29	99.4	246	XP_006453765.1
XP_006453766.1	KAG2024141.1	0.199321	4.42879	0.0450057	YN	70.037	381	544	138	3	25	446	81.99	3	521	534	97	97	15	558	561	0	783	2023	XP_006453766.1
XP_006453767.1	KAG2022299.1	0.334107	2.67021	0.125124	YN	56.563	181	320	121	3	18	227	70.94	2	303	304	99	99	4	323	329	2.06e-130	373	957	XP_006453767.1
XP_006453768.1	KAG2022298.1	0.500598	3.67231	0.136317	YN	49.5	99	200	94	4	7	131	65.5	3	198	202	97	97	17	213	223	1.02e-65	201	510	XP_006453768.1
XP_006453771.1	KAG2008012.1	0.296384	4.08057	0.0726329	YN	58.754	198	337	113	3	26	250	74.18	55	382	409	80	80	100	419	424	6.32e-146	420	1080	XP_006453771.1
XP_006453774.1	KAG2011090.1	0.750609	3.79168	0.197962	YN	27.027	50	185	101	4	34	80	43.24	67	222	225	69	69	181	360	363	9.1e-14	68.2	165	XP_006453774.1
XP_006453777.1	KAG2013857.1	0.391759	4.10952	0.0953295	YN	47.091	170	361	131	6	60	212	58.73	3	303	311	97	97	74	434	436	2.74e-107	318	815	XP_006453777.1
XP_006453779.1	KAG2008471.1	0.495359	3.98782	0.124218	YN	43.631	137	314	153	5	24	195	62.1	5	295	299	97	97	31	343	349	3.65e-91	273	699	XP_006453779.1
XP_006453780.1	KAG2010439.1	0.264886	4.22005	0.0627684	YN	70.5	141	200	54	1	5	168	84	4	198	378	52	52	8	207	429	1.09e-93	286	731	XP_006453780.1
XP_006453784.1	KAG2022324.1	0.545904	2.9371	0.185865	YN	48.263	125	259	134	0	0	168	64.86	1	259	330	78	78	1	259	354	4.22e-75	234	596	XP_006453784.1
XP_006453785.1	KAG2022278.1	0.123327	4.46884	0.0275971	YN	83.333	450	540	89	1	1	493	91.3	3	542	551	98	98	2	540	545	0	936	2418	XP_006453785.1
XP_006453788.1	KAG2022289.1	0.275421	4.28743	0.0642391	YN	65.77	269	409	118	6	22	313	76.53	6	401	447	89	89	20	419	561	0	536	1382	XP_006453788.1
XP_006453789.1	KAG2022356.1	0.390951	3.69356	0.105847	YN	37.5	84	224	86	5	54	125	55.8	9	178	200	85	85	17	240	272	6.78e-40	136	342	XP_006453789.1
XP_006453795.1	KAG2022366.1	0.628377	4.36569	0.143935	YN	36.752	129	351	143	12	79	163	46.44	124	416	913	32	32	4	333	434	3.85e-41	156	394	XP_006453795.1
XP_006453799.1	KAG2022391.1	0.433826	3.85182	0.112629	YN	42.199	119	282	106	6	57	152	53.9	7	250	252	97	97	16	278	458	7.87e-65	207	528	XP_006453799.1
XP_006453800.1	KAG2013061.1	0.710393	4.90106	0.144947	YN	38.516	109	283	150	7	24	165	58.3	695	967	981	28	28	1012	1280	1306	2.7e-43	170	431	XP_006453800.1
XP_006453802.1	KAG2003805.1	0.165921	3.46209	0.0479251	YN	73.134	98	134	35	1	1	117	87.31	4	137	137	98	98	6	138	138	1.33e-67	199	507	XP_006453802.1
XP_006453804.1	KAG2003818.1	0.512575	4.49665	0.11399	YN	45.418	228	502	223	6	51	314	62.55	38	516	543	88	88	93	566	580	1.97e-155	455	1171	XP_006453804.1
XP_006453805.1	KAG2022262.1	0.381049	4.21654	0.0903702	YN	70.073	96	137	33	2	8	114	83.21	130	258	448	62	29	245	381	677	5.01e-58	201	511	XP_006453805.1
XP_006453806.1	KAG2022334.1	0.578688	1.78651	0.323921	YN	45.338	141	311	167	2	3	208	66.88	1	310	320	97	97	29	337	348	1.27e-101	301	770	XP_006453806.1
XP_006453807.1	KAG2022360.1	0.312356	4.1664	0.0749704	YN	59.475	204	343	136	2	3	256	74.64	7	347	353	97	97	6	347	353	8.81e-149	422	1086	XP_006453807.1
XP_006453809.1	KAG2022393.1	0.487313	4.66145	0.104541	YN	42.165	296	702	340	14	66	435	61.97	53	739	740	93	93	68	718	750	2.55e-174	517	1331	XP_006453809.1
XP_006453817.1	KAG2003052.1	0.331453	4.51815	0.0733603	YN	57.778	286	495	199	3	10	369	74.55	1	492	495	99	99	60	547	552	0	541	1393	XP_006453817.1
XP_006453820.1	KAG2022389.1	0.202324	3.44167	0.0587864	YN	68.841	95	138	42	1	1	119	86.23	1	138	141	98	98	1	137	138	5.16e-68	201	510	XP_006453820.1
XP_006453821.1	KAG2022388.1	0.295585	99	0.00298571	YN	60.938	78	128	49	1	1	95	74.22	8	135	135	95	95	65	191	191	1.01e-39	130	328	XP_006453821.1
XP_006453822.1	KAG2022410.1	0.210997	4.42861	0.047644	YN	70.061	344	491	143	2	4	405	82.48	3	493	494	99	99	30	516	518	0	697	1798	XP_006453822.1
XP_006453824.1	KAG2022411.1	0.494404	4.66314	0.106024	YN	39.042	269	689	343	10	77	373	54.14	7	639	655	97	97	5	672	1028	1.65e-150	461	1185	XP_006453824.1
XP_006453825.1	KAG2022397.1	0.445775	3.18365	0.14002	YN	48.754	137	281	140	2	4	197	70.11	8	287	300	93	93	19	296	346	1.53e-98	292	748	XP_006453825.1
XP_006453826.1	KAG2022349.1	0.245687	4.33715	0.0566472	YN	67.626	282	417	129	2	6	327	78.42	10	426	428	97	97	9	419	421	0	560	1443	XP_006453826.1
XP_006453829.1	KAG2022241.1	0.157199	3.85266	0.0408026	YN	70.242	203	289	54	5	32	230	79.58	5	290	293	98	98	16	275	293	1.41e-137	389	999	XP_006453829.1
XP_006453831.1	KAG2022329.1	NA	2.81051	6.98321e-12	YN	100	138	138	0	0	0	138	100	1	138	138	100	100	1	138	138	3.06e-96	272	695	XP_006453831.1
XP_006453833.1	KAG2016490.1	0.203334	4.19489	0.0484717	YN	70.109	258	368	104	4	6	301	81.79	3	367	367	99	99	37	401	401	0	527	1357	XP_006453833.1
