query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_036625561.1	KAF4593688.1	0.0343538	0.285952	0.120138	YN	91.924	774	842	61	3	7	797	94.66	1	835	835	100	100	1	842	842	0	1417	3669	XP_036625561.1
XP_036625562.1	KAF4593687.1	0.0642644	0.590007	0.108921	YN	88.506	77	87	10	0	0	82	94.25	1	87	87	100	100	1	87	87	2.78e-43	134	337	XP_036625562.1
XP_036625563.1	KAF4593686.1	0.0737711	0.220625	0.334374	YN	92.708	89	96	7	0	0	92	95.83	1	96	104	92	92	1	96	100	6.11e-42	132	331	XP_036625563.1
XP_036625565.1	KAF4593685.1	0.0297277	0.342938	0.0866852	YN	90.957	342	376	30	3	4	349	92.82	1	375	375	100	100	1	373	373	7.18e-150	427	1097	XP_036625565.1
XP_036625566.1	KAF4593684.1	0.156267	0.467648	0.334154	YN	63.659	254	399	85	7	60	289	72.43	26	408	419	91	91	1	355	356	6.73e-170	479	1232	XP_036625566.1
XP_036625567.1	KAF4593683.1	0.0676509	0.313124	0.216052	YN	83.403	397	476	66	7	13	419	88.03	1	468	468	100	100	1	471	471	0	636	1640	XP_036625567.1
XP_036625569.1	KAF4593681.1	0.133249	0.535677	0.248748	YN	69.014	294	426	64	4	68	330	77.46	38	395	408	88	88	16	441	693	0	585	1509	XP_036625569.1
XP_036625591.1	KAF4605721.1	0.30834	0.787252	0.391666	YN	90.741	49	54	5	0	0	54	100	1	54	123	44	44	1	54	115	4.02e-30	103	257	XP_036625591.1
XP_036625597.1	KAF4583700.1	0.139206	0.453604	0.306888	YN	73.134	98	134	26	2	10	105	78.36	1	126	172	73	73	1	132	135	1.19e-61	186	471	XP_036625597.1
XP_036625601.1	KAF4583721.1	0.130055	0.557975	0.233084	YN	77.722	307	395	81	3	7	338	85.57	193	586	613	64	64	1	389	419	0	590	1522	XP_036625601.1
XP_036625602.1	KAF4583722.1	0.329975	0.476532	0.692452	YN	48.429	185	382	146	7	51	211	55.24	17	369	386	91	91	38	397	409	4.02e-63	206	525	XP_036625602.1
XP_036625603.1	KAF4583723.1	0.0657126	1.3698	0.0479725	YN	93.719	567	605	38	0	0	586	96.86	58	662	662	91	91	282	886	886	0	1179	3049	XP_036625603.1
XP_036625605.1	KAF4583724.1	0.325511	0.958534	0.339592	YN	50.679	112	221	86	6	23	136	61.54	1	215	219	98	98	1	204	210	2.63e-62	192	487	XP_036625605.1
XP_036625606.1	KAF4583728.1	0.0377532	0.626814	0.0602304	YN	92.552	1752	1893	134	3	7	1814	95.83	8	1895	1895	99	99	307	2197	2197	0	3483	9031	XP_036625606.1
XP_036625608.1	KAF4583726.1	0.182264	0.89703	0.203186	YN	66.862	343	513	147	8	23	405	78.95	34	525	525	94	94	2	512	512	0	636	1640	XP_036625608.1
XP_036625609.1	KAF4583731.1	0.0862061	0.309587	0.278455	YN	84.921	107	126	19	0	0	115	91.27	1	126	127	99	99	1	126	128	3.78e-67	197	502	XP_036625609.1
XP_036625610.1	KAF4583729.1	0.4462	3.60403	0.123806	YN	44	66	150	63	9	21	93	62	47	184	184	75	75	247	387	387	4.7e-23	93.2	230	XP_036625610.1
XP_036625611.1	KAF4583733.1	0.400433	0.931977	0.42966	YN	46.903	106	226	97	10	23	127	56.19	54	276	298	75	75	1	206	207	5.76e-40	137	345	XP_036625611.1
XP_036625622.1	KAF4583737.1	0.0508527	0.688776	0.0738305	YN	88.26	1030	1167	116	8	21	1070	91.69	52	1217	1217	96	96	2	1148	1148	0	1934	5011	XP_036625622.1
XP_036625624.1	KAF4583740.1	0.0334016	0.378685	0.0882042	YN	87.065	175	201	8	1	18	175	87.06	57	239	239	77	77	2	202	202	1e-120	340	873	XP_036625624.1
XP_036625625.1	KAF4583739.1	0.0258234	0.340458	0.0758491	YN	93.939	155	165	7	2	3	158	95.76	1	162	164	99	99	1	165	167	2.66e-106	299	766	XP_036625625.1
XP_036625626.1	KAF4583738.1	0.0345269	0.788582	0.0437834	YN	93.426	540	578	34	1	4	551	95.33	1	574	587	98	98	1	578	878	0	1121	2900	XP_036625626.1
XP_036625627.1	KAF4583741.1	0.00626113	0.418544	0.0149593	YN	98.092	514	524	6	2	4	516	98.47	1	523	523	100	100	1	521	521	0	1043	2696	XP_036625627.1
XP_036625629.1	KAF4583742.1	0.0166557	0.472583	0.035244	YN	96.723	1653	1709	43	3	13	1667	97.54	344	2047	2047	83	83	410	2110	2110	0	3388	8785	XP_036625629.1
XP_036625630.1	KAF4583747.1	0.0113149	0.373352	0.0303063	YN	97.63	206	211	5	0	0	207	98.1	1	211	211	100	100	1	211	211	6.88e-149	411	1056	XP_036625630.1
XP_036625631.1	KAF4583748.1	0.042514	0.387385	0.109746	YN	91.35	961	1052	81	2	10	996	94.68	1	1052	1052	100	100	1	1042	1042	0	1941	5029	XP_036625631.1
XP_036625632.1	KAF4583749.1	0.0339532	0.562959	0.060312	YN	94.715	448	473	25	0	0	458	96.83	35	507	507	93	93	5	477	477	0	887	2292	XP_036625632.1
XP_036625633.1	KAF4583750.1	0.011235	0.518058	0.0216868	YN	97.601	529	542	13	0	0	538	99.26	1	542	542	100	100	1	542	542	0	1105	2857	XP_036625633.1
XP_036625634.1	KAF4583751.1	0.0118389	0.717423	0.0165019	YN	90.385	423	468	10	1	35	427	91.24	72	539	539	87	87	1	433	433	0	875	2261	XP_036625634.1
XP_036625635.1	KAF4583752.1	0.0337169	0.272933	0.123535	YN	92.759	474	511	35	1	2	486	95.11	2	512	512	99	99	1	509	509	0	944	2440	XP_036625635.1
XP_036625636.1	KAF4583753.1	0.0104764	0.384845	0.0272224	YN	97.756	305	312	7	0	0	310	99.36	1	312	312	100	100	1	312	312	0	630	1624	XP_036625636.1
XP_036625637.1	KAF4583754.1	0.00462268	0.400549	0.0115409	YN	98.969	288	291	3	0	0	291	100	1	291	291	100	100	1	291	291	0	592	1525	XP_036625637.1
XP_036625638.1	KAF4583755.1	0.020235	0.607347	0.033317	YN	96.047	486	506	20	0	0	498	98.42	1	506	506	100	100	1	506	506	0	974	2517	XP_036625638.1
XP_036625639.1	KAF4583756.1	0.0539363	0.354701	0.152061	YN	89.535	847	946	95	2	4	879	92.92	1	946	946	100	100	1	942	942	0	1694	4387	XP_036625639.1
XP_036625640.1	KAF4583757.1	0.101022	0.4409	0.229126	YN	76.923	240	312	46	5	26	250	80.13	1	286	286	100	100	45	356	356	1.01e-153	432	1111	XP_036625640.1
XP_036625641.1	KAF4583758.1	0.0240868	0.425104	0.0566609	YN	94.732	971	1025	49	3	5	995	97.07	1	1024	1024	100	100	1	1021	1021	0	1699	4400	XP_036625641.1
XP_036625642.1	KAF4583763.1	0.0629802	0.638468	0.0986426	YN	86.957	280	322	38	1	4	295	91.61	1	322	325	99	99	19	336	629	0	569	1466	XP_036625642.1
XP_036625643.1	KAF4583764.1	0.160872	0.591472	0.271986	YN	71.3	477	669	174	6	18	536	80.12	1	664	666	99	99	1	656	668	0	944	2440	XP_036625643.1
XP_036625645.1	KAF4583766.1	0.0418932	0.427481	0.098	YN	92.408	353	382	29	0	0	361	94.5	1	382	382	100	100	1	382	382	0	662	1707	XP_036625645.1
XP_036625646.1	KAF4583770.1	0.247726	2.51444	0.0985214	YN	73.868	212	287	60	4	15	237	82.58	301	576	576	48	48	148	430	430	1.52e-128	382	981	XP_036625646.1
XP_036625647.1	KAF4583771.1	0.0213599	0.537636	0.0397293	YN	95.925	306	319	13	0	0	314	98.43	1	319	319	100	100	1	319	319	0	625	1612	XP_036625647.1
XP_036625648.1	KAF4583772.1	0.0700797	0.563891	0.124279	YN	88.013	279	317	38	0	0	298	94.01	19	335	335	95	95	3	319	319	0	577	1486	XP_036625648.1
XP_036625650.1	KAF4583761.1	0.0395387	0.506609	0.0780457	YN	87.009	288	331	23	2	20	294	88.82	1	323	323	100	100	1	319	319	0	570	1470	XP_036625650.1
XP_036625651.1	KAF4583760.1	0.0533175	0.594058	0.0897512	YN	89.804	229	255	26	0	0	245	96.08	9	263	264	97	97	1	255	299	4.77e-179	493	1269	XP_036625651.1
XP_036625655.1	KAF4583776.1	0.0379068	0.699894	0.0541607	YN	91.595	534	583	39	3	10	549	94.17	1	583	583	100	100	1	573	573	0	1076	2783	XP_036625655.1
XP_036625658.1	KAF4583779.1	0.094419	0.975993	0.0967415	YN	78.921	468	593	100	2	25	516	87.02	81	671	671	88	88	2	571	571	0	920	2377	XP_036625658.1
XP_036625659.1	KAF4583778.1	0.0355164	0.679355	0.0522796	YN	92.918	328	353	25	0	0	343	97.17	1	353	353	100	100	1	353	353	0	679	1751	XP_036625659.1
XP_036625660.1	KAF4583780.1	0.0753366	0.555585	0.135599	YN	86.013	535	622	87	0	0	573	92.12	1	622	622	100	100	1	622	622	0	1128	2917	XP_036625660.1
XP_036625661.1	KAF4583782.1	0.0561217	0.640047	0.0876837	YN	89.264	449	503	54	0	0	477	94.83	1	503	503	100	100	1	503	503	0	909	2349	XP_036625661.1
XP_036625662.1	KAF4583783.1	0.0348938	0.462095	0.0755123	YN	90.22	369	409	31	3	9	383	93.64	1	405	405	100	100	1	404	404	0	653	1684	XP_036625662.1
XP_036625663.1	KAF4583784.1	0.0248995	0.413546	0.0602096	YN	93.732	972	1037	45	2	20	994	95.85	1	1037	1037	100	100	1	1017	1017	0	1944	5036	XP_036625663.1
XP_036625664.1	KAF4583785.1	0.0344144	0.348529	0.0987418	YN	97.808	357	365	8	0	0	359	98.36	1	365	419	87	87	1	365	492	0	669	1725	XP_036625664.1
XP_036625665.1	KAF4583786.1	0.0308284	0.671435	0.0459142	YN	94.302	844	895	49	2	2	872	97.43	1	894	894	100	100	1	894	894	0	1707	4420	XP_036625665.1
XP_036625666.1	KAF4583787.1	0.014886	0.438042	0.0339831	YN	97.098	435	448	13	0	0	444	99.11	1	448	448	100	100	163	610	610	0	916	2368	XP_036625666.1
XP_036625667.1	KAF4583791.1	0.00994123	0.468522	0.0212183	YN	98.111	727	741	14	0	0	736	99.33	587	1327	1327	56	56	5	745	745	0	1508	3904	XP_036625667.1
XP_036625668.1	KAF4583792.1	0.0492809	0.597617	0.0824624	YN	90.875	239	263	24	0	0	250	95.06	1	263	263	100	100	1	263	263	6.75e-178	488	1257	XP_036625668.1
XP_036625669.1	KAF4591178.1	0.112887	0.827073	0.13649	YN	79.853	436	546	105	3	5	476	87.18	1	541	541	100	100	1	546	546	0	895	2313	XP_036625669.1
XP_036625670.1	KAF4583795.1	0.12966	0.436186	0.297259	YN	81.551	389	477	84	1	4	419	87.84	67	543	578	83	83	1	473	490	0	795	2053	XP_036625670.1
