query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_011315562.1	XP_001227507.1	0.582643	4.03196	0.144506	YN	29.829	122	409	198	10	89	195	47.68	6	330	331	98	98	571	974	1176	2e-45	164	415	FGSG_11579
XP_011315566.1	XP_001223270.1	0.475967	1.5995	0.297573	YN	40.389	187	463	215	12	61	260	56.16	1	440	445	99	99	113	537	548	2.13e-79	254	650	FGSG_14022
XP_011315569.1	XP_001227803.1	0.218816	4.21913	0.0518628	YN	65.327	260	398	117	3	21	312	78.39	2	379	386	98	98	10	406	434	0	515	1326	FGSG_11585
XP_011315596.1	XP_001222940.1	0.587924	3.77002	0.155947	YN	36.364	64	176	101	7	11	92	52.27	53	224	234	74	74	680	848	897	1.47e-24	100	249	FGSG_11649
XP_011315598.1	XP_001226269.1	0.273286	4.42517	0.0617572	YN	62.406	332	532	196	3	4	416	78.2	8	538	539	99	99	3	531	533	0	707	1826	FGSG_00015
XP_011315600.1	XP_001221831.1	0.505395	3.97005	0.127302	YN	45.392	133	293	153	2	7	182	62.12	3	294	319	92	92	7	293	326	8.04e-88	265	677	FGSG_00016
XP_011315601.1	XP_001224316.1	0.461369	4.48088	0.102964	YN	49.706	254	511	246	7	11	351	68.69	46	551	565	90	90	64	568	575	2.71e-174	504	1297	FGSG_00017
XP_011315610.1	XP_001222089.1	0.895173	4.28542	0.208888	YN	23.647	83	351	227	10	41	137	39.03	142	486	510	68	68	96	411	424	3.76e-11	63.9	154	FGSG_00025
XP_011315613.1	XP_001224576.1	0.383081	3.59343	0.106606	YN	36.17	102	282	131	8	49	129	45.74	5	274	276	98	98	6	250	254	6.94e-39	135	340	FGSG_00028
XP_011315614.1	XP_001219991.1	0.443927	99	0.00448411	YN	40.994	66	161	73	3	22	101	62.73	3	141	179	78	78	8	168	587	1.28e-36	132	331	FGSG_00029
XP_011315617.1	XP_001225271.1	0.316026	3.8417	0.0822619	YN	59.191	161	272	111	0	0	204	75	5	276	279	97	97	30	301	304	3.17e-124	355	911	FGSG_00032
XP_011315627.1	XP_001224963.1	0.622164	4.35822	0.142756	YN	36.62	130	355	210	6	15	195	54.93	97	444	727	48	48	1	347	656	2.87e-67	233	593	FGSG_00040
XP_011315640.1	XP_001223258.1	0.816433	3.94233	0.207094	YN	33.645	36	107	65	3	6	55	51.4	73	174	319	32	32	27	132	371	2.21e-10	59.7	143	FGSG_00050
XP_011315641.1	XP_001227864.1	0.415114	4.04024	0.102745	YN	53.145	169	318	137	4	12	225	70.75	14	319	326	94	94	5	322	337	3.99e-120	348	892	FGSG_00051
XP_011315642.1	XP_001220972.1	0.882649	3.94432	0.223777	YN	23.874	53	222	121	8	48	85	38.29	9	219	333	63	63	26	210	476	3.21e-10	59.7	143	FGSG_00052
XP_011315645.1	XP_001228042.1	0.668064	5.72945	0.116602	YN	35.323	645	1826	1097	36	84	972	53.23	877	2639	3118	81	57	803	2607	3101	0	1008	2606	FGSG_00055
XP_011315654.1	XP_001222956.1	0.305081	2.99638	0.101816	YN	54.082	53	98	42	1	3	72	73.47	10	107	107	92	92	12	106	106	5.49e-35	114	286	FGSG_00059
XP_011315667.1	XP_001227319.1	0.53308	4.39842	0.121198	YN	43.255	202	467	246	9	19	301	64.45	41	497	513	89	89	59	516	523	6.83e-131	389	999	FGSG_00071
XP_011315669.1	XP_001226369.1	0.667673	4.19548	0.159141	YN	37.864	117	309	180	5	12	179	57.93	31	330	337	89	89	31	336	359	3.46e-59	193	490	FGSG_00073
XP_011315679.1	XP_001230112.1	0.409685	4.31951	0.0948451	YN	48.247	234	485	231	3	20	326	67.22	21	504	527	92	92	4	469	474	2.88e-172	493	1270	FGSG_00083
XP_011315709.1	XP_001226121.1	0.185373	4.2613	0.0435015	YN	66.789	364	545	155	4	26	427	78.35	7	551	553	99	99	2	520	523	0	732	1890	FGSG_00107
XP_011315723.1	XP_001221211.1	0.619109	4.47539	0.138336	YN	36.207	210	580	305	20	65	292	50.34	1	556	584	95	95	403	941	975	3.96e-83	278	711	FGSG_00121
XP_011315724.1	XP_001220230.1	0.644869	3.98963	0.161636	YN	35.249	92	261	155	6	14	147	56.32	23	271	288	86	86	27	285	308	1.58e-43	149	376	FGSG_00122
XP_011315728.1	XP_001228410.1	0.532742	4.77326	0.11161	YN	44.183	300	679	320	13	59	412	60.68	134	792	823	80	80	190	829	830	1.49e-179	536	1380	FGSG_00126
XP_011315734.1	XP_001227276.1	0.591614	3.71329	0.159323	YN	39.086	77	197	116	2	4	106	53.81	62	258	259	76	76	8	200	202	3.2e-41	139	350	FGSG_00132
XP_011315754.1	XP_001228686.1	0.567894	3.37941	0.168045	YN	43.75	49	112	57	3	6	74	66.07	5	111	238	45	45	5	115	128	3.51e-27	100	248	FGSG_11685
XP_011315756.1	XP_001219511.1	0.252577	3.84996	0.065605	YN	62.178	217	349	129	3	3	268	76.79	2	348	349	99	99	1	348	351	1.53e-155	439	1129	FGSG_00150
XP_011315759.1	XP_001222896.1	0.426461	4.44387	0.095966	YN	38.801	220	567	178	17	169	277	48.85	19	489	584	81	81	28	521	2104	6.49e-82	279	714	FGSG_00152
XP_011315771.1	XP_001223613.1	0.59365	4.17274	0.142268	YN	37.995	144	379	213	10	22	207	54.62	30	403	423	88	88	33	394	424	6.35e-72	231	588	FGSG_00162
XP_011315776.1	XP_001226456.1	0.203666	99	0.00205724	YN	70.106	265	378	105	4	8	303	80.16	1	371	373	99	99	1	377	379	0	541	1394	FGSG_00165
XP_011315777.1	XP_001222902.1	0.306055	4.8684	0.0628657	YN	61.18	591	966	337	8	38	722	74.74	2	936	943	99	99	4	962	963	0	1211	3134	FGSG_00166
XP_011315780.1	XP_001222322.1	0.110426	3.19015	0.0346147	YN	79.825	91	114	23	0	0	105	92.11	1	114	114	100	100	1	114	114	1.29e-70	205	521	FGSG_00168
XP_011315781.1	XP_001222270.1	0.363382	4.17005	0.0871409	YN	61.413	113	184	68	2	3	134	72.83	1	182	394	46	46	1	183	450	1.21e-57	193	491	FGSG_00169
XP_011315782.1	XP_001222269.1	0.0963479	3.61797	0.0266304	YN	83.732	175	209	28	2	6	185	88.52	1	206	206	100	100	1	206	206	1.01e-123	347	889	FGSG_00170
XP_011315783.1	XP_001222841.1	0.355413	3.33327	0.106626	YN	50.289	87	173	67	5	19	116	67.05	6	162	162	97	97	17	186	186	1.16e-38	129	323	FGSG_00171
XP_011315784.1	XP_001227996.1	0.461869	5.30505	0.0870622	YN	58.465	297	508	195	3	16	361	71.06	704	1195	1734	93	28	823	1330	1967	0	604	1558	FGSG_11696
XP_011315785.1	XP_001222783.1	0.365068	3.7876	0.0963851	YN	53.648	125	233	104	2	4	162	69.53	6	238	241	97	97	4	232	236	7.25e-87	256	654	FGSG_00172
XP_011315786.1	XP_001222860.1	0.349964	3.77935	0.0925989	YN	53.271	171	321	146	3	4	226	70.4	6	323	370	86	86	13	332	553	4.34e-117	349	896	FGSG_00173
XP_011315787.1	XP_001227395.1	0.464368	2.59249	0.179121	YN	46	92	200	95	3	13	116	58	3	192	193	98	98	8	204	227	5.07e-45	147	371	FGSG_00174
XP_011315788.1	XP_001222819.1	0.0348035	3.89704	0.00893076	YN	86.701	339	391	18	1	34	353	90.28	1	391	394	99	99	84	440	443	0	702	1812	FGSG_00175
XP_011315789.1	XP_001222793.1	0.166436	4.37866	0.0380107	YN	76.799	427	556	128	1	1	481	86.51	44	598	600	93	93	11	566	568	0	884	2283	FGSG_00176
XP_011315790.1	XP_001222792.1	0.119716	3.77588	0.0317054	YN	82.979	234	282	48	0	0	256	90.78	2	283	284	99	99	3	284	286	1.57e-171	474	1220	FGSG_00177
XP_011315791.1	XP_001222820.1	0.166412	4.23195	0.0393228	YN	75.579	359	475	112	2	4	409	86.11	7	477	477	99	99	3	477	477	0	764	1972	FGSG_11697
XP_011315795.1	XP_001222274.1	0.473953	3.94437	0.120159	YN	38.082	139	365	173	10	53	196	53.7	1	357	364	98	98	271	590	594	2.37e-64	213	543	FGSG_00180
XP_011315798.1	XP_001222271.1	0.165322	99	0.00166991	YN	75.278	338	449	109	2	2	394	87.75	1	449	492	91	91	1	447	499	0	702	1813	FGSG_00182
XP_011315799.1	XP_001222250.1	0.653599	4.3395	0.150616	YN	32.832	131	399	241	6	27	216	54.14	73	469	479	83	83	168	541	552	1.95e-53	187	474	FGSG_00183
XP_011315801.1	XP_001222247.1	0.728829	3.82419	0.190584	YN	33.624	77	229	116	7	36	109	47.6	41	264	341	66	66	80	277	291	9.23e-29	111	278	FGSG_00185
XP_011315802.1	XP_001222248.1	0.234135	4.19017	0.0558772	YN	60.496	317	524	160	6	47	365	69.66	2	510	510	99	99	1	492	492	0	592	1525	FGSG_00186
XP_011315808.1	XP_001222474.1	0.267057	5.58598	0.0478084	YN	60.892	1448	2378	810	26	120	1804	75.86	400	2716	2742	85	85	156	2474	2950	0	2927	7589	FGSG_11703
XP_011315810.1	XP_001222475.1	0.199307	2.20016	0.0905874	YN	67.718	365	539	159	4	15	439	81.45	1	531	534	99	99	1	532	535	0	735	1897	FGSG_00192
XP_011315811.1	XP_001222476.1	0.770803	4.74356	0.162495	YN	28.491	151	530	288	20	91	223	42.08	1	484	809	60	60	58	542	1056	4.35e-19	91.3	225	FGSG_00193
XP_011315812.1	XP_001220273.1	0.641515	4.25891	0.150629	YN	25.376	135	532	242	14	155	206	38.72	98	484	532	73	73	17	538	648	7.36e-35	137	345	FGSG_00194
XP_011315818.1	XP_001219351.1	0.22489	4.47171	0.0502917	YN	68.271	383	561	178	0	0	454	80.93	4	564	566	99	99	3	563	565	0	825	2130	FGSG_00200
XP_011315819.1	XP_001219352.1	0.431313	4.21322	0.102371	YN	48.312	186	385	168	4	31	238	61.82	1	365	399	91	91	1	374	402	4.23e-112	332	852	FGSG_00201
XP_011315820.1	XP_001226254.1	0.542997	4.79743	0.113185	YN	41.45	303	731	336	11	92	418	57.18	2	669	883	76	76	6	707	1053	2.74e-162	500	1287	FGSG_11705
XP_011315822.1	XP_001220151.1	0.491802	3.95042	0.124494	YN	50.661	115	227	101	2	11	148	65.2	41	256	258	84	84	58	284	288	3.37e-70	216	550	FGSG_11707
