query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
EIE75299.1	RCI00630.1	0.196623	1.57801	0.124602	YN	70.621	250	354	97	3	7	289	81.64	1	348	350	99	99	61	413	417	3.42e-176	494	1272	RO3G_00003
EIE75301.1	RCI00397.1	0.059099	3.96013	0.0149235	YN	84.419	298	353	38	1	17	317	89.8	1	336	336	100	100	1	353	353	0	616	1589	RO3G_00005
EIE75302.1	RCI00626.1	0.0692891	2.20388	0.0314397	YN	91.808	594	647	53	0	0	629	97.22	143	789	789	82	82	144	790	790	0	1285	3325	RO3G_00006
EIE75303.1	RCH95548.1	0.129752	1.40759	0.0921798	YN	70.081	260	371	71	8	40	288	77.63	1	346	346	100	100	1	356	356	2.1e-161	454	1168	RO3G_00007
EIE75304.1	RCH93811.1	0.0348042	1.0146	0.0343035	YN	92.593	250	270	20	0	0	263	97.41	1	270	270	100	100	1	270	270	0	527	1358	RO3G_00008
EIE75307.1	RCH82483.1	0.253785	4.39208	0.0577826	YN	57.089	302	529	159	7	68	367	69.38	18	483	483	96	96	52	575	575	0	576	1485	RO3G_00011
EIE75309.1	RCI00807.1	0.325734	3.12179	0.104342	YN	50.526	48	95	37	3	10	61	64.21	29	113	133	64	64	51	145	178	9.62e-21	81.6	200	RO3G_00013
EIE75310.1	RCH94606.1	0.119127	1.73976	0.0684737	YN	80.225	783	976	186	2	7	880	90.16	1	969	969	100	100	1	976	976	0	1657	4292	RO3G_00014
EIE75311.1	RCH82040.1	0.254964	3.45422	0.0738123	YN	48.98	96	196	52	3	48	119	60.71	5	152	153	97	97	55	250	257	3.55e-59	183	464	RO3G_00015
EIE75315.1	RCH96159.1	0.0993646	3.06985	0.0323679	YN	82.203	388	472	83	1	1	433	91.74	1	472	472	100	100	32	502	502	0	805	2078	RO3G_00019
EIE75317.1	RCH96158.1	0.223446	2.72138	0.0821075	YN	70.652	130	184	54	0	0	148	80.43	14	197	197	93	93	161	344	344	5.63e-91	268	686	RO3G_00021
EIE75318.1	RCH83514.1	0.10563	3.22001	0.0328042	YN	82.303	386	469	83	0	0	428	91.26	1	469	469	100	100	37	505	505	0	790	2040	RO3G_00022
EIE75319.1	RCH97472.1	0.493753	4.0384	0.122265	YN	43.817	163	372	173	7	36	221	59.41	4	352	355	98	98	128	486	489	3.18e-83	259	663	RO3G_00023
EIE75320.1	RCH95832.1	0.0318649	3.16527	0.010067	YN	87.532	344	393	27	2	22	362	92.11	1	371	371	100	100	7	399	399	0	712	1839	RO3G_00024
EIE75326.1	RCH96163.1	0.169135	1.65011	0.102499	YN	71.654	364	508	135	2	9	438	86.22	1	499	501	99	99	1	508	509	0	779	2012	RO3G_00030
EIE75329.1	RCI00095.1	0.273074	2.17078	0.125795	YN	57.018	325	570	185	7	60	411	72.11	1	511	512	99	99	202	770	774	0	668	1723	RO3G_00033
