query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
TRM55114.1	XP_003031166.1	0.619212	3.74972	0.165135	YN	35.802	87	243	146	7	10	118	48.56	1	238	258	92	92	38	275	295	7.6e-33	120	301	TRM55114.1
TRM55126.1	XP_003032561.1	0.272543	3.3902	0.0803913	YN	60.403	90	149	55	2	4	116	77.85	1	148	148	100	100	3	148	148	1.6e-64	192	489	TRM55126.1
TRM55135.1	XP_003028204.1	0.226148	4.12793	0.0547848	YN	76.568	232	303	66	4	5	267	88.12	55	356	670	45	45	90	388	494	2.1e-154	454	1168	TRM55135.1
TRM55150.1	XP_003028187.1	0.12274	1.85035	0.0663333	YN	78.947	135	171	36	0	0	149	87.13	1	171	171	100	100	1	171	171	9.19e-95	271	692	TRM55150.1
TRM55151.1	XP_003028479.1	0.0841854	1.88736	0.0446047	YN	83.061	407	490	63	3	20	438	89.39	16	495	495	97	97	13	492	492	0	759	1959	TRM55151.1
TRM55153.1	XP_003027947.1	0.650542	2.31803	0.280644	YN	26.952	145	538	310	16	83	219	40.71	150	620	956	79	49	867	1388	1854	4.03e-33	137	346	TRM55153.1
TRM55154.1	XP_003028230.1	0.490885	4.23104	0.11602	YN	40.064	125	312	175	4	12	184	58.97	406	707	709	43	43	339	648	650	1.71e-63	222	565	TRM55154.1
TRM55157.1	XP_003027941.1	0.101773	2.09519	0.0485749	YN	80.952	34	42	8	0	0	36	85.71	1	42	53	79	79	174	215	216	3.04e-19	75.1	183	TRM55157.1
TRM55161.1	XP_003026129.1	0.586934	4.39419	0.133571	YN	31.625	179	566	314	18	73	264	46.64	2	528	528	99	99	24	555	555	2.16e-60	207	527	TRM55161.1
TRM55166.1	XP_003034098.1	0.6082	4.73011	0.128581	YN	38.552	197	511	252	11	62	275	53.82	289	783	787	96	63	410	874	875	2e-105	342	878	TRM55166.1
TRM55170.1	XP_003028702.1	0.624775	4.54535	0.137454	YN	43.279	132	305	172	1	1	189	61.97	479	782	793	38	38	867	1171	1173	2.93e-76	267	683	TRM55170.1
TRM55171.1	XP_003033993.1	0.0122625	0.360601	0.0340058	YN	97.297	108	111	2	1	1	109	98.2	12	121	121	91	91	1	111	111	5.93e-68	199	505	TRM55171.1
TRM55172.1	XP_003034359.1	0.444431	4.46269	0.099588	YN	49.05	284	579	275	9	20	370	63.9	123	698	731	79	79	2	563	593	1.65e-175	514	1323	TRM55172.1
TRM55174.1	XP_003035553.1	0.367511	3.9732	0.0924973	YN	56.314	165	293	122	4	6	206	70.31	2	293	293	99	99	4	291	291	1.04e-106	311	796	TRM55174.1
TRM55176.1	XP_003035555.1	0.302429	4.16954	0.0725328	YN	56.858	228	401	162	4	11	285	71.07	2	395	414	95	95	18	414	415	2.52e-163	464	1194	TRM55176.1
TRM55187.1	XP_003031562.1	0.656858	4.74953	0.138299	YN	24.786	261	1053	689	30	103	468	44.44	16	1046	1074	96	96	421	1392	1644	1.42e-68	251	640	TRM55187.1
TRM55201.1	XP_003031168.1	0.606263	5.01461	0.120899	YN	33.257	435	1308	789	26	84	662	50.61	349	1612	1664	76	76	39	1306	1353	0	667	1721	TRM55201.1
TRM55209.1	XP_003025885.1	0.543836	3.67397	0.148024	YN	47.938	93	194	97	3	4	120	61.86	1	194	218	89	89	90	279	337	1.99e-53	173	439	TRM55209.1
TRM55217.1	XP_003027693.1	0.530246	5.07416	0.104499	YN	38.588	377	977	443	27	157	498	50.97	393	1315	1459	63	63	518	1391	1423	1.28e-170	548	1413	TRM55217.1
TRM55223.1	XP_003034132.1	0.487099	4.78645	0.101766	YN	39.326	315	801	391	19	95	446	55.68	70	792	850	85	85	221	1004	2360	1.93e-140	459	1181	TRM55223.1
TRM55225.1	XP_003039043.1	0.456481	3.6122	0.126372	YN	57.018	65	114	46	1	3	77	67.54	101	214	216	53	53	134	244	247	7.03e-37	128	321	TRM55225.1
TRM55233.1	XP_003033962.1	0.128927	1.53179	0.0841672	YN	73.251	178	243	54	3	11	204	83.95	1	233	680	34	34	1	242	242	9.94e-125	369	946	TRM55233.1
TRM55234.1	XP_003034551.1	0.119436	1.62755	0.0733839	YN	79.251	275	347	67	2	5	293	84.44	1	342	342	100	100	1	347	347	0	548	1411	TRM55234.1
TRM55241.1	XP_003030110.1	0.228799	3.95303	0.0578795	YN	66.601	339	509	167	2	3	415	81.53	5	511	515	98	98	6	513	518	0	687	1772	TRM55241.1
TRM55248.1	XP_003030764.1	0.796969	4.25122	0.187468	YN	23.113	98	424	268	15	58	178	41.98	36	419	512	75	75	53	458	481	6.05e-15	75.9	185	TRM55248.1
TRM55250.1	XP_003030765.1	0.507462	4.97889	0.101923	YN	45.472	462	1016	486	19	68	618	60.83	21	1000	1151	85	85	23	1006	1112	0	863	2230	TRM55250.1
TRM55252.1	XP_003027337.1	0.676839	4.66189	0.145185	YN	40.203	119	296	162	7	15	175	59.12	279	563	887	32	32	210	501	901	1.29e-53	200	509	TRM55252.1
TRM55256.1	XP_003027039.1	0.628902	3.20074	0.196486	YN	38.053	43	113	61	2	9	65	57.52	53	159	165	65	65	6	115	126	3.85e-10	53.5	127	TRM55256.1
TRM55260.1	XP_003027652.1	0.744384	4.29007	0.173513	YN	27.009	121	448	285	15	42	192	42.86	46	487	545	81	81	54	465	510	1.71e-37	144	362	TRM55260.1
TRM55271.1	XP_003033529.1	0.719023	1.98357	0.362489	YN	28.866	84	291	178	7	29	131	45.02	1	288	351	82	82	3	267	335	1.14e-17	81.6	200	TRM55271.1
TRM55273.1	XP_003035201.1	0.0360559	1.52889	0.0235831	YN	91.379	53	58	5	0	0	57	98.28	1	58	58	100	100	1	58	58	5.47e-34	108	270	TRM55273.1
TRM55274.1	XP_003036011.1	0.196673	2.39172	0.0822309	YN	68.794	194	282	80	2	8	225	79.79	1	281	281	100	100	1	275	275	1.34e-141	398	1022	TRM55274.1
TRM55275.1	XP_003035205.1	0.088209	3.1249	0.0282277	YN	83.807	383	457	70	2	4	415	90.81	1	457	457	100	100	1	453	453	0	804	2076	TRM55275.1
TRM55276.1	XP_003036354.1	0.429553	3.96259	0.108402	YN	39.877	130	326	133	7	63	166	50.92	1	271	308	88	88	84	401	610	5.77e-66	216	550	TRM55276.1
TRM55277.1	XP_003035530.1	0.115974	3.74868	0.0309372	YN	65.732	211	321	50	5	60	229	71.34	1	321	357	90	90	1	261	262	2.19e-126	362	929	TRM55277.1
TRM55279.1	XP_003036355.1	0.496823	4.00644	0.124006	YN	46.667	49	105	52	2	4	67	63.81	9	110	112	91	91	4	107	109	8.24e-25	89.4	220	TRM55279.1
TRM55291.1	XP_003028477.1	0.195645	5.3233	0.0367526	YN	69.666	1231	1767	504	6	32	1429	80.87	1	1740	1740	100	100	1	1762	1762	0	2545	6596	TRM55291.1
TRM55292.1	XP_003028183.1	0.548817	1.30939	0.41914	YN	42.424	42	99	50	2	7	63	63.64	1	98	132	74	74	29	121	188	1.26e-19	79	193	TRM55292.1
TRM55296.1	XP_003033010.1	0.45852	3.36414	0.136296	YN	49.324	73	148	71	3	4	90	60.81	36	182	182	81	81	1	145	145	5.83e-40	131	330	TRM55296.1
TRM55301.1	XP_003026378.1	0.0605632	4.47971	0.0135194	YN	87.799	698	795	86	6	11	736	92.58	1	789	790	99	99	1	790	792	0	1405	3636	TRM55301.1
TRM55311.1	XP_003037723.1	0.626044	4.13433	0.151426	YN	39.945	145	363	210	3	8	204	56.2	8	370	390	93	93	10	364	402	5.06e-80	250	638	TRM55311.1
TRM55328.1	XP_003033599.1	0.490784	99	0.00495741	YN	52.5	42	80	37	1	1	54	67.5	6	85	93	86	86	26	104	145	7.33e-23	84.7	208	TRM55328.1
TRM55331.1	XP_003032849.1	0.538555	4.01181	0.134242	YN	44	77	175	90	4	8	106	60.57	142	312	342	50	50	511	681	691	1.47e-40	149	377	TRM55331.1
TRM55332.1	XP_003028805.1	0.462178	4.0272	0.114764	YN	41.351	153	370	198	6	19	225	60.81	1	361	364	99	99	1	360	362	1.05e-94	285	730	TRM55332.1
TRM55346.1	XP_003035743.1	0.37151	1.54489	0.240476	YN	51.312	176	343	153	5	14	233	67.93	35	369	369	91	91	48	384	384	3.61e-104	310	795	TRM55346.1
TRM55351.1	XP_003035747.1	0.0836232	2.03996	0.0409926	YN	83.333	210	252	42	0	0	231	91.67	13	264	268	94	94	1	252	252	6.47e-155	430	1106	TRM55351.1
TRM55361.1	XP_003028549.1	0.318008	4.32933	0.0734542	YN	59.355	276	465	185	3	4	346	74.41	1	462	657	70	70	1	464	464	0	575	1481	TRM55361.1
TRM55362.1	XP_003028868.1	0.459617	5.0152	0.0916448	YN	45.635	460	1008	478	14	70	629	62.4	306	1295	1340	74	74	161	1116	1159	0	864	2233	TRM55362.1
TRM55378.1	XP_003026568.1	0.545446	4.21667	0.129354	YN	36.126	138	382	153	13	91	178	46.6	63	385	387	83	83	97	446	488	5.48e-35	133	334	TRM55378.1
TRM55379.1	XP_003032398.1	0.0336152	1.65049	0.0203669	YN	89.39	337	377	24	1	16	353	93.63	799	1175	1178	32	32	1	361	362	0	704	1817	TRM55379.1
TRM55397.1	XP_003037272.1	0.320537	2.54774	0.125812	YN	58.454	121	207	82	2	4	146	70.53	4	210	221	94	94	1	203	209	5.53e-83	244	624	TRM55397.1
TRM55416.1	XP_003034398.1	0.536903	4.07958	0.131607	YN	41.888	142	339	176	6	21	187	55.16	1	327	329	99	99	110	439	442	9.64e-78	243	620	TRM55416.1
TRM55417.1	XP_003034445.1	0.35373	4.35906	0.0811483	YN	51.789	246	475	199	2	30	325	68.42	47	520	528	90	90	1	446	453	0	530	1365	TRM55417.1
TRM55459.1	XP_003031069.1	0.255987	2.72339	0.0939956	YN	58.333	35	60	25	0	0	50	83.33	1	60	60	100	100	1	60	68	3.82e-25	86.7	213	TRM55459.1
TRM55468.1	XP_003028205.1	0.203569	2.51076	0.0810785	YN	62.464	431	690	185	7	74	494	71.59	5	646	654	98	98	8	671	680	0	806	2083	TRM55468.1
