Gene	PS
FG1G00010	2
FG1G00020	1
FG1G00030	6
FG1G00040	12
FG1G00050	1
FG1G00070	2
FG1G00080	1
FG1G00090	11
FG1G00100	2
FG1G00110	6
FG1G00120	1
FG1G00130	2
FG1G00140	2
FG1G00150	7
FG1G00160	3
FG1G00170	1
FG1G00180	12
FG1G00190	12
FG1G00200	6
FG1G00210	2
FG1G00220	6
FG1G00230	6
FG1G00240	12
FG1G00250	4
FG1G00260	6
FG1G00270	3
FG1G00280	1
FG1G00290	11
FG1G00300	12
FG1G00310	11
FG1G00320	11
FG1G00330	2
FG1G00340	3
FG1G00350	1
FG1G00360	1
FG1G00370	1
FG1G00380	6
FG1G00390	1
FG1G00400	1
FG1G00410	12
FG1G00420	1
FG1G00430	1
FG1G00440	1
FG1G00450	2
FG1G00460	3
FG1G00470	4
FG1G00480	6
FG1G00490	1
FG1G00500	1
FG1G00510	6
FG1G00520	1
FG1G00530	1
FG1G00540	1
FG1G00550	12
FG1G00560	4
FG1G00570	6
FG1G00580	11
FG1G00590	6
FG1G00600	1
FG1G00610	6
FG1G00620	1
FG1G00630	1
FG1G00640	3
FG1G00650	1
FG1G00660	1
FG1G00670	1
FG1G00680	11
FG1G00690	2
FG1G00700	1
FG1G00710	6
FG1G00720	6
FG1G00740	1
FG1G00750	1
FG1G00760	1
FG1G00770	1
FG1G00780	1
FG1G00790	1
FG1G00800	1
FG1G00810	1
FG1G00820	1
FG1G00830	10
FG1G00840	1
FG1G00850	1
FG1G00860	5
FG1G00870	1
FG1G00890	1
FG1G00900	1
FG1G00910	6
FG1G00920	12
FG1G00930	2
FG1G00940	11
FG1G00950	11
FG1G00960	1
FG1G00970	1
FG1G00980	4
FG1G00990	12
FG1G01000	6
FG1G01010	1
FG1G01020	1
FG1G01030	2
FG1G01040	2
FG1G01050	2
FG1G01060	6
FG1G01070	6
FG1G01080	6
FG1G01090	1
FG1G01100	3
FG1G01110	1
FG1G01120	1
FG1G01130	1
FG1G01140	1
FG1G01150	1
FG1G01160	1
FG1G01170	11
FG1G01180	1
FG1G01190	1
FG1G01200	12
FG1G01210	1
FG1G01220	1
FG1G01230	1
FG1G01240	1
FG1G01250	1
FG1G01260	1
FG1G01270	2
FG1G01280	1
FG1G01290	1
FG1G01300	1
FG1G01310	1
FG1G01320	1
FG1G01330	2
FG1G01340	1
FG1G01350	1
FG1G01360	2
FG1G01370	2
FG1G01380	1
FG1G01390	1
FG1G01400	1
FG1G01410	1
FG1G01420	2
FG1G01430	11
FG1G01440	1
FG1G01450	1
FG1G01460	6
FG1G01470	6
FG1G01480	10
FG1G01490	1
FG1G01500	1
FG1G01510	2
FG1G01520	1
