query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_011315573.1	NP_014821.3	0.768823	3.62208	0.21226	YN	31.579	42	133	69	5	22	63	47.37	100	215	222	52	52	239	366	794	5.05e-09	53.5	127	FGSG_11641
XP_011315601.1	NP_012363.1	0.548683	4.46778	0.122809	YN	41.815	212	507	255	11	40	298	58.78	75	560	565	86	86	86	573	577	5.52e-122	369	948	FGSG_00017
XP_011315643.1	NP_014068.1	0.391345	4.11374	0.0951311	YN	55.764	208	373	157	4	8	276	73.99	3	370	382	96	96	5	374	377	1.89e-153	435	1119	FGSG_00053
XP_011315661.1	NP_015154.1	0.486744	4.10933	0.118449	YN	43.386	164	378	189	10	25	230	60.85	3	358	367	97	97	14	388	401	2.15e-96	290	743	FGSG_00065
XP_011315741.1	NP_013044.1	0.928464	4.04323	0.229634	YN	24.214	77	318	208	8	33	135	42.45	4	321	341	93	93	3	287	299	1.85e-15	73.9	180	FGSG_00138
XP_011315780.1	NP_015492.1	0.422869	3.26235	0.129621	YN	50.495	51	101	50	0	0	70	69.31	14	114	114	89	89	16	116	116	1.88e-33	110	276	FGSG_00168
XP_011315782.1	NP_012148.1	0.271216	99	0.00273956	YN	60.684	142	234	62	6	30	167	71.37	1	206	206	100	100	1	232	232	9.7e-94	271	693	FGSG_00170
XP_011315789.1	NP_015331.1	0.457497	4.47438	0.102248	YN	50.936	272	534	243	9	19	362	67.79	77	598	600	87	87	49	575	576	0	556	1434	FGSG_00176
XP_011315792.1	NP_009669.1	0.514711	3.65627	0.140775	YN	50.794	96	189	90	2	3	129	68.25	18	204	205	91	91	43	230	232	2.62e-64	196	499	FGSG_11698
XP_011315805.1	NP_012584.3	0.606422	3.63125	0.167001	YN	30.35	78	257	141	7	38	129	50.19	1	243	244	99	99	1	233	236	2.31e-27	103	256	FGSG_00188
