Gene	PS
AFUA_1G00100	1
AFUA_1G00110	2
AFUA_1G00120	6
AFUA_1G00130	11
AFUA_1G00150	2
AFUA_1G00160	6
AFUA_1G00170	11
AFUA_1G00180	11
AFUA_1G00200	1
AFUA_1G00210	11
AFUA_1G00220	6
AFUA_1G00230	1
AFUA_1G00250	11
AFUA_1G00270	11
AFUA_1G00280	11
AFUA_1G00310	1
AFUA_1G00320	11
AFUA_1G00330	11
AFUA_1G00340	6
AFUA_1G00350	2
AFUA_1G00400	12
AFUA_1G00420	1
AFUA_1G00440	1
AFUA_1G00450	1
AFUA_1G00470	1
AFUA_1G00480	1
AFUA_1G00490	1
AFUA_1G00500	1
AFUA_1G00510	1
AFUA_1G00520	3
AFUA_1G00530	1
AFUA_1G00550	3
AFUA_1G00560	1
AFUA_1G00580	1
AFUA_1G00610	1
AFUA_1G00630	1
AFUA_1G00640	2
AFUA_1G00650	1
AFUA_1G00660	4
AFUA_1G00670	11
AFUA_1G00690	11
AFUA_1G00700	1
AFUA_1G00710	11
AFUA_1G00720	11
AFUA_1G00730	1
AFUA_1G00740	6
AFUA_1G00750	1
AFUA_1G00760	2
AFUA_1G00770	11
AFUA_1G00780	4
AFUA_1G00790	6
AFUA_1G00800	1
AFUA_1G00810	2
AFUA_1G00820	10
AFUA_1G00830	6
AFUA_1G00840	1
AFUA_1G00850	2
AFUA_1G00890	6
AFUA_1G00910	3
AFUA_1G00920	3
AFUA_1G00930	11
AFUA_1G00950	2
AFUA_1G00970	1
AFUA_1G00980	1
AFUA_1G00990	1
AFUA_1G01000	1
AFUA_1G01010	1
AFUA_1G01020	1
AFUA_1G01040	1
AFUA_1G01050	9
AFUA_1G01070	9
AFUA_1G01080	6
AFUA_1G01090	6
AFUA_1G01100	6
AFUA_1G01110	3
AFUA_1G01120	1
AFUA_1G01130	6
AFUA_1G01140	3
AFUA_1G01160	1
AFUA_1G01175	11
AFUA_1G01180	1
AFUA_1G01190	3
AFUA_1G01200	1
AFUA_1G01210	2
AFUA_1G01220	1
AFUA_1G01230	1
AFUA_1G01240	1
AFUA_1G01250	1
AFUA_1G01260	1
AFUA_1G01265	6
AFUA_1G01270	1
AFUA_1G01280	6
AFUA_1G01300	1
AFUA_1G01310	1
AFUA_1G01320	1
AFUA_1G01330	1
AFUA_1G01340	1
AFUA_1G01350	11
AFUA_1G01360	9
AFUA_1G01370	1
AFUA_1G01380	1
AFUA_1G01390	6
AFUA_1G01400	12
AFUA_1G01410	11
AFUA_1G01420	6
AFUA_1G01430	1
AFUA_1G01440	12
AFUA_1G01450	2
AFUA_1G01460	1
AFUA_1G01480	1
AFUA_1G01490	4
AFUA_1G01500	1
AFUA_1G01520	1
AFUA_1G01530	1
AFUA_1G01540	1
AFUA_1G01550	1
AFUA_1G01560	2
AFUA_1G01570	10
AFUA_1G01580	12
AFUA_1G01590	2
AFUA_1G01600	1
AFUA_1G01610	1
AFUA_1G01620	1
AFUA_1G01630	2
AFUA_1G01640	1
AFUA_1G01650	3
AFUA_1G01660	1
AFUA_1G01670	1
AFUA_1G01680	1
AFUA_1G01690	1
AFUA_1G01700	8
AFUA_1G01710	12
AFUA_1G01720	1
AFUA_1G01730	1
AFUA_1G01740	1
AFUA_1G01750	1
AFUA_1G01760	6
AFUA_1G01770	1
AFUA_1G01780	1
AFUA_1G01790	4
AFUA_1G01812	1
AFUA_1G01820	6
AFUA_1G01830	1
AFUA_1G01850	2
AFUA_1G01860	1
AFUA_1G01870	1
AFUA_1G01890	1
AFUA_1G01900	1
AFUA_1G01910	1
AFUA_1G01920	3
AFUA_1G01930	1
AFUA_1G01940	6
AFUA_1G01950	2
AFUA_1G01960	2
AFUA_1G01970	1
AFUA_1G01980	6
AFUA_1G01990	1
AFUA_1G02000	1
AFUA_1G02010	1
AFUA_1G02020	1
AFUA_1G02030	1
AFUA_1G02040	1
AFUA_1G02050	1
AFUA_1G02060	1
AFUA_1G02070	1
AFUA_1G02080	2
AFUA_1G02090	1
AFUA_1G02100	10
AFUA_1G02110	1
AFUA_1G02120	6
AFUA_1G02130	1
AFUA_1G02140	1
