query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
EIE75299.1	KAG9072893.1	0.34049	4.0394	0.0842922	YN	52.104	161	309	115	4	33	204	66.02	1	309	350	88	88	46	321	707	7.8e-105	322	824	RO3G_00003
EIE75302.1	KAG9066706.1	0.306404	4.65402	0.0658364	YN	62.776	398	634	228	6	8	511	80.6	159	786	789	80	80	166	797	4212	0	853	2204	RO3G_00006
EIE75303.1	KAG9067417.1	0.558139	3.88705	0.143589	YN	40.099	81	202	89	6	32	114	56.44	1	196	346	57	57	1	176	442	5.44e-35	131	330	RO3G_00007
EIE75304.1	KAG9069667.1	0.216622	3.96079	0.0546917	YN	70.073	192	274	76	1	6	219	79.93	1	268	270	99	99	1	274	275	2.42e-143	402	1033	RO3G_00008
EIE75305.1	KAG9062061.1	0.159625	3.13513	0.0509151	YN	72.84	118	162	43	1	1	141	87.04	1	161	161	100	100	1	162	162	5.08e-87	251	640	RO3G_00009
EIE75307.1	KAG9065570.1	0.55928	4.36246	0.128203	YN	40.899	182	445	236	10	27	263	59.1	55	483	483	89	89	132	565	565	2.02e-102	317	811	RO3G_00011
EIE75314.1	KAG9065314.1	0.283999	2.83659	0.10012	YN	67.164	45	67	22	0	0	53	79.1	9	75	75	89	89	64	130	130	4.57e-31	104	259	RO3G_00018
EIE75317.1	KAG9072139.1	0.804488	3.66468	0.219525	YN	25.773	50	194	125	4	19	87	44.85	10	186	197	90	90	2	193	203	1.07e-16	73.9	180	RO3G_00021
EIE75326.1	KAG9060813.1	0.455372	4.3448	0.104808	YN	41.44	213	514	223	9	78	299	58.17	1	464	501	93	93	1	486	625	4.11e-130	390	1003	RO3G_00030
EIE75329.1	KAG9071032.1	0.576878	4.431	0.130191	YN	32.018	146	456	248	14	62	237	51.97	18	422	512	93	79	551	995	1173	2.12e-70	243	619	RO3G_00033
EIE75332.1	KAG9061490.1	0.584932	3.52586	0.165898	YN	37.195	61	164	61	4	42	85	51.83	17	155	171	81	81	108	254	283	1.7e-26	100	249	RO3G_00036
EIE75338.1	KAG9068399.1	0.304201	3.28271	0.0926677	YN	55.556	90	162	67	3	5	116	71.6	1	161	161	100	100	1	158	158	9.28e-52	161	407	RO3G_00042
EIE75343.1	KAG9069011.1	0.631595	4.07042	0.155167	YN	32.898	126	383	190	11	67	185	48.3	46	379	379	88	88	187	551	551	3.58e-45	162	410	RO3G_00047
EIE75345.1	KAG9065659.1	0.513307	1.26475	0.405855	YN	36.721	112	305	169	6	24	167	54.75	15	312	367	81	81	3	290	362	2.48e-30	118	295	RO3G_00049
EIE75349.1	KAG9069886.1	0.588342	4.10599	0.143289	YN	28.105	43	153	96	3	14	68	44.44	58	203	2558	6	6	68	213	314	2.14e-09	60.5	145	RO3G_00053
EIE75350.1	KAG9069224.1	0.409762	4.22673	0.0969454	YN	47	188	400	173	5	39	261	65.25	1	361	398	91	91	188	587	609	6.34e-126	375	963	RO3G_00054
EIE75351.1	KAG9065138.1	0.615053	4.52005	0.136072	YN	41.818	115	275	123	4	37	161	58.55	167	404	565	42	42	873	1147	1554	4.53e-66	233	593	RO3G_00055
EIE75356.1	KAG9068200.1	0.46211	3.42642	0.134867	YN	47.826	55	115	52	2	8	83	72.17	36	143	148	73	73	150	263	518	1.99e-27	105	261	RO3G_00060
EIE75359.1	KAG9070624.1	0.686186	3.31491	0.207	YN	31.959	31	97	66	0	0	54	55.67	28	124	135	72	72	27	123	163	1.31e-15	68.2	165	RO3G_00063
EIE75363.1	KAG9062996.1	0.593293	3.17768	0.186706	YN	40	32	80	48	0	0	55	68.75	13	92	108	74	74	10	89	153	8.46e-20	77.8	190	RO3G_00067
EIE75368.1	KAG9070591.1	0.302452	99	0.00305507	YN	60.284	170	282	106	3	6	222	78.72	5	284	284	99	99	16	293	293	2.49e-128	365	938	RO3G_00072
EIE75370.1	KAG9067295.1	0.613175	4.44915	0.137818	YN	31.222	212	679	280	15	187	291	42.86	2	509	568	89	89	70	732	859	4.51e-86	284	726	RO3G_00074
EIE75374.1	KAG9071899.1	0.659868	4.02692	0.163864	YN	29.024	110	379	191	7	78	174	45.91	8	317	338	92	92	32	401	403	1.82e-42	150	380	RO3G_00078
EIE75375.1	KAG9068669.1	0.420871	4.60646	0.0913654	YN	48.644	305	627	243	7	79	387	61.72	1	548	701	78	78	53	679	907	0	576	1485	RO3G_00079
EIE75376.1	KAG9071898.1	0.483257	4.25059	0.113692	YN	46.094	177	384	189	4	18	239	62.24	3	381	422	90	90	55	425	503	1.18e-107	326	835	RO3G_00080
EIE75382.1	KAG9072338.1	0.821172	1.61432	0.50868	YN	22.609	52	230	137	7	41	102	44.35	84	289	297	69	69	3	215	244	1.09e-09	57	136	RO3G_00086
EIE75391.1	KAG9063742.1	0.365497	4.43995	0.0823201	YN	54.545	312	572	227	4	33	414	72.38	4	544	546	99	99	43	612	613	0	654	1688	RO3G_00095
EIE75394.1	KAG9062410.1	0.454169	4.29025	0.105861	YN	42.641	197	462	183	8	82	278	60.17	32	431	435	92	92	16	457	461	5.48e-122	362	928	RO3G_00098
EIE75395.1	KAG9071302.1	0.566988	4.30182	0.131802	YN	33.333	163	489	263	8	63	262	53.58	2	482	503	96	96	89	522	590	2.14e-92	292	747	RO3G_00099
EIE75396.1	KAG9068822.1	0.756887	4.34415	0.174232	YN	28.132	128	455	274	13	53	212	46.59	24	444	456	92	92	52	487	738	1.21e-47	173	439	RO3G_00100
EIE75401.1	KAG9067454.1	0.773236	5.52089	0.140056	YN	30.431	332	1091	674	19	85	548	50.23	922	1974	2380	73	44	898	1941	3077	1.38e-157	546	1406	RO3G_00105
