Gene	PS
MKEN_00000100	1
MKEN_00000200	8
MKEN_00000300	7
MKEN_00000400	7
MKEN_00000500	7
MKEN_00000600	7
MKEN_00000700	1
MKEN_00000800	11
MKEN_00001000	7
MKEN_00001100	11
MKEN_00001200	1
MKEN_00001300	12
MKEN_00001400	1
MKEN_00001500	1
MKEN_00001600	1
MKEN_00001800	9
MKEN_00001900	12
MKEN_00002000	11
MKEN_00002100	2
MKEN_00002200	7
MKEN_00002300	1
MKEN_00002400	1
MKEN_00002500	4
MKEN_00002600	12
MKEN_00002700	1
MKEN_00002800	1
MKEN_00002900	7
MKEN_00003000	12
MKEN_00003100	1
MKEN_00003200	11
MKEN_00003300	1
MKEN_00003400	1
MKEN_00003500	5
MKEN_00003600	1
MKEN_00003700	1
MKEN_00003800	12
MKEN_00003900	11
MKEN_00004000	12
MKEN_00004100	3
MKEN_00004200	9
MKEN_00004300	7
MKEN_00004400	1
MKEN_00004500	11
MKEN_00004600	12
MKEN_00004700	7
MKEN_00004800	11
MKEN_00004900	6
MKEN_00005000	7
MKEN_00005100	2
MKEN_00005200	1
MKEN_00005300	3
MKEN_00005400	11
MKEN_00005500	1
MKEN_00005600	7
MKEN_00005700	7
MKEN_00005800	8
MKEN_00005900	1
MKEN_00006000	12
MKEN_00006100	6
MKEN_00006200	1
MKEN_00006300	2
MKEN_00006400	9
MKEN_00006500	1
MKEN_00006600	2
MKEN_00006800	1
MKEN_00006900	1
MKEN_00007000	1
MKEN_00007100	12
MKEN_00007200	1
MKEN_00007300	1
MKEN_00007400	12
MKEN_00007500	1
MKEN_00007600	1
MKEN_00007700	1
MKEN_00007800	3
MKEN_00007900	7
MKEN_00008000	4
MKEN_00008100	12
MKEN_00008200	1
MKEN_00008300	3
MKEN_00008400	11
MKEN_00008600	2
MKEN_00008700	1
MKEN_00008800	1
MKEN_00008900	1
MKEN_00009000	1
MKEN_00009200	11
MKEN_00009300	1
MKEN_00009400	4
MKEN_00009500	9
MKEN_00009600	7
MKEN_00009700	1
MKEN_00009900	7
MKEN_00010000	7
MKEN_00010100	12
MKEN_00010200	12
MKEN_00010400	11
MKEN_00010500	2
MKEN_00010600	3
MKEN_00010700	11
MKEN_00010800	7
MKEN_00010900	4
MKEN_00011000	1
MKEN_00011100	11
MKEN_00011200	2
MKEN_00011300	2
MKEN_00011500	2
MKEN_00011600	1
MKEN_00011700	1
MKEN_00011800	7
MKEN_00011900	5
MKEN_00012000	1
MKEN_00012100	2
MKEN_00012200	1
MKEN_00012300	2
MKEN_00012400	7
MKEN_00012500	1
MKEN_00012600	12
MKEN_00012700	1
MKEN_00012800	12
MKEN_00012900	12
MKEN_00013000	6
MKEN_00013100	11
MKEN_00013200	9
MKEN_00013300	7
MKEN_00013400	1
MKEN_00013500	1
MKEN_00013600	1
MKEN_00013700	7
MKEN_00013800	1
MKEN_00013900	5
MKEN_00014000	12
MKEN_00014200	7
MKEN_00014300	12
MKEN_00014400	12
MKEN_00014500	3
MKEN_00014600	1
MKEN_00014700	1
MKEN_00014800	1
MKEN_00014900	1
MKEN_00015000	2
MKEN_00015100	9
MKEN_00015200	1
MKEN_00015300	1
MKEN_00015400	7
MKEN_00015500	2
MKEN_00015600	11
MKEN_00015700	11
MKEN_00015800	12
MKEN_00015900	12
MKEN_00016100	1
MKEN_00016200	11
MKEN_00016300	7
MKEN_00016500	11
MKEN_00016600	1
MKEN_00016700	1
MKEN_00016800	7
MKEN_00016900	1
MKEN_00017000	11
MKEN_00017100	1
MKEN_00017200	3
MKEN_00017300	1
MKEN_00017400	7
MKEN_00017600	2
MKEN_00017700	1
MKEN_00017800	1
MKEN_00018000	1
