query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_024511806.1	KIR83029.1	0.0777058	0.311021	0.249841	YN	83.065	309	372	55	4	8	321	86.29	1	368	368	100	100	1	368	368	4e-179	499	1286	XP_024511806.1
XP_024511807.1	KIR83030.1	0.0305644	0.26972	0.113319	YN	90.391	1016	1124	62	3	46	1039	92.44	47	1170	1170	96	96	1	1078	1078	0	1937	5019	XP_024511807.1
XP_024511808.1	KIR83031.1	0.0463568	0.279911	0.165612	YN	91.081	531	583	52	0	0	552	94.68	1	583	583	100	100	1	583	583	0	1082	2797	XP_024511808.1
XP_024511809.1	KIR83035.1	0.0888377	0.493084	0.180167	YN	98.649	73	74	1	0	0	73	98.65	1	74	85	87	87	1	74	126	1.9e-49	150	379	XP_024511809.1
XP_024511810.1	KIR83039.1	0.0715791	0.665384	0.107576	YN	80.88	588	727	86	9	53	612	84.18	290	997	997	71	71	2	694	694	0	966	2497	XP_024511810.1
XP_024511812.1	KIR83046.1	0.0685049	0.311397	0.219992	YN	86.604	640	739	94	3	5	676	91.47	1	736	736	100	100	1	737	737	0	1299	3361	XP_024511812.1
XP_024511813.1	KIR83048.1	0.0989611	0.488102	0.202747	YN	88.82	286	322	35	1	1	296	91.93	1	322	358	90	90	1	321	572	0	582	1501	XP_024511813.1
XP_024511814.1	KIR83049.1	0.0647693	0.276203	0.234499	YN	87.239	711	815	93	3	11	742	91.04	1	815	815	100	100	1	804	804	0	1410	3651	XP_024511814.1
XP_024511815.1	KIR83051.1	0.0115435	0.200821	0.0574817	YN	97.396	187	192	5	0	0	190	98.96	1	192	192	100	100	1	192	192	8.7e-138	380	977	XP_024511815.1
XP_024511816.1	KIR83054.1	0.0917681	0.536852	0.170937	YN	90.566	192	212	20	0	0	202	95.28	1	212	290	73	73	1	212	227	9.8e-146	406	1044	XP_024511816.1
XP_024511817.1	KIR83066.1	0.0266021	0.294783	0.0902432	YN	94.824	513	541	28	0	0	528	97.6	1	541	541	100	100	1	541	541	0	1040	2689	XP_024511817.1
XP_024511818.1	KIR83067.1	0.0259844	0.321907	0.0807202	YN	94.479	308	326	18	0	0	318	97.55	1	326	326	100	100	1	326	326	0	650	1676	XP_024511818.1
XP_024511819.1	KIR83068.1	0.0315209	0.305736	0.103098	YN	93.624	279	298	15	1	4	287	96.31	1	298	302	99	99	1	294	298	0	584	1505	XP_024511819.1
XP_024511820.1	KIR83069.1	0.103595	0.286913	0.361068	YN	78.69	1045	1328	228	9	55	1111	83.66	1	1317	1664	94	79	1	1284	1531	0	1694	4387	XP_024511820.1
XP_024511821.1	KIR83078.1	0.0172594	0.234163	0.0737067	YN	95.792	387	404	13	1	4	394	97.52	1	404	404	100	100	1	400	400	0	781	2017	XP_024511821.1
XP_024511823.1	KIR83083.1	0.0187562	0.308981	0.0607033	YN	92.5	148	160	5	1	7	152	95	1	160	160	100	100	1	153	153	1.35e-106	299	765	XP_024511823.1
XP_024511824.1	KIR83085.1	0.0380548	0.215556	0.176542	YN	92.857	221	238	17	0	0	224	94.12	1	238	239	99	99	1	238	240	7.03e-139	387	995	XP_024511824.1
XP_024511825.1	KIR83086.1	0.0515112	0.277889	0.185366	YN	90.353	1152	1275	121	2	2	1194	93.65	11	1285	1285	99	99	11	1283	1283	0	2270	5883	XP_024511825.1
XP_024511826.1	KIR83090.1	0.166232	0.409947	0.405497	YN	64.745	292	451	115	11	44	322	71.4	1	444	444	100	100	1	414	414	2.71e-140	406	1043	XP_024511826.1
XP_024511827.1	KIR87563.1	0.0499655	0.287569	0.173751	YN	89.108	769	863	88	2	6	798	92.47	1	860	860	100	100	1	860	860	0	1461	3783	XP_024511827.1
XP_024511828.1	KIR87567.1	0.0375718	0.316247	0.118805	YN	92.78	771	831	60	0	0	803	96.63	6	836	836	99	99	5	835	835	0	1575	4079	XP_024511828.1
XP_024511829.1	KIR87569.1	0.0932876	0.301266	0.309652	YN	85.02	210	247	37	0	0	221	89.47	1	247	253	98	98	1	247	248	2.7e-141	394	1013	XP_024511829.1
XP_024511830.1	KIR87570.1	0.20412	0.367275	0.55577	YN	70.483	277	393	114	1	2	329	83.72	88	480	493	80	80	1	391	416	0	573	1476	XP_024511830.1
XP_024511831.1	KIR87571.1	0.00761807	0.318264	0.0239363	YN	98.099	929	947	14	1	4	934	98.63	1	943	943	100	100	1	947	947	0	1883	4879	XP_024511831.1
XP_024511832.1	KIR87575.1	0.0122707	0.184534	0.0664954	YN	98.544	203	206	3	0	0	203	98.54	4	209	209	99	99	13	218	218	7.73e-151	415	1067	XP_024511832.1
XP_024511833.1	KIR87656.1	0.0655339	0.340577	0.19242	YN	87.47	363	415	51	1	1	383	92.29	1	414	419	99	99	1	415	427	0	715	1846	XP_024511833.1
XP_024511834.1	KIR87583.1	0.0408432	0.294329	0.138767	YN	89.7	688	767	57	2	22	714	93.09	1	745	745	100	100	1	767	767	0	1289	3335	XP_024511834.1
XP_024511835.1	KIR87596.1	0.15614	0.735407	0.212318	YN	63.824	217	340	79	3	44	243	71.47	29	368	370	92	92	1	296	299	9.08e-141	400	1027	XP_024511835.1
XP_024511836.1	KIR87664.1	0.0656298	0.310899	0.211097	YN	87.49	1098	1255	149	1	8	1147	91.39	1	1255	1255	100	100	1	1247	1247	0	2148	5566	XP_024511836.1
XP_024511837.1	KIR87598.1	0.0560966	0.317421	0.176727	YN	88.929	498	560	59	2	3	521	93.04	1	557	557	100	100	1	560	560	0	941	2432	XP_024511837.1
XP_024511839.1	KIR87601.1	0.0665338	0.336419	0.197771	YN	81.019	525	648	80	2	43	556	85.8	1	647	649	99	99	1	606	608	0	994	2571	XP_024511839.1
XP_024511841.1	KIR87675.1	0.0536178	0.299294	0.179148	YN	89.899	178	198	20	0	0	191	96.46	1	198	198	100	100	1	198	198	1.24e-134	373	958	XP_024511841.1
XP_024511842.1	KIR87676.1	0.0660816	0.325282	0.203152	YN	78.629	195	248	28	1	25	209	84.27	1	248	326	76	76	1	223	224	2.59e-142	399	1025	XP_024511842.1
XP_024511843.1	KIR87613.1	0.0649036	0.398391	0.162914	YN	86.115	552	641	75	1	14	581	90.64	1	641	641	100	100	1	627	627	0	1142	2955	XP_024511843.1
