Gene	PS
CC2G_000001	12
CC2G_000002	7
CC2G_000003	6
CC2G_000004	9
CC2G_000005	7
CC2G_000006	7
CC2G_000007	12
CC2G_000008	7
CC2G_000009	12
CC2G_000010	12
CC2G_000011	12
CC2G_000012	12
CC2G_000013	12
CC2G_000014	7
CC2G_000015	12
CC2G_000016	12
CC2G_000017	2
CC2G_000018	1
CC2G_000019	2
CC2G_000020	7
CC2G_000021	1
CC2G_000022	1
CC2G_000023	12
CC2G_000024	12
CC2G_000026	12
CC2G_000027	12
CC2G_000028	7
CC2G_000029	7
CC2G_000030	12
CC2G_000031	12
CC2G_000032	1
CC2G_000033	5
CC2G_000034	12
CC2G_000035	12
CC2G_000036	1
CC2G_000037	12
CC2G_000038	1
CC2G_000039	1
CC2G_000040	1
CC2G_000041	7
CC2G_000042	12
CC2G_000043	7
CC2G_000044	12
CC2G_000045	7
CC2G_000046	12
CC2G_000047	12
CC2G_000048	1
CC2G_000049	7
CC2G_000050	3
CC2G_000051	5
CC2G_000052	12
CC2G_000053	1
CC2G_000054	12
CC2G_000055	12
CC2G_000056	12
CC2G_000057	9
CC2G_000058	1
CC2G_000059	12
CC2G_000060	2
CC2G_000061	2
CC2G_000062	12
CC2G_000063	11
CC2G_000064	12
CC2G_000065	1
CC2G_000066	4
CC2G_000067	1
CC2G_000068	2
CC2G_000069	5
CC2G_000070	12
CC2G_000071	12
CC2G_000072	12
CC2G_000073	12
CC2G_000074	12
CC2G_000075	12
CC2G_000076	9
CC2G_000077	10
CC2G_000078	12
CC2G_000079	11
CC2G_000080	12
CC2G_000081	11
CC2G_000082	9
CC2G_000083	11
CC2G_000084	12
CC2G_000085	10
CC2G_000086	5
CC2G_000087	12
CC2G_000088	9
CC2G_000089	12
CC2G_000090	1
CC2G_000091	12
CC2G_000092	1
CC2G_000093	12
CC2G_000094	1
CC2G_000095	7
CC2G_000096	12
CC2G_000097	1
CC2G_000098	1
CC2G_000099	9
CC2G_000100	1
CC2G_000101	12
CC2G_000102	10
CC2G_000103	4
CC2G_000104	12
CC2G_000105	9
CC2G_000106	9
CC2G_000107	1
CC2G_000108	12
CC2G_000109	12
CC2G_000110	9
CC2G_000111	1
CC2G_000112	1
CC2G_000113	12
CC2G_000114	2
CC2G_000115	12
CC2G_000116	1
CC2G_000117	1
CC2G_000118	1
