qseqid	PS
XP_003708685.1	1
XP_003708686.1	6
XP_003708687.1	2
XP_003708688.1	1
XP_003708689.1	12
XP_003708690.1	12
XP_003708691.1	1
XP_003708692.1	1
XP_003708693.1	1
XP_003708694.1	1
XP_003708695.1	1
XP_003708696.1	12
XP_003708697.1	11
XP_003708698.1	11
XP_003708699.1	1
XP_003708700.1	1
XP_003708701.1	12
XP_003708702.1	6
XP_003708703.1	6
XP_003708704.1	2
XP_003708705.1	1
XP_003708706.1	1
XP_003708707.1	1
XP_003708708.1	1
XP_003708709.1	2
XP_003708710.1	2
XP_003708711.1	1
XP_003708712.1	11
XP_003708713.1	11
XP_003708714.1	2
XP_003708715.1	2
XP_003708716.1	1
XP_003708717.1	1
XP_003708718.1	11
XP_003708719.1	2
XP_003708720.1	1
XP_003708721.1	11
XP_003708722.1	9
XP_003708723.1	1
XP_003708724.1	11
XP_003708725.1	1
XP_003708726.1	1
XP_003708727.1	1
XP_003708728.1	1
XP_003708729.1	11
XP_003708730.1	9
XP_003708731.1	2
XP_003708732.1	1
XP_003708733.1	11
XP_003708734.1	3
XP_003708735.1	1
XP_003708736.1	1
XP_003708737.1	2
XP_003708738.1	2
XP_003708739.1	11
XP_003708740.1	12
XP_003708741.1	1
XP_003708742.1	2
XP_003708743.1	2
XP_003708744.1	2
XP_003708745.1	1
XP_003708746.1	4
XP_003708747.1	7
XP_003708748.1	6
XP_003708749.1	3
XP_003708750.1	11
XP_003708751.1	1
XP_003708752.1	2
XP_003708753.1	1
XP_003708754.1	1
XP_003708755.1	12
XP_003708756.1	3
XP_003708757.1	11
XP_003708758.1	12
XP_003708759.1	11
XP_003708760.1	11
XP_003708761.1	8
XP_003708762.1	1
XP_003708763.1	7
XP_003708764.1	7
XP_003708765.1	12
XP_003708766.1	12
XP_003708767.1	12
XP_003708768.1	12
XP_003708769.1	1
XP_003708770.1	6
XP_003708771.1	12
XP_003708772.1	12
XP_003708773.1	6
XP_003708774.1	11
XP_003708775.1	12
XP_003708776.1	6
XP_003708777.1	12
XP_003708778.1	12
XP_003708779.1	3
XP_003708780.1	2
XP_003708781.1	2
XP_003708782.1	12
XP_003708783.1	7
XP_003708784.1	2
XP_003708785.1	12
XP_003708786.1	4
XP_003708787.1	1
XP_003708788.1	6
XP_003708789.1	3
XP_003708790.1	3
XP_003708791.1	2
XP_003708792.1	7
XP_003708793.1	1
XP_003708794.1	2
XP_003708795.1	11
XP_003708796.1	6
XP_003708797.1	6
XP_003708798.1	2
XP_003708799.1	7
XP_003708800.1	11
XP_003708801.1	7
XP_003708802.1	2
XP_003708803.1	2
XP_003708804.1	1
XP_003708805.1	3
XP_003708806.1	7
XP_003708807.1	1
XP_003708808.1	11
XP_003708809.1	12
XP_003708810.1	11
XP_003708811.1	7
XP_003708812.1	9
XP_003708813.1	6
XP_003708814.1	7
XP_003708815.1	11
XP_003708816.1	12
XP_003708817.1	2
XP_003708818.1	1
XP_003708819.1	1
XP_003708820.1	1
XP_003708821.1	1
XP_003708822.1	7
XP_003708823.1	6
XP_003708824.1	11
XP_003708825.1	1
XP_003708826.1	7
XP_003708827.1	1
XP_003708828.1	1
XP_003708829.1	11
XP_003708830.1	3
XP_003708831.1	11
XP_003708832.1	12
XP_003708833.1	1
