query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_011315596.1	XP_033441480.1	0.68285	3.77654	0.180814	YN	38.053	43	113	62	3	8	64	56.64	53	163	234	47	47	166	272	425	4.42e-19	83.6	205	FGSG_11649
XP_011315597.1	XP_033434108.1	0.693176	4.20504	0.164844	YN	33.333	132	396	231	7	33	198	50	9	372	375	97	97	36	430	433	2.36e-58	194	493	FGSG_00014
XP_011315598.1	XP_033432649.1	0.272447	4.47602	0.0608682	YN	65.226	332	509	166	3	11	404	79.37	18	516	539	93	93	14	521	548	0	699	1803	FGSG_00015
XP_011315600.1	XP_033435186.1	0.506175	4.08457	0.123924	YN	44.951	138	307	152	5	17	188	61.24	3	306	319	95	95	8	300	329	4.32e-88	265	678	FGSG_00016
XP_011315611.1	XP_033434685.1	0.330472	1.76514	0.187222	YN	54.663	211	386	140	4	35	259	67.1	28	394	406	90	90	922	1291	1343	1.81e-128	399	1026	FGSG_00026
XP_011315613.1	XP_033433545.1	0.39059	3.88758	0.100471	YN	52.692	137	260	108	7	15	174	66.92	27	276	276	91	91	33	287	287	1.42e-89	266	680	FGSG_00028
XP_011315614.1	XP_033440750.1	0.590686	3.6725	0.16084	YN	49.541	54	109	54	1	1	73	66.97	34	141	179	60	60	60	168	321	1.23e-32	117	293	FGSG_00029
XP_011315617.1	XP_033432423.1	0.482074	3.91762	0.123053	YN	46.29	131	283	143	4	9	177	62.54	2	279	279	99	99	7	285	285	4.67e-84	252	643	FGSG_00032
XP_011315622.1	XP_033433785.1	0.546702	5.26772	0.103783	YN	41.752	653	1564	834	28	77	917	58.63	56	1594	1599	96	96	1	1512	1513	0	1132	2927	FGSG_00036
XP_011315627.1	XP_033440534.1	0.446189	4.69312	0.095073	YN	48.198	361	749	360	9	28	479	63.95	1	722	727	99	99	1	748	753	0	682	1759	FGSG_00040
XP_011315641.1	XP_033437562.1	0.391484	4.07463	0.0960783	YN	50.144	174	347	136	6	37	225	64.84	14	324	326	95	95	4	349	366	5.32e-114	333	854	FGSG_00051
XP_011315642.1	XP_033434186.1	0.594095	4.08688	0.145366	YN	36.565	132	361	186	8	43	197	54.57	1	325	333	98	98	1	354	523	6.38e-60	199	505	FGSG_00052
XP_011315652.1	XP_033438780.1	0.708568	2.91148	0.243371	YN	30.822	45	146	88	5	13	75	51.37	49	182	289	46	46	225	369	388	2.78e-13	67.8	164	FGSG_11667
XP_011315662.1	XP_033433981.1	0.38314	4.09948	0.0934607	YN	51.156	177	346	156	2	13	238	68.79	3	348	350	99	99	2	334	336	4.66e-130	374	959	FGSG_00066
XP_011315669.1	XP_033440664.1	0.523008	4.19142	0.124781	YN	47.892	159	332	167	3	6	219	65.96	1	328	337	97	97	1	330	345	3.49e-95	285	728	FGSG_00073
XP_011315675.1	XP_033433284.1	0.543521	4.14052	0.131269	YN	44.068	156	354	189	6	9	217	61.3	8	359	414	85	85	5	351	372	1.3e-94	287	735	FGSG_00079
XP_011315691.1	XP_033433286.1	0.544926	4.2971	0.126813	YN	40.793	175	429	239	7	15	248	57.81	11	438	443	97	97	21	435	465	8.55e-106	320	820	FGSG_00092
XP_011315712.1	XP_033437304.1	0.407938	2.02384	0.201566	YN	53.986	149	276	122	1	5	200	72.46	1	271	296	92	92	1	276	313	1.56e-104	306	783	FGSG_00110
XP_011315723.1	XP_033437808.1	0.634082	2.38483	0.265882	YN	36.877	222	602	332	16	48	312	51.83	1	577	584	99	99	536	1114	1121	2.69e-94	311	796	FGSG_00121
XP_011315724.1	XP_033435642.1	0.633337	3.904	0.162228	YN	37.828	101	267	159	5	7	149	55.81	21	283	288	91	91	12	275	286	2.61e-52	171	433	FGSG_00122
XP_011315735.1	XP_033440106.1	0.752226	4.43148	0.169746	YN	25.088	143	570	302	18	125	238	41.75	88	613	717	73	73	49	537	549	8.57e-31	126	316	FGSG_11680
XP_011315743.1	XP_033439896.1	0.343709	4.83905	0.0710282	YN	56.396	507	899	360	11	32	647	71.97	168	1053	1063	83	83	11	890	897	0	994	2570	FGSG_00140
XP_011315745.1	XP_033440731.1	0.30177	1.38975	0.217141	YN	57.937	73	126	49	1	4	92	73.02	49	174	180	96	70	156	277	304	2.34e-45	150	378	FGSG_00141
XP_011315756.1	XP_033442078.1	0.215561	4.07952	0.0528399	YN	65.903	230	349	116	2	3	286	81.95	1	348	349	99	99	1	347	349	1.2e-173	484	1247	FGSG_00150
