query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_001219223.1	AEO57191.1	0.154671	1.65204	0.0936241	YN	72.127	295	409	102	4	12	331	80.93	105	505	512	78	78	1	405	415	0	578	1490	XP_001219223.1
XP_001219225.1	AEO60425.1	0.517124	1.11075	0.465563	YN	40.625	26	64	30	1	8	35	54.69	7	70	739	9	9	8	63	64	3.48e-08	49.3	116	XP_001219225.1
XP_001219226.1	AEO60421.1	0.0409073	4.24485	0.00963693	YN	93.109	554	595	40	1	1	577	96.97	1	595	604	99	99	103	696	705	0	1149	2972	XP_001219226.1
XP_001219227.1	AEO60422.1	0.10124	2.55153	0.0396783	YN	77.571	543	700	131	8	26	594	84.86	3	689	690	99	99	67	753	757	0	986	2549	XP_001219227.1
XP_001219228.1	AEO60423.1	0.11837	3.91369	0.0302451	YN	82.979	234	282	48	0	0	261	92.55	11	292	456	62	62	94	375	390	9.07e-173	488	1257	XP_001219228.1
XP_001219232.1	AEO60431.1	0.226595	4.33821	0.0522323	YN	61.776	320	518	156	11	42	371	71.62	585	1088	1098	46	46	1	490	490	0	595	1533	XP_001219232.1
XP_001219237.1	AEO58410.1	0.165782	1.59871	0.103697	YN	63.279	193	305	79	2	33	232	76.07	2	306	318	96	96	3	274	275	7.55e-143	402	1034	XP_001219237.1
XP_001219238.1	AEO60416.1	0.207828	1.96916	0.105541	YN	66.839	129	193	60	2	4	152	78.76	1	191	193	99	99	1	191	193	4.43e-83	243	619	XP_001219238.1
XP_001219239.1	AEO60412.1	0.142706	3.90193	0.0365733	YN	74.622	247	331	82	1	2	286	86.4	2	332	332	99	99	3	331	331	0	521	1341	XP_001219239.1
XP_001219240.1	AEO60436.1	0.106663	2.50614	0.0425607	YN	79.325	188	237	48	1	1	215	90.72	40	275	276	86	86	1	237	311	1.53e-132	376	965	XP_001219240.1
XP_001219241.1	AEO60435.1	0.237653	4.43813	0.053548	YN	56.494	348	616	204	12	64	425	68.99	312	872	892	63	63	3	609	626	0	630	1626	XP_001219241.1
