Gene	PS
SCHCODRAFT_10023	2
SCHCODRAFT_10024	7
SCHCODRAFT_10069	1
SCHCODRAFT_10071	12
SCHCODRAFT_10121	10
SCHCODRAFT_10151	7
SCHCODRAFT_10169	12
SCHCODRAFT_10193	12
SCHCODRAFT_10210	7
SCHCODRAFT_102215	12
SCHCODRAFT_102216	12
SCHCODRAFT_102217	12
SCHCODRAFT_102219	6
SCHCODRAFT_102220	7
SCHCODRAFT_102221	12
SCHCODRAFT_102222	12
SCHCODRAFT_102223	12
SCHCODRAFT_102227	12
SCHCODRAFT_102228	12
SCHCODRAFT_102229	4
SCHCODRAFT_102230	10
SCHCODRAFT_102234	12
SCHCODRAFT_102236	12
SCHCODRAFT_102238	12
SCHCODRAFT_102239	1
SCHCODRAFT_102248	1
SCHCODRAFT_102252	10
SCHCODRAFT_102254	2
SCHCODRAFT_102257	7
SCHCODRAFT_102260	7
SCHCODRAFT_102263	9
SCHCODRAFT_102264	12
SCHCODRAFT_102277	8
SCHCODRAFT_102280	7
SCHCODRAFT_102281	7
SCHCODRAFT_102282	12
SCHCODRAFT_102283	10
SCHCODRAFT_102284	10
SCHCODRAFT_102287	4
SCHCODRAFT_102292	7
SCHCODRAFT_102295	2
SCHCODRAFT_102300	10
SCHCODRAFT_102303	10
SCHCODRAFT_102306	12
SCHCODRAFT_102307	12
SCHCODRAFT_102310	12
SCHCODRAFT_102311	12
SCHCODRAFT_102312	12
SCHCODRAFT_102315	12
SCHCODRAFT_102316	3
SCHCODRAFT_102318	12
SCHCODRAFT_102319	12
SCHCODRAFT_102320	12
SCHCODRAFT_102325	10
SCHCODRAFT_102336	12
SCHCODRAFT_102341	3
SCHCODRAFT_102345	1
SCHCODRAFT_102351	12
SCHCODRAFT_102353	1
SCHCODRAFT_102364	1
SCHCODRAFT_102369	9
SCHCODRAFT_10237	2
SCHCODRAFT_102373	2
SCHCODRAFT_102377	12
SCHCODRAFT_102378	12
SCHCODRAFT_102385	7
SCHCODRAFT_102388	12
SCHCODRAFT_102392	7
SCHCODRAFT_102393	7
SCHCODRAFT_102394	7
SCHCODRAFT_102398	2
SCHCODRAFT_102399	12
SCHCODRAFT_102403	7
SCHCODRAFT_102404	7
SCHCODRAFT_102405	7
SCHCODRAFT_102406	7
SCHCODRAFT_102408	12
SCHCODRAFT_102409	7
SCHCODRAFT_102411	8
SCHCODRAFT_102415	9
SCHCODRAFT_102420	12
SCHCODRAFT_102428	7
SCHCODRAFT_102430	10
SCHCODRAFT_102431	7
SCHCODRAFT_102434	7
SCHCODRAFT_102435	2
SCHCODRAFT_102438	2
SCHCODRAFT_102446	10
SCHCODRAFT_102448	10
SCHCODRAFT_102454	7
SCHCODRAFT_102455	10
SCHCODRAFT_102458	7
SCHCODRAFT_102466	7
SCHCODRAFT_102469	7
SCHCODRAFT_102470	1
SCHCODRAFT_102471	2
SCHCODRAFT_102472	12
