Gene	PS
CNA00010	5
CNA00020	1
CNA00030	1
CNA00040	1
CNA00050	1
CNA00060	1
CNA00070	1
CNA00075	12
CNA00080	11
CNA00090	1
CNA00100	1
CNA00110	6
CNA00120	2
CNA00130	2
CNA00140	1
CNA00150	1
CNA00160	2
CNA00170	3
CNA00180	1
CNA00190	1
CNA00200	4
CNA00210	1
CNA00220	1
CNA00225	1
CNA00230	2
CNA00240	1
CNA00250	1
CNA00260	2
CNA00270	1
CNA00280	1
CNA00290	2
CNA00300	1
CNA00310	1
CNA00320	9
CNA00330	1
CNA00340	2
CNA00350	1
CNA00360	1
CNA00370	1
CNA00380	1
CNA00390	1
CNA00400	2
CNA00410	9
CNA00420	10
CNA00430	1
CNA00460	2
CNA00470	1
CNA00480	1
CNA00485	5
CNA00490	1
CNA00510	1
CNA00520	2
CNA00530	1
CNA00540	1
CNA00550	1
CNA00560	1
CNA00570	1
CNA00580	1
CNA00590	2
CNA00600	11
CNA00610	9
CNA00620	1
CNA00630	1
CNA00640	1
CNA00650	4
CNA00660	1
CNA00670	1
CNA00680	1
CNA00690	9
CNA00700	11
CNA00710	1
CNA00720	1
CNA00730	3
CNA00740	1
CNA00750	1
CNA00760	1
CNA00770	5
CNA00780	1
CNA00790	1
CNA00800	2
CNA00820	9
CNA00830	1
CNA00840	2
CNA00850	1
CNA00860	2
CNA00870	6
CNA00880	1
CNA00890	1
CNA00900	1
CNA00910	1
CNA00920	2
CNA00930	1
CNA00940	7
CNA00950	1
CNA00960	1
CNA00970	1
CNA00980	2
CNA00990	1
CNA01000	2
CNA01010	1
CNA01020	1
CNA01030	1
CNA01040	1
CNA01050	1
CNA01060	1
CNA01070	1
CNA01080	6
CNA01090	11
CNA01095	3
CNA01100	1
CNA01120	1
CNA01130	1
CNA01140	1
CNA01150	2
CNA01160	1
CNA01170	1
CNA01180	1
CNA01190	1
CNA01200	10
CNA01205	2
CNA01210	6
CNA01220	2
CNA01230	1
CNA01240	3
CNA01250	1
CNA01260	2
CNA01270	1
CNA01280	1
CNA01290	1
CNA01310	1
CNA01320	2
CNA01330	1
CNA01340	1
CNA01350	1
CNA01360	2
CNA01370	1
CNA01380	1
CNA01390	2
CNA01400	7
CNA01410	6
CNA01420	1
CNA01430	11
CNA01440	12
CNA01450	2
CNA01460	3
CNA01470	2
CNA01480	7
CNA01490	1
CNA01500	1
CNA01510	3
CNA01520	1
CNA01530	1
CNA01540	1
CNA01550	2
CNA01560	2
CNA01580	1
CNA01590	2
CNA01600	1
CNA01610	7
CNA01620	1
CNA01630	7
CNA01640	1
CNA01650	5
CNA01660	1
CNA01680	1
CNA01690	1
CNA01700	2
CNA01710	1
CNA01720	1
CNA01730	2
CNA01740	4
CNA01750	2
CNA01760	2
CNA01770	1
CNA01780	4
CNA01790	6
CNA01800	2
CNA01810	6
CNA01820	1
CNA01830	7
CNA01840	2
CNA01850	1
CNA01860	2
CNA01870	1
CNA01880	7
CNA01890	2
CNA01900	2
CNA01910	3
CNA01920	1
CNA01930	5
CNA01940	7
CNA01950	2
CNA01960	2
CNA01980	12
CNA01990	2
CNA02000	2
CNA02010	7
CNA02015	2
CNA02020	4
CNA02030	2
CNA02040	2
CNA02050	1
CNA02055	5
CNA02060	1
CNA02080	9
CNA02090	1
CNA02100	1
CNA02115	2
CNA02120	12
CNA02125	12
CNA02130	7
CNA02140	1
CNA02150	7
CNA02160	3
CNA02170	2
CNA02180	1
CNA02205	9
CNA02210	2
CNA02220	1
CNA02230	1
CNA02240	1
CNA02250	1
CNA02260	1
CNA02270	1
CNA02290	1
CNA02300	3
CNA02310	2
CNA02330	3
CNA02335	9
CNA02340	6
CNA02350	2
CNA02360	7
CNA02370	1
CNA02380	2
CNA02390	6
CNA02400	1
CNA02405	1
CNA02410	2
CNA02420	2
CNA02430	1
CNA02440	9
CNA02450	1
CNA02460	1
CNA02470	1
CNA02480	1
CNA02490	1
CNA02500	1
CNA02510	11
CNA02520	4
CNA02530	10
CNA02535	2
CNA02540	1
CNA02550	1
CNA02555	1
CNA02560	2
CNA02570	1
CNA02580	1
CNA02590	1
CNA02600	2
CNA02610	1
CNA02620	6
CNA02625	2
CNA02630	1
CNA02640	2
CNA02645	1
CNA02650	1
CNA02660	2
CNA02670	2
CNA02680	7
CNA02690	1
CNA02700	1
CNA02710	7
CNA02720	1
CNA02730	1
CNA02740	2
CNA02750	1
CNA02760	1
CNA02770	1
CNA02780	1
CNA02790	1
CNA02800	1
CNA02810	1
CNA02820	2
CNA02830	1
CNA02840	1
CNA02845	1
CNA02850	1
CNA02860	1
CNA02870	5
CNA02875	10
CNA02880	1
CNA02885	11
CNA02890	1
CNA02895	9
CNA02900	11
CNA02905	3
CNA02910	1
CNA02920	1
CNA02930	2
CNA02940	1
CNA02950	2
CNA02960	1
CNA02970	3
CNA02980	1
CNA02990	3
CNA03000	1
CNA03010	1
CNA03020	2
CNA03030	2
CNA03040	1
CNA03050	1
CNA03060	2
CNA03065	5
CNA03070	2
CNA03090	1
CNA03093	10
CNA03095	6
CNA03100	1
CNA03110	2
CNA03120	2
CNA03130	1
CNA03140	3
CNA03150	7
CNA03160	1
CNA03170	2
CNA03180	7
CNA03190	2
CNA03200	2
CNA03210	1
CNA03220	6
CNA03240	7
CNA03250	1
CNA03265	12
CNA03280	1
CNA03290	2
CNA03300	1
CNA03310	1
CNA03320	1
CNA03330	1
CNA03340	3
CNA03350	1
CNA03360	2
CNA03370	3
CNA03380	1
CNA03390	1
CNA03400	1
CNA03410	7
CNA03420	1
CNA03430	1
CNA03450	4
CNA03460	1
