query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_011315582.1	XP_009261682.1	0.395726	2.86268	0.138236	YN	48.346	307	635	297	4	31	407	64.09	1	605	956	63	63	1	634	638	0	603	1556	FGSG_00003
XP_011315585.1	XP_009259258.1	0.0413009	0.184009	0.22445	YN	88.312	272	308	25	1	11	285	92.53	1	297	297	100	100	1	308	308	0	541	1393	FGSG_00006
XP_011315586.1	XP_009259257.1	0.0145918	0.194807	0.0749035	YN	90.816	445	490	15	2	30	452	92.24	1	460	460	100	100	1	490	490	0	909	2349	FGSG_00007
XP_011315587.1	XP_009259256.1	0.0825225	0.0967064	0.853331	YN	86.996	582	669	81	2	6	605	90.43	1	663	683	97	97	1	669	698	0	1060	2741	FGSG_11645
XP_011315589.1	XP_009259255.1	0.00356164	0.229092	0.0155467	YN	99.145	116	117	1	0	0	117	100	1	117	117	100	100	1	117	117	2.85e-82	235	599	FGSG_11647
XP_011315590.1	XP_009259254.1	0.0178182	0.166649	0.10692	YN	88.496	200	226	8	1	18	203	89.82	1	208	208	100	100	1	226	226	2.33e-130	364	935	FGSG_00009
XP_011315591.1	XP_009259253.1	0.0795619	0.166508	0.477826	YN	76.712	168	219	15	1	36	172	78.54	1	183	210	87	87	1	219	236	1.34e-117	333	853	FGSG_00010
XP_011315592.1	XP_009259252.1	0.192636	0.462162	0.416814	YN	69.496	262	377	38	4	77	280	74.27	295	671	720	75	52	729	1028	1043	4.21e-167	506	1304	FGSG_00011
XP_011315593.1	XP_009259251.1	0.0431384	0.146743	0.293972	YN	85.164	442	519	41	2	36	462	89.02	1	519	519	100	100	1	483	483	0	905	2340	FGSG_00012
XP_011315594.1	XP_009259250.1	0.0135039	0.141624	0.0953499	YN	96.442	515	534	14	1	5	518	97	1	534	535	99	99	1	529	1220	0	1042	2695	FGSG_00013
XP_011315595.1	XP_009259222.1	0.0260966	0.0534169	0.488546	YN	83.688	354	423	19	1	50	360	85.11	1	373	373	100	100	109	531	531	0	707	1825	FGSG_11648
XP_011315597.1	XP_009259249.1	0.0308641	0.183761	0.167958	YN	93.067	349	375	21	1	5	362	96.53	1	375	375	100	100	20	389	389	0	718	1853	FGSG_00014
XP_011315598.1	XP_009259248.1	0.0103684	0.117172	0.0884889	YN	97.774	527	539	12	0	0	536	99.44	1	539	539	100	100	1	539	539	0	1089	2816	FGSG_00015
XP_011315600.1	XP_009259247.1	0.0141828	0.137631	0.10305	YN	97.179	310	319	9	0	0	313	98.12	1	319	319	100	100	1	319	319	0	640	1651	FGSG_00016
XP_011315601.1	XP_009259246.1	0.0344443	0.139525	0.246869	YN	93.451	528	565	37	0	0	543	96.11	1	565	565	100	100	1	565	565	0	1102	2849	FGSG_00017
XP_011315602.1	XP_009259245.1	0.00136692	0.10563	0.0129406	YN	99.394	328	330	2	0	0	329	99.7	4	333	333	99	99	11	340	340	0	683	1763	FGSG_00018
XP_011315603.1	XP_009259244.1	0.0501616	0.191328	0.262176	YN	90.608	492	543	51	0	0	514	94.66	1	543	543	100	100	1	543	543	0	1009	2608	FGSG_00019
XP_011315604.1	XP_009259243.1	0.0351216	0.276021	0.127242	YN	93.347	926	992	58	1	8	944	95.16	1	992	992	100	100	49	1032	1032	0	1904	4932	FGSG_00020
XP_011315605.1	XP_009259242.1	0.0359985	0.226226	0.159126	YN	92.705	305	329	17	2	7	314	95.44	1	322	322	100	100	1	329	329	0	603	1555	FGSG_00021
XP_011315606.1	XP_009259241.1	0.0428546	0.138279	0.309915	YN	81.457	123	151	11	1	17	128	84.77	1	134	134	100	100	1	151	151	8.54e-87	248	634	FGSG_11651
XP_011315607.1	XP_009259240.1	0.016234	0.16611	0.0977308	YN	96.735	237	245	8	0	0	241	98.37	1	245	245	100	100	1	245	245	8.25e-177	484	1246	FGSG_11652
XP_011315608.1	XP_009259239.1	0.0114193	0.201536	0.0566612	YN	97.727	258	264	6	0	0	260	98.48	1	264	264	100	100	1	264	264	0	526	1355	FGSG_00023
XP_011315609.1	XP_009259238.1	0.0539581	0.208492	0.258802	YN	89.737	341	380	39	0	0	357	93.95	1	380	380	100	100	1	380	380	0	711	1836	FGSG_00024
XP_011315610.1	XP_009259235.1	0.0741181	0.202061	0.36681	YN	88.353	440	498	54	2	4	462	92.77	16	510	510	97	97	17	513	513	0	879	2272	FGSG_00025
XP_011315611.1	XP_009259236.1	0.0203045	0.175193	0.115898	YN	97.468	385	395	10	0	0	390	98.73	1	395	406	97	97	1	395	446	0	777	2007	FGSG_00026
