query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
TFK95048.1	KDQ33106.1	0.432464	2.15348	0.200821	YN	47.557	146	307	105	8	56	188	61.24	5	273	304	88	88	27	315	339	7.29e-84	254	650	TFK95048.1
TFK95070.1	KDQ25367.1	0.444298	3.068	0.144817	YN	45.631	47	103	35	1	21	59	57.28	12	114	120	86	86	8	89	101	6.02e-25	89.7	221	TFK95070.1
TFK95074.1	KDQ23362.1	0.824673	3.57567	0.230634	YN	30.952	52	168	111	2	5	85	50.6	1	168	180	93	93	16	178	211	1.17e-24	94	232	TFK95074.1
TFK95076.1	KDQ34111.1	0.391825	2.72721	0.143672	YN	39.604	80	202	71	7	51	108	53.47	6	198	206	94	94	14	173	213	2.15e-35	122	307	TFK95076.1
TFK95077.1	KDQ31526.1	0.443084	3.4192	0.129587	YN	53.659	66	123	56	1	1	82	66.67	1	123	126	98	98	53	174	178	3.41e-37	123	308	TFK95077.1
TFK95096.1	KDQ24348.1	0.203704	3.5881	0.0567721	YN	75.776	122	161	34	2	5	134	83.23	7	165	263	60	60	14	171	188	2.88e-83	246	628	TFK95096.1
TFK95099.1	KDQ22142.1	0.437147	3.39652	0.128704	YN	40.385	63	156	68	4	25	88	56.41	1	154	155	99	99	1	133	139	8.41e-31	107	266	TFK95099.1
TFK95112.1	KDQ26095.1	0.341725	3.75313	0.0910508	YN	56.514	334	591	245	12	12	445	75.3	44	622	733	84	79	1	591	592	0	640	1650	TFK95112.1
TFK95115.1	KDQ32111.1	0.249521	2.94893	0.0846141	YN	67.368	64	95	31	0	0	78	82.11	1	95	95	100	100	8	102	102	5.13e-47	144	363	TFK95115.1
TFK95123.1	KDQ26026.1	0.544816	3.20857	0.1698	YN	41.237	40	97	55	2	2	60	61.86	1	97	97	100	100	1	95	156	2.63e-21	80.9	198	TFK95123.1
TFK95132.1	KDQ26897.1	0.669678	4.82506	0.138792	YN	28.326	198	699	317	22	184	291	41.63	462	1064	1077	87	56	341	951	954	5.81e-44	171	434	TFK95132.1
TFK95133.1	KDQ32131.1	0.229963	4.12207	0.0557883	YN	67.847	230	339	97	5	12	277	81.71	5	338	354	94	94	6	337	338	7.68e-166	465	1196	TFK95133.1
TFK95134.1	KDQ22259.1	0.183069	3.42117	0.0535107	YN	72.258	112	155	43	0	0	134	86.45	1	155	155	100	100	1	155	155	4.56e-83	239	611	TFK95134.1
TFK95135.1	KDQ25997.1	0.751763	4.78522	0.157101	YN	28.805	229	795	404	33	162	368	46.29	167	878	927	77	77	161	876	943	6.02e-63	229	583	TFK95135.1
TFK95146.1	KDQ24645.1	0.532771	3.92543	0.135723	YN	34.356	112	326	141	6	73	154	47.24	4	329	347	94	94	7	259	379	1.08e-48	166	421	TFK95146.1
TFK95156.1	KDQ23953.1	0.902216	4.8007	0.187934	YN	23.423	156	666	430	20	80	260	39.04	186	814	1050	60	60	147	769	880	1.02e-25	113	282	TFK95156.1
TFK95166.1	KDQ33157.1	0.72681	4.13039	0.175966	YN	28.814	119	413	231	13	63	177	42.86	1	360	363	99	99	98	500	636	7.66e-40	147	372	TFK95166.1
TFK95196.1	KDQ29417.1	0.531449	4.38654	0.121154	YN	40.039	207	517	254	11	56	283	54.74	84	597	600	86	86	12	475	478	1.19e-115	351	901	TFK95196.1
TFK95197.1	KDQ26320.1	0.58507	4.28803	0.136442	YN	37.229	172	462	266	6	24	267	57.79	1	457	473	97	97	3	445	446	9.14e-110	331	848	TFK95197.1
TFK95198.1	KDQ26329.1	0.336295	4.45936	0.0754132	YN	58.776	288	490	176	7	26	357	72.86	35	520	625	78	78	6	473	534	0	585	1508	TFK95198.1
TFK95207.1	KDQ26517.1	0.423723	4.96934	0.0852674	YN	46.738	523	1119	463	29	133	656	58.62	8	1067	1085	98	98	9	1053	1069	0	838	2165	TFK95207.1
TFK95209.1	KDQ28073.1	0.524325	5.32897	0.0983915	YN	45.018	375	833	378	21	80	497	59.66	1320	2115	2116	54	38	906	1695	1703	4.08e-176	583	1503	TFK95209.1
TFK95210.1	KDQ28074.1	0.370246	3.82989	0.0966728	YN	52.402	120	229	89	3	20	152	66.38	54	279	292	77	77	9	220	229	8.28e-73	222	565	TFK95210.1
TFK95225.1	KDQ23772.1	0.39505	3.44222	0.114766	YN	47.742	74	155	75	2	6	96	61.94	5	158	158	97	97	9	158	158	2.15e-40	132	331	TFK95225.1
TFK95226.1	KDQ25366.1	0.357999	4.24815	0.0842717	YN	51.259	224	437	164	10	49	284	64.99	2	433	433	99	99	1	393	393	3.82e-135	392	1007	TFK95226.1
TFK95229.1	KDQ29656.1	0.677936	1.7033	0.398012	YN	29.318	129	440	195	12	116	182	41.36	315	693	1265	36	30	300	684	1286	1.04e-34	143	360	TFK95229.1
TFK95231.1	KDQ29655.1	0.308869	3.34145	0.0924357	YN	53.968	68	126	57	1	1	96	76.19	5	129	133	94	94	2	127	132	7.07e-50	154	389	TFK95231.1
TFK95245.1	KDQ23648.1	0.400302	4.28692	0.0933776	YN	43.668	200	458	175	9	83	274	59.83	75	480	483	84	84	2	428	441	6.77e-100	305	782	TFK95245.1
TFK95246.1	KDQ32686.1	0.766564	4.42396	0.173276	YN	27.41	91	332	202	10	39	145	43.67	295	608	929	49	34	50	360	603	7.92e-20	93.2	230	TFK95246.1
TFK95257.1	KDQ31572.1	0.205104	4.09123	0.0501325	YN	71.588	257	359	100	2	2	303	84.4	1	358	358	100	100	1	358	358	0	530	1365	TFK95257.1
TFK95258.1	KDQ24027.1	0.533079	5.37284	0.0992173	YN	38.564	693	1797	943	45	161	1044	58.1	1	1680	1723	99	98	1	1753	2090	0	1060	2741	TFK95258.1
TFK95260.1	KDQ23745.1	0.602741	4.00518	0.15049	YN	36.027	107	297	160	9	30	171	57.58	7	295	325	89	89	10	284	288	6.44e-49	164	414	TFK95260.1
TFK95265.1	KDQ23898.1	0.546055	3.93236	0.138862	YN	42.692	111	260	120	8	29	154	59.23	21	252	289	80	80	36	294	329	1.04e-57	186	473	TFK95265.1
TFK95266.1	KDQ24973.1	0.334945	4.06895	0.0823173	YN	58.824	180	306	126	0	0	231	75.49	13	318	318	96	96	25	330	330	1.63e-129	371	952	TFK95266.1
TFK95268.1	KDQ23896.1	0.648312	4.38723	0.147773	YN	28.676	156	544	285	17	103	237	43.57	59	514	549	83	83	1	529	553	1.52e-30	124	311	TFK95268.1
TFK95269.1	KDQ23895.1	0.130507	3.70904	0.0351861	YN	78.704	170	216	42	2	4	190	87.96	4	217	217	99	99	3	216	216	3.71e-109	311	796	TFK95269.1
TFK95271.1	KDQ24186.1	0.286799	3.40147	0.0843162	YN	57.664	79	137	52	2	6	101	73.72	9	145	145	94	94	3	133	133	1.33e-51	159	402	TFK95271.1
TFK95272.1	KDQ24009.1	0.209003	99	0.00211114	YN	60.714	119	196	60	3	17	148	75.51	1	192	211	91	91	1	183	205	2.98e-67	204	518	TFK95272.1
TFK95279.1	KDQ32930.1	0.489809	4.76035	0.102893	YN	46.667	70	150	70	3	10	98	65.33	11	160	166	90	90	8	147	165	5.66e-43	139	350	TFK95279.1
TFK95283.1	KDQ25521.1	0.475472	2.41828	0.196616	YN	47.887	34	71	35	1	2	47	66.2	1	71	71	100	100	78	146	153	3.96e-17	68.9	167	TFK95283.1
TFK95285.1	KDQ22999.1	0.256665	4.56312	0.0562477	YN	61.719	395	640	215	11	30	496	77.5	1	635	635	100	100	1	615	615	0	778	2008	TFK95285.1
TFK95291.1	KDQ22087.1	0.543146	5.34937	0.101534	YN	40.581	377	929	467	24	85	537	57.8	1103	2009	2009	76	45	964	1829	1829	1.72e-174	579	1493	TFK95291.1
TFK95296.1	KDQ32112.1	0.331758	4.45211	0.0745171	YN	67.547	179	265	75	5	11	204	76.98	1	258	631	64	41	1	261	508	9.42e-117	356	914	TFK95296.1
