query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_003708685.1	TLD11335.1	0.0834415	0.774659	0.107714	YN	87.746	401	457	56	0	0	424	92.78	35	491	494	93	93	66	522	523	0	842	2176	XP_003708685.1
XP_003708686.1	TLD11334.1	0.2698	0.710456	0.379755	YN	60.994	319	523	203	1	1	379	72.47	1	522	523	99	99	1	523	541	0	568	1465	XP_003708686.1
XP_003708687.1	TLD07050.1	0.189533	1.86622	0.10156	YN	65.461	362	553	161	3	30	440	79.57	1	530	530	100	100	1	546	546	0	723	1865	XP_003708687.1
XP_003708688.1	TLD07057.1	0.157136	2.38801	0.065802	YN	77.338	430	556	123	1	3	484	87.05	13	568	573	97	97	32	584	588	0	899	2324	XP_003708688.1
XP_003708692.1	TLD03205.1	0.294512	3.14254	0.0937179	YN	61.916	265	428	162	1	1	332	77.57	91	517	520	82	82	10	437	439	0	567	1461	XP_003708692.1
XP_003708695.1	TLD03227.1	0.242056	1.80591	0.134035	YN	64.208	235	366	130	1	1	289	78.96	91	456	463	79	79	1	365	368	4.18e-177	499	1285	XP_003708695.1
XP_003708697.1	TLD11096.1	0.436023	0.936514	0.465581	YN	47.959	94	196	95	1	7	113	57.65	1	196	201	98	98	1	189	229	5.45e-55	173	439	XP_003708697.1
XP_003708705.1	TLD11188.1	0.0646461	0.387405	0.166869	YN	86.826	1384	1594	184	5	26	1453	91.15	1	1572	1585	99	99	1	1590	1603	0	2788	7227	XP_003708705.1
XP_003708706.1	TLD11189.1	0.0258047	0.262904	0.0981526	YN	95.141	372	391	19	0	0	384	98.21	1	391	394	99	99	1	391	394	0	746	1927	XP_003708706.1
XP_003708707.1	TLD11195.1	0.0492314	0.279701	0.176014	YN	86.957	380	437	42	1	15	395	90.39	1	437	437	100	100	1	422	422	0	747	1929	XP_003708707.1
XP_003708708.1	TLD11196.1	0.0182142	0.350287	0.0519979	YN	96.241	896	931	34	1	1	908	97.53	1	931	931	100	100	1	930	930	0	1615	4183	XP_003708708.1
XP_003708709.1	TLD10407.1	0.0629871	0.582035	0.108219	YN	89.916	321	357	36	0	0	336	94.12	1	357	375	95	95	1	357	526	0	644	1662	XP_003708709.1
XP_003708710.1	TLD11248.1	0.0343435	0.318881	0.1077	YN	93.434	185	198	13	0	0	192	96.97	1	198	198	100	100	1	198	198	1.19e-137	381	979	XP_003708710.1
XP_003708711.1	TLD10409.1	0.050614	0.427426	0.118416	YN	90.198	911	1010	98	1	1	957	94.75	1	1009	1009	100	100	1	1010	1010	0	1852	4796	XP_003708711.1
XP_003708712.1	TLD10408.1	0.0607878	0.508355	0.119577	YN	87.023	114	131	16	1	1	120	91.6	1	131	131	100	100	1	130	130	5.6e-80	230	586	XP_003708712.1
XP_003708713.1	TLD10404.1	0.216197	0.352031	0.614141	YN	61.97	497	802	246	6	59	568	70.82	5	751	807	93	93	5	802	840	0	850	2197	XP_003708713.1
XP_003708714.1	TLD10406.1	0.0234577	0.301382	0.0778338	YN	95.176	730	767	37	0	0	746	97.26	1	767	767	100	100	1	767	767	0	1375	3559	XP_003708714.1
XP_003708715.1	TLD10405.1	0.0459159	0.319025	0.143926	YN	90.784	463	510	47	0	0	488	95.69	1	510	512	99	99	97	606	608	0	947	2449	XP_003708715.1
XP_003708716.1	TLD10411.1	0.00411119	0.291321	0.0141122	YN	99.197	741	747	6	0	0	744	99.6	1	747	747	100	100	1	747	747	0	1528	3955	XP_003708716.1
XP_003708717.1	TLD10410.1	NA	0.263957	5.78229e-13	YN	100	531	531	0	0	0	531	100	1	531	531	100	100	1	531	531	0	1067	2760	XP_003708717.1
XP_003708718.1	TLD09867.1	0.181796	0.427184	0.425568	YN	68.675	228	332	99	1	5	265	79.82	1	327	357	92	92	62	393	427	1.58e-148	424	1091	XP_003708718.1
XP_003708720.1	TLD11230.1	0.0657704	0.385844	0.170458	YN	87.926	903	1027	123	1	1	953	92.79	1	1026	1026	100	100	16	1042	1042	0	1848	4787	XP_003708720.1
XP_003708721.1	TLD11364.1	0.213495	0.4892	0.436417	YN	64.612	325	503	165	3	13	376	74.75	1	500	500	100	100	1	493	493	2.93e-171	491	1263	XP_003708721.1
