query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
EIE75299.1	ORY96373.1	0.352007	4.11649	0.0855115	YN	60.502	193	319	124	1	2	246	77.12	1	319	350	91	91	61	377	419	1.63e-144	414	1063	RO3G_00003
EIE75301.1	ORY96375.1	0.114647	4.14441	0.027663	YN	77.054	272	353	64	1	17	301	85.27	1	336	336	100	100	1	353	353	0	568	1465	RO3G_00005
EIE75302.1	ORZ00814.1	0.194712	4.5675	0.04263	YN	71.384	454	636	176	3	6	539	84.75	158	789	789	80	80	16	649	649	0	985	2546	RO3G_00006
EIE75303.1	ORY90527.1	0.337335	4.03412	0.0836203	YN	47.99	191	398	134	10	73	230	57.79	1	344	346	99	99	1	379	381	2.29e-102	305	780	RO3G_00007
EIE75304.1	ORY95256.1	0.106806	3.99293	0.0267487	YN	81.852	221	270	49	0	0	246	91.11	1	270	270	100	100	1	270	270	3.64e-172	474	1220	RO3G_00008
EIE75305.1	ORY93809.1	0.11696	1.18016	0.0991047	YN	80.124	129	161	32	0	0	148	91.93	1	161	161	100	100	1	161	161	4e-98	278	711	RO3G_00009
EIE75307.1	ORY93806.1	0.42583	4.40408	0.0966898	YN	48.054	247	514	207	5	60	323	62.84	29	483	483	94	94	60	572	572	7.05e-170	489	1259	RO3G_00011
EIE75309.1	ORY96760.1	0.552873	3.28692	0.168204	YN	80.645	25	31	5	1	1	27	87.1	33	62	133	23	23	20	50	156	8.1e-11	55.1	131	RO3G_00013
EIE75310.1	ORZ03200.1	0.224242	4.88127	0.0459393	YN	68.083	657	965	278	7	30	769	79.69	9	960	969	98	98	6	953	967	0	1282	3318	RO3G_00014
EIE75315.1	ORY94966.1	0.219479	4.41413	0.0497219	YN	68.908	328	476	142	3	6	390	81.93	1	471	472	99	99	32	506	518	0	690	1781	RO3G_00019
EIE75316.1	ORY93386.1	0.277245	3.23781	0.0856275	YN	56.338	80	142	48	3	14	101	71.13	14	141	141	91	91	1	142	142	8.75e-50	154	390	RO3G_00020
EIE75317.1	ORY94963.1	0.450788	3.56661	0.126391	YN	45.729	91	199	102	5	6	124	62.31	1	197	197	100	100	1	195	195	1.5e-46	150	379	RO3G_00021
EIE75318.1	ORY94964.1	0.268421	4.39161	0.0611213	YN	64.331	303	471	164	3	4	378	80.25	1	469	469	100	100	1	469	469	0	593	1528	RO3G_00022
EIE75319.1	ORZ02737.1	0.728566	3.99224	0.182496	YN	39.286	33	84	46	1	5	45	53.57	12	95	355	24	24	166	244	585	5.11e-14	71.6	174	RO3G_00023
EIE75324.1	ORY96220.1	0.618015	3.95422	0.156292	YN	52.564	41	78	32	2	5	55	70.51	18	92	286	44	26	15	90	457	1.66e-15	74.7	182	RO3G_00028
EIE75326.1	ORY95573.1	0.264282	4.49292	0.0588219	YN	64.579	330	511	171	1	10	405	79.26	1	501	501	100	100	1	511	511	0	701	1810	RO3G_00030
EIE75329.1	ORY90372.1	0.58542	4.36833	0.134015	YN	31.418	164	522	263	17	95	250	47.89	20	483	512	91	91	354	838	846	8.04e-66	226	577	RO3G_00033
EIE75332.1	ORZ01356.1	0.320362	3.42179	0.0936241	YN	53.642	81	151	54	1	16	110	72.85	7	157	171	88	88	89	223	248	6.69e-55	172	436	RO3G_00036
EIE75335.1	ORZ01567.1	0.337951	3.33419	0.101359	YN	55.357	62	112	43	3	7	75	66.96	19	128	130	85	85	37	143	144	2.3e-26	94.7	234	RO3G_00039
EIE75338.1	ORY96171.1	0.193101	1.26173	0.153045	YN	73.377	113	154	38	1	3	134	87.01	1	154	161	96	96	1	151	167	1.06e-82	239	611	RO3G_00042
EIE75341.1	ORY91249.1	0.385324	4.14028	0.0930671	YN	54.678	187	342	142	4	13	230	67.25	42	382	382	89	89	2	331	331	3.06e-126	365	937	RO3G_00045
EIE75342.1	ORY95786.1	0.212979	4.15733	0.0512296	YN	69.429	243	350	106	1	1	292	83.43	1	349	349	100	100	4	353	353	0	525	1351	RO3G_00046
EIE75346.1	ORY95850.1	0.801212	4.12912	0.19404	YN	28.881	80	277	147	11	50	121	43.68	148	406	428	61	61	202	446	469	1.23e-17	83.2	204	RO3G_00050
EIE75347.1	ORY98946.1	0.581612	4.28612	0.135697	YN	41.643	147	353	192	7	14	222	62.89	1	343	449	76	76	256	604	808	2.53e-85	276	706	RO3G_00051
EIE75348.1	ORZ01492.1	0.66126	3.70931	0.178271	YN	28.293	58	205	113	11	34	102	49.76	41	228	250	75	75	221	408	415	1.66e-14	70.9	172	RO3G_00052
EIE75350.1	ORZ03889.1	0.274493	4.11422	0.066718	YN	59.033	232	393	143	4	18	291	74.05	1	392	398	98	98	1	376	389	5.63e-166	469	1206	RO3G_00054
EIE75351.1	ORZ01719.1	0.438091	4.07871	0.107409	YN	46.371	115	248	75	7	58	146	58.87	164	388	565	40	40	53	265	318	5.04e-63	208	529	RO3G_00055
EIE75352.1	ORZ01720.1	0.231773	4.06815	0.0569727	YN	61.383	213	347	91	7	43	249	71.76	35	368	593	56	56	2	318	324	1.21e-136	399	1025	RO3G_00056
EIE75356.1	ORY98845.1	0.397499	3.21583	0.123607	YN	53.211	58	109	43	2	8	75	68.81	34	142	148	74	74	29	129	137	1.16e-28	101	251	RO3G_00060
EIE75359.1	ORY98839.1	0.482741	3.18239	0.151691	YN	48.913	45	92	47	0	0	68	73.91	28	119	135	68	68	1	92	95	4.27e-30	102	255	RO3G_00063
EIE75361.1	ORY92062.1	0.520722	4.34758	0.119773	YN	37.849	176	465	214	15	75	246	52.9	66	513	522	86	86	106	512	517	1.19e-84	270	689	RO3G_00065
EIE75362.1	ORZ01716.1	0.527772	3.4171	0.15445	YN	61.765	42	68	26	0	0	54	79.41	58	125	142	48	48	191	258	287	1.13e-27	102	253	RO3G_00066
EIE75363.1	ORY98238.1	0.447306	99	0.00451825	YN	50.515	49	97	42	3	6	64	65.98	1	97	108	90	90	2	92	148	1.19e-24	89.7	221	RO3G_00067
EIE75368.1	ORY91407.1	0.176582	3.92514	0.0449874	YN	75.735	206	272	65	1	1	236	86.76	13	284	284	96	96	26	296	296	3.6e-163	453	1166	RO3G_00072
EIE75370.1	ORY94034.1	0.626448	4.50058	0.139193	YN	34.158	207	606	266	11	133	294	48.51	2	480	568	84	84	56	655	745	2.18e-101	321	823	RO3G_00074
EIE75374.1	ORY98119.1	0.405446	4.09227	0.0990759	YN	46.995	172	366	150	9	44	233	63.66	3	325	338	96	96	5	369	376	4.55e-109	321	823	RO3G_00078
EIE75375.1	ORZ03174.1	0.279574	4.63793	0.0602799	YN	57.388	435	758	252	12	71	529	69.79	1	691	701	99	99	55	808	818	0	845	2184	RO3G_00079
EIE75376.1	ORY95877.1	0.223247	4.24766	0.0525576	YN	68.286	267	391	107	5	17	305	78.01	2	385	422	91	91	58	438	495	3.56e-169	482	1240	RO3G_00080
EIE75378.1	ORY97458.1	0.311244	4.54121	0.0685377	YN	61.252	362	591	218	3	11	452	76.48	22	602	605	96	96	18	607	610	0	677	1748	RO3G_00082
EIE75383.1	ORY98913.1	0.499251	4.05753	0.123043	YN	41.73	164	393	190	9	39	233	59.29	11	393	393	97	97	8	371	371	9.48e-101	302	773	RO3G_00087
