Gene	PS
	1
PC9H_000001	2
PC9H_000002	11
PC9H_000003	2
PC9H_000004	12
PC9H_000005	7
PC9H_000006	3
PC9H_000007	11
PC9H_000008	11
PC9H_000009	12
PC9H_000010	2
PC9H_000011	12
PC9H_000012	2
PC9H_000013	2
PC9H_000014	11
PC9H_000015	4
PC9H_000016	11
PC9H_000017	1
PC9H_000018	1
PC9H_000019	1
PC9H_000020	1
PC9H_000021	5
PC9H_000022	1
PC9H_000023	2
PC9H_000024	7
PC9H_000025	7
PC9H_000026	8
PC9H_000027	1
PC9H_000028	1
PC9H_000029	2
PC9H_000030	11
PC9H_000031	11
PC9H_000032	7
PC9H_000033	3
PC9H_000034	7
PC9H_000035	11
PC9H_000036	1
PC9H_000037	2
PC9H_000038	7
PC9H_000039	11
PC9H_000040	2
PC9H_000041	1
PC9H_000042	1
PC9H_000043	7
PC9H_000044	2
PC9H_000045	11
PC9H_000046	9
PC9H_000047	11
PC9H_000048	2
PC9H_000049	11
PC9H_000050	11
PC9H_000051	11
PC9H_000052	7
PC9H_000053	11
PC9H_000054	1
PC9H_000055	2
PC9H_000056	1
PC9H_000057	11
PC9H_000058	11
PC9H_000059	3
PC9H_000060	11
PC9H_000061	1
PC9H_000062	5
PC9H_000063	11
PC9H_000064	11
PC9H_000065	11
PC9H_000066	11
PC9H_000067	1
PC9H_000068	7
PC9H_000069	12
PC9H_000070	2
PC9H_000071	11
PC9H_000072	6
PC9H_000073	1
PC9H_000074	1
PC9H_000075	1
PC9H_000076	2
PC9H_000077	1
PC9H_000078	1
PC9H_000079	2
PC9H_000080	2
PC9H_000081	11
PC9H_000082	1
PC9H_000083	2
PC9H_000084	7
PC9H_000085	2
PC9H_000086	3
PC9H_000087	2
PC9H_000088	1
PC9H_000089	1
PC9H_000090	3
PC9H_000091	2
PC9H_000092	2
PC9H_000093	2
PC9H_000094	2
PC9H_000095	1
PC9H_000096	3
PC9H_000097	1
PC9H_000098	1
PC9H_000099	2
PC9H_000100	7
PC9H_000101	3
PC9H_000102	2
PC9H_000103	1
PC9H_000104	12
PC9H_000105	2
PC9H_000106	1
PC9H_000107	3
PC9H_000108	2
PC9H_000109	11
PC9H_000110	7
PC9H_000111	1
PC9H_000112	1
PC9H_000113	1
PC9H_000114	1
PC9H_000115	1
PC9H_000116	7
PC9H_000117	7
PC9H_000118	2
PC9H_000119	2
PC9H_000120	1
PC9H_000121	1
PC9H_000122	2
PC9H_000123	2
PC9H_000124	1
PC9H_000125	11
PC9H_000126	4
PC9H_000127	4
PC9H_000128	11
PC9H_000129	3
PC9H_000130	5
PC9H_000131	1
PC9H_000132	2
PC9H_000133	5
PC9H_000134	11
PC9H_000135	2
PC9H_000136	1
PC9H_000137	1
PC9H_000138	11
PC9H_000139	11
PC9H_000140	4
PC9H_000141	1
PC9H_000142	1
PC9H_000143	2
PC9H_000144	2
PC9H_000145	1
PC9H_000146	1
PC9H_000147	1
PC9H_000148	4
PC9H_000149	7
PC9H_000150	1
PC9H_000151	12
PC9H_000152	12
PC9H_000153	6
PC9H_000154	1
PC9H_000155	1
PC9H_000156	1
PC9H_000157	2
PC9H_000158	2
PC9H_000159	1
PC9H_000160	1
PC9H_000161	11
PC9H_000163	7
PC9H_000164	1
PC9H_000165	1
PC9H_000166	1
PC9H_000167	1
PC9H_000168	2
PC9H_000169	9
PC9H_000170	4
PC9H_000171	4
PC9H_000172	1
PC9H_000173	1
PC9H_000174	2
PC9H_000175	5
PC9H_000176	2
PC9H_000177	1
PC9H_000178	2
PC9H_000179	7
PC9H_000180	1
PC9H_000181	6
PC9H_000182	1
PC9H_000183	1
PC9H_000184	2
PC9H_000185	3
PC9H_000186	1
PC9H_000187	2
PC9H_000188	1
PC9H_000189	6
PC9H_000190	1
PC9H_000191	2
PC9H_000192	8
PC9H_000193	6
PC9H_000194	2
PC9H_000195	1
PC9H_000196	11
PC9H_000197	1
PC9H_000198	7
PC9H_000199	11
PC9H_000200	11
PC9H_000201	1
PC9H_000202	11
PC9H_000203	1
PC9H_000204	1
PC9H_000205	1
PC9H_000206	4
PC9H_000207	7
PC9H_000208	1
PC9H_000209	7
PC9H_000210	1
PC9H_000211	3
PC9H_000212	5
PC9H_000213	1
PC9H_000214	1
PC9H_000215	2
PC9H_000216	2
PC9H_000217	6
PC9H_000218	2
PC9H_000219	5
PC9H_000220	2
PC9H_000221	1
PC9H_000222	11
PC9H_000223	2
PC9H_000224	1
PC9H_000225	1
PC9H_000226	1
PC9H_000227	2
PC9H_000228	1
PC9H_000229	1
PC9H_000230	7
PC9H_000231	2
PC9H_000232	1
PC9H_000233	5
PC9H_000234	1
PC9H_000235	1
PC9H_000236	9
PC9H_000237	1
PC9H_000238	1
PC9H_000239	6
PC9H_000240	1
PC9H_000241	9
PC9H_000242	2
PC9H_000243	1
PC9H_000244	2
PC9H_000245	1
PC9H_000246	1
PC9H_000247	1
PC9H_000248	1
PC9H_000249	1
PC9H_000250	2
PC9H_000251	1
PC9H_000252	1
PC9H_000253	1
PC9H_000254	1
PC9H_000255	2
PC9H_000256	7
PC9H_000257	4
PC9H_000258	1
PC9H_000259	3
PC9H_000260	1
PC9H_000261	1
PC9H_000262	1
PC9H_000263	1
PC9H_000264	1
PC9H_000265	1
