query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
KAG2001448.1	PCH40050.1	0.707751	4.39216	0.16114	YN	31.746	40	126	72	2	14	53	42.06	758	871	1051	11	11	271	394	543	3.6e-07	52.8	125	CC2G_008251
KAG2001451.1	PCH40711.1	0.621333	4.8272	0.128715	YN	41.038	174	424	214	12	36	266	62.74	481	893	911	45	45	498	896	899	2.93e-98	327	837	CC2G_006744
KAG2001566.1	PCH36894.1	0.215597	1.93167	0.111611	YN	65.217	75	115	30	1	10	87	75.65	11	125	125	92	92	3	107	107	8.36e-48	147	372	CC2G_006703
KAG2001568.1	PCH36892.1	0.293537	3.19744	0.0918039	YN	57	57	100	39	1	4	76	76	4	103	103	97	97	2	97	97	7.13e-38	121	304	CC2G_006705
KAG2001578.1	PCH36890.1	0.509056	4.24796	0.119835	YN	43.103	150	348	164	11	34	196	56.32	36	357	601	68	54	4	343	436	1.19e-63	214	546	CC2G_006714
KAG2001579.1	PCH36887.1	0.390453	4.07359	0.09585	YN	57.343	164	286	111	6	11	209	73.08	3	278	295	94	94	2	286	305	1.07e-108	316	810	CC2G_006715
KAG2001697.1	PCH36749.1	0.425191	0.30407	1.39833	YN	82.353	28	34	6	0	0	29	85.29	23	56	56	61	61	32	65	65	4.61e-13	55.8	133	CC2G_006646
KAG2001803.1	PCH40301.1	0.522376	4.35427	0.119969	YN	42.131	174	413	217	7	22	254	61.5	1	408	430	95	95	1	396	432	3.46e-100	304	779	CC2G_004932
KAG2001804.1	PCH39913.1	0.372953	5.38402	0.0692704	YN	49.323	911	1847	765	29	171	1272	68.87	1	1699	1914	89	89	1	1824	1976	0	1540	3986	CC2G_004933
KAG2001805.1	PCH42640.1	0.046735	2.96801	0.0157462	YN	88	110	125	12	2	3	116	92.8	1	122	122	100	100	1	125	125	2.16e-74	215	548	CC2G_004934
