query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
EIE75299.1	KAG1150522.1	0.0200485	0.12747	0.15728	YN	91.961	286	311	6	1	19	292	93.89	1	311	350	89	89	61	352	359	0	584	1506	RO3G_00003
EIE75301.1	KAG1150524.1	0.00784082	0.087273	0.0898424	YN	93.484	330	353	6	1	17	335	94.9	1	336	336	100	100	1	353	353	0	679	1752	RO3G_00005
EIE75302.1	KAG1150525.1	0.00870936	0.0746237	0.11671	YN	97.592	770	789	15	2	4	778	98.61	1	789	789	100	100	1	785	785	0	1580	4090	RO3G_00006
EIE75303.1	KAG1150526.1	0.0112616	0.0842868	0.13361	YN	93.352	337	361	9	2	15	339	93.91	1	346	346	100	100	1	361	361	0	679	1752	RO3G_00007
EIE75304.1	KAG1150527.1	NA	0.0549736	0	YN	100	270	270	0	0	0	270	100	1	270	270	100	100	1	270	270	0	558	1438	RO3G_00008
EIE75305.1	KAG1150528.1	NA	0.05031	0	YN	100	161	161	0	0	0	161	100	1	161	161	100	100	1	161	161	1.91e-118	330	845	RO3G_00009
EIE75307.1	KAG1137047.1	0.0226372	0.124669	0.181578	YN	93.78	392	418	12	2	14	397	94.98	78	483	483	84	84	10	425	425	0	801	2069	RO3G_00011
EIE75309.1	KAG1138298.1	0.0856427	0.398116	0.21512	YN	69.718	99	142	17	4	26	105	73.94	14	130	133	88	88	1	141	156	6.67e-59	178	451	RO3G_00013
EIE75310.1	KAG1144429.1	0.0213151	0.196234	0.108621	YN	95.572	928	971	41	1	2	953	98.15	1	969	969	100	100	1	971	971	0	1906	4938	RO3G_00014
EIE75311.1	KAG1151298.1	0.256058	3.44505	0.0743262	YN	47.5	95	200	57	3	48	121	60.5	1	152	153	99	99	1	200	205	3.22e-59	181	459	RO3G_00015
EIE75312.1	KAG1135454.1	0.0692979	0.245458	0.282321	YN	86.301	63	73	10	0	0	67	91.78	1	73	77	95	95	1	73	109	2.72e-45	139	351	RO3G_00016
EIE75314.1	KAG1140244.1	0.00574844	0.0897829	0.0640261	YN	88.095	74	84	1	1	9	74	88.1	1	75	75	100	100	1	84	84	1.29e-49	149	377	RO3G_00018
EIE75315.1	KAG1140243.1	0.00668404	0.0971732	0.0687848	YN	98.517	465	472	7	0	0	472	100	1	472	472	100	100	1	472	472	0	957	2474	RO3G_00019
EIE75316.1	KAG1140241.1	0.068947	0.142125	0.485115	YN	87.402	111	127	5	1	11	114	89.76	9	135	141	90	90	11	126	127	4.01e-77	223	569	RO3G_00020
EIE75317.1	KAG1147221.1	0.00794367	0.0761192	0.104358	YN	96.104	74	77	3	0	0	75	97.4	121	197	197	58	39	37	113	113	5.7e-49	154	388	RO3G_00021
EIE75318.1	KAG1147220.1	0.0139297	0.0917607	0.151805	YN	97.228	456	469	13	0	0	464	98.93	1	469	469	100	100	1	469	469	0	937	2423	RO3G_00022
EIE75320.1	KAG1147219.1	0.00880945	0.165411	0.0532581	YN	94.751	361	381	0	1	20	361	94.75	1	361	371	97	97	1	381	836	0	748	1932	RO3G_00024
EIE75324.1	KAG1147217.1	0.0635444	0.349476	0.181827	YN	94.757	253	267	9	2	5	255	95.51	1	264	286	92	92	1	265	342	1.87e-179	496	1278	RO3G_00028
EIE75325.1	KAG1147216.1	0.0385139	0.124867	0.308439	YN	94.389	572	606	34	0	0	586	96.7	1	606	620	98	98	230	835	959	0	1166	3016	RO3G_00029
EIE75326.1	KAG1138694.1	0.00905123	0.0922134	0.0981552	YN	97.405	488	501	10	1	3	496	99	1	501	501	100	100	1	498	498	0	1004	2595	RO3G_00030
EIE75327.1	KAG1138693.1	0.0423738	0.107144	0.395484	YN	92.29	395	428	33	0	0	410	95.79	1	428	428	100	100	1	428	428	0	820	2118	RO3G_00031
EIE75329.1	KAG1138692.1	0.0125419	0.0724216	0.173179	YN	88.948	499	561	13	1	49	506	90.2	1	512	512	100	100	210	770	770	0	1026	2653	RO3G_00033
EIE75331.1	KAG1136866.1	0.0311054	0.0522103	0.595773	YN	93.596	190	203	13	0	0	194	95.57	95	297	297	68	68	1	203	203	3.08e-138	387	995	RO3G_00035
EIE75332.1	KAG1136865.1	0.0298087	0.159699	0.186656	YN	87.879	145	165	4	1	16	145	87.88	7	171	171	96	96	89	237	237	1.24e-90	263	671	RO3G_00036
EIE75333.1	KAG1135314.1	0.0190252	0.109951	0.173033	YN	96.164	376	391	15	0	0	382	97.7	1	391	391	100	100	1	391	391	0	771	1991	RO3G_00037
EIE75334.1	KAG1138533.1	0.00475701	0.142746	0.0333249	YN	73.504	86	117	1	1	30	87	74.36	1	87	87	100	100	1	117	117	1.02e-53	161	408	RO3G_00038
EIE75335.1	KAG1138534.1	0.00308213	0.143281	0.0215111	YN	99.231	129	130	1	0	0	130	100	1	130	130	100	100	1	130	130	7.59e-91	258	658	RO3G_00039
EIE75338.1	KAG1139131.1	0.00269695	0.00926988	0.290937	YN	97.561	160	164	1	1	3	160	97.56	1	161	161	100	100	1	164	164	1.45e-111	312	800	RO3G_00042
EIE75339.1	KAG1139132.1	NA	0.0845544	0	YN	100	102	102	0	0	0	102	100	1	102	102	100	100	1	102	102	1.08e-72	209	533	RO3G_00043
EIE75340.1	KAG1135311.1	0.0149175	0.150977	0.0988063	YN	98.413	248	252	4	0	0	251	99.6	6	257	257	98	98	9	260	260	0	512	1319	RO3G_00044
EIE75341.1	KAG1150582.1	0.00236606	0.103104	0.0229483	YN	99.476	380	382	2	0	0	381	99.74	1	382	382	100	100	51	432	432	0	782	2019	RO3G_00045
EIE75342.1	KAG1150581.1	0.00129528	0.12843	0.0100855	YN	99.713	348	349	1	0	0	349	100	1	349	349	100	100	1	349	349	0	722	1864	RO3G_00046
EIE75343.1	KAG1150580.1	0.00626136	0.0990503	0.0632139	YN	94.723	359	379	5	1	15	362	95.51	1	379	379	100	100	1	364	364	0	729	1881	RO3G_00047
EIE75345.1	KAG1150578.1	0.0146518	0.100774	0.145393	YN	98.537	202	205	3	0	0	203	99.02	115	319	367	56	56	112	316	371	8.54e-144	411	1056	RO3G_00049
EIE75346.1	KAG1150577.1	0.0227507	0.0659728	0.34485	YN	88.337	409	463	19	2	35	416	89.85	1	428	428	100	100	1	463	463	0	819	2116	RO3G_00050
EIE75347.1	KAG1150576.1	0.0147759	0.101012	0.146279	YN	97.092	434	447	13	0	0	441	98.66	1	447	449	99	99	223	669	673	0	910	2351	RO3G_00051
EIE75348.1	KAG1150575.1	0.0163725	0.096986	0.168813	YN	96.4	241	250	9	0	0	245	98	1	250	250	100	100	1	250	250	0	504	1298	RO3G_00052
EIE75349.1	KAG1150574.1	0.0141274	0.0990236	0.142667	YN	97.437	2205	2263	58	0	0	2232	98.63	290	2552	2558	97	88	229	2491	2644	0	4605	11943	RO3G_00053
EIE75350.1	KAG1150573.1	0.0184352	0.0798116	0.230984	YN	95.98	382	398	16	0	0	388	97.49	1	398	398	100	100	124	521	521	0	803	2073	RO3G_00054
EIE75351.1	KAG1150572.1	0.0170778	0.0798196	0.213955	YN	92.845	545	587	20	1	22	550	93.7	1	565	565	100	100	1	587	587	0	1105	2857	RO3G_00055
EIE75352.1	KAG1137210.1	0.00317321	0.0718236	0.0441806	YN	98.988	587	593	4	1	2	589	99.33	1	593	593	100	100	17	607	607	0	1192	3084	RO3G_00056
EIE75353.1	KAG1139507.1	0.0218499	0.15628	0.139813	YN	96.045	510	531	21	0	0	524	98.68	1	531	566	94	94	154	684	691	0	1077	2784	RO3G_00057
EIE75354.1	KAG1139506.1	0.00655344	0.149367	0.0438748	YN	98.006	934	953	13	1	6	943	98.95	1	953	953	100	100	1	947	947	0	1927	4991	RO3G_00058
EIE75355.1	KAG1135952.1	0.00297514	0.111223	0.0267494	YN	94.562	313	331	2	1	16	315	95.17	1	315	315	100	100	1	331	331	0	642	1656	RO3G_00059
EIE75358.1	KAG1138289.1	0.00185777	0.0822448	0.0225882	YN	99.569	231	232	1	0	0	231	99.57	1	232	232	100	100	1	232	232	9.06e-171	468	1204	RO3G_00062
EIE75359.1	KAG1138288.1	0.0890021	0.404776	0.21988	YN	100	92	92	0	0	0	92	100	28	119	135	68	68	14	105	108	9.97e-63	186	472	RO3G_00063
EIE75360.1	KAG1138287.1	0.0536315	0.122585	0.437506	YN	77.778	126	162	23	2	13	129	79.63	1	162	162	100	100	1	149	149	7.18e-34	115	288	RO3G_00064
EIE75361.1	KAG1138005.1	0.0102096	0.0982013	0.103966	YN	97.51	509	522	12	1	1	517	99.04	1	522	522	100	100	1	521	521	0	1042	2695	RO3G_00065
EIE75364.1	KAG1140231.1	0.00709654	0.15473	0.0458641	YN	97.778	352	360	4	1	4	355	98.61	2	361	361	99	99	90	445	445	0	730	1885	RO3G_00068
EIE75366.1	KAG1140233.1	0.00886392	0.0917461	0.0966136	YN	97.5	273	280	6	1	1	273	97.5	1	279	279	100	100	1	280	280	0	550	1416	RO3G_00070
EIE75368.1	KAG1137622.1	NA	0.109302	0	YN	100	284	284	0	0	0	284	100	1	284	284	100	100	1	284	284	0	593	1528	RO3G_00072
EIE75369.1	KAG1137621.1	0.0308013	0.205805	0.149663	YN	96.203	76	79	3	0	0	76	96.2	1	79	84	94	94	154	232	312	3.66e-52	164	414	RO3G_00073
EIE75370.1	KAG1136995.1	0.0851281	0.182187	0.467257	YN	84.211	336	399	24	1	39	349	87.47	165	524	568	63	63	5	403	469	0	695	1793	RO3G_00074
EIE75372.1	KAG1141745.1	0.0226939	0.146092	0.15534	YN	90.133	475	527	24	1	28	487	92.41	44	542	542	92	92	1	527	527	0	972	2513	RO3G_00076
EIE75374.1	KAG1141746.1	0.013937	0.0692641	0.201215	YN	96.746	327	338	11	0	0	333	98.52	1	338	338	100	100	1	338	338	0	665	1717	RO3G_00078
EIE75375.1	KAG1141747.1	0.0139795	0.0942845	0.14827	YN	95.365	679	712	22	1	11	691	97.05	1	701	701	100	100	50	761	761	0	1412	3656	RO3G_00079
EIE75376.1	KAG1136165.1	0.0499587	0.163365	0.305811	YN	93.963	358	381	22	1	1	365	95.8	42	422	422	90	90	26	405	405	0	634	1634	RO3G_00080
EIE75378.1	KAG1136281.1	0.0254457	0.147792	0.172172	YN	97.789	398	407	9	0	0	401	98.53	1	407	605	67	67	1	407	421	0	806	2081	RO3G_00082
EIE75381.1	KAG1135133.1	0.0473858	0.0837037	0.566114	YN	93.578	306	327	21	0	0	314	96.02	126	452	550	59	59	1	327	341	0	634	1634	RO3G_00085
EIE75382.1	KAG1135460.1	0.0309459	0.0986616	0.313657	YN	94.382	84	89	5	0	0	85	95.51	209	297	297	30	30	1	89	89	9.9e-56	174	440	RO3G_00086
EIE75383.1	KAG1147593.1	0.00502056	0.138266	0.036311	YN	98.728	388	393	5	0	0	390	99.24	1	393	393	100	100	1	393	393	0	797	2059	RO3G_00087
