Gene	PS
AAE3_LOCUS1000	1
AAE3_LOCUS10000	12
AAE3_LOCUS10001	1
AAE3_LOCUS10002	1
AAE3_LOCUS10003	7
AAE3_LOCUS10004	12
AAE3_LOCUS10005	1
AAE3_LOCUS10006	12
AAE3_LOCUS10007	4
AAE3_LOCUS10008	7
AAE3_LOCUS10009	1
AAE3_LOCUS1001	1
AAE3_LOCUS10010	9
AAE3_LOCUS10011	9
AAE3_LOCUS10012	7
AAE3_LOCUS10013	1
AAE3_LOCUS10014	12
AAE3_LOCUS10015	12
AAE3_LOCUS10016	1
AAE3_LOCUS10017	12
AAE3_LOCUS10018	1
AAE3_LOCUS10019	7
AAE3_LOCUS1002	7
AAE3_LOCUS10020	2
AAE3_LOCUS10021	4
AAE3_LOCUS10022	12
AAE3_LOCUS10023	6
AAE3_LOCUS10024	7
AAE3_LOCUS10025	12
AAE3_LOCUS10026	5
AAE3_LOCUS10027	12
AAE3_LOCUS10028	12
AAE3_LOCUS10029	1
AAE3_LOCUS1003	3
AAE3_LOCUS10030	12
AAE3_LOCUS10031	1
AAE3_LOCUS10032	3
AAE3_LOCUS10033	6
AAE3_LOCUS10034	9
AAE3_LOCUS10035	7
AAE3_LOCUS10036	1
AAE3_LOCUS10037	4
AAE3_LOCUS10038	1
AAE3_LOCUS10039	1
AAE3_LOCUS1004	2
AAE3_LOCUS10040	1
AAE3_LOCUS10041	7
AAE3_LOCUS10042	1
AAE3_LOCUS10043	1
AAE3_LOCUS10044	12
AAE3_LOCUS10045	12
AAE3_LOCUS10046	7
AAE3_LOCUS10047	12
AAE3_LOCUS10048	1
AAE3_LOCUS10049	2
AAE3_LOCUS1005	7
AAE3_LOCUS10050	9
AAE3_LOCUS10051	9
AAE3_LOCUS10052	9
AAE3_LOCUS10053	1
AAE3_LOCUS10054	8
AAE3_LOCUS10055	12
AAE3_LOCUS10056	1
AAE3_LOCUS10057	1
AAE3_LOCUS10058	12
AAE3_LOCUS10059	7
AAE3_LOCUS1006	12
AAE3_LOCUS10060	7
AAE3_LOCUS10061	12
AAE3_LOCUS10062	12
AAE3_LOCUS10063	9
AAE3_LOCUS10064	2
AAE3_LOCUS10065	12
AAE3_LOCUS10066	1
AAE3_LOCUS10067	1
AAE3_LOCUS10068	1
AAE3_LOCUS10069	12
AAE3_LOCUS1007	1
AAE3_LOCUS10070	12
AAE3_LOCUS10071	2
AAE3_LOCUS10072	3
AAE3_LOCUS10073	12
AAE3_LOCUS10074	2
AAE3_LOCUS10075	1
AAE3_LOCUS10076	12
AAE3_LOCUS10077	1
AAE3_LOCUS10078	12
AAE3_LOCUS10079	9
AAE3_LOCUS1008	1
AAE3_LOCUS10080	7
AAE3_LOCUS10081	12
AAE3_LOCUS10082	9
AAE3_LOCUS10083	12
AAE3_LOCUS10084	1
AAE3_LOCUS10085	9
AAE3_LOCUS10086	4
AAE3_LOCUS10087	7
AAE3_LOCUS10088	2
AAE3_LOCUS10089	9
AAE3_LOCUS1009	7
AAE3_LOCUS10090	9
AAE3_LOCUS10091	12
AAE3_LOCUS10092	9
AAE3_LOCUS10093	12
AAE3_LOCUS10094	1
AAE3_LOCUS10095	12
AAE3_LOCUS10096	12
AAE3_LOCUS10097	12
AAE3_LOCUS10098	7
AAE3_LOCUS10099	12
AAE3_LOCUS1010	9
AAE3_LOCUS10100	6
AAE3_LOCUS10101	5
AAE3_LOCUS10102	1
AAE3_LOCUS10103	7
AAE3_LOCUS10104	12
AAE3_LOCUS10105	1
AAE3_LOCUS10106	1
AAE3_LOCUS10107	1
AAE3_LOCUS10108	2
AAE3_LOCUS10109	12
AAE3_LOCUS1011	1
AAE3_LOCUS10110	8
AAE3_LOCUS10111	1
AAE3_LOCUS10112	7
AAE3_LOCUS10113	1
AAE3_LOCUS10114	1
AAE3_LOCUS10115	1
AAE3_LOCUS10116	7
AAE3_LOCUS10117	3
AAE3_LOCUS10118	2
AAE3_LOCUS10119	1
AAE3_LOCUS1012	1
AAE3_LOCUS10120	2
AAE3_LOCUS10121	1
AAE3_LOCUS10122	2
AAE3_LOCUS10123	2
AAE3_LOCUS10124	1
AAE3_LOCUS10125	3
AAE3_LOCUS10126	1
AAE3_LOCUS10127	1
AAE3_LOCUS10128	6
AAE3_LOCUS10129	2
AAE3_LOCUS1013	1
AAE3_LOCUS10130	2
AAE3_LOCUS10131	2
AAE3_LOCUS10132	2
AAE3_LOCUS10133	2
AAE3_LOCUS10134	5
AAE3_LOCUS10135	1
AAE3_LOCUS10136	1
AAE3_LOCUS10137	3
AAE3_LOCUS10138	1
AAE3_LOCUS10139	1
AAE3_LOCUS1014	1
AAE3_LOCUS10140	2
AAE3_LOCUS10141	7
AAE3_LOCUS10142	2
AAE3_LOCUS10143	1
AAE3_LOCUS10144	1
AAE3_LOCUS10145	2
AAE3_LOCUS10146	1
AAE3_LOCUS10147	1
AAE3_LOCUS10148	1
AAE3_LOCUS10149	2
AAE3_LOCUS1015	9
AAE3_LOCUS10150	1
AAE3_LOCUS10151	1
AAE3_LOCUS10152	1
AAE3_LOCUS10153	1
AAE3_LOCUS10154	1
AAE3_LOCUS10155	1
AAE3_LOCUS10156	2
AAE3_LOCUS10157	1
AAE3_LOCUS10158	2
AAE3_LOCUS10159	1
AAE3_LOCUS1016	1
AAE3_LOCUS10160	1
AAE3_LOCUS10161	1
