query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
XP_031028186.1	XP_018747399.1	0.831265	3.96333	0.209739	YN	27.53	68	247	164	4	15	115	46.56	11	247	289	82	82	10	251	275	2.84e-27	106	264	XP_031028186.1
XP_031028191.1	XP_018755068.1	0.849047	1.86554	0.455121	YN	25	80	320	217	9	23	145	45.31	4	313	336	92	92	3	309	332	1.7e-23	98.2	243	XP_031028191.1
XP_031028240.1	XP_018761521.1	0.722636	3.38664	0.213379	YN	31.207	450	1442	878	44	114	721	50	177	1583	1592	88	88	165	1527	1529	9.16e-178	574	1479	XP_031028240.1
XP_031028249.1	XP_018762162.1	0.420378	0.963505	0.4363	YN	47.02	71	151	75	1	5	91	60.26	5	150	174	84	84	209	359	379	3.36e-36	128	321	XP_031028249.1
XP_031028266.1	XP_018762161.1	0.652965	4.27734	0.152657	YN	36.224	142	392	223	13	27	205	52.3	43	422	445	85	85	59	435	446	6.49e-63	209	531	XP_031028266.1
XP_031028270.1	XP_018744665.1	0.39242	0.992321	0.395456	YN	46.025	110	239	103	9	26	140	58.58	1	225	225	100	100	1	227	227	9.63e-50	161	407	XP_031028270.1
XP_031028293.1	XP_018751065.1	0.107797	0.437869	0.246186	YN	80.793	265	328	58	1	5	288	87.8	1	323	323	100	100	1	328	328	0	546	1408	XP_031028293.1
XP_031028294.1	XP_018751066.1	0.0461859	0.334083	0.138247	YN	90.63	532	587	55	0	0	560	95.4	1	587	587	100	100	1	587	587	0	1124	2908	XP_031028294.1
XP_031028295.1	XP_018751067.1	0.0742098	0.260756	0.284594	YN	84.233	593	704	96	4	15	624	88.64	8	711	711	99	99	1	689	689	0	1219	3153	XP_031028295.1
XP_031028296.1	XP_018751068.1	0.0483886	0.320484	0.150986	YN	91.045	549	603	54	0	0	575	95.36	1	603	603	100	100	1	603	603	0	1158	2996	XP_031028296.1
XP_031028297.1	XP_018751069.1	0.0377217	0.336535	0.112089	YN	93.015	253	272	19	0	0	264	97.06	1	272	272	100	100	1	272	272	0	522	1345	XP_031028297.1
XP_031028298.1	XP_018751070.1	0.0759353	0.375131	0.202423	YN	85.714	246	287	41	0	0	262	91.29	1	287	336	85	85	1	287	288	0	504	1297	XP_031028298.1
XP_031028301.1	XP_018762486.1	0.471549	4.27758	0.110237	YN	44.989	202	449	241	5	6	301	67.04	32	479	484	93	93	1	444	448	1.42e-149	433	1114	XP_031028301.1
