Gene	PS
FGSG_00001	12
FGSG_00002	6
FGSG_00003	6
FGSG_00004	4
FGSG_00005	6
FGSG_00006	3
FGSG_00007	1
FGSG_00009	11
FGSG_00010	2
FGSG_00011	1
FGSG_00012	1
FGSG_00013	1
FGSG_00014	1
FGSG_00015	1
FGSG_00016	1
FGSG_00017	1
FGSG_00018	1
FGSG_00019	2
FGSG_00020	3
FGSG_00021	4
FGSG_00023	1
FGSG_00024	1
FGSG_00025	6
FGSG_00026	1
FGSG_00027	1
FGSG_00028	1
FGSG_00029	3
FGSG_00030	6
FGSG_00031	8
FGSG_00032	1
FGSG_00033	6
FGSG_00034	1
FGSG_00036	1
FGSG_00038	11
FGSG_00039	2
FGSG_00040	1
FGSG_00043	1
FGSG_00044	1
FGSG_00045	1
FGSG_00046	1
FGSG_00047	1
FGSG_00048	1
FGSG_00049	1
FGSG_00050	1
FGSG_00051	1
FGSG_00052	2
FGSG_00053	1
FGSG_00054	1
FGSG_00055	1
FGSG_00056	6
FGSG_00058	1
FGSG_00059	1
FGSG_00060	2
FGSG_00061	2
FGSG_00062	2
FGSG_00063	4
FGSG_00064	6
FGSG_00065	1
FGSG_00066	1
FGSG_00067	1
FGSG_00068	1
FGSG_00069	1
FGSG_00070	1
FGSG_00071	1
FGSG_00072	10
FGSG_00073	1
FGSG_00074	1
FGSG_00075	1
FGSG_00076	1
FGSG_00077	1
FGSG_00078	1
FGSG_00079	1
FGSG_00080	1
FGSG_00081	2
FGSG_00082	1
FGSG_00083	1
FGSG_00084	1
FGSG_00085	1
FGSG_00087	1
FGSG_00089	2
FGSG_00090	1
FGSG_00091	1
FGSG_00092	1
FGSG_00093	2
FGSG_00094	11
FGSG_00095	1
FGSG_00096	1
FGSG_00097	6
FGSG_00099	1
FGSG_00100	1
FGSG_00101	2
FGSG_00102	1
FGSG_00103	1
FGSG_00104	1
FGSG_00105	1
FGSG_00107	1
FGSG_00108	1
FGSG_00109	1
FGSG_00110	2
FGSG_00111	7
FGSG_00112	6
FGSG_00114	9
FGSG_00115	6
FGSG_00116	1
FGSG_00117	1
FGSG_00118	1
FGSG_00119	6
FGSG_00120	6
FGSG_00121	1
FGSG_00122	6
FGSG_00123	6
FGSG_00124	1
FGSG_00125	6
FGSG_00126	1
FGSG_00127	1
FGSG_00128	6
FGSG_00129	11
FGSG_00130	1
FGSG_00131	11
FGSG_00132	1
FGSG_00134	1
FGSG_00135	11
FGSG_00136	1
FGSG_00137	1
FGSG_00138	1
FGSG_00139	1
FGSG_00140	2
FGSG_00141	2
FGSG_00142	1
FGSG_00143	1
FGSG_00144	2
FGSG_00145	1
FGSG_00147	4
FGSG_00148	1
FGSG_00150	1
FGSG_00151	11
FGSG_00152	1
FGSG_00153	3
FGSG_00154	11
FGSG_00156	11
FGSG_00157	6
FGSG_00158	6
FGSG_00160	11
FGSG_00161	1
FGSG_00162	1
FGSG_00163	1
FGSG_00164	11
FGSG_00165	1
FGSG_00166	1
FGSG_00168	1
FGSG_00169	1
FGSG_00170	1
FGSG_00171	6
FGSG_00172	1
FGSG_00173	1
FGSG_00174	1
FGSG_00175	1
FGSG_00176	1
FGSG_00177	1
FGSG_00179	1
FGSG_00180	2
FGSG_00181	12
FGSG_00182	1
FGSG_00183	1
FGSG_00184	3
FGSG_00185	2
FGSG_00186	1
FGSG_00188	1
FGSG_00189	1
FGSG_00190	2
FGSG_00192	1
FGSG_00193	6
FGSG_00194	1
FGSG_00195	1
FGSG_00196	6
FGSG_00197	1
FGSG_00198	1
FGSG_00199	11
FGSG_00200	1
FGSG_00201	2
FGSG_00203	1
FGSG_00205	1
FGSG_00206	11
FGSG_00207	7
FGSG_00208	1
FGSG_00209	7
FGSG_00210	11
FGSG_00211	2
FGSG_00212	2
FGSG_00213	1
FGSG_00214	11
FGSG_00215	1
FGSG_00216	3
FGSG_00217	1
FGSG_00218	1
FGSG_00219	1
FGSG_00220	1
FGSG_00221	6
FGSG_00222	6
FGSG_00224	1
FGSG_00225	1
FGSG_00226	1
FGSG_00227	3
FGSG_00229	3
FGSG_00230	7
FGSG_00231	1
FGSG_00232	11
FGSG_00233	9
FGSG_00234	1
FGSG_00235	2
FGSG_00236	1
FGSG_00237	2
FGSG_00239	11
FGSG_00240	4
FGSG_00242	3
FGSG_00243	1
FGSG_00245	11
FGSG_00246	1
FGSG_00247	6
FGSG_00248	1
FGSG_00249	1
FGSG_00251	1
FGSG_00252	6
FGSG_00253	6
FGSG_00254	6
FGSG_00255	6
FGSG_00256	6
FGSG_00257	2
FGSG_00258	11
FGSG_00259	1
FGSG_00260	6
FGSG_00261	1
FGSG_00262	3
FGSG_00263	1
FGSG_00264	2
FGSG_00265	2
FGSG_00266	3
FGSG_00267	1
FGSG_00268	2
FGSG_00269	1
FGSG_00270	1
FGSG_00271	1
FGSG_00272	1
FGSG_00273	1
FGSG_00274	11
FGSG_00275	2
FGSG_00276	1
FGSG_00277	12
FGSG_00278	1
FGSG_00279	2
FGSG_00280	1
FGSG_00281	2
FGSG_00282	3
FGSG_00283	1
FGSG_00284	1
FGSG_00285	6
FGSG_00286	1
FGSG_00287	1
FGSG_00288	1
FGSG_00289	7
FGSG_00291	1
FGSG_00292	1
FGSG_00293	3
FGSG_00294	1
FGSG_00295	11
FGSG_00296	1
FGSG_00297	1
FGSG_00298	1
FGSG_00299	1
FGSG_00300	1
FGSG_00301	1
FGSG_00302	1
FGSG_00303	2
FGSG_00304	1
FGSG_00305	1
FGSG_00306	1
FGSG_00307	3
FGSG_00308	1
FGSG_00309	1
FGSG_00310	1
FGSG_00311	4
FGSG_00312	3
FGSG_00313	2
FGSG_00314	1
FGSG_00315	6
FGSG_00316	1
FGSG_00317	1
FGSG_00318	1
FGSG_00319	1
FGSG_00320	1
FGSG_00321	1
FGSG_00322	10
FGSG_00323	1
FGSG_00324	2
FGSG_00325	2
FGSG_00326	11
FGSG_00327	1
FGSG_00328	1
FGSG_00329	1
FGSG_00330	1
FGSG_00331	6
FGSG_00332	1
FGSG_00333	2
FGSG_00334	2
FGSG_00335	2
FGSG_00336	2
FGSG_00337	1
FGSG_00338	1
FGSG_00339	3
FGSG_00340	1
FGSG_00342	8
FGSG_00343	1
FGSG_00344	11
FGSG_00345	1
FGSG_00346	1
FGSG_00347	10
FGSG_00348	1
FGSG_00349	2
FGSG_00350	1
FGSG_00351	1
FGSG_00352	1
FGSG_00353	1
FGSG_00354	11
FGSG_00355	1
FGSG_00357	1
FGSG_00358	1
FGSG_00359	1
FGSG_00360	1
FGSG_00361	1
FGSG_00362	1
FGSG_00363	1
FGSG_00364	1
FGSG_00365	1
FGSG_00366	2
FGSG_00367	1
FGSG_00368	2
FGSG_00369	2
FGSG_00370	1
FGSG_00371	1
FGSG_00372	1
FGSG_00373	1
FGSG_00374	1
FGSG_00375	1
FGSG_00376	1
FGSG_00377	1
FGSG_00378	2
FGSG_00379	2
FGSG_00380	1
FGSG_00381	11
FGSG_00382	1
FGSG_00383	2
FGSG_00384	11
FGSG_00385	1
FGSG_00386	3
FGSG_00387	1
FGSG_00388	1
FGSG_00389	1
FGSG_00390	6
FGSG_00391	1
FGSG_00392	9
FGSG_00393	6
FGSG_00394	11
FGSG_00395	1
FGSG_00396	8
FGSG_00397	1
FGSG_00398	1
FGSG_00399	2
FGSG_00401	2
FGSG_00402	2
FGSG_00403	1
FGSG_00404	2
FGSG_00405	1
FGSG_00406	2
FGSG_00407	1
FGSG_00408	1
FGSG_00409	1
FGSG_00410	2
FGSG_00411	10
FGSG_00412	6
FGSG_00413	1
FGSG_00414	1
FGSG_00415	2
FGSG_00416	1
FGSG_00417	1
FGSG_00418	2
FGSG_00419	3
FGSG_00420	1
FGSG_00421	1
FGSG_00422	6
FGSG_00423	1
FGSG_00424	1
FGSG_00425	1
FGSG_00426	6
FGSG_00427	1
FGSG_00428	2
FGSG_00429	2
FGSG_00430	1
FGSG_00431	9
FGSG_00432	11
FGSG_00433	1
FGSG_00434	1
FGSG_00435	1
FGSG_00436	1
FGSG_00437	1
FGSG_00438	3
FGSG_00439	1
FGSG_00440	1
FGSG_00441	7
FGSG_00442	1
FGSG_00443	1
FGSG_00444	1
FGSG_00445	2
FGSG_00446	2
FGSG_00447	1
FGSG_00448	1
