qseqid	PS
XP_001219222.1	1
XP_001219223.1	9
XP_001219224.1	1
XP_001219225.1	2
XP_001219226.1	1
XP_001219227.1	1
XP_001219228.1	2
XP_001219229.1	6
XP_001219230.1	2
XP_001219231.1	11
XP_001219232.1	1
XP_001219233.1	2
XP_001219234.1	1
XP_001219235.1	1
XP_001219236.1	1
XP_001219237.1	1
XP_001219238.1	1
XP_001219239.1	1
XP_001219240.1	1
XP_001219241.1	1
XP_001219242.1	1
XP_001219243.1	1
XP_001219244.1	7
XP_001219245.1	1
XP_001219246.1	3
XP_001219247.1	1
XP_001219248.1	12
XP_001219249.1	10
XP_001219250.1	1
XP_001219251.1	1
XP_001219252.1	1
XP_001219253.1	3
XP_001219254.1	1
XP_001219255.1	8
XP_001219256.1	1
XP_001219257.1	3
XP_001219258.1	1
XP_001219259.1	1
XP_001219260.1	6
XP_001219261.1	1
XP_001219262.1	1
XP_001219263.1	2
XP_001219264.1	12
XP_001219265.1	1
XP_001219266.1	2
XP_001219267.1	1
XP_001219268.1	1
XP_001219269.1	1
XP_001219270.1	2
XP_001219271.1	1
XP_001219272.1	3
XP_001219273.1	1
XP_001219274.1	1
XP_001219275.1	1
XP_001219276.1	1
XP_001219277.1	1
XP_001219278.1	11
XP_001219279.1	1
XP_001219280.1	1
XP_001219281.1	1
XP_001219282.1	1
XP_001219283.1	1
XP_001219284.1	3
XP_001219285.1	3
XP_001219286.1	1
XP_001219287.1	3
XP_001219288.1	1
XP_001219289.1	1
XP_001219290.1	1
XP_001219291.1	12
XP_001219292.1	1
XP_001219293.1	1
XP_001219294.1	10
XP_001219295.1	2
XP_001219296.1	1
XP_001219297.1	3
XP_001219298.1	2
XP_001219299.1	1
XP_001219300.1	7
XP_001219301.1	1
XP_001219302.1	2
XP_001219303.1	2
XP_001219304.1	7
XP_001219305.1	6
XP_001219306.1	1
XP_001219307.1	11
XP_001219308.1	1
XP_001219309.1	1
XP_001219310.1	1
XP_001219311.1	1
XP_001219312.1	10
XP_001219313.1	2
XP_001219314.1	3
XP_001219315.1	12
XP_001219316.1	12
XP_001219317.1	4
XP_001219318.1	1
XP_001219319.1	10
XP_001219320.1	2
XP_001219321.1	3
XP_001219322.1	2
XP_001219323.1	10
XP_001219324.1	2
XP_001219325.1	2
XP_001219326.1	2
XP_001219327.1	2
XP_001219328.1	3
XP_001219329.1	3
XP_001219330.1	1
XP_001219331.1	2
