query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
FG1G00170T0	KAF4506516.1	0.20268	2.42042	0.0837378	YN	67.409	333	494	158	2	3	401	81.17	5	496	497	99	99	1	493	511	0	711	1836	FG1G00170T0
FG1G00200T0	KAF4509485.1	0.715637	4.50364	0.158902	YN	30.814	212	688	398	27	78	294	42.73	1	668	733	96	91	1	630	645	7.14e-63	220	561	FG1G00200T0
FG1G00230T0	KAF4509910.1	0.71197	1.36314	0.5223	YN	40.506	32	79	44	2	3	47	59.49	1	77	87	89	89	1	78	93	4.73e-13	57.8	138	FG1G00230T0
FG1G00250T0	KAF4506727.1	0.694646	3.50689	0.19808	YN	26.772	34	127	85	3	8	56	44.09	97	223	224	57	57	134	252	262	1.91e-06	45.8	107	FG1G00250T0
FG1G00460T0	KAF4512798.1	0.727958	4.30753	0.168997	YN	23.214	65	280	199	4	16	117	41.79	153	421	1032	26	26	45	319	534	1.47e-10	63.2	152	FG1G00460T0
FG1G00540T0	KAF4510683.1	0.582966	2.51267	0.23201	YN	37.54	116	309	153	7	40	148	47.9	1	274	276	99	99	1	304	376	3.01e-56	183	465	FG1G00540T0
FG1G00650T0	KAF4512960.1	0.450319	5.27372	0.0853892	YN	54.254	593	1093	476	10	24	775	70.91	517	1596	1605	97	67	614	1695	1862	0	1208	3126	FG1G00650T0
FG1G00700T0	KAF4509604.1	0.368223	4.60003	0.0800479	YN	52.671	355	674	312	5	7	456	67.66	50	722	727	93	93	68	735	740	0	709	1830	FG1G00700T0
FG1G00870T0	KAF4513258.1	0.417367	3.97091	0.105106	YN	53.116	179	337	150	4	8	235	69.73	8	342	382	88	88	8	338	380	2.62e-123	359	922	FG1G00870T0
FG1G00900T0	KAF4508008.1	0.412303	5.57956	0.0738953	YN	50.832	1161	2284	1071	23	52	1544	67.6	1	2250	2261	99	99	838	3103	3114	0	2259	5853	FG1G00900T0
FG1G01040T0	KAF4509698.1	0.662163	3.24157	0.204272	YN	36.296	49	135	76	4	10	63	46.67	1	126	126	100	100	1	134	134	9.12e-15	64.3	155	FG1G01040T0
FG1G01070T0	KAF4511933.1	0.651424	4.17045	0.1562	YN	34.667	130	375	214	11	31	202	53.87	113	470	536	67	67	23	383	437	2.6e-52	182	462	FG1G01070T0
FG1G01110T0	KAF4510259.1	0.414364	3.94614	0.105005	YN	50.558	136	269	130	1	3	188	69.89	6	274	350	77	77	5	270	271	3.39e-95	283	723	FG1G01110T0
FG1G01440T0	KAF4509208.1	0.322725	4.50667	0.0716105	YN	59.725	304	509	202	2	3	393	77.21	4	510	511	99	99	5	512	551	0	572	1473	FG1G01440T0
FG1G01680T0	KAF4511780.1	0.831175	4.14774	0.200392	YN	24.403	92	377	261	7	24	169	44.83	12	379	382	96	96	13	374	376	1.75e-28	113	282	FG1G01680T0
FG1G01690T0	KAF4511779.1	0.46667	4.30793	0.108328	YN	43.462	226	520	291	3	3	336	64.62	3	520	525	99	99	24	542	570	5.18e-152	445	1144	FG1G01690T0
FG1G01990T0	KAF4509054.1	0.294119	4.67418	0.0629242	YN	53.839	568	1055	427	17	60	736	69.76	31	1053	1063	96	96	26	1052	1058	0	1043	2696	FG1G01990T0
FG1G02120T0	KAF4509034.1	0.189398	3.78591	0.0500269	YN	68.391	238	348	108	1	2	289	83.05	1	348	349	99	99	1	346	355	1.57e-172	482	1240	FG1G02120T0
FG1G02160T0	KAF4510978.1	0.254951	99	0.00257527	YN	63.619	334	525	159	7	32	413	78.67	78	573	584	85	85	46	567	580	0	624	1609	FG1G02160T0
FG1G02480T0	KAF4510980.1	0.0736231	3.08052	0.0238996	YN	85.965	98	114	16	0	0	105	92.11	1	114	114	100	100	1	114	114	2.81e-71	206	525	FG1G02480T0
FG1G02490T0	KAF4510982.1	0.254819	4.19471	0.0607477	YN	79.213	141	178	37	0	0	162	91.01	1	178	394	45	45	1	178	412	1.58e-98	298	762	FG1G02490T0
FG1G02500T0	KAF4510983.1	0.0559693	2.35009	0.0238158	YN	88.517	185	209	20	1	4	193	92.34	1	209	209	100	100	1	205	205	1.21e-135	377	967	FG1G02500T0
FG1G02550T0	KAF4510984.1	0.334088	99	0.00337462	YN	52.568	174	331	150	3	7	225	67.98	19	343	370	88	88	19	348	558	4.13e-122	362	929	FG1G02550T0
