query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
KAG2001451.1	fgenesh1_kg.1_#	0.447841	4.81058	0.093095	YN	36.506	395	1082	396	40	291	517	47.78	7	911	911	99	99	2	969	969	1.5e-166	509	1312	CC2G_006744
KAG2001562.1	e_gw1.123.41.1	0.092874	4.34967	0.021352	YN	84.713	399	471	68	2	4	432	91.72	11	477	477	98	98	336	806	806	0	759	1960	CC2G_006699
KAG2001564.1	CE50153_12729	0.0955702	3.93411	0.0242927	YN	83.133	276	332	54	1	2	299	90.06	1	330	333	99	99	7	338	339	0	564	1453	CC2G_006701
KAG2001566.1	fgenesh1_kg.52_	0.176882	3.31528	0.0533536	YN	75.214	88	117	28	1	1	100	85.47	9	125	125	94	94	4	119	119	1.06e-60	181	459	CC2G_006703
KAG2001568.1	estExt_fgenesh1	0.185012	3.04116	0.0608359	YN	73.737	73	99	25	1	1	86	86.87	5	103	103	96	96	8	105	105	3.29e-51	155	393	CC2G_006705
KAG2001573.1	estExt_Genewise	0.377819	3.60272	0.104871	YN	61.6	77	125	43	3	5	96	76.8	35	157	163	75	75	76	197	204	8.29e-47	150	379	CC2G_006709
KAG2001576.1	fgenesh1_pg.52_	0.424754	3.5367	0.120099	YN	79.31	23	29	6	0	0	25	86.21	35	63	130	22	22	84	112	488	1.04e-10	56.6	135	CC2G_006712
KAG2001578.1	estExt_Genemark	0.316437	4.21003	0.0751626	YN	58.696	189	322	120	5	13	229	71.12	35	346	601	69	52	18	336	467	9.99e-120	362	928	CC2G_006714
KAG2001579.1	fgenesh1_kg.52_	0.197523	4.07985	0.0484143	YN	72.26	211	292	80	1	1	245	83.9	4	294	295	99	99	3	294	296	7.96e-158	441	1133	CC2G_006715
KAG2001801.1	estExt_fgenesh1	0.272697	4.32012	0.0631226	YN	66.162	262	396	125	2	9	313	79.04	53	439	439	88	88	32	427	427	0	548	1412	CC2G_004930
KAG2001803.1	estExt_Genewise	0.411134	4.38161	0.0938318	YN	50.966	211	414	197	5	6	282	68.12	14	426	430	96	96	13	421	423	6.48e-143	413	1062	CC2G_004932
KAG2001804.1	CE87981_6705	0.387131	2.15918	0.179295	YN	49.231	384	780	315	11	81	495	63.46	1042	1750	1914	37	37	1	770	906	0	602	1551	CC2G_004933
KAG2001805.1	fgenesh1_kg.158	0.0330329	1.59258	0.0207417	YN	92	115	125	7	2	3	118	94.4	1	122	122	100	100	1	125	125	9.57e-78	224	571	CC2G_004934
KAG2001807.1	fgenesh1_kg.100	0.445907	3.98137	0.111998	YN	41.259	118	286	117	6	51	163	56.99	1	284	286	99	99	84	320	329	2.33e-62	199	505	CC2G_004936
KAG2001810.1	CE340066_2567	0.546726	4.17702	0.130889	YN	34.962	93	266	133	7	40	133	50	21	252	340	91	68	159	418	961	3.27e-37	140	354	CC2G_004939
KAG2001812.1	estExt_fgenesh1	0.533431	2.18241	0.244423	YN	43.891	194	442	239	5	9	277	62.67	594	1027	1027	42	42	40	480	480	6.07e-117	367	942	CC2G_004941
KAG2001814.1	gw1.50.2.1	0.0665389	2.8819	0.0230886	YN	86.765	59	68	9	0	0	65	95.59	1	68	272	25	25	1	68	68	1.91e-41	136	342	CC2G_004943
KAG2001816.1	fgenesh1_kg.260	0.17273	3.31032	0.0521793	YN	75.824	69	91	22	0	0	80	87.91	1	91	97	94	94	1	91	101	5.8e-50	152	383	CC2G_004945
KAG2001817.1	fgenesh1_kg.260	0.38075	4.05675	0.093856	YN	48.675	147	302	131	6	24	194	64.24	1	288	295	98	98	1	292	300	6.52e-82	248	633	CC2G_004946
KAG2001818.1	estExt_Genewise	0.362295	4.18586	0.0865522	YN	54.039	194	359	153	7	12	253	70.47	1	354	360	98	98	1	352	353	2.63e-131	378	971	CC2G_004947
KAG2001821.1	CE175263_14275	0.267057	4.79602	0.0556829	YN	58.225	492	845	314	9	39	612	72.43	1	836	847	99	99	1	815	816	0	972	2512	CC2G_004950
KAG2001822.1	e_gw1.260.31.1	0.185247	4.3802	0.0422918	YN	61.09	325	532	134	9	73	375	70.49	1	493	495	99	99	1	498	500	0	575	1482	CC2G_004951
KAG2001825.1	gw1.198.8.1	0.294553	4.42375	0.0665846	YN	63.58	309	486	165	5	12	365	75.1	108	582	588	81	81	39	523	523	0	634	1635	CC2G_004954
KAG2001826.1	estExt_Genemark	0.0645964	4.00235	0.0161396	YN	88.547	317	358	41	0	0	339	94.69	1	358	358	100	100	1	358	358	0	668	1724	CC2G_004955
KAG2001828.1	fgenesh1_kg.68_	0.114113	1.61627	0.070603	YN	80.465	173	215	41	1	1	200	93.02	54	268	270	80	80	1	214	217	4.73e-132	371	953	CC2G_004957
KAG2001829.1	gm1.5672_g	0.111099	2.50272	0.0443912	YN	70.814	461	651	125	16	65	503	77.27	17	627	634	96	96	18	643	645	0	760	1962	CC2G_004958
KAG2001831.1	fgenesh1_kg.68_	0.283307	4.09276	0.0692214	YN	56.474	205	363	130	10	28	260	71.63	1	356	356	100	100	1	342	342	4.62e-119	347	889	CC2G_004960
KAG2001833.1	estExt_Genewise	0.268098	2.64551	0.101341	YN	57.333	258	450	153	14	39	308	68.44	3	424	424	99	99	2	440	440	2.34e-134	392	1006	CC2G_004962
KAG2001893.1	fgenesh1_pg.31_	0.533487	2.01048	0.265353	YN	38.071	375	985	465	33	145	507	51.47	17	923	928	98	98	97	1014	1025	6.57e-138	437	1123	CC2G_004877
KAG2001897.1	fgenesh1_kg.31_	0.597463	3.80123	0.157176	YN	35.16	77	219	115	9	27	115	52.51	9	216	237	88	88	54	256	275	9.21e-33	119	297	CC2G_004881
KAG2001899.1	fgenesh1_kg.4_#	0.141135	4.0481	0.0348646	YN	77.023	295	383	84	3	4	334	87.21	3	383	384	99	99	1	381	384	0	575	1483	CC2G_004883
KAG2001911.1	e_gw1.31.138.1	0.175562	3.45932	0.0507504	YN	69.173	92	133	28	2	13	103	77.44	130	262	341	39	39	1	120	133	2.02e-61	191	486	CC2G_004894
KAG2001912.1	CE26573_16977	0.0379158	3.6718	0.0103262	YN	90.909	220	242	17	1	5	231	95.45	1	237	238	99	99	22	263	266	1.3e-164	454	1168	CC2G_004895
KAG2001917.1	e_gw1.17.52.1	0.203367	1.91476	0.10621	YN	76.667	69	90	20	1	1	77	85.56	1	90	109	83	83	1	89	107	5.8e-48	147	372	CC2G_004900
KAG2001918.1	CE99683_61242	0.204066	4.50266	0.0453211	YN	61.606	422	685	170	21	93	479	69.93	1	630	640	98	98	123	769	798	0	635	1637	CC2G_004901
KAG2001919.1	CE99492_7470	0.251447	99	0.00253987	YN	60.269	179	297	110	3	8	218	73.4	1	291	300	97	97	1	295	298	3.8e-110	320	820	CC2G_004902
KAG2002008.1	estExt_Genemark	0.328647	2.09357	0.156979	YN	46.305	188	406	99	16	119	205	50.49	120	465	527	66	66	51	397	470	1.54e-71	234	598	CC2G_004859
KAG2002208.1	fgenesh1_kg.319	0.440323	4.63589	0.0949814	YN	44.596	326	731	331	21	74	457	62.52	52	772	777	93	93	27	693	700	0	554	1427	CC2G_004419
KAG2002211.1	e_gw1.1104.3.1	0.423615	4.52713	0.0935725	YN	51.877	304	586	268	7	14	389	66.38	64	635	640	89	89	1	586	592	0	611	1576	CC2G_004422
KAG2002219.1	estExt_Genewise	0.274953	3.90915	0.0703358	YN	61.131	173	283	95	6	15	206	72.79	21	303	304	93	93	1	268	270	2.75e-121	347	891	CC2G_004430
KAG2002220.1	e_gw1.370.5.1	0.0652451	4.94532	0.0131933	YN	92.077	1104	1199	77	3	18	1133	94.5	172	1365	1367	87	87	36	1221	1222	0	2182	5653	CC2G_004431
KAG2002226.1	CE267266_7330	0.687253	1.63044	0.421513	YN	50.806	63	124	55	1	6	82	66.13	111	234	237	52	52	95	212	358	1.87e-21	90.5	223	CC2G_004434
KAG2002237.1	MIX11028_30_43	0.462079	4.45887	0.103631	YN	44.714	258	577	291	14	28	367	63.6	4	564	564	99	99	8	572	572	1.55e-155	456	1173	CC2G_004443
KAG2002241.1	estExt_Genewise	0.446657	4.21243	0.106033	YN	56.18	200	356	116	15	40	232	65.17	53	398	641	54	54	40	365	463	5.1e-107	330	846	CC2G_004446
KAG2002247.1	estExt_Genewise	0.372657	4.2465	0.0877561	YN	62.5	190	304	111	2	3	229	75.33	21	324	377	81	81	18	318	375	1.22e-126	368	944	CC2G_004450
KAG2002248.1	fgenesh1_kg.297	0.742831	5.29646	0.14025	YN	31.572	251	795	451	22	93	394	49.56	49	776	1715	66	42	71	839	1971	2.98e-91	328	842	CC2G_004451
KAG2002253.1	estExt_Genemark	0.169902	4.55126	0.0373308	YN	71.88	455	633	113	7	65	494	78.04	1	615	745	83	83	1	586	706	0	801	2068	CC2G_004454
KAG2002254.1	fgenesh1_kg.120	0.818179	2.04579	0.399933	YN	26.946	45	167	93	3	29	65	38.92	85	233	270	55	55	57	212	215	1.08e-09	56.2	134	CC2G_004455
KAG2002256.1	gm1.7393_g	0.365142	4.17936	0.087368	YN	68.475	202	295	92	1	1	239	81.02	127	421	422	70	70	344	637	640	3.18e-154	449	1156	CC2G_004457
KAG2002260.1	estExt_Genewise	0.25562	3.98063	0.064216	YN	66.429	186	280	82	5	12	230	82.14	87	361	361	76	76	24	296	296	1.1e-139	397	1021	CC2G_004461
KAG2002263.1	fgenesh1_kg.131	0.506834	3.69086	0.137322	YN	47.368	90	190	94	2	6	121	63.68	23	209	212	88	88	12	198	201	5.04e-51	162	411	CC2G_004464
KAG2002264.1	estExt_Genemark	0.234911	4.39664	0.0534297	YN	66.012	336	509	143	7	30	396	77.8	5	503	506	99	99	10	498	500	0	649	1673	CC2G_004465
KAG2002267.1	estExt_Genewise	0.429483	2.34004	0.183537	YN	52.713	68	129	60	1	1	80	62.02	1	129	168	77	77	1	128	137	2.81e-38	126	317	CC2G_004468
KAG2002268.1	gm1.3533_g	0.634655	3.45677	0.183598	YN	33.155	62	187	103	6	22	99	52.94	1	170	172	99	99	1	182	183	6.82e-24	91.3	225	CC2G_004469
