query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
FG1G00280T0	KFA65620.1	0.491468	4.50254	0.109154	YN	47.338	249	526	275	2	2	342	65.02	4	529	530	99	99	9	532	540	1.78e-180	517	1331	FG1G00280T0
FG1G00400T0	KFA62259.1	0.370295	4.48015	0.0826523	YN	55.447	285	514	203	3	26	381	74.12	9	502	539	92	92	4	511	545	0	592	1527	FG1G00400T0
FG1G00420T0	KFA68303.1	0.487488	4.02735	0.121044	YN	48.454	141	291	143	3	7	184	63.23	3	293	319	91	91	10	293	325	2.53e-91	273	699	FG1G00420T0
FG1G00490T0	KFA60014.1	0.281181	3.83282	0.0733612	YN	63.019	167	265	93	2	5	209	78.87	1	262	264	99	99	1	263	266	1.37e-120	343	881	FG1G00490T0
FG1G00530T0	KFA60240.1	0.410925	4.43416	0.0926726	YN	51.299	237	462	219	3	6	319	69.05	46	506	506	91	91	340	796	796	6.45e-173	506	1302	FG1G00530T0
FG1G00540T0	KFA62837.1	0.376539	3.25551	0.115662	YN	50.775	131	258	111	7	16	168	65.12	27	274	276	90	90	23	274	276	1.27e-81	245	626	FG1G00540T0
FG1G00560T0	KFA69002.1	0.463146	3.31215	0.139832	YN	51.376	56	109	53	0	0	73	66.97	25	133	179	61	61	95	203	212	6.83e-37	125	315	FG1G00560T0
FG1G00650T0	KFA62468.1	0.471764	5.28491	0.0892663	YN	54.57	597	1094	471	13	26	779	71.21	517	1596	1605	95	67	612	1693	1860	0	1215	3143	FG1G00650T0
FG1G00740T0	KFA70585.1	0.730124	6.47152	0.112821	YN	32.135	2413	7509	4650	163	446	3869	51.52	81	7346	7840	97	93	478	7783	8219	0	3742	9703	FG1G00740T0
FG1G00780T0	KFA62645.1	0.761971	3.80113	0.200459	YN	29.371	42	143	91	5	10	60	41.96	15	150	283	48	48	7	146	283	4.13e-06	45.8	107	FG1G00780T0
