query_id	subject_id	dN	dS	dNdS	method	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw	Genes
KAG2001562.1	OAV99560.1	0.247557	4.31478	0.0573741	YN	65.351	298	456	126	5	32	350	76.75	27	472	477	94	94	163	596	606	0	550	1416	CC2G_006699
KAG2001566.1	OAV94151.1	0.534067	3.16821	0.16857	YN	40.164	49	122	46	5	27	66	54.1	10	125	125	93	93	20	120	120	2.84e-16	68.2	165	CC2G_006703
KAG2001568.1	OAV89029.1	0.633031	3.18466	0.198775	YN	34.375	33	96	46	3	17	55	57.29	9	87	103	77	77	16	111	149	4.35e-10	52.4	124	CC2G_006705
KAG2001573.1	OAV93401.1	0.91231	2.26746	0.402348	YN	36.538	38	104	63	2	3	57	54.81	54	155	163	63	63	86	188	202	3.41e-15	68.6	166	CC2G_006709
KAG2001578.1	OAV88387.1	0.666943	4.17927	0.159584	YN	36.875	118	320	155	14	47	165	51.56	31	314	601	47	47	3	311	451	3.49e-37	142	359	CC2G_006714
KAG2001579.1	OAV96484.1	0.710828	2.49919	0.284423	YN	32.517	93	286	150	7	43	143	50	7	256	295	85	85	11	289	331	2.01e-35	129	323	CC2G_006715
KAG2001804.1	OAV97028.1	0.68974	5.35657	0.128765	YN	32.906	462	1404	848	25	94	773	55.06	74	1411	1914	70	70	15	1390	2126	0	615	1587	CC2G_004933
KAG2001805.1	OAV91873.1	0.159851	3.22285	0.0495993	YN	76.613	95	124	27	1	2	107	86.29	1	122	122	100	100	32	155	155	2.18e-64	191	485	CC2G_004934
KAG2001807.1	OAV97485.1	0.614773	2.05205	0.29959	YN	36.486	54	148	69	7	25	70	47.3	1	143	286	50	50	79	206	280	1.22e-14	71.2	173	CC2G_004936
KAG2001813.1	OAV99978.1	0.670246	4.8299	0.13877	YN	34.531	346	1002	621	12	35	563	56.19	37	1023	1025	96	96	324	1305	1307	7.83e-153	486	1251	CC2G_004942
KAG2001817.1	OAV98433.1	0.767676	2.2943	0.334602	YN	37.975	30	79	41	1	8	44	55.7	89	159	295	24	24	284	362	423	4.36e-09	55.8	133	CC2G_004946
KAG2001826.1	OAV93366.1	0.19551	4.07967	0.0479229	YN	70.391	252	358	103	1	3	304	84.92	1	358	358	100	100	1	355	355	0	535	1378	CC2G_004955
KAG2001828.1	OAV98920.1	0.519406	3.95414	0.131358	YN	46.862	112	239	116	2	11	153	64.02	37	265	270	85	85	50	287	303	3.64e-58	186	473	CC2G_004957
KAG2001831.1	OAV87652.1	0.526519	3.97077	0.132599	YN	36.269	70	193	104	5	19	110	56.99	165	340	356	49	49	113	303	316	1.48e-29	114	286	CC2G_004960
