Gene	PS
BDV98DRAFT_100117	1
BDV98DRAFT_100343	1
BDV98DRAFT_100405	12
BDV98DRAFT_100716	12
BDV98DRAFT_100723	1
BDV98DRAFT_100728	4
BDV98DRAFT_101166	2
BDV98DRAFT_101209	7
BDV98DRAFT_101766	7
BDV98DRAFT_102518	3
BDV98DRAFT_103316	1
BDV98DRAFT_10339	7
BDV98DRAFT_103411	1
BDV98DRAFT_103935	1
BDV98DRAFT_104006	2
BDV98DRAFT_104384	12
BDV98DRAFT_104469	2
BDV98DRAFT_104555	12
BDV98DRAFT_104981	1
BDV98DRAFT_105076	2
BDV98DRAFT_105144	9
BDV98DRAFT_105319	2
BDV98DRAFT_105341	1
BDV98DRAFT_105429	2
BDV98DRAFT_105592	12
BDV98DRAFT_105875	1
BDV98DRAFT_105963	2
BDV98DRAFT_10620	7
BDV98DRAFT_10642	12
BDV98DRAFT_107057	7
BDV98DRAFT_107258	6
BDV98DRAFT_107413	6
BDV98DRAFT_107524	7
BDV98DRAFT_107585	12
BDV98DRAFT_107779	5
BDV98DRAFT_107946	2
BDV98DRAFT_108037	12
BDV98DRAFT_10840	1
BDV98DRAFT_108414	1
BDV98DRAFT_108492	1
BDV98DRAFT_108571	2
BDV98DRAFT_108590	12
BDV98DRAFT_108952	1
BDV98DRAFT_109112	1
BDV98DRAFT_109211	9
BDV98DRAFT_109239	12
BDV98DRAFT_109373	7
BDV98DRAFT_109833	12
BDV98DRAFT_109840	12
BDV98DRAFT_110111	12
BDV98DRAFT_110216	7
BDV98DRAFT_110269	12
BDV98DRAFT_110280	12
BDV98DRAFT_110372	12
BDV98DRAFT_110467	8
BDV98DRAFT_110547	12
BDV98DRAFT_110925	12
BDV98DRAFT_111077	1
BDV98DRAFT_111122	1
BDV98DRAFT_111240	12
BDV98DRAFT_111352	12
BDV98DRAFT_111420	12
BDV98DRAFT_111470	12
BDV98DRAFT_111486	12
BDV98DRAFT_111825	12
BDV98DRAFT_112138	1
BDV98DRAFT_112252	12
BDV98DRAFT_112370	1
BDV98DRAFT_112371	12
BDV98DRAFT_112609	12
BDV98DRAFT_113335	12
BDV98DRAFT_113403	12
BDV98DRAFT_113465	12
BDV98DRAFT_113505	2
BDV98DRAFT_113589	12
BDV98DRAFT_113626	12
BDV98DRAFT_113713	12
BDV98DRAFT_113984	12
BDV98DRAFT_114089	12
BDV98DRAFT_114223	12
BDV98DRAFT_114305	12
BDV98DRAFT_114364	12
BDV98DRAFT_114588	1
BDV98DRAFT_115113	1
BDV98DRAFT_115457	12
BDV98DRAFT_115511	12
BDV98DRAFT_115538	2
BDV98DRAFT_115567	2
BDV98DRAFT_115827	12
BDV98DRAFT_116091	2
BDV98DRAFT_11610	7
BDV98DRAFT_116164	2
BDV98DRAFT_116390	12
BDV98DRAFT_116586	9
BDV98DRAFT_116809	4
BDV98DRAFT_117309	12
BDV98DRAFT_117634	1
BDV98DRAFT_117666	12
BDV98DRAFT_117766	12
BDV98DRAFT_119100	2
BDV98DRAFT_119220	12
BDV98DRAFT_119269	7
BDV98DRAFT_119588	9
BDV98DRAFT_119602	3
BDV98DRAFT_119970	12
BDV98DRAFT_120092	1
BDV98DRAFT_12018	12
BDV98DRAFT_120215	12
BDV98DRAFT_120238	12
BDV98DRAFT_120245	1
BDV98DRAFT_120263	1
BDV98DRAFT_120481	4
BDV98DRAFT_120493	12
BDV98DRAFT_120563	12
BDV98DRAFT_120626	5
BDV98DRAFT_120686	1
BDV98DRAFT_120718	12
BDV98DRAFT_120877	9
