Gene	PS
GCG54_00000001	1
GCG54_00000002	1
GCG54_00000003	6
GCG54_00000004	1
GCG54_00000005	1
GCG54_00000006	2
GCG54_00000007	1
GCG54_00000008	1
GCG54_00000009	1
GCG54_00000010	1
GCG54_00000011	1
GCG54_00000012	2
GCG54_00000013	1
GCG54_00000014	11
GCG54_00000015	2
GCG54_00000016	1
GCG54_00000017	1
GCG54_00000018	1
GCG54_00000019	7
GCG54_00000020	1
GCG54_00000021	2
GCG54_00000022	2
GCG54_00000023	1
GCG54_00000024	2
GCG54_00000025	2
GCG54_00000026	1
GCG54_00000028	1
GCG54_00000029	2
GCG54_00000030	1
GCG54_00000031	1
GCG54_00000032	1
GCG54_00000033	6
GCG54_00000034	1
GCG54_00000035	1
GCG54_00000036	1
GCG54_00000037	1
GCG54_00000038	3
GCG54_00000039	2
GCG54_00000040	7
GCG54_00000041	1
GCG54_00000042	1
GCG54_00000043	2
GCG54_00000044	1
GCG54_00000045	1
GCG54_00000046	2
GCG54_00000047	2
GCG54_00000048	1
GCG54_00000049	1
GCG54_00000050	1
GCG54_00000051	2
GCG54_00000052	1
GCG54_00000053	1
GCG54_00000054	1
GCG54_00000055	1
GCG54_00000056	3
GCG54_00000057	1
GCG54_00000058	2
GCG54_00000059	1
GCG54_00000060	3
GCG54_00000061	3
GCG54_00000062	1
GCG54_00000063	7
GCG54_00000064	1
GCG54_00000065	1
GCG54_00000066	1
GCG54_00000067	2
GCG54_00000068	1
GCG54_00000069	1
GCG54_00000070	1
GCG54_00000071	1
GCG54_00000072	2
GCG54_00000073	1
GCG54_00000074	3
GCG54_00000075	2
GCG54_00000076	11
GCG54_00000077	3
GCG54_00000078	8
GCG54_00000079	2
GCG54_00000080	1
GCG54_00000081	11
GCG54_00000082	2
GCG54_00000083	4
GCG54_00000084	1
GCG54_00000085	2
GCG54_00000086	1
GCG54_00000087	2
GCG54_00000088	1
GCG54_00000089	1
GCG54_00000090	1
GCG54_00000091	1
GCG54_00000092	3
GCG54_00000093	2
GCG54_00000094	1
GCG54_00000095	1
GCG54_00000096	1
GCG54_00000097	4
GCG54_00000098	2
GCG54_00000099	1
GCG54_00000100	3
GCG54_00000101	11
GCG54_00000102	6
GCG54_00000103	1
GCG54_00000104	11
GCG54_00000105	11
GCG54_00000106	2
GCG54_00000107	1
GCG54_00000108	1
GCG54_00000109	11
GCG54_00000110	11
GCG54_00000111	1
GCG54_00000112	2
GCG54_00000113	1
GCG54_00000114	1
GCG54_00000115	1
GCG54_00000116	1
GCG54_00000117	1
GCG54_00000118	1
GCG54_00000119	1
GCG54_00000120	1
GCG54_00000121	1
GCG54_00000122	1
GCG54_00000123	1
GCG54_00000124	1
GCG54_00000125	3
GCG54_00000126	1
GCG54_00000127	1
GCG54_00000128	2
GCG54_00000129	2
GCG54_00000130	2
GCG54_00000131	1
GCG54_00000132	1
GCG54_00000133	8
GCG54_00000134	4
GCG54_00000135	1
GCG54_00000136	2
GCG54_00000137	2
GCG54_00000138	1
GCG54_00000139	3
GCG54_00000140	1
GCG54_00000141	11
GCG54_00000142	1
GCG54_00000143	1
GCG54_00000144	2
GCG54_00000145	3
GCG54_00000146	3
GCG54_00000147	3
GCG54_00000148	1
GCG54_00000149	1
GCG54_00000150	7
GCG54_00000151	1
GCG54_00000152	9
GCG54_00000153	1
GCG54_00000154	2
GCG54_00000155	1
GCG54_00000156	1
GCG54_00000157	3
GCG54_00000158	1
GCG54_00000159	1
GCG54_00000160	1
GCG54_00000161	3
GCG54_00000162	1
GCG54_00000164	3
GCG54_00000165	12
GCG54_00000166	1
GCG54_00000167	2
GCG54_00000168	12
GCG54_00000170	1
GCG54_00000171	2
GCG54_00000172	1
GCG54_00000173	7
GCG54_00000174	3
GCG54_00000175	11
GCG54_00000176	2
GCG54_00000177	1
GCG54_00000178	7
GCG54_00000179	1
GCG54_00000180	4
GCG54_00000181	7
GCG54_00000182	11
GCG54_00000183	1
GCG54_00000184	1
GCG54_00000185	2
GCG54_00000186	1
GCG54_00000187	1
GCG54_00000188	1
GCG54_00000189	3
GCG54_00000190	3
GCG54_00000191	1
GCG54_00000192	1
GCG54_00000193	3
GCG54_00000194	3
GCG54_00000195	11
GCG54_00000196	1
GCG54_00000197	1
GCG54_00000198	1
GCG54_00000199	1
GCG54_00000200	1
GCG54_00000201	1
GCG54_00000202	2
GCG54_00000203	1
GCG54_00000204	1
GCG54_00000205	1
GCG54_00000206	1
GCG54_00000207	1
GCG54_00000208	1
GCG54_00000209	1
GCG54_00000210	1
GCG54_00000211	6
GCG54_00000212	7
GCG54_00000213	1
GCG54_00000214	2
GCG54_00000215	1
GCG54_00000216	1
GCG54_00000217	1
GCG54_00000218	2
GCG54_00000219	1
GCG54_00000220	3
GCG54_00000221	3
GCG54_00000222	6
GCG54_00000223	2
GCG54_00000224	6
GCG54_00000225	1
GCG54_00000226	1
GCG54_00000227	1
GCG54_00000228	1
GCG54_00000229	1
GCG54_00000230	11
GCG54_00000231	1
GCG54_00000232	1
GCG54_00000233	2
GCG54_00000234	1
GCG54_00000235	2
GCG54_00000236	1
GCG54_00000237	1
GCG54_00000238	1
GCG54_00000239	1
GCG54_00000240	1
GCG54_00000241	1
GCG54_00000242	2
GCG54_00000243	1
GCG54_00000244	1
GCG54_00000245	1
GCG54_00000246	1
GCG54_00000247	1
GCG54_00000248	1
GCG54_00000249	3
GCG54_00000250	1
GCG54_00000251	3
GCG54_00000252	1
GCG54_00000253	1
GCG54_00000254	2
GCG54_00000255	1
GCG54_00000256	1
GCG54_00000257	11
GCG54_00000258	1
GCG54_00000259	2
GCG54_00000260	1
GCG54_00000261	1
GCG54_00000262	1
GCG54_00000263	2
GCG54_00000264	1
GCG54_00000265	1
GCG54_00000266	1
GCG54_00000267	3
GCG54_00000268	1
GCG54_00000269	1
GCG54_00000270	2
