Gene	PS
AG1IA_00001	10
AG1IA_00002	12
AG1IA_00003	12
AG1IA_00004	10
AG1IA_00005	12
AG1IA_00006	3
AG1IA_00007	3
AG1IA_00008	4
AG1IA_00009	3
AG1IA_00010	3
AG1IA_00011	12
AG1IA_00012	12
AG1IA_00013	3
AG1IA_00014	7
AG1IA_00015	12
AG1IA_00016	4
AG1IA_00017	4
AG1IA_00018	12
AG1IA_00019	12
AG1IA_00020	3
AG1IA_00021	3
AG1IA_00022	6
AG1IA_00023	3
AG1IA_00024	4
AG1IA_00025	7
AG1IA_00026	3
AG1IA_00027	3
AG1IA_00028	3
AG1IA_00029	3
AG1IA_00030	7
AG1IA_00031	3
AG1IA_00032	4
AG1IA_00033	3
AG1IA_00034	4
AG1IA_00035	3
AG1IA_00036	3
AG1IA_00037	6
AG1IA_00038	3
AG1IA_00039	3
AG1IA_00040	3
AG1IA_00041	3
AG1IA_00042	3
AG1IA_00043	4
AG1IA_00044	3
AG1IA_00045	12
AG1IA_00046	7
AG1IA_00047	4
AG1IA_00048	3
AG1IA_00049	5
AG1IA_00050	10
AG1IA_00051	12
AG1IA_00052	12
AG1IA_00053	3
AG1IA_00054	12
AG1IA_00055	12
AG1IA_00056	8
AG1IA_00057	3
AG1IA_00058	10
AG1IA_00059	3
AG1IA_00060	6
AG1IA_00061	3
AG1IA_00062	3
AG1IA_00063	3
AG1IA_00064	7
AG1IA_00065	4
AG1IA_00066	3
AG1IA_00067	3
AG1IA_00068	3
AG1IA_00069	3
AG1IA_00070	3
AG1IA_00071	7
AG1IA_00072	3
AG1IA_00073	7
AG1IA_00074	3
AG1IA_00075	12
AG1IA_00076	3
AG1IA_00077	3
AG1IA_00078	5
AG1IA_00079	4
AG1IA_00080	12
AG1IA_00081	12
AG1IA_00082	10
AG1IA_00083	12
AG1IA_00084	3
AG1IA_00085	3
AG1IA_00086	4
AG1IA_00087	3
AG1IA_00088	6
AG1IA_00089	12
AG1IA_00090	4
AG1IA_00091	3
AG1IA_00092	3
AG1IA_00093	10
AG1IA_00094	7
AG1IA_00095	3
AG1IA_00096	3
AG1IA_00097	3
AG1IA_00098	3
AG1IA_00099	5
AG1IA_00100	4
AG1IA_00101	3
AG1IA_00102	3
AG1IA_00103	3
AG1IA_00104	3
AG1IA_00105	4
AG1IA_00106	4
AG1IA_00107	4
AG1IA_00108	4
AG1IA_00109	4
